DateTime,AddedIPs,RemovedIPs
1539925589,2,0
1539929180,8,0
1539932778,0,10
1539954391,0,5
1539957990,3,0
1539961574,2,0
1539972392,1,0
1539986786,0,1
1539994003,1,0
1540008365,0,1
1540011998,1,0
1540019181,0,6
1540029978,1,0
1540055179,2,0
1540069578,0,2
1540083987,6,0
1540112793,0,2
1540116389,1,0
1540119976,1,0
1540141602,1,0
1540148788,2,0
1540152390,0,2
1540155995,0,1
1540159591,1,0
1540163179,0,2
1540166823,1,3
1540170391,0,2
1540173982,0,3
1540177592,0,1
1540191996,0,1
1540202789,1,0
1540235187,2,0
1540238791,4,0
1540242399,1,0
1540249584,4,0
1540253210,3,0
1540260374,2,0
1540267585,2,6
1540271166,9,2
1540274782,0,4
1540278390,1,1
1540285587,0,2
1540292776,0,1
1540296367,1,1
1540299985,1,0
1540303596,2,0
1540307167,1,1
1540310773,0,9
1540314373,13,0
1540317976,4,2
1540335970,0,1
1540343191,1,2
1540346785,1,2
1540350383,4,1
1540353969,2,1
1540357581,0,3
1540361174,0,2
1540364765,0,2
1540379173,0,3
1540382784,3,0
1540386377,2,0
1540397190,0,1
1540400783,1,2
1540411582,0,2
1540415177,1,2
1540418786,3,0
1540426021,3,0
1540429578,1,0
1540433183,1,0
1540436789,3,6
1540440402,1,2
1540443987,1,6
1540447582,3,3
1540451180,4,4
1540454781,5,1
1540458369,6,0
1540472795,0,5
1540476390,2,4
1540479976,5,1
1540483589,1,0
1540494381,0,8
1540498001,8,1
1540501582,3,0
1540515987,0,2
1540519589,1,4
1540523179,1,3
1540526781,1,3
1540530385,2,1
1540533993,3,6
1540537586,1,4
1540541174,4,1
1540544779,1,1
1540548381,2,2
1540551992,1,2
1540555592,1,2
1540559173,1,1
1540562792,0,3
1540566385,8,1
1540580787,0,4
1540584369,2,1
1540587981,3,2
1540591581,3,1
1540595179,0,4
1540598799,2,0
1540602379,3,0
1540609589,1,0
1540616791,1,0
1540620391,0,1
1540623987,0,3
1540627598,2,0
1540656390,0,2
1540659991,1,1
1540663579,0,6
1540667198,2,2
1540670798,4,2
1540674393,5,0
1540677985,1,0
1540731978,0,5
1540735574,1,0
1540739191,1,0
1540742784,1,0
1540746391,1,6
1540749973,4,3
1540753595,1,2
1540757168,4,0
1540760795,0,1
1540764387,1,2
1540767996,1,1
1540771605,4,7
1540775187,2,0
1540778795,8,1
1540782385,3,1
1540785987,2,1
1540793200,2,0
1540800390,0,2
1540803983,2,0
1540818405,0,5
1540821980,0,4
1540825597,5,1
1540829204,0,1
1540832796,1,2
1540836398,6,0
1540839996,1,2
1540843585,6,0
1540847185,0,1
1540850804,2,4
1540858008,2,3
1540865197,1,7
1540868790,1,6
1540872388,1,2
1540875989,3,5
1540879589,0,5
1540883185,3,2
1540886788,0,3
1540890377,9,0
1540912012,0,2
1540922784,2,2
1540926376,1,0
1540933635,0,1
1540937191,0,3
1540940780,3,1
1540944397,2,1
1540947998,1,1
1540951598,1,0
1540958784,0,1
1540962399,0,6
1540966001,4,4
1540969594,1,1
1540973192,2,1
1540976780,3,1
1540980394,0,5
1540984007,1,1
1540987587,6,1
1540991181,2,0
1540994788,3,0
1541012792,2,0
1541023582,0,3
1541027171,2,3
1541030805,6,0
1541034399,4,0
1541037991,1,0
1541041583,1,0
