DateTime,Entries,UniqueIPs
1543193890,9458,9458
1543195700,10455,10455
1543197660,11309,11309
1543199553,11325,11325
1543201455,11321,11321
1543203381,11323,11323
1543205320,11326,11326
1543207256,11318,11318
1543209156,12057,12057
1543211055,13286,13286
1543212989,14329,14329
1543214896,15014,15014
1543217087,15023,15023
1543218990,15022,15022
1543221141,14960,14960
1543223052,14956,14956
1543224966,14954,14954
1543226906,14925,14925
1543228813,14896,14896
1543230629,14848,14848
1543232435,14793,14793
1543234360,14797,14797
1543236252,14967,14967
1543238180,14793,14793
1543240094,14619,14619
1543242034,14606,14606
1543244195,14558,14558
1543246525,14555,14555
1543248529,14443,14443
1543250412,14286,14286
1543252583,13801,13801
1543254752,13344,13344
1543256670,12970,12970
1543258595,12607,12607
1543260921,12061,12061
1543262907,11818,11818
1543264821,11182,11182
1543266745,10880,10880
1543268677,10877,10877
1543270589,10869,10869
1543272497,10866,10866
1543274416,10877,10877
1543276332,10922,10922
1543278287,9852,9852
1543280172,8966,8966
1543282103,7952,7952
1543284095,7157,7157
1543286099,6945,6945
1543288119,6958,6958
1543290013,6959,6959
1543291946,6955,6955
1543293861,6953,6953
1543295783,6957,6957
1543297711,6955,6955
1543299661,6956,6956
1543301554,6971,6971
1543303473,6988,6988
1543305393,7145,7145
1543307297,7156,7156
1543310183,7150,7150
1543312104,7141,7141
1543314057,7137,7137
1543315937,7144,7144
1543317873,7159,7159
1543319793,7202,7202
1543321712,6657,6657
1543323665,6613,6613
1543325559,6648,6648
1543327481,6704,6704
1543329403,6708,6708
1543331321,6721,6721
1543333475,6723,6723
1543335385,6733,6733
1543337534,6746,6746
1543339475,6746,6746
1543341395,6750,6750
1543343291,6756,6756
1543345469,6750,6750
1543347401,6754,6754
1543349329,6750,6750
1543351245,6637,6637
1543353405,6634,6634
1543355302,6630,6630
1543357236,6632,6632
1543359136,6631,6631
1543361074,6620,6620
1543362978,6605,6605
1543364936,6595,6595
1543366849,6596,6596
1543369002,6603,6603
1543370924,6610,6610
1543372843,5242,5242
1543375001,4053,4053
1543376895,2780,2780
1543378828,2359,2359
1543380727,2365,2365
1543382672,2372,2372
1543384841,2510,2510
1543386736,3877,3877
1543388922,5257,5257
1543390822,6487,6487
1543392739,6591,6591
1543394677,6715,6715
1543396837,6733,6733
1543398732,7036,7036
1543400698,7368,7368
1543402595,7608,7608
1543404521,7616,7616
1543407391,7326,7326
1543409298,7338,7338
1543411226,7342,7342
1543413158,7346,7346
1543415085,7349,7349
1543417247,7341,7341
1543419391,7324,7324
1543421384,7453,7453
1543423220,7454,7454
1543425161,7453,7453
1543427078,7459,7459
1543428991,7457,7457
1543431139,7458,7458
1543433061,7476,7476
1543434998,7479,7479
1543436918,7477,7477
1543438837,7571,7571
1543440762,7571,7571
1543442923,7575,7575
1543444836,7579,7579
1543446748,7583,7583
1543448660,7588,7588
1543450825,7585,7585
1543452754,7582,7582
1543454675,7585,7585
1543456600,7576,7576
1543458515,7573,7573
1543461402,7567,7567
1543463295,7566,7566
1543465215,7560,7560
1543467147,7562,7562
1543469313,7552,7552
1543472205,6754,6754
1543474134,5335,5335
1543476035,4138,4138
1543477958,3196,3196
1543479880,3107,3107
1543481776,3071,3071
1543483969,2981,2981
1543485887,2702,2702
1543487795,2393,2393
1543489727,2395,2395
1543491645,2387,2387
1543493564,2383,2383
1543495463,2381,2381
1543497396,2392,2392
1543499316,2380,2380
1543501220,2390,2390
1543503162,2282,2282
1543505333,2290,2290
1543507260,2100,2100
1543509158,2117,2117
1543511091,2125,2125
1543512993,2392,2392
1543514926,2398,2398
1543516840,2398,2398
