DateTime,Entries,UniqueIPs
1543119145,77,77
1543122993,76,76
1543124913,79,79
1543126817,78,78
1543128734,79,79
1543130668,79,79
1543132576,78,78
1543134741,80,80
1543136680,84,84
1543138604,82,82
1543140521,79,79
1543142445,79,79
1543144353,75,75
1543146276,74,74
1543148188,74,74
1543150094,73,73
1543152042,73,73
1543153938,76,76
1543155892,75,75
1543157790,77,77
1543159697,74,74
1543162631,76,76
1543164493,76,76
1543166430,76,76
1543168347,76,76
1543170269,77,77
1543172168,76,76
1543174365,79,79
1543176267,81,81
1543178199,83,83
1543180121,83,83
1543182032,84,84
1543183942,77,77
1543185853,76,76
1543188036,75,75
1543189936,78,78
1543191873,77,77
1543193892,78,78
1543195712,80,80
1543197692,81,81
1543199555,80,80
1543201458,83,83
1543203382,86,86
1543205321,89,89
1543207257,91,91
1543209157,90,90
1543211056,88,88
1543212990,88,88
1543214897,88,88
1543217088,87,87
1543218991,88,88
1543221142,88,88
1543223053,83,83
1543224968,84,84
1543226908,85,85
1543228815,85,85
1543230631,87,87
1543232437,86,86
1543234361,85,85
1543236254,84,84
1543238181,84,84
1543240096,81,81
1543242036,82,82
1543244196,80,80
1543246526,82,82
1543248531,80,80
1543250414,83,83
1543252585,82,82
1543254754,82,82
1543256671,79,79
1543260922,75,75
1543262908,73,73
1543264822,73,73
1543266746,76,76
1543268678,77,77
1543270590,78,78
1543272498,75,75
1543274422,73,73
1543276344,74,74
1543278289,75,75
1543280174,74,74
1543282105,72,72
1543284124,72,72
1543286101,73,73
1543288120,68,68
1543290014,65,65
1543291947,61,61
1543293862,58,58
1543295785,59,59
1543297712,58,58
1543299663,59,59
1543301555,58,58
1543303474,62,62
1543305395,60,60
1543307298,60,60
1543309275,61,61
1543311139,62,62
1543313081,62,62
1543314979,64,64
1543316929,62,62
1543318847,65,65
1543320764,71,71
1543322674,70,70
1543324606,69,69
1543326526,70,70
1543328439,70,70
1543332513,78,78
1543334457,79,79
1543336355,80,80
1543338524,78,78
1543340433,77,77
1543342360,78,78
1543344508,79,79
1543346463,78,78
1543348512,78,78
1543350487,80,80
1543352689,79,79
1543354840,76,76
1543356741,76,76
1543358681,75,75
1543360581,74,74
1543362524,71,71
1543364420,69,69
1543366345,69,69
1543368362,70,70
1543370474,70,70
1543372345,70,70
1543374287,74,74
1543376172,76,76
1543378115,78,78
1543381970,77,77
1543383863,78,78
1543385805,76,76
1543387966,75,75
1543389875,72,72
1543391778,73,73
1543393962,73,73
1543395876,75,75
1543397806,73,73
1543399728,73,73
1543401630,72,72
1543403565,72,72
1543405470,71,71
1543407392,69,69
1543411227,71,71
1543413159,71,71
1543415086,69,69
1543418457,62,62
1543420355,61,61
1543422256,61,61
1543424192,62,62
1543426116,64,64
1543428056,64,64
1543429956,64,64
1543432100,68,68
1543434015,66,66
1543436118,65,65
1543438362,65,65
1543440259,65,65
1543442484,64,64
1543446306,65,65
1543450110,65,65
1543452284,65,65
1543458029,65,65
1543459937,66,66
1543461860,62,62
1543463797,60,60
1543465965,61,61
1543467866,62,62
1543469787,60,60
1543473641,63,63
1543475563,61,61
1543479388,57,57
1543481329,57,57
1543483216,58,58
1543487067,57,57
1543488970,58,58
1543490906,59,59
1543492918,55,55
1543496926,57,57
1543498817,57,57
1543500759,57,57
1543502662,56,56
1543506507,55,55
1543508674,54,54
1543510578,53,53
1543512497,52,52
1543514476,52,52
1543516339,51,51
1543518290,47,47
1543520177,48,48
1543522101,46,46
1543524039,48,48
1543527878,46,46
1543529790,47,47
1543531704,46,46
1543533886,47,47
1543535792,48,48
1543537686,49,49
1543539666,52,52
1543541566,51,51
1543543464,50,50
1543545376,48,48
1543547308,50,50
1543549227,51,51
1543551171,51,51
1543553060,50,50
1543554986,50,50
1543556900,51,51
