DateTime,AddedIPs,RemovedIPs
1541067391,0,1
1541077709,1,1
1541089233,0,1
1541101210,1,0
1541109407,0,1
1541115377,0,1
1541117332,1,0
1541152611,1,0
1541160774,1,0
1541164848,0,1
1541170619,1,0
1541174979,1,0
1541186680,0,1
1541192658,1,0
1541200354,1,0
1541202265,0,1
1541213797,1,0
1541225774,1,0
1541237546,0,1
1541247172,0,1
1541256739,0,1
1541260600,2,1
1541268533,1,0
1541280022,0,1
1541283904,1,0
1541285922,0,1
1541289873,2,0
1541301624,0,1
1541311289,0,1
1541344103,1,0
1541348013,0,2
1541353710,0,1
1541361255,1,0
1541367399,1,0
1541369327,0,1
1541371236,1,0
1541375069,0,2
1541406760,1,0
1541408665,1,0
1541412847,1,0
1541416586,1,0
1541430256,0,1
1541445889,1,0
1541447784,0,1
1541453556,0,1
1541457406,0,1
1541480695,1,0
1541486444,1,0
1541488367,2,0
1541494363,1,2
1541498202,0,1
1541503962,0,1
1541508036,1,0
1541532058,0,1
1541541884,1,0
1541563293,1,0
1541567086,0,1
1541573081,0,2
1541574990,0,1
1541576901,2,0
1541580739,0,1
1541594191,0,1
1541596101,1,0
1541605940,1,0
1541608099,1,0
1541620599,1,0
1541626599,0,1
1541649678,0,1
1541663059,0,1
1541664991,0,1
1541677963,1,0
1541682089,0,1
1541691619,0,1
1541693539,0,1
1541707272,0,1
1541732499,1,0
1541753795,2,0
1541766030,0,1
1541779465,1,0
1541807552,1,0
1541811639,1,0
1541820054,0,1
1541832016,1,0
1541839950,0,2
1541859392,1,0
1541861326,1,0
1541865397,1,0
1541867304,0,1
1541873070,1,0
1541886770,1,0
1541894472,0,1
1541898261,0,1
1541908117,1,0
1541915806,1,0
1541917944,1,1
1541923953,1,0
1541929703,1,0
1541935493,1,0
1541939197,1,0
1541944975,0,1
1541946983,0,1
1541953009,0,1
1541960189,0,1
1541971695,0,1
1541973647,1,0
1541993077,1,0
1541995001,1,1
1542000749,1,0
1542002671,0,1
1542004602,1,1
1542012270,1,0
1542016101,0,1
1542021881,0,1
1542025704,0,1
1542027682,1,0
1542031493,1,0
1542039145,2,0
1542046820,1,0
1542062677,0,1
1542079239,1,1
1542081155,0,1
1542084994,1,0
1542086919,0,1
1542088892,1,0
1542090767,0,1
1542094576,0,1
1542098440,0,1
1542106115,1,0
1542114094,0,1
1542117865,1,1
1542119800,2,0
1542125601,1,2
1542133464,0,1
1542137304,1,0
1542164454,0,1
1542172119,0,1
1542174030,1,0
1542175954,0,1
1542177861,1,0
1542191789,0,1
1542197802,1,0
1542205459,0,2
1542211258,1,1
1542213403,0,1
1542223453,0,1
1542237657,1,0
1542239795,1,0
1542259474,0,1
1542261378,1,0
1542263323,0,1
1542277040,1,0
1542282736,1,0
1542284673,0,1
1542290471,1,0
1542296456,0,1
1542300783,1,0
1542306970,5,0
1542314668,1,0
1542323085,0,1
1542326916,0,1
1542348287,0,1
1542363645,0,1
1542369391,0,1
1542378985,0,1
1542387394,1,1
1542393164,0,5
1542395077,1,0
1542398924,1,0
1542400841,0,1
1542418112,1,0
1542427703,1,0
1542431542,1,0
1542435389,1,0
1542439218,1,0
1542450759,2,0
1542452665,1,0
1542466099,1,0
1542473939,0,1
1542477889,1,0
1542481718,0,1
1542485540,0,1
1542489636,1,0
1542491563,1,0
1542505231,1,1
1542512911,1,1
1542518670,0,1
1542520894,0,1
1542524939,0,1
1542536429,0,2
1542538367,0,1
1542547962,1,0
1542551774,1,1
1542561550,3,0
1542565468,0,1
1542571457,1,0
1542573379,3,0
1542575309,0,1
1542577224,0,1
1542583215,1,0
1542590894,0,1
1542593784,2,0
1542597625,1,0
1542599537,2,1
1542634338,1,1
1542638196,0,1
1542647800,0,3
1542655956,1,0
1542657874,0,1
1542659780,0,3
1542669401,0,1
1542678983,0,1
1542680896,0,1
1542684743,0,2
1542686665,0,1
1542706094,2,0
1542709969,2,0
1542721709,0,1
1542733282,1,0
1542741394,0,1
1542751486,1,0
1542763010,1,0
1542774761,1,0
1542780528,1,0
1542786386,1,0
1542793949,0,2
1542795857,0,2
1542808338,1,0
1542810271,1,0
1542817955,0,1
1542819881,1,0
1542829693,1,0
1542833777,1,0
1542837669,0,1
1542841464,1,0
1542847472,1,0
1542849405,0,1
1542851293,1,0
1542853229,2,0
1542855148,1,0
1542862847,2,1
1542866681,1,1
1542870769,1,0
1542872672,1,1
1542874582,1,0
1542876498,2,0
1542888277,1,0
1542894016,0,1
1542895943,0,1
1542900063,1,0
1542901937,2,0
1542903922,2,0
1542905794,0,1
1542911801,1,0
1542913729,1,0
1542915639,1,1
1542921394,0,1
1542925218,1,0
1542929060,0,1
1542933146,0,1
1542938907,1,2
1542940818,2,2
1542946601,2,0
1542948736,0,2
1542952881,0,1
1542956679,0,1
1542958577,1,1
1542960531,1,1
1542962416,0,2
1542966267,2,0
1542968180,2,0
1542970100,1,0
1542972022,1,0
1542973936,0,1
1542979700,2,0
1542984491,0,1
1542988580,0,1
1542990504,1,2
1542992498,2,0
1542994364,1,0
1542998181,0,1
1543000120,0,1
1543002021,0,1
1543003952,1,0
1543011629,1,1
1543015970,1,0
1543019804,1,0
1543025571,0,2
1543027484,0,1
1543029402,1,0
1543031315,1,0
1543033244,0,2
1543035165,1,1
1543037074,1,0
1543040912,1,0
1543042891,2,0
1543047166,1,2
1543049066,2,0
1543052901,1,2
1543054820,0,2
1543056891,0,1
1543058899,0,1
1543064667,0,1
1543066825,0,1
1543070678,1,0
1543074497,2,0
1543076417,0,1
1543078340,0,1
1543080261,1,2
1543082175,1,0
1543084099,1,0
1543088176,1,0
1543090118,0,1
1543093946,1,0
1543097779,0,1
1543101623,2,0
1543103543,2,1
1543105458,1,1
1543107372,1,0
1543109313,1,0
1543115325,1,1
1543117218,1,1
1543121081,2,1
1543122993,0,1
1543128734,0,2
1543130669,0,1
1543134742,0,2
1543136680,1,1
1543138605,0,1
1543144354,2,0
1543152043,2,0
1543157791,1,1
1543159697,1,0
1543162631,0,2
1543166431,0,1
1543168347,0,1
1543170270,0,1
1543176269,0,1
1543180122,0,1
1543182033,1,0
1543188037,1,2
1543189937,0,2
1543191874,1,1
1543193892,1,2
1543195712,1,0
1543201459,0,1
1543203383,0,1
1543207258,0,2
1543211057,2,0
1543221143,1,0
1543223053,0,1
1543230632,0,2
1543238182,0,1
1543240096,0,1
1543244197,0,1
1543246527,1,1
1543252586,1,0
1543256672,1,0
1543268679,0,1
1543270591,1,0
1543274423,0,1
1543280174,1,2
1543282105,0,1
1543288121,2,0
1543290015,1,0
1543297713,0,2
1543307299,0,1
1543320765,1,0
1543328440,2,0
1543332514,1,1
1543337535,0,1
1543343292,0,1
1543357237,0,1
1543359137,1,0
1543366895,0,1
1543375003,0,3
1543382673,1,0
1543389875,1,0
1543397807,2,0
1543403565,1,0
1543407392,0,1
1543415086,1,2
1543417260,0,1
1543444836,1,0
1543446748,0,1
1543465215,1,0
1543469314,0,1
1543476036,0,1
1543479882,1,0
1543483969,0,2
1543485903,1,0
1543489728,0,1
1543501220,3,0
1543503162,2,1
1543509158,1,0
1543519707,1,0
1543530292,0,1
1543543961,1,0
1543547804,1,0
1543551632,0,1
1543559315,1,0
1543565062,0,1
1543570844,0,1
1543578753,1,0
1543588345,0,3
1543590286,2,2
1543594167,0,1
1543603716,2,0
1543605621,0,1
1543607558,1,0
1543631782,0,1
1543633721,0,1
1543639476,1,0
1543656765,2,0
1543666364,1,1
1543676192,0,1
1543683861,1,0
1543689633,0,2
1543691573,1,0
1543693456,1,1
1543701153,1,0
1543703056,1,0
1543710869,0,1
1543726128,1,1
1543737713,1,0
1543743415,0,2
1543751074,1,0
1543753481,0,1
1543757301,1,0
1543759292,1,0
1543770788,0,1
1543776738,0,1
1543778673,0,1
1543788739,0,2
1543792608,3,0
1543796673,0,1
1543800524,1,0
1543812266,0,1
1543814207,1,0
1543820185,2,0
1543824065,0,1
1543835795,0,1
1543843952,0,1
1543845873,0,1
1543847802,1,0
1543849967,1,0
1543861480,1,0
1543863375,1,0
1543878527,1,1
1543880918,1,1
1543886674,0,1
1543892935,1,0
1543900600,1,1
1543906357,1,1
1543912109,2,0
1543914116,1,0
1543915939,0,1
1543920040,0,1
1543928195,1,0
1543932257,1,0
1543934192,0,1
1543936369,0,1
1543938257,1,0
1543940425,1,0
1543948110,1,1
1543950084,0,1
1543960356,1,0
1543962261,1,0
1543966372,0,1
1543970187,0,1
1543978102,0,1
1543986135,0,1
1543993724,0,1
1543997568,0,1
1543999701,0,2
1544013617,0,1
1544019652,0,1
1544025394,0,1
1544027559,0,1
1544029724,1,0
1544033560,0,1
1544041962,1,0
1544046041,1,1
1544049872,0,1
1544053960,1,0
1544057796,2,0
1544061884,1,0
1544114682,0,1
1544116582,1,0
1544122503,1,0
1544124747,1,0
1544128587,0,1
1544132439,0,1
1544136723,1,0
1544140930,0,1
1544144664,0,2
1544148528,0,1
1544150437,1,0
1544158116,1,0
1544162208,1,0
1544179935,1,0
