DateTime,AddedIPs,RemovedIPs
1543193891,5,10
1543195711,4,5
1543197671,3,3
1543199554,2,5
1543201456,4,2
1543203381,8,7
1543205320,7,6
1543207257,3,5
1543209156,1,5
1543211055,5,3
1543212989,4,3
1543214896,5,3
1543217087,3,2
1543218990,5,2
1543221141,6,5
1543223052,1,8
1543224967,4,2
1543226907,2,5
1543228814,1,6
1543230630,3,6
1543232436,1,5
1543234360,3,5
1543236253,3,4
1543238180,2,9
1543240095,7,7
1543242034,2,3
1543244195,6,9
1543246525,5,10
1543248530,2,10
1543250413,7,5
1543252584,3,3
1543254753,5,3
1543256670,3,5
1543258596,2,5
1543260921,3,7
1543262907,3,9
1543264821,5,6
1543266745,5,3
1543268677,8,5
1543270589,10,5
1543272497,1,5
1543274417,2,6
1543276333,6,7
1543278288,4,2
1543280173,3,8
1543282104,5,4
1543284107,5,3
1543286100,9,2
1543288119,4,7
1543290013,5,7
1543291946,3,6
1543293861,0,5
1543295784,3,2
1543297711,2,2
1543299662,4,5
1543301554,2,6
1543303473,5,3
1543305394,2,4
1543307297,3,8
1543310183,5,2
1543312104,2,3
1543314058,5,1
1543315938,2,4
1543317873,4,2
1543319793,9,3
1543321712,8,3
1543323673,3,1
1543325560,4,3
1543327482,9,6
1543329403,6,1
1543331321,16,7
1543333476,3,4
1543335386,6,2
1543337535,4,11
1543339475,5,4
1543341395,3,1
1543343292,6,2
1543345470,1,3
1543347402,3,5
1543349329,3,2
1543351246,3,4
1543353405,6,6
1543355303,3,6
1543357236,2,8
1543359136,2,2
1543361075,3,2
1543362979,1,5
1543364937,1,3
1543366856,2,3
1543369003,2,4
1543370925,4,7
1543372844,3,7
1543375002,8,3
1543376895,7,5
1543378828,4,0
1543380727,2,2
1543382672,5,2
1543385804,7,5
1543387966,3,2
1543389874,3,6
1543391777,2,1
1543393962,5,3
1543395875,3,1
1543397805,4,11
1543399727,2,3
1543401630,4,4
1543403564,2,3
1543405469,5,6
1543407391,5,10
1543409299,2,5
1543411227,3,2
1543413158,1,12
1543415085,4,7
1543418457,6,18
1543420354,4,4
1543422255,5,7
1543424191,2,4
1543426115,6,6
1543428055,4,4
1543429955,4,5
1543432100,6,3
1543434015,5,3
1543436118,4,4
1543438361,1,4
1543440258,2,4
1543442451,2,3
1543444342,3,2
1543446297,2,5
1543448177,2,0
1543450109,2,2
1543452283,3,1
1543454184,4,1
1543456104,5,1
1543458023,2,3
1543459936,6,4
1543461859,3,5
1543463795,2,6
1543465964,5,4
1543467865,3,2
1543469786,2,8
1543471700,3,5
1543473640,3,1
1543475562,3,5
1543477460,1,0
1543479387,2,5
1543481328,5,4
1543483215,4,3
1543485141,4,6
1543487066,2,5
1543488969,5,3
1543490904,6,4
1543492888,4,8
1543494735,1,0
1543496925,2,1
1543498816,3,3
1543500759,5,3
1543502661,6,4
1543504584,3,1
1543506507,1,3
1543508673,5,5
1543510577,2,2
1543512496,4,5
1543514445,6,4
1543516339,0,4
1543518287,2,6
1543520176,2,4
1543522100,2,6
1543524038,4,1
1543525939,5,1
1543527877,3,5
1543529788,1,4
1543531704,2,2
1543533885,3,3
1543535791,3,1
1543537685,3,1
1543539644,4,7
1543541565,2,4
1543543463,5,3
1543545375,3,6
1543547307,6,1
1543549226,4,2
1543551170,1,3
1543553059,1,5
1543554985,3,3
1543556899,2,2
1543558818,3,3
1543560755,5,3
1543562698,1,2
1543564574,1,2
1543566497,1,2
1543568444,6,3
1543570351,3,6
1543572291,2,4
1543574166,6,5
1543576109,4,5
1543578265,3,4
1543580177,3,1
1543582096,4,3
1543584050,4,3
1543585952,2,2
1543587875,1,8
1543589788,6,4
1543591717,1,5
1543593635,0,4
1543595540,4,2
1543597487,3,4
1543599374,4,4
1543601316,0,4
1543603218,8,2
1543605156,1,3
1543607061,4,3
1543608869,1,2
1543610669,3,3
1543612812,2,6
1543614744,2,2
1543616680,2,2
1543618565,1,1
1543620741,1,3
1543622670,3,4
1543624567,1,3
1543626507,3,3
1543628911,5,4
1543631053,2,4
1543632976,4,3
1543635146,2,5
1543637090,1,1
1543638983,4,1
1543640918,6,3
1543642838,5,3
1543644749,2,3
1543646677,0,2
1543648608,3,3
1543650505,3,1
1543652428,3,0
1543654339,7,3
1543656260,5,7
1543658195,4,3
1543660093,0,3
1543662056,4,5
1543663943,1,5
1543665878,3,4
1543667774,3,3
1543669703,3,4
1543671618,9,0
1543673800,1,2
1543675701,7,3
1543677623,5,3
1543679559,2,0
1543681465,4,2
1543683391,3,3
1543685445,7,5
1543687730,3,1
1543689632,6,8
1543691573,302,1
1543693455,4,4
1543695399,4,0
1543697316,6,2
1543699234,5,2
1543701152,4,2
1543703055,7,1
1543704992,5,1
1543706913,6,2
1543708863,5,1
1543710868,5,2
1543712680,4,4
1543714599,13,4
1543716525,4,2
1543718428,4,1
1543720365,1,2
1543722267,1,2
1543724192,2,1
1543726116,4,7
1543728024,1,1
1543729935,4,5
1543731869,4,2
1543733794,3,1
1543735713,3,5
1543737691,7,1
1543739538,4,3
1543741479,3,6
1543743414,2,9
1543745323,2,5
1543747233,6,2
1543749158,6,2
1543751074,2,2
1543753480,7,3
1543755397,4,4
1543757300,3,4
1543760195,3,9
1543762103,3,7
1543764041,2,5
1543765937,2,3
1543767871,2,5
1543769810,5,4
1543771713,7,6
1543774604,5,5
1543776737,2,34
1543778672,2,37
1543782045,6,4
1543783934,1,5
1543786021,7,3
1543788069,5,6
1543789930,4,3
1543791852,2,6
1543793787,5,3
1543795726,3,4
1543797636,6,3
1543799540,7,7
1543801492,5,7
1543803384,6,3
1543805319,8,4
1543807464,10,0
1543809391,7,1
1543811302,4,2
1543813268,1,2
1543815389,3,1
1543817320,2,2
1543819223,3,1
1543821168,5,2
1543823067,7,1
1543824986,3,7
1543826900,3,4
1543828815,8,3
1543830982,4,1
1543832898,3,59
1543834862,2,2
1543836766,5,3
1543838705,5,2
1543840596,4,5
1543842523,4,5
1543844434,3,1
1543846610,1,4
1543848509,3,3
1543850418,5,3
1543852364,9,2
1543854270,1,0
1543856209,2,2
1543858111,2,4
1543860057,4,3
1543862201,5,2
1543864125,4,1
1543866061,5,2
1543868231,9,4
1543870343,5,1
1543872267,12,5
1543874435,3,4
1543876359,5,3
1543878526,9,3
1543880917,9,6
1543882843,4,0
1543884761,7,5
1543886674,3,7
1543888595,2,1
1543890744,9,6
1543892935,6,11
1543894836,3,4
1543896760,2,5
1543898688,6,2
1543900599,2,2
1543902520,3,2
1543904436,3,0
1543906356,2,5
1543908270,5,3
1543910177,5,4
1543912108,5,1
1543914103,3,6
1543915938,4,4
1543917884,6,2
1543920039,19,52
1543921965,3,0
1543923874,3,1
1543926281,3,3
1543928194,8,6
1543930345,4,3
1543932256,8,0
1543934191,2,2
1543936368,5,3
1543938256,5,5
1543940424,10,2
1543942375,4,4
1543944263,6,1
1543946196,4,1
1543948109,2,7
1543950058,3,4
1543952224,7,2
1543954129,9,9
1543956152,3,8
1543958437,3,4
1543960355,3,5
1543962260,4,4
1543964225,3,3
1543966371,7,6
1543968289,6,3
1543970187,5,4
1543972344,7,3
1543974264,3,2
1543976208,2,4
1543978101,4,4
1543980020,3,2
1543982177,4,5
1543984118,9,1
1543986125,8,3
1543987941,5,1
1543989937,13,3
1543991804,10,2
1543993723,1,2
1543995617,2,4
1543997567,3,4
1543999700,3,4
1544001884,3,5
1544003793,6,3
1544005734,3,62
1544008591,6,1
1544010763,5,3
1544012681,4,4
1544014894,2,7
1544016764,7,3
1544018692,7,5
1544020614,4,1
1544022503,1,1
1544024442,4,5
1544026649,2,5
1544028533,2,5
1544030680,6,4
1544032594,2,2
1544034496,5,0
1544037877,10,5
1544039765,4,7
1544041962,5,4
1544043860,3,0
1544046040,3,4
1544047957,6,3
1544049872,12,4
1544051779,5,4
1544053959,3,6
1544055871,3,4
1544057795,10,5
1544059964,5,3
1544061883,2,1
1544063803,6,2
1544065736,6,3
1544067884,0,3
1544069787,3,6
1544071709,3,4
1544073854,4,3
1544075798,3,7
1544077697,1,7
1544079881,2,1
1544082033,3,3
1544083963,5,2
1544085878,0,3
1544087803,4,3
1544089699,0,3
1544091638,5,19
1544093552,2,6
1544095485,1,0
1544097373,1,4
1544099320,3,3
1544101267,1,1
1544103144,2,0
1544105083,2,6
1544107003,3,4
1544108934,3,0
1544110830,1,4
1544112800,4,0
1544114682,5,2
1544116582,4,5
1544118516,1,2
1544120434,6,1
1544122502,5,7
1544124746,3,3
1544126679,4,4
1544128585,2,3
1544130535,2,2
1544132437,2,9
1544134364,1,20
1544136721,3,7
1544138923,2,1
1544140929,6,4
1544142755,6,4
1544144662,2,8
1544146603,3,4
1544148527,5,3
1544150436,5,5
1544152359,3,2
1544154371,2,0
1544156211,2,1
1544158114,4,2
1544160284,5,4
1544162206,3,185
1544164343,6,102
1544166278,4,2
1544168440,5,3
1544170339,1,3
1544172285,2,0
1544174190,10,4
1544176116,1,0
1544178043,3,5
1544179934,8,1
1544181857,2,1
