DateTime,Entries,UniqueIPs
1543193891,254,254
1543195711,253,253
1543197671,253,253
1543199554,250,250
1543201456,252,252
1543203381,253,253
1543205320,254,254
1543207257,252,252
1543209156,248,248
1543211055,250,250
1543212989,251,251
1543214896,253,253
1543217087,254,254
1543218990,257,257
1543221141,258,258
1543223052,251,251
1543224967,253,253
1543226907,250,250
1543228814,245,245
1543230630,242,242
1543232436,238,238
1543234360,236,236
1543236253,235,235
1543238180,228,228
1543240095,228,228
1543242034,227,227
1543244195,224,224
1543246525,219,219
1543248530,211,211
1543250413,213,213
1543252584,213,213
1543254753,215,215
1543256670,213,213
1543258596,210,210
1543260921,206,206
1543262907,200,200
1543264821,199,199
1543266745,201,201
1543268677,204,204
1543270589,209,209
1543272497,205,205
1543274417,201,201
1543276333,200,200
1543278288,202,202
1543280173,197,197
1543282104,198,198
1543284107,200,200
1543286100,207,207
1543288119,204,204
1543290013,202,202
1543291946,199,199
1543293861,194,194
1543295784,195,195
1543297711,195,195
1543299662,194,194
1543301554,190,190
1543303473,192,192
1543305394,190,190
1543307297,185,185
1543310183,188,188
1543312104,187,187
1543314058,191,191
1543315938,189,189
1543317873,191,191
1543319793,197,197
1543321712,202,202
1543323673,204,204
1543325560,205,205
1543327482,208,208
1543329403,213,213
1543331321,222,222
1543333476,221,221
1543335386,225,225
1543337535,218,218
1543339475,219,219
1543341395,221,221
1543343292,225,225
1543345470,223,223
1543347402,221,221
1543349329,222,222
1543351246,221,221
1543353405,221,221
1543355303,218,218
1543357236,212,212
1543359136,212,212
1543361075,213,213
1543362979,209,209
1543364937,207,207
1543366856,206,206
1543369003,204,204
1543370925,201,201
1543372844,197,197
1543375002,202,202
1543376895,204,204
1543378828,208,208
1543380727,208,208
1543382672,211,211
1543385804,213,213
1543387966,214,214
1543389874,211,211
1543391777,212,212
1543393962,214,214
1543395875,216,216
1543397805,209,209
1543399727,208,208
1543401630,208,208
1543403564,207,207
1543405469,206,206
1543407391,201,201
1543409299,198,198
1543411227,199,199
1543413158,188,188
1543415085,185,185
1543418457,173,173
1543420354,173,173
1543422255,171,171
1543424191,169,169
1543426115,169,169
1543428055,169,169
1543429955,168,168
1543432100,171,171
1543434015,173,173
1543436118,173,173
1543438361,170,170
1543440258,168,168
1543442451,167,167
1543444342,168,168
1543446297,165,165
1543448177,167,167
1543450109,167,167
1543452283,169,169
1543454184,172,172
1543456104,176,176
1543458023,175,175
1543459936,177,177
1543461859,175,175
1543463795,171,171
1543465964,172,172
1543467865,173,173
1543469786,167,167
1543471700,165,165
1543473640,167,167
1543475562,165,165
1543477460,166,166
1543479387,163,163
1543481328,164,164
1543483215,165,165
1543485141,163,163
1543487066,160,160
1543488969,162,162
1543490904,164,164
1543492888,160,160
1543494735,161,161
1543496925,162,162
1543498816,162,162
1543500759,164,164
1543502661,166,166
1543504584,168,168
1543506507,166,166
1543508673,166,166
1543510577,166,166
1543512496,165,165
1543514445,167,167
1543516339,163,163
1543518287,159,159
1543520176,157,157
1543522100,153,153
1543524038,156,156
1543525939,160,160
1543527877,158,158
1543529788,155,155
1543531704,155,155
1543533885,155,155
1543535791,157,157
1543537685,159,159
1543539644,156,156
1543541565,154,154
1543543463,156,156
1543545375,153,153
1543547307,158,158
1543549226,160,160
1543551170,158,158
1543553059,154,154
1543554985,154,154
1543556899,154,154
1543558818,154,154
1543560755,156,156
1543562698,155,155
1543564574,154,154
