DateTime,Entries,UniqueIPs
1542979701,58,58
1542982601,62,62
1542984492,63,63
1542988580,64,64
1542990505,66,66
1542992502,65,65
1542994364,65,65
1542996377,67,67
1543000121,67,67
1543003953,70,70
1543005879,69,69
1543009702,66,66
1543011630,65,65
1543013868,67,67
1543015971,67,67
1543017860,66,66
1543019805,65,65
1543021728,67,67
1543023643,66,66
1543025571,66,66
1543029414,70,70
1543033245,71,71
1543035166,72,72
1543037075,73,73
1543038978,72,72
1543040913,74,74
1543042892,75,75
1543044869,78,78
1543046680,80,80
1543048594,80,80
1543052667,81,81
1543054572,82,82
1543056892,79,79
1543058900,80,80
1543060910,81,81
1543062762,82,82
1543064668,83,83
1543066826,82,82
1543068746,83,83
1543070679,82,82
1543072582,82,82
1543074498,82,82
1543076418,78,78
1543078341,78,78
1543082176,77,77
1543086188,76,76
1543090118,75,75
1543092041,76,76
1543095882,74,74
1543097780,75,75
1543099706,76,76
1543101624,75,75
1543103544,78,78
1543105459,79,79
1543107373,77,77
1543109314,78,78
1543111290,78,78
1543113391,80,80
1543115325,79,79
1543119147,80,80
1543121082,83,83
1543122995,83,83
1543124914,84,84
1543126819,83,83
1543128735,81,81
1543130670,80,80
1543132578,80,80
1543134742,81,81
1543136681,82,82
1543138606,85,85
1543144355,85,85
1543146278,85,85
1543148190,84,84
1543150095,83,83
1543152044,82,82
1543153940,81,81
1543155894,82,82
1543157792,83,83
1543159698,83,83
1543162632,84,84
1543164495,94,94
1543166432,96,96
1543168348,97,97
1543174366,98,98
1543176271,97,97
1543178201,97,97
1543182034,98,98
1543183943,98,98
1543185854,95,95
1543188038,98,98
1543189938,96,96
1543191875,96,96
1543193893,95,95
1543195713,96,96
1543197698,94,94
1543199556,93,93
1543201465,93,93
1543203384,93,93
1543205323,96,96
1543207259,93,93
1543209158,91,91
1543211058,91,91
1543213001,92,92
1543214899,90,90
1543217089,89,89
1543218993,90,90
1543223055,89,89
1543224969,87,87
1543226909,86,86
1543230633,86,86
1543234363,87,87
1543236255,87,87
1543238183,86,86
1543242037,85,85
1543244198,86,86
1543246528,86,86
1543248532,86,86
1543250415,88,88
1543252586,77,77
1543254755,73,73
1543256672,74,74
1543258599,75,75
1543260924,76,76
1543262909,78,78
1543264823,78,78
1543266748,77,77
1543268680,77,77
1543270591,78,78
1543272500,78,78
1543274424,80,80
1543276356,80,80
1543278290,81,81
1543280175,80,80
1543282107,80,80
1543284126,81,81
1543286102,82,82
1543288122,83,83
1543291949,82,82
1543293863,83,83
1543295787,84,84
1543299664,85,85
1543303476,86,86
1543305396,86,86
1543309305,87,87
1543313082,88,88
1543314981,87,87
1543316930,84,84
1543320766,85,85
1543322675,84,84
1543324607,86,86
1543326528,87,87
1543328452,86,86
1543330357,85,85
1543332514,85,85
1543334480,84,84
1543336355,83,83
1543338525,85,85
1543340434,88,88
1543342361,91,91
1543344509,89,89
1543346463,90,90
1543348513,89,89
1543350488,91,91
1543352689,91,91
1543354840,92,92
1543356742,92,92
1543358682,92,92
1543360582,92,92
1543364420,94,94
1543366346,95,95
1543368364,95,95
1543372353,96,96
1543374295,96,96
1543376172,95,95
1543380023,94,94
1543381971,93,93
1543383864,93,93
1543389876,93,93
1543391779,90,90
1543395877,88,88
1543397808,87,87
1543399729,86,86
1543401631,88,88
1543403566,88,88
1543405471,89,89
1543407393,90,90
1543409300,92,92
1543411229,91,91
1543413160,90,90
1543415087,89,89
1543417296,89,89
1543419393,89,89
1543421386,88,88
1543423221,89,89
1543425162,90,90
1543427079,95,95
1543428993,93,93
1543431151,91,91
1543433062,91,91
1543434999,91,91
1543436919,91,91
1543438892,89,89
1543442925,87,87
1543444837,88,88
1543446749,87,87
1543448661,86,86
1543450826,85,85
1543452766,83,83
1543454676,83,83
1543456601,87,87
1543461403,85,85
1543463296,85,85
1543465216,86,86
1543467148,87,87
1543469315,86,86
1543472206,87,87
1543476037,89,89
1543479883,88,88
1543485921,87,87
1543487796,87,87
1543489728,88,88
1543491646,88,88
1543493566,88,88
1543495464,84,84
1543499317,85,85
1543503163,83,83
1543505334,81,81
1543507296,83,83
1543509159,81,81
1543511103,81,81
1543512994,82,82
1543514927,85,85
1543516841,87,87
1543519708,84,84
1543521653,86,86
1543525709,85,85
1543527891,87,87
1543529791,85,85
1543531705,82,82
1543533887,81,81
1543535793,78,78
1543537686,79,79
1543539697,74,74
1543543466,72,72
1543545377,71,71
1543547309,69,69
1543549228,69,69
1543551172,68,68
1543560757,67,67
1543562699,66,66
1543569404,64,64
1543573459,63,63
1543577304,62,62
1543579323,61,61
1543581165,61,61
1543585009,61,61
1543586923,60,60
1543590771,59,59
1543592683,59,59
1543594586,62,62
1543596517,62,62
1543598414,60,60
1543600353,62,62
1543602276,63,63
1543604175,63,63
1543606096,61,61
1543608101,63,63
1543611883,63,63
1543614041,62,62
1543615976,63,63
1543617869,66,66
1543619794,66,66
1543621967,68,68
1543623862,66,66
1543627730,67,67
1543631783,66,66
1543633721,66,66
1543635656,67,67
1543641382,68,68
1543645234,69,69
1543647177,70,70
1543651009,70,70
1543652891,70,70
1543654914,69,69
1543662523,70,70
1543664435,69,69
1543666365,69,69
1543668278,67,67
1543670208,66,66
1543672339,67,67
1543676192,66,66
1543678094,64,64
1543680074,62,62
1543681954,60,60
1543683861,59,59
1543685800,58,58
1543687732,57,57
1543689634,62,62
1543691595,60,60
1543693457,59,59
1543695401,58,58
1543697318,57,57
1543699235,56,56
1543703057,51,51
1543705005,47,47
1543706915,46,46
1543708893,48,48
1543710870,49,49
1543712685,51,51
1543714600,53,53
1543718430,54,54
1543720367,54,54
1543722269,55,55
1543726129,56,56
1543728026,57,57
1543729937,58,58
1543731871,57,57
1543733796,58,58
1543735726,59,59
1543737715,58,58
1543739540,59,59
1543741481,60,60
1543743416,62,62
1543745325,63,63
1543753482,62,62
1543755399,61,61
1543757302,63,63
1543763089,63,63
1543764975,66,66
1543766967,68,68
1543768839,69,69
1543770789,67,67
1543772681,66,66
1543774606,64,64
1543776739,58,58
1543782987,58,58
1543784925,59,59
1543786837,60,60
1543788740,61,61
1543792609,62,62
1543794760,62,62
1543796674,61,61
1543798578,62,62
1543800525,63,63
1543802498,63,63
1543804361,59,59
1543806290,60,60
1543808173,59,59
1543810367,61,61
1543816090,60,60
1543820186,59,59
1543822124,58,58
1543824085,59,59
1543825946,58,58
1543827873,57,57
1543829791,57,57
1543831967,58,58
1543835796,58,58
1543837946,58,58
1543839887,59,59
1543841772,60,60
1543843953,61,61
1543847803,61,61
1543849968,61,61
1543851874,59,59
1543853800,57,57
1543855709,56,56
1543857627,58,58
1543859547,59,59
1543861481,58,58
1543863376,58,58
1543865677,58,58
