DateTime,Entries,UniqueIPs
1543197700,10881,10881
1543199557,10627,10627
1543201468,10624,10624
1543203385,10626,10626
1543205324,10628,10628
1543207261,10631,10631
1543209159,10628,10628
1543211059,10625,10625
1543213003,10630,10630
1543214900,10624,10624
1543217091,10627,10627
1543218994,10626,10626
1543221145,10619,10619
1543223057,10612,10612
1543224971,11272,11272
1543226911,11511,11511
1543228818,11466,11466
1543230634,11154,11154
1543232440,11053,11053
1543234364,11046,11046
1543236257,14365,14365
1543238185,13909,13909
1543240098,13303,13303
1543242039,13264,13264
1543244200,13105,13105
1543246529,13091,13091
1543248534,12825,12825
1543250417,12568,12568
1543252588,11629,11629
1543254757,10746,10746
1543256674,10065,10065
1543258601,9414,9414
1543260925,8513,8513
1543262911,8482,8482
1543264825,8805,8805
1543266749,8804,8804
1543268681,8799,8799
1543270593,8794,8794
1543272501,8802,8802
1543274425,8814,8814
1543276357,8810,8810
1543278291,8809,8809
1543280176,8824,8824
1543282108,8826,8826
1543284128,8835,8835
1543286103,8840,8840
1543288123,8858,8858
1543290028,8864,8864
1543291950,8872,8872
1543293865,8876,8876
1543295789,8880,8880
1543297715,8891,8891
1543299665,8894,8894
1543301558,8898,8898
1543303477,8902,8902
1543305397,9231,9231
1543307301,9229,9229
1543309309,9234,9234
1543311141,8802,8802
1543313083,8355,8355
1543314982,8351,8351
1543316931,8355,8355
1543318849,8338,8338
1543320767,8342,8342
1543322676,2895,2895
1543324608,3845,3845
1543326529,5316,5316
1543328453,6283,6283
1543330358,6282,6282
1543332515,6296,6296
1543334494,6302,6302
1543336357,6314,6314
1543338526,6320,6320
1543340435,6329,6329
1543342362,6340,6340
1543344510,6346,6346
1543346464,6353,6353
1543348514,6354,6354
1543350488,6353,6353
1543352690,6044,6044
1543354841,6049,6049
1543356743,6051,6051
1543358683,6049,6049
1543360583,6040,6040
1543362526,6043,6043
1543364421,6030,6030
1543366347,6022,6022
1543368365,6018,6018
1543370501,6021,6021
1543372354,6012,6012
1543374302,6005,6005
1543376174,5991,5991
1543378117,5991,5991
1543380024,5979,5979
1543381972,5970,5970
1543383865,5958,5958
1543385807,5947,5947
1543387968,5943,5943
1543389877,5936,5936
1543391780,5933,5933
1543393964,6376,6376
1543395879,6404,6404
1543397809,6299,6299
1543399730,6397,6397
1543401632,6382,6382
1543403567,6384,6384
1543405472,6399,6399
1543407395,6443,6443
1543409301,6493,6493
1543411230,6506,6506
1543413162,6532,6532
1543415088,6533,6533
1543417314,6475,6475
1543419394,5250,5250
1543421387,6729,6729
1543423222,6725,6725
1543425163,6706,6706
1543427080,6712,6712
1543428994,6709,6709
1543431153,6712,6712
1543433063,6761,6761
1543435000,6766,6766
1543436920,6764,6764
1543438909,6773,6773
1543440764,6780,6780
1543442926,6782,6782
1543444838,6787,6787
1543446751,6793,6793
1543448663,6798,6798
1543450827,6807,6807
1543452767,6812,6812
1543454677,6815,6815
1543456602,6810,6810
1543458517,6823,6823
1543461404,6832,6832
1543463297,6839,6839
1543465218,6842,6842
1543467149,6851,6851
1543469316,6844,6844
1543472207,6860,6860
1543474136,6908,6908
1543476038,6912,6912
1543477960,6906,6906
1543479885,6566,6566
1543481778,6471,6471
1543483971,6449,6449
1543485922,6432,6432
1543487797,6409,6409
