DateTime,AddedIPs,RemovedIPs
1533111141,1284,61
1533133079,415,333
1533155066,122,15
1533177136,8,1
1533199006,8,19
1533221102,5,1668
1533243395,3,122
1533265266,6,119
1533287313,6,177
1533309373,332,246
1533331251,57,3
1533353297,5,3
1533375138,16,1
1533397233,6,168
1533419630,26,3
1533441618,10,7
1533463481,66,8
1533485326,5,3
1533507371,26,6
1533529234,6,1
1533551408,1026,383
1533573405,22,2
1533595550,188,0
1533617541,116,3
1533639621,12,59
1533661867,71,241
1533683795,1303,65
1533705869,9,100
1533727710,29,488
1533749626,6,3
1533771646,5,33
1533793694,4,112
1533815534,1168,564
1533837616,26,3
1533859482,4,50
1533881805,2,169
1533903987,0,2
1533925940,2,2
1533948013,1,2
1533969875,2,29
1533991927,125,0
1534013790,154,319
1534035663,1,14
1534057720,4,47
1534079789,20,28
1534101880,24,52
1534123955,71,75
1534145798,135,151
1534168120,21,45
1534190441,3,62
1534212536,29,0
1534234578,4,171
1534256767,4,6
1534278733,1,69
1534300585,360,1317
1534322553,159,37
1534344515,75,2
1534366594,168,4
1534388680,4,1
1534410738,19,147
1534432588,3,1330
1534454673,4,41
1534477113,9,3
1534499067,9,7
1534521178,325,7
1534543234,360,6
1534565422,108,4
1534587395,0,11
1534609461,4,160
1534631309,52,10
1534653391,4,3
1534675461,179,12
1534697308,8,6
1534719214,316,62
1534741477,6,38
1534763584,9,13
1534785608,146,997
1534807452,3,12
1534829320,11,14
1534851609,279,7
1534873470,180,9
1534895579,26,3
1534917670,12,361
1534939712,45,50
1534961643,3,81
1534983628,4,2
1535005471,403,16
1535027551,3,2
1535049615,819,2
1535071718,5,84
1535093795,87,6
1535115870,151,38
1535137734,45,365
1535159778,2,10
1535181627,3,110
1535203961,78,2
1535226277,8,88
1535248364,12,37
1535270205,7,198
1535292261,192,7
1535314167,57,2
1535336182,11,326
1535358270,23,9
1535380111,29,17
1535402193,4,5
1535424260,1,12
1535446121,3,97
1535468188,3,517
1535490436,19,11
1535512361,3,13
1535534421,3,9
1535556484,85,43
1535578352,1311,15
1535600429,6,6
1535622278,3,420
1535644341,7,25
1535666192,9,6
1535688036,32,57
