DateTime,AddedIPs,RemovedIPs
1543199558,5,8
1543201470,2,3
1543203386,6,3
1543205325,4,2
1543207262,2,8
1543209160,4,7
1543211059,2,5
1543213003,3,1
1543214901,2,0
1543217091,9,1
1543218994,2,2
1543221145,7,3
1543223058,4,10
1543224971,2,16
1543226911,9,16
1543228818,5,8
1543230634,6,6
1543232440,4,4
1543234364,11,10
1543236257,13,16
1543238185,8,10
1543240099,6,7
1543242039,11,12
1543244200,18,5
1543246530,10,14
1543248535,20,16
1543250417,2,10
1543252588,11,14
1543254757,6,9
1543256675,3,6
1543258615,9,13
1543260925,5,8
1543262912,7,4
1543264825,10,5
1543266749,6,9
1543268681,4,7
1543270593,2,13
1543272501,3,8
1543274425,17,5
1543276358,24,1
1543278292,26,4
1543280177,3,13
1543282108,3,22
1543284128,8,15
1543286104,6,5
1543288123,10,5
1543290029,4,4
1543291951,6,5
1543293865,5,2
1543295789,2,3
1543297715,1,2
1543299666,9,3
1543301558,14,2
1543303477,17,12
1543305397,13,3
1543307301,2,5
1543309322,2,5
1543311153,1,2
1543313084,3,3
1543314982,1,11
1543316932,16,6
1543318850,15,6
1543320767,17,11
1543322677,25,17
1543324608,18,6
1543326529,26,6
1543328453,17,8
1543330359,22,14
1543332516,16,8
1543334497,17,16
1543336357,15,2
1543338526,16,11
1543340435,3,6
1543342362,2,4
1543344520,3,6
1543346465,1,6
1543348514,5,6
1543350489,6,11
1543352691,2,8
1543354842,4,3
1543356743,3,3
1543358683,9,3
1543360583,6,15
1543362526,9,24
1543364422,9,24
1543366347,15,7
1543368365,8,5
1543370504,14,6
1543372355,15,5
1543374310,13,6
1543376174,9,4
1543378117,15,2
1543380024,20,6
1543381973,19,2
1543383865,13,1
1543385807,16,6
1543387969,10,11
1543389877,16,13
1543391780,10,8
1543393965,18,3
1543395879,8,1
1543397809,10,3
1543399730,3,2
1543401633,6,6
1543403567,9,18
1543405472,12,16
1543407396,8,21
1543409302,4,23
1543411230,4,16
1543413163,12,25
1543415089,9,17
1543417315,8,21
1543419394,6,19
1543421387,5,16
1543423222,8,16
1543425164,4,13
1543427081,10,2
1543428994,3,3
1543431153,8,3
1543433063,7,1
1543435001,6,4
1543436921,5,6
1543438915,7,2
1543440765,4,4
1543442926,9,7
1543444838,6,9
1543446751,5,5
1543448663,10,6
1543450828,5,14
1543452768,7,16
1543454678,15,9
1543456603,3,17
1543458517,5,13
1543461404,6,15
1543463298,9,15
1543465219,11,25
1543467149,9,17
1543469316,7,17
1543472208,12,21
1543474136,3,11
1543476038,3,12
1543477961,6,13
1543479885,7,19
1543481778,14,9
1543483971,32,14
1543485923,38,4
1543487798,31,5
1543489730,20,11
1543491647,21,12
1543493568,11,9
1543495465,12,7
1543497398,19,5
1543499318,9,7
1543501223,17,11
1543503165,15,6
1543505336,18,10
1543507311,19,3
1543509160,25,7
1543511106,10,6
1543512996,10,9
1543514929,14,2
1543516842,9,7
1543518749,10,4
1543520657,11,6
1543522606,9,7
1543524512,5,6
1543526441,6,3
1543528339,6,7
1543530293,10,7
1543532215,3,4
1543534123,8,10
1543536063,4,4
1543537946,8,4
1543539903,9,8
1543541774,3,8
1543543962,5,4
1543545855,3,5
1543547805,2,4
1543549724,5,6
1543551633,5,11
1543553561,3,8
1543555478,5,6
1543557399,3,7
1543559316,2,7
1543561282,0,4
1543563145,3,4
1543565063,1,6
1543567004,4,3
1543568930,2,24
1543570845,5,34
1543573012,3,33
1543574897,2,25
1543576843,3,19
1543578753,0,15
1543580678,2,13
1543582597,1,17
1543584518,3,20
1543586473,2,13
1543588346,4,20
1543590288,0,16
1543592188,1,21
1543594168,2,25
1543596021,2,23
1543597941,4,13
1543599885,7,14
1543601787,5,13
1543603716,1,10
1543605622,1,13
1543607559,6,18
1543609696,4,11
1543611883,6,8
1543614041,7,7
1543615976,8,10
1543617869,6,3
1543619794,2,5
1543621967,6,6
1543623862,5,9
1543625802,2,6
1543627731,10,8
1543629734,2,5
1543631783,3,4
1543633722,7,0
1543635657,4,3
1543637540,1,6
1543639477,7,3
1543641382,3,5
1543643304,4,4
1543645235,4,0
1543647177,3,2
1543649069,2,2
1543651009,4,0
1543652891,4,3
1543654919,2,3
1543656767,3,4
1543658669,0,2
1543660598,3,2
1543662523,4,3
1543664435,3,1
1543666366,4,1
1543668279,2,1
1543670208,2,2
1543672339,6,2
1543674277,2,5
1543676193,2,2
1543678094,2,3
1543680086,3,1
1543681954,2,3
1543683862,7,3
1543685800,9,10
1543687733,6,3
1543689635,9,1
1543691607,7,2
1543693459,3,2
1543695403,6,4
1543697319,6,4
1543699237,6,8
1543701157,6,13
1543703058,3,8
1543705007,0,6
1543706917,5,1
1543708909,3,8
1543710871,4,3
1543712688,3,3
1543714602,2,6
1543716529,3,2
1543718431,3,3
1543720369,3,6
1543722271,3,4
1543724197,4,4
1543726131,5,8
1543728028,1,5
1543729938,1,2
1543731872,2,3
1543733797,6,6
1543735728,1,2
1543737716,3,1
1543739541,3,3
1543741484,0,4
1543743418,3,2
1543745327,1,1
1543747235,5,3
1543749161,7,5
1543751076,1,1
1543753483,4,7
1543755400,2,2
1543757303,4,5
1543759308,3,5
1543761148,5,2
1543763091,2,1
1543764976,5,4
1543766969,4,3
1543768840,3,0
1543770790,1,9
1543772682,5,10
1543774607,4,5
1543776741,4,8
1543778675,1,3
1543780890,6,4
1543782989,4,8
1543784927,2,7
1543786838,2,5
1543788743,2,6
1543790682,1,1
1543792610,3,3
1543794761,3,4
1543796675,3,3
1543798579,6,3
1543800527,2,3
1543802502,5,2
1543804362,0,1
