DateTime,AddedIPs,RemovedIPs
1540833389,0,2
1540835579,0,1
1540843746,1,0
1540847835,1,1
1540849723,1,0
1540853680,0,1
1540859572,0,1
1540863374,0,1
1540897003,0,1
1540899145,1,0
1540900997,1,1
1540902988,1,0
1540915293,0,1
1540923170,1,0
1540931081,0,1
1540932999,0,1
1540934934,1,0
1540936919,1,1
1540938754,1,0
1540959880,1,0
1540985063,0,1
1540989006,0,2
1541008894,0,1
1541016768,1,0
1541020618,0,1
1541024666,0,2
1541045829,0,1
1541069565,1,0
1541103154,0,1
1541146851,1,0
1541148749,1,0
1541156735,0,1
1541192661,1,0
1541235691,0,2
1541239475,1,0
1541251008,1,0
1541278106,0,1
1541324903,1,1
1541401017,1,0
1541414685,0,2
1541459565,1,0
1541469156,1,0
1541473004,1,0
1541480698,1,0
1541484537,1,0
1541486446,0,1
1541505943,2,0
1541512102,1,0
1541514027,1,0
1541545731,0,1
1541553576,1,0
1541555543,0,1
1541563303,0,1
1541567092,0,1
1541569251,0,1
1541573083,2,0
1541574993,1,0
1541582670,1,0
1541592289,0,2
1541598041,0,1
1541600106,0,1
1541608102,1,0
1541611949,1,0
1541613893,1,0
1541615803,3,0
1541629475,3,0
1541639071,0,1
1541644817,1,0
1541646760,1,0
1541654415,1,0
1541656346,1,0
1541658274,0,2
1541664076,1,0
1541667951,0,1
1541669771,1,0
1541679888,1,0
1541691622,1,0
1541693542,0,1
1541695460,1,0
1541697505,1,0
1541699544,0,2
1541701469,0,2
1541703378,1,1
1541705322,1,0
1541713002,1,0
1541715169,0,2
1541717078,0,1
1541732510,0,1
1541734365,0,1
1541742278,0,2
1541748038,0,1
1541749935,0,1
1541757858,0,1
1541766032,0,1
1541777568,0,1
1541781648,0,1
1541785481,0,1
1541790125,0,1
1541792185,0,1
1541796027,0,1
1541882931,1,0
1541897334,1,0
1541920628,1,0
1541969321,0,1
1542006507,0,1
1542021884,0,1
1542073943,1,0
1542137073,1,0
1542162279,0,1
1542199697,1,0
1542223455,0,1
1542284675,0,1
1542299240,1,0
1542385130,0,1
1542402281,1,0
1542409942,1,0
1542427265,1,0
1542489639,0,1
1542497571,0,1
1542511009,0,1
1542526345,1,0
1542535940,2,0
1542541697,1,0
1542557078,1,0
1542570512,1,0
1542613001,0,1
1542622587,0,1
1542626428,1,0
1542643979,0,1
1542655958,1,0
1542661731,1,0
1542663633,187,0
1542665610,498,0
1542667475,455,0
1542669404,470,1
1542671319,488,0
1542673301,515,0
1542675151,499,0
1542677087,531,0
1542678985,526,0
1542680939,529,0
1542682951,457,0
1542684753,384,0
1542686668,350,0
1542688581,277,0
1542690515,234,0
1542692421,154,0
1542694342,125,0
1542696263,132,0
1542698189,86,0
1542700101,67,0
1542702261,63,2
1542704189,36,0
1542706097,26,0
1542708100,42,0
1542709972,14,0
1542711884,17,1
1542713791,20,0
1542715915,11,0
1542717879,18,0
1542719788,16,0
1542721712,23,0
1542723626,9,0
1542725530,9,0
1542727453,27,0
1542729386,17,0
1542731303,10,0
1542733305,17,0
1542735138,16,0
1542737085,6,0
1542739536,16,0
1542741396,10,0
1542743294,14,1
1542745461,9,0
1542747369,6,0
1542749433,12,43
1542751488,12,498
1542753382,4,485
1542755348,6,479
1542757230,12,471
1542759166,18,505
1542761088,3,505
1542763013,3,513
1542764915,4,553
1542766821,8,500
1542768752,6,479
1542770905,47,248
1542772892,183,215
1542774764,200,144
1542776668,136,140
1542778596,145,81
1542780531,116,72
1542782441,67,66
1542784366,58,51
1542786388,79,39
1542788236,28,30
1542790158,24,18
1542792035,45,16
1542793951,12,19
1542795860,41,5
1542797795,13,12
1542799715,26,12
1542802602,95,13
1542804499,13,4
1542806432,50,9
1542808340,19,10
1542810273,5,3
1542812171,7,3
1542814111,4,16
1542816059,6,8
1542817965,8,8
1542819884,16,9
1542821774,5,11
1542823881,6,2
1542825857,2556,12
1542827776,691,10
1542829696,397,14
1542831888,265,9
1542833780,154,6
1542835706,129,11
1542837690,71,12
1542839545,59,5
1542841467,44,6
1542843391,37,7
1542845568,36,23
1542847475,19,3
1542849408,17,3
1542851296,18,4
1542853238,9,8
1542855151,11,12
1542857075,5,215
1542858976,11,331
1542860912,9,340
1542862889,19,249
1542864758,6,223
1542866684,3,184
1542868832,3,148
1542870772,2,100
1542872675,4,104
1542874585,2,54
1542876500,2,51
1542878435,4,57
1542880362,3,30
1542882261,1,51
1542884207,1,24
1542886354,2,39
1542888280,2,92
1542890179,0,26
1542892103,3,9
1542894020,1,71
1542895946,1,19
1542897882,0,11
1542900066,0,17
1542901940,0,14
1542903926,4,12
1542905796,2,17
1542907691,0,13
1542909689,1,9
1542911805,0,1997
1542913731,1072,537
1542915641,613,381
1542917550,470,223
1542919457,339,136
1542921396,261,117
1542923317,213,83
1542925220,134,55
1542927169,129,44
1542929063,74,34
1542930992,62,32
1542933148,55,19
1542935077,55,11
1542936980,28,17
1542938910,40,11
1542940821,27,7
1542942737,17,6
1542944676,17,10
1542946603,17,10
1542948739,12,15
1542950667,12,6
1542952900,19,5
1542954751,7,3
1542956681,15,1
1542958580,18,3
1542960548,10,1
1542962419,6,2
1542964365,3,3
1542966270,7,1
1542968182,10,1
1542970102,4,0
1542972025,3,1
1542973939,7,1
1542975885,4,0
1542977797,2,0
1542979702,4,1
1542982602,254,1
1542984493,124,0
1542986701,26,0
1542988582,18,0
1542990506,24,2
1542992505,11,3
1542994366,13,1
1542996379,8,1
1542998183,8,304
1543000123,6,1287
1543002023,15,742
1543003954,8,535
1543005881,8,368
1543007795,12,278
1543009703,16,226
1543011632,14,145
1543013869,17,148
1543015972,9,77
1543017862,7,62
1543019807,4,58
1543021729,13,54
1543023645,219,32
1543025573,403,41
1543027486,225,28
1543029415,194,16
1543031317,153,16
1543033246,146,19
1543035167,300,13
1543037077,378,11
1543038980,86,16
1543040914,78,10
1543042894,42,13
1543044871,15,18
1543046684,3,11
1543048595,20,9
1543050746,11,4
1543052668,6,8
1543054573,14,10
1543056893,17,6
1543058901,7,6
1543060913,5,4
1543062764,3,1
1543064671,11,7
1543066827,6,3
1543068747,1,159
1543070681,102,107
1543072583,86,8
1543074499,17,27
1543076420,15,6
1543078343,30,22
1543080263,16,9
1543082178,9,10
1543084102,5,7
1543086190,19,8
1543088178,11,14
1543090120,8,7
1543092043,5,8
1543093948,19,14
1543095884,7,15
1543097781,3,12
1543099708,7,11
1543101626,17,8
1543103546,8,9
1543105460,5,5
1543107375,48,11
1543109315,420,16
1543111315,546,381
1543113392,641,225
1543115327,436,165
1543117221,315,117
1543119148,253,123
1543121084,222,179
1543122996,239,371
1543124916,357,91
1543126820,233,69
1543128737,175,45
1543130671,169,17
1543132579,122,4
1543134744,85,17
1543136683,58,10
1543138607,102,5
1543140525,74,11
1543142448,59,11
1543144357,38,11
1543146280,57,7
1543148193,44,4
1543150106,28,8
1543152045,36,9
1543153942,39,1
1543155896,29,62
1543157794,64,140
1543159700,118,29
1543162634,103,21
1543164497,37,24
1543166434,32,19
1543168350,33,9
1543170274,49,6
1543172172,38,16
1543174369,23,12
1543176275,23,8
1543178203,27,3
1543180125,29,14
1543182036,15,8
1543183946,12,4
1543185856,27,7
1543188040,17,17
1543189940,14,9
1543191877,19,5
1543193896,21,60
1543195715,12,406
1543197701,14,642
1543199558,76,563
1543201471,137,433
1543203386,140,303
1543205325,141,233
1543207262,121,210
1543209160,101,234
1543211060,149,307
1543213003,189,203
1543214901,135,155
1543217092,1639,155
1543218995,0,98
