DateTime,Entries,UniqueIPs
1543150107,75,75
1543152047,75,75
1543153943,76,76
1543155897,79,79
1543157795,84,84
1543159702,87,87
1543162635,88,88
1543164498,91,91
1543166435,96,96
1543168352,97,97
1543170276,97,97
1543172173,98,98
1543174370,100,100
1543176280,100,100
1543178204,100,100
1543180126,101,101
1543182037,107,107
1543183948,103,103
1543185857,105,105
1543188041,108,108
1543189941,107,107
1543191878,105,105
1543193898,106,106
1543195717,106,106
1543197702,107,107
1543199560,107,107
1543201473,108,108
1543203387,112,112
1543205327,115,115
1543207264,116,116
1543209162,117,117
1543211062,122,122
1543213005,126,126
1543214902,125,125
1543217093,128,128
1543218996,126,126
1543221147,129,129
1543223061,131,131
1543224973,133,133
1543226913,134,134
1543228820,133,133
1543230647,132,132
1543232650,135,135
1543234571,135,135
1543236511,133,133
1543238425,130,130
1543240331,129,129
1543242251,127,127
1543244208,125,125
1543246554,123,123
1543248537,124,124
1543250419,123,123
1543252590,116,116
1543254759,113,113
1543256677,111,111
1543258618,109,109
1543260927,107,107
1543262914,104,104
1543264827,103,103
1543266751,102,102
1543268683,97,97
1543270595,98,98
1543272503,97,97
1543274428,96,96
1543276360,97,97
1543278294,100,100
1543280178,97,97
1543282110,98,98
1543284130,95,95
1543286105,94,94
1543288125,93,93
1543290030,90,90
1543291953,85,85
1543293867,81,81
1543295791,78,78
1543297717,71,71
1543299668,69,69
1543301560,68,68
1543303479,62,62
1543305399,62,62
1543307302,59,59
1543309333,54,54
1543311155,52,52
1543313085,50,50
1543314984,51,51
1543316933,47,47
1543318851,44,44
1543320769,1251,1251
1543322678,1249,1249
1543326531,1248,1248
1543330361,1248,1248
1543332518,1250,1250
1543334505,1252,1252
1543336359,1254,1254
1543338528,1254,1254
1543340437,1256,1256
1543346467,1261,1261
1543348522,1264,1264
1543350490,1265,1265
1543352694,1268,1268
1543354844,1268,1268
1543356745,1275,1275
1543358685,1272,1272
1543360585,1272,1272
1543362528,1274,1274
1543364423,1273,1273
1543366349,1273,1273
1543368378,1273,1273
1543370513,1275,1275
1543372356,1277,1277
1543374342,1280,1280
1543376176,1282,1282
1543378119,1286,1286
1543381974,1289,1289
1543383867,1294,1294
1543385809,1295,1295
1543387971,1298,1298
1543389879,1300,1300
1543391782,1300,1300
1543393966,1306,1306
1543395883,1305,1305
1543397813,2658,2658
1543399732,5693,5693
1543401634,8093,8093
1543403569,8981,8981
1543405475,8949,8949
1543407399,8157,8157
1543409303,8161,8161
1543411232,8164,8164
1543413166,8167,8167
1543415091,8172,8172
1543417318,8176,8176
1543419396,8182,8182
1543421389,8184,8184
1543423224,8187,8187
1543425172,8193,8193
1543427082,8192,8192
1543428996,8196,8196
1543431155,8202,8202
1543433065,8203,8203
1543435003,8205,8205
1543436923,8212,8212
1543438919,8214,8214
1543440766,8217,8217
1543442928,8221,8221
1543444840,8226,8226
1543446753,8231,8231
1543448665,8235,8235
1543450830,8236,8236
1543452769,8237,8237
1543454679,8240,8240
1543456605,8244,8244
1543458519,8247,8247
1543461406,8249,8249
1543465220,8248,8248
1543479887,8247,8247
1543483973,7286,7286
1543485925,3907,3907
1543487799,1357,1357
1543489731,117,117
1543491649,126,126
1543493569,131,131
1543495467,132,132
1543497412,137,137
1543499320,148,148
1543501224,154,154
1543503177,157,157
1543505337,159,159
1543507316,170,170
1543509162,174,174
1543511109,179,179
