DateTime,AddedIPs,RemovedIPs
1543197702,61,62
1543199559,55,45
1543201472,53,58
1543203387,58,60
1543205326,57,56
1543207263,64,54
1543209161,61,56
1543211061,56,54
1543213005,61,53
1543214902,70,60
1543217093,72,69
1543218996,59,31
1543221147,54,62
1543223061,46,54
1543224973,46,33
1543226913,45,40
1543228820,49,51
1543230647,46,47
1543232650,50,53
1543234571,45,60
1543236511,48,49
1543238424,14,54
1543240330,1,35
1543242251,0,51
1543244208,0,60
1543246553,0,75
1543248537,0,54
1543250419,1,59
1543252590,0,62
1543254759,0,73
1543256677,0,65
1543258618,1,64
1543260927,1,81
1543262914,1,51
1543264827,0,76
1543266751,0,71
1543268683,23,69
1543270595,67,55
1543272502,61,46
1543274427,58,54
1543276359,70,53
1543278293,71,49
1543280178,60,43
1543282110,20,53
1543284130,29,69
1543286105,43,70
1543288125,40,77
1543290030,5,90
1543291952,0,75
1543293867,1,92
1543295790,0,77
1543297716,0,76
1543299667,0,92
1543301560,0,79
1543303479,0,91
1543305399,0,84
1543307302,0,81
1543309332,0,75
1543311155,0,80
1543313085,0,74
1543314983,1,65
1543316933,0,81
1543318851,0,70
1543320768,0,73
1543322678,1,68
1543324610,0,26
1543326531,0,1
1543330360,69,0
1543332517,103,1
1543334504,78,0
1543336359,96,0
1543338528,94,1
1543340436,80,0
1543342364,82,0
1543344522,72,1
1543346466,80,0
1543348522,91,2
1543350490,80,0
1543352693,84,0
1543354843,66,21
1543356745,86,76
1543358684,66,70
1543360584,70,63
1543362528,76,65
1543364423,68,83
1543366349,82,71
1543368378,80,25
1543370512,66,39
1543372356,68,42
1543374337,75,38
1543376175,76,6
1543378118,66,0
1543380025,65,0
1543381974,56,0
1543383867,52,0
1543385809,68,0
1543387970,80,0
1543389879,58,0
1543391781,70,0
1543393966,85,0
1543395882,44,0
1543397812,45,0
1543399732,44,0
1543401634,56,0
1543403569,63,0
1543405474,69,0
1543407397,61,0
1543409303,51,1
1543411232,52,0
1543413165,41,0
1543415090,57,2
1543417318,54,54
1543419396,53,60
1543421389,56,49
1543423223,57,66
1543425165,55,61
1543427082,55,54
1543428996,57,46
1543431155,57,47
1543433065,44,54
1543435002,59,58
1543436922,45,47
1543438918,51,44
1543440766,45,45
1543442927,62,53
1543444839,49,50
1543446752,55,40
1543448664,48,52
1543450829,57,66
1543452769,50,56
1543454679,62,59
1543456604,48,50
1543458519,48,47
1543461405,84,85
1543463299,0,46
1543465220,0,50
1543467150,0,40
1543469317,0,60
1543472209,0,82
1543474137,1,62
1543476039,0,56
1543477962,1,69
1543479886,0,62
1543481795,0,55
1543483972,1,63
1543485925,0,50
1543487799,41,52
1543489731,39,63
1543491648,47,79
1543493569,34,62
1543495466,42,64
1543497412,28,55
1543499319,40,43
1543501224,44,58
1543503177,45,61
1543505337,50,76
1543507316,44,63
1543509161,34,66
1543511108,44,74
1543512997,42,70
1543514930,49,68
1543516843,52,62
1543518750,42,66
1543520658,46,71
1543522607,39,68
1543524513,45,68
1543526443,44,65
1543528340,41,73
1543530294,50,84
1543532216,39,76
1543534124,50,60
1543536081,40,75
1543537947,47,78
1543539905,31,75
1543541775,40,67
1543543963,46,83
1543545856,37,64
1543547806,55,70
1543549725,60,0
1543551634,37,0
1543553562,42,0
1543555479,43,0
1543557400,51,0
1543559317,52,0
1543561306,51,1
1543563146,40,0
1543565065,50,1
1543567004,50,0
1543568931,46,1
1543570846,68,0
1543573013,48,1
1543574899,41,60
1543576844,46,37
1543578754,42,46
1543580679,45,43
1543582598,48,32
1543584519,33,32
1543586485,34,48
1543588347,43,36
1543590290,41,49
1543592189,38,36
1543594169,50,36
1543596022,42,37
1543597942,37,40
1543599886,44,43
1543601788,40,48
1543603717,44,37
1543605623,57,49
1543607560,48,38
1543609697,41,39
1543611886,40,55
1543614042,44,40
1543615977,44,48
1543617870,51,33
1543619795,14,41
1543621968,0,38
1543623863,0,46
1543625804,0,27
1543627732,0,38
1543629739,1,52
1543631784,1,39
1543633723,0,42
1543635658,0,61
1543637542,0,42
1543639478,0,38
1543641384,0,43
1543643305,1,40
1543645236,0,54
1543647178,1,52
1543649070,0,45
1543651011,0,55
1543652892,1,51
1543654922,0,54
1543656770,10,63
1543658671,68,55
1543660600,65,59
1543662535,57,59
1543664437,60,44
1543666367,57,47
1543668280,56,52
1543670210,66,50
1543672341,65,50
1543674279,58,44
1543676194,71,44
1543678096,57,53
1543680104,73,38
1543681955,58,57
1543683864,67,51
1543685801,59,51
1543687734,59,59
1543689637,60,50
1543691609,56,64
1543693460,54,52
1543695413,62,50
1543697321,54,50
1543699238,67,53
1543701159,56,49
1543703059,54,65
1543705009,67,44
1543706918,44,1
1543708935,59,0
1543710875,54,0
1543712690,51,0
1543714603,58,0
1543716531,46,1
1543718433,52,2
1543720370,54,0
1543722273,49,0
1543724198,42,0
1543726132,52,0
1543728029,54,0
1543729940,44,1
1543731873,53,0
1543733798,55,1
1543735729,52,0
1543737717,54,1
1543739554,42,1
1543741488,46,0
1543743420,42,15
