DateTime,AddedIPs,RemovedIPs
1543199581,6,12
1543201476,10,6
1543203389,11,13
1543205328,12,8
1543207267,8,14
1543209163,7,12
1543211063,6,11
1543213007,8,6
1543214904,11,4
1543217094,15,6
1543218997,7,5
1543221148,15,10
1543223063,10,20
1543224975,6,19
1543226914,13,24
1543228822,9,17
1543230649,10,16
1543232651,9,15
1543234573,14,13
1543236512,16,19
1543238426,16,21
1543240332,12,12
1543242253,14,16
1543244209,23,14
1543246555,19,28
1543248540,21,28
1543250421,10,16
1543252591,15,17
1543254764,12,14
1543256680,8,12
1543258619,10,20
1543260928,11,14
1543262921,11,14
1543264828,16,12
1543266753,14,16
1543268684,12,13
1543270597,14,19
1543272504,6,18
1543274429,20,13
1543276361,33,12
1543278295,29,6
1543280179,7,23
1543282112,7,32
1543284131,13,22
1543286106,19,5
1543288126,16,14
1543290031,9,12
1543291954,9,14
1543293868,6,9
1543295792,7,7
1543297718,7,4
1543299669,14,10
1543301561,18,12
1543303481,24,16
1543305400,15,7
1543307303,5,13
1543309335,7,14
1543311157,6,6
1543313086,5,7
1543314985,8,15
1543316935,19,14
1543318852,22,11
1543320770,29,17
1543322680,31,20
1543324611,19,15
1543326533,38,11
1543328456,24,12
1543330362,36,21
1543332519,31,14
1543334508,20,21
1543336360,19,10
1543338529,23,19
1543340438,7,12
1543342367,8,6
1543344523,10,8
1543346468,5,14
1543348523,9,10
1543350492,16,14
1543352696,8,12
1543354845,5,15
1543356747,6,11
1543358686,12,7
1543360586,10,18
1543362530,10,29
1543364424,10,31
1543366350,16,11
1543368380,12,8
1543370514,18,13
1543372357,19,15
1543374347,23,12
1543376177,15,8
1543378120,23,4
1543380026,22,7
1543381976,23,9
1543383869,18,7
1543385811,20,9
1543387972,13,17
1543389880,18,21
1543391783,13,9
1543393967,24,7
1543395885,12,3
1543397815,14,17
1543399733,5,5
1543401635,10,12
1543403571,12,22
1543405476,19,22
1543407401,12,32
1543409304,6,29
1543411233,9,17
1543413168,14,36
1543415091,13,26
1543417320,13,44
1543419404,12,27
1543421390,11,21
1543423225,12,20
1543425173,8,20
1543427083,15,6
1543428997,7,8
1543431157,13,7
1543433067,12,8
1543435004,13,7
1543436924,8,13
1543438920,8,9
1543440769,6,7
1543442929,13,10
1543444841,9,14
1543446754,6,9
1543448666,12,8
1543450831,9,15
1543452771,10,16
1543454680,21,10
1543456606,7,21
1543458520,13,15
1543461408,8,28
1543463300,15,21
1543465223,15,29
1543467152,13,20
1543469319,10,24
1543471271,10,16
1543473139,8,20
1543475068,9,16
1543476987,10,11
1543478920,9,26
1543480810,11,19
1543482749,24,13
1543484672,47,14
1543486815,43,11
1543488768,33,14
1543490658,22,10
1543492573,20,20
1543494494,18,12
1543497414,27,13
1543499321,15,10
1543501225,25,14
1543503178,19,11
1543505339,22,14
1543507317,24,7
1543509162,28,15
1543511110,15,8
1543512998,13,16
1543514932,22,7
1543516844,9,12
1543518752,14,10
1543520659,16,13
1543522609,11,13
1543524514,7,6
1543526444,12,5
1543528341,8,11
1543530295,14,12
1543532218,6,7
1543534125,13,13
1543536108,8,7
1543537948,14,5
1543539907,11,15
1543541776,7,14
1543543964,13,7
1543545858,6,11
1543547808,8,5
1543549727,10,10
1543551636,6,15
1543553564,6,13
1543555481,7,8
1543557401,5,10
1543559318,9,10
1543561312,5,7
1543563148,3,5
1543565068,2,10
1543567006,9,8
1543568932,6,27
1543570848,7,42
1543573015,9,38
1543574902,6,31
1543576845,8,23
1543578756,4,23
1543580681,5,13
1543582599,5,20
1543584520,7,26
1543586491,4,18
1543588348,8,27
1543590292,6,23
1543592191,5,22
1543594170,3,32
1543596025,7,27
1543597943,7,17
1543599887,10,19
1543601790,8,18
1543603718,8,12
1543605625,2,18
1543607561,10,23
1543609698,8,15
1543611904,9,13
1543614043,12,10
1543615979,11,12
1543617872,10,7
1543619797,3,9
1543621970,8,10
1543623865,9,10
1543625805,2,13
1543627734,16,13
1543629742,7,10
1543631799,5,7
1543633725,11,6
1543635660,6,9
1543637543,5,8
1543639480,13,7
1543641386,9,6
1543643307,8,7
1543645237,8,4
1543647189,5,9
1543649072,7,2
1543651012,6,1
1543652894,7,5
1543654928,10,8
1543656771,8,9
1543658674,4,5
1543660601,4,8
1543662546,8,9
1543664438,5,7
1543666368,7,6
1543668282,5,3
1543670212,5,6
1543672342,19,4
1543674280,4,8
1543676196,13,8
1543678097,8,6
1543680107,7,1
1543681957,3,4
1543683866,12,7
1543685803,15,15
1543687736,10,3
1543689639,15,11
1543691611,312,5
1543693468,5,6
1543695415,11,6
1543697323,11,8
1543699240,10,11
1543701160,11,16
1543703061,9,11
1543705010,6,8
1543706919,11,3
1543708942,8,10
1543710877,9,5
1543712696,9,7
1543714604,14,10
1543716538,9,6
1543718434,6,5
1543720372,6,9
1543722275,7,6
1543724200,6,5
1543726134,9,15
1543728031,4,6
1543729942,6,8
1543731875,6,7
1543733800,9,8
1543735731,4,7
1543737718,10,2
1543739555,9,7
1543741501,5,11
1543743421,6,10
1543745330,8,7
1543747238,12,6
1543749164,12,9
1543751079,3,3
1543753486,10,13
1543755403,6,5
1543757306,10,9
1543759312,5,14
1543761151,9,5
1543763093,3,12
1543764979,9,10
1543766971,8,6
1543768843,4,3
1543770794,10,15
1543772686,14,15
1543774611,5,9
1543776744,7,42
1543778690,3,40
1543780895,10,7
1543782991,7,10
1543784929,6,11
1543786841,8,11
1543788745,8,12
1543790684,4,4
1543792626,9,8
1543794765,7,8
1543796678,3,9
1543798588,14,7
1543800534,11,9
1543802509,9,10
1543804378,8,7
1543806298,7,4
1543808177,13,10
1543810372,11,4
1543812272,9,7
1543814213,10,3
1543816104,11,3
1543818053,3,5
1543820190,8,3
1543822128,8,5
1543824098,9,9
1543825950,3,7
1543827879,15,6
1543829795,11,3
1543831972,8,22
1543833880,7,52
1543835800,4,13
1543837962,11,5
1543839891,4,7
1543841775,11,7
1543843957,12,9
1543845879,4,8
1543847807,6,8
1543849973,14,3
1543851878,16,9
1543853806,9,6
1543855713,9,5
1543857631,8,5
1543859551,7,11
1543861485,18,5
1543863380,6,3
1543865681,9,8
1543868238,13,10
1543870358,10,7
1543872274,16,7
1543874499,11,6
1543876364,9,6
1543878533,13,8
1543880924,17,7
1543882850,14,2
1543884767,17,11
1543886679,8,7
1543888604,10,5
1543890750,18,10
1543892940,9,11
1543894841,10,6
1543896767,11,11
1543898694,11,8
1543900605,12,8
1543902527,8,10
1543904444,8,2
1543906361,7,6
1543908276,9,7
1543910183,10,6
1543912114,12,3
1543914125,14,11
1543915943,7,8
1543917922,11,4
1543920044,23,58
1543921972,8,3
1543923880,12,3
1543926287,15,9
1543928211,14,11
1543930351,13,13
1543932279,11,4
1543934197,9,6
1543936374,14,11
1543938262,10,12
1543940430,16,10
1543942386,7,13
1543944269,13,7
1543946216,8,7
1543948115,9,16
1543950134,11,6
1543952229,11,9
1543954135,15,11
1543956158,8,10
1543958443,11,11
1543960360,10,9
1543962267,8,8
1543964231,9,8
1543966379,10,12
1543968310,11,8
1543970192,12,13
1543972352,17,10
1543974271,8,7
1543976214,7,14
1543978107,10,9
1543980026,10,7
1543982187,10,15
1543984125,15,9
1543986144,16,8
1543987947,8,4
1543989973,17,7
1543991810,13,6
1543993731,8,11
1543995634,6,6
1543997580,7,12
1543999706,10,8
1544001892,11,12
1544003799,14,7
1544005740,15,65
1544007718,10,3
1544009542,13,11
1544011726,16,11
1544013622,5,13
1544015808,8,17
1544017723,213,7
1544019660,13,9
1544021559,7,10
1544023599,14,8
1544025400,6,7
1544027565,8,8
1544029730,11,9
1544031638,10,7
1544033566,7,4
1544035461,14,10
1544037883,16,11
1544039774,10,14
1544041973,14,9
1544043865,9,5
1544046046,9,10
1544047964,12,14
1544049878,19,7
1544051784,8,11
1544053974,8,11
1544055877,10,9
1544057803,15,15
1544059970,13,9
1544061889,15,8
1544063809,12,3
1544065743,12,10
1544067890,8,13
1544069793,9,9
1544071714,12,11
1544073860,9,10
1544075804,9,10
1544077702,4,12
1544079889,7,13
1544082045,13,8
1544083980,11,5
1544085883,4,10
1544087809,12,10
1544089704,3,15
1544091656,15,29
1544093557,8,12
1544095498,9,11
1544097382,7,14
1544099339,7,5
1544101311,8,6
1544103151,7,89
1544105092,8,131
1544107009,9,8
1544108940,13,7
1544110837,17,13
1544112807,14,8
1544114688,15,9
1544116589,22,10
1544118523,25,7
1544120447,22,10
1544122509,13,11
1544124755,9,12
1544126689,12,9
1544128592,4,11
1544130542,27,10
1544132444,37,12
1544134372,38,25
1544136744,31,13
1544138929,35,4
1544140937,28,10
1544142762,16,10
1544144677,30,13
1544146611,26,12
1544148534,20,15
1544150444,22,11
1544152378,28,9
1544154379,11,10
1544156219,9,8
1544158121,9,11
1544160291,23,11
1544162214,18,192
1544164350,11,105
1544166301,8,7
1544168447,10,10
1544170345,6,9
1544172293,135,4
1544174212,1631,12
1544176124,1379,5
1544178050,2123,13
1544179943,2094,6
1544181867,10,8
