DateTime,Entries,UniqueIPs
1543199581,767,767
1543201476,771,771
1543203389,769,769
1543205328,773,773
1543207267,767,767
1543209163,762,762
1543211063,757,757
1543213007,759,759
1543214904,766,766
1543217094,775,775
1543218997,777,777
1543221148,782,782
1543223063,772,772
1543224975,759,759
1543226914,748,748
1543228822,740,740
1543230649,734,734
1543232651,728,728
1543234573,729,729
1543236512,726,726
1543238426,721,721
1543240332,721,721
1543242253,719,719
1543244209,728,728
1543246555,719,719
1543248540,712,712
1543250421,706,706
1543252591,704,704
1543254764,702,702
1543256680,698,698
1543258619,688,688
1543260928,685,685
1543262921,682,682
1543264828,686,686
1543266753,684,684
1543268684,683,683
1543270597,678,678
1543272504,666,666
1543274429,673,673
1543276361,694,694
1543278295,717,717
1543280179,701,701
1543282112,676,676
1543284131,667,667
1543286106,681,681
1543288126,683,683
1543290031,680,680
1543291954,675,675
1543293868,672,672
1543295792,672,672
1543297718,675,675
1543299669,679,679
1543301561,685,685
1543303481,693,693
1543305400,701,701
1543307303,693,693
1543309335,686,686
1543311157,686,686
1543313086,684,684
1543314985,677,677
1543316935,682,682
1543318852,693,693
1543320770,705,705
1543322680,716,716
1543324611,720,720
1543326533,747,747
1543328456,759,759
1543330362,774,774
1543332519,791,791
1543334508,790,790
1543336360,799,799
1543338529,803,803
1543340438,798,798
1543342367,800,800
1543344523,802,802
1543346468,793,793
1543348523,792,792
1543350492,794,794
1543352696,790,790
1543354845,780,780
1543356747,775,775
1543358686,780,780
1543360586,772,772
1543362530,753,753
1543364424,732,732
1543366350,737,737
1543368380,741,741
1543370514,746,746
1543372357,750,750
1543374347,761,761
1543376177,768,768
1543378120,787,787
1543380026,802,802
1543381976,816,816
1543383869,827,827
1543385811,838,838
1543387972,834,834
1543389880,831,831
1543391783,835,835
1543393967,852,852
1543395885,861,861
1543397815,858,858
1543399733,858,858
1543401635,856,856
1543403571,846,846
1543405476,843,843
1543407401,823,823
1543409304,800,800
1543411233,792,792
1543413168,770,770
1543415091,757,757
1543417320,726,726
1543419404,711,711
1543421390,701,701
1543423225,693,693
1543425173,681,681
1543427083,690,690
1543428997,689,689
1543431157,695,695
1543433067,699,699
1543435004,705,705
1543436924,700,700
1543438920,699,699
1543440769,698,698
1543442929,701,701
1543444841,696,696
1543446754,693,693
1543448666,697,697
1543450831,691,691
1543452771,685,685
1543454680,696,696
1543456606,682,682
1543458520,680,680
1543461408,660,660
1543463300,654,654
1543465223,640,640
1543467152,633,633
1543469319,619,619
1543471271,613,613
1543473139,601,601
1543475068,594,594
1543476987,593,593
1543478920,576,576
1543480810,568,568
1543482749,579,579
1543484672,612,612
1543486815,644,644
1543488768,663,663
1543490658,675,675
1543492573,675,675
1543494494,681,681
1543497414,695,695
1543499321,700,700
1543501225,711,711
1543503178,719,719
1543505339,727,727
1543507317,744,744
1543509162,757,757
1543511110,764,764
1543512998,761,761
1543514932,776,776
1543516844,773,773
1543518752,777,777
1543520659,780,780
1543522609,778,778
1543524514,779,779
1543526444,786,786
1543528341,783,783
1543530295,785,785
1543532218,784,784
1543534125,784,784
1543536108,785,785
1543537948,794,794
1543539907,790,790
1543541776,783,783
1543543964,789,789
1543545858,784,784
1543547808,787,787
1543549727,787,787
1543551636,778,778
1543553564,771,771
1543555481,770,770
1543557401,765,765
1543559318,764,764
1543561312,762,762
1543563148,760,760
1543565068,752,752
1543567006,753,753
1543568932,732,732
1543570848,697,697
1543573015,668,668
1543574902,643,643
1543576845,628,628
1543578756,609,609
1543580681,601,601
1543582599,586,586
1543584520,567,567
1543586491,553,553
1543588348,534,534
1543590292,517,517
1543592191,500,500
1543594170,471,471
1543596025,451,451
1543597943,441,441
1543599887,432,432
1543601790,422,422
1543603718,418,418
1543605625,402,402
1543607561,389,389
1543609698,382,382
1543611904,378,378
1543614043,380,380
1543615979,379,379
1543617872,382,382
1543619797,376,376
1543621970,374,374
1543623865,373,373
1543625805,362,362
1543627734,365,365
1543629742,362,362
1543631799,360,360
1543633725,365,365
1543635660,362,362
1543637543,359,359
1543639480,365,365
1543641386,368,368
1543643307,369,369
1543645237,373,373
1543647189,369,369
1543649072,374,374
1543651012,379,379
1543652894,381,381
1543654928,383,383
1543656771,382,382
1543658674,381,381
1543660601,377,377
1543662546,376,376
1543664438,374,374
1543666368,375,375
1543668282,377,377
1543670212,376,376
1543672342,391,391
1543674280,387,387
1543676196,392,392
1543678097,394,394
1543680107,400,400
1543681957,399,399
1543683866,404,404
1543685803,404,404
1543687736,411,411
1543689639,415,415
1543691611,722,722
1543693468,721,721
1543695415,726,726
1543697323,729,729
1543699240,728,728
1543701160,723,723
1543703061,721,721
1543705010,719,719
1543706919,727,727
1543708942,725,725
1543710877,729,729
1543712696,731,731
1543714604,735,735
1543716538,738,738
1543718434,739,739
1543720372,736,736
1543722275,737,737
1543724200,738,738
1543726134,732,732
1543728031,730,730
1543729942,728,728
1543731875,727,727
1543733800,728,728
1543735731,725,725
1543737718,733,733
1543739555,735,735
1543741501,729,729
1543743421,725,725
1543745330,726,726
1543747238,732,732
1543749164,735,735
1543751079,735,735
1543753486,732,732
1543755403,733,733
1543757306,734,734
1543759312,725,725
1543761151,729,729
1543763093,720,720
