DateTime,AddedIPs,RemovedIPs
1541107517,0,1
1541148753,0,2
1541152616,1,0
1541162676,1,0
1541166776,2,0
1541168685,7,0
1541170626,3,0
1541174985,2,0
1541176849,5,0
1541180670,1,0
1541182615,1,0
1541184746,1,0
1541186685,1,0
1541190751,3,0
1541192663,1,0
1541194601,1,0
1541200359,1,0
1541202270,1,0
1541209964,1,0
1541213801,1,0
1541220025,2,0
1541222003,1,0
1541223857,1,0
1541225788,1,0
1541239478,1,1
1541243313,1,0
1541247178,3,0
1541249078,0,1
1541251011,1,0
1541253020,5,2
1541254825,0,5
1541256745,0,4
1541258673,1,1
1541260605,0,2
1541262498,0,1
1541264490,0,4
1541266608,1,1
1541270428,0,2
1541272354,0,1
1541276205,1,3
1541278109,1,1
1541280029,1,1
1541281949,2,0
1541283910,1,0
1541287974,1,1
1541289889,0,1
1541293700,2,0
1541297814,1,1
1541301629,0,1
1541303558,1,0
1541305498,1,1
1541307401,0,2
1541309309,0,1
1541311298,0,1
1541317242,1,0
1541324905,1,1
1541330665,1,1
1541332610,0,1
1541334509,1,2
1541338364,0,2
1541340307,0,4
1541342185,1,0
1541344108,0,1
1541351800,0,1
1541355624,1,0
1541357547,1,0
1541359458,1,0
1541361259,2,1
1541363327,1,0
1541365505,1,2
1541367404,2,0
1541369332,1,2
1541371241,0,1
1541375074,0,1
1541379150,0,2
1541383296,0,1
1541388993,0,1
1541393355,0,1
1541402927,0,1
1541404886,2,0
1541408678,1,0
1541410843,0,1
1541416591,0,1
1541420448,2,1
1541424285,1,0
1541428343,0,1
1541432428,1,0
1541434395,1,0
1541438201,2,0
1541442037,0,1
1541443948,0,1
1541445894,0,1
1541447800,1,2
1541449725,0,1
1541451699,0,1
1541453561,0,2
1541455484,0,1
1541490258,0,2
1541494369,1,0
1541496289,0,1
1541505948,0,1
1541508040,0,1
1541510200,1,1
1541519789,0,2
1541523692,1,1
1541525832,0,1
1541533971,1,1
1541580744,0,1
1541586510,1,0
1541588496,1,0
1541592299,1,0
1541594197,2,0
1541596107,0,1
1541598045,1,0
1541605947,1,0
1541610089,1,1
1541619622,0,1
1541629479,1,0
1541635325,1,0
1541673910,0,1
1541676046,0,1
1541677968,0,1
1541679902,0,1
1541682097,0,1
1541683976,0,1
1541691627,0,1
1541697508,0,1
1541703382,1,0
1541717082,0,1
1541722824,0,1
1541767969,1,0
1541771795,1,0
1541790128,2,1
1541792188,2,0
1541794135,2,0
1541796030,3,0
1541799885,1,0
1541809742,2,0
1541817875,1,0
1541826266,1,0
1541853624,0,1
1541857480,0,1
1541875013,1,1
1541876921,0,1
1541878848,0,3
1541880789,0,2
1541882667,0,2
1541886779,0,1
1541894515,0,2
1541904285,0,1
1541911945,0,1
1541941003,1,0
1541944980,1,0
1541946987,3,0
1541950830,2,0
1541953014,2,0
1541955151,4,0
1541957308,2,0
1541961151,1,1
1541966921,1,0
1541970794,1,0
1541974812,1,0
1541983271,1,0
1541990908,1,0
1541996920,1,0
1542018035,1,0
1542027690,0,1
1542031498,0,1
1542033390,0,3
1542035312,1,0
1542037230,1,2
1542039151,1,2
1542041093,0,3
1542042990,0,2
1542044923,0,1
1542048749,1,1
1542055042,0,1
1542056933,2,1
1542062682,0,1
1542068681,0,1
1542078266,0,1
1542082139,0,1
1542087889,1,0
1542103723,0,1
1542119300,1,0
1542121289,0,1
1542123146,0,1
1542125067,1,1
1542129152,1,0
1542131070,2,0
1542133010,1,0
