DateTime,AddedIPs,RemovedIPs
1541455485,0,1
1541461479,1,0
1541467234,1,0
1541469161,0,1
1541474897,2,0
1541476903,0,2
1541490259,1,0
1541496291,1,1
1541505949,0,2
1541508041,0,1
1541510201,1,0
1541519790,0,1
1541525833,0,1
1541529900,0,1
1541547645,1,1
1541553581,0,1
1541557473,1,0
1541561302,1,0
1541582674,0,2
1541594198,1,0
1541598047,0,1
1541608107,1,0
1541619623,1,0
1541633313,1,1
1541637148,1,0
1541639080,1,0
1541652503,1,0
1541664089,1,0
1541671724,0,1
1541673912,1,0
1541695464,0,1
1541697509,0,1
1541718996,0,1
1541720899,0,1
1541738441,1,1
1541742281,0,1
1541748042,0,1
1541759787,0,1
1541761948,0,1
1541766035,1,0
1541777572,1,0
1541779471,1,0
1541781652,1,0
1541811646,2,0
1541817876,0,1
1541820059,1,0
1541824369,0,1
1541847883,0,1
1541849814,1,0
1541865403,0,1
1541867310,0,1
1541869293,0,1
1541871151,1,0
1541878849,1,0
1541882668,1,0
1541884594,2,0
1541888669,1,0
1541900444,0,1
1541906223,1,1
1541955152,1,0
1541957309,0,1
1541965007,0,1
1541968833,0,1
1541970801,0,1
1541972924,1,0
1541974813,2,0
1541976979,1,0
1541979149,1,0
1541990909,1,0
1541993083,0,1
1541996921,0,1
1542002677,0,1
1542023788,1,0
1542035313,0,1
1542041094,0,1
1542042991,0,1
1542046826,1,0
1542052594,1,0
1542060783,0,1
1542062683,0,1
1542066761,2,1
1542076366,0,1
1542080219,1,0
1542085970,2,1
1542109465,1,0
1542125077,1,0
1542137077,1,0
1542144768,2,0
1542150544,1,0
1542158203,1,1
1542160337,1,0
1542162282,1,0
1542166349,1,0
1542168295,1,1
1542170183,0,1
1542172127,0,2
1542174045,1,0
1542185774,0,1
1542195868,1,0
1542197808,1,1
1542203553,0,1
1542209303,1,0
1542215350,1,0
1542223472,1,1
1542231412,0,2
1542233339,1,0
1542237664,0,2
1542241704,1,0
1542243641,1,0
1542247488,0,2
1542251560,0,1
1542253495,0,2
1542259479,0,1
1542267160,1,0
1542269102,2,0
1542271232,0,1
1542275070,1,0
1542282741,0,1
1542284679,0,1
1542296462,0,1
1542298660,1,0
1542300789,0,1
1542305087,1,0
1542308937,1,0
1542310849,1,0
1542320905,0,1
1542323091,0,1
1542326924,0,1
1542328838,0,1
1542340346,1,0
1542352218,0,1
1542354045,0,1
1542361707,0,1
1542371304,0,1
1542377068,0,1
1542378991,0,1
1542385134,0,1
1542387401,1,0
1542398932,2,0
1542421957,2,0
1542425810,1,1
1542444998,0,1
1542448896,0,1
1542464197,0,1
1542471880,0,2
1542485546,1,0
1542487469,1,1
1542493494,1,0
1542509078,0,1
1542511012,0,1
1542524948,1,0
1542526844,1,0
1542528762,1,0
1542530671,2,0
1542532608,0,1
1542561555,5,0
1542567698,1,0
1542569542,1,0
1542571462,1,1
1542575324,1,0
1542579394,1,0
1542581315,1,0
1542588992,1,1
1542590899,1,0
1542612031,1,1
1542613960,0,1
1542615858,1,3
1542621695,1,0
1542629572,1,0
1542648920,0,1
1542650918,1,0
1542654994,0,1
1542656904,0,1
1542662663,0,1
1542664608,1,0
1542666533,1,1
1542668519,0,1
1542670462,1,0
1542672310,1,1
1542676121,2,2
1542689566,1,0
1542691464,1,0
1542695304,0,1
1542699193,0,1
1542701179,2,1
1542703287,1,0
1542714753,2,0
1542718589,1,0
1542733960,1,0
1542735868,0,1
1542739967,2,0
1542743800,1,0
1542745704,1,0
1542753384,0,1
1542761092,0,2
1542764919,0,1
1542768756,2,0
1542772898,0,1
1542774767,0,1
1542776679,0,1
1542778601,0,1
1542790162,0,1
1542793955,0,1
1542797799,1,0
1542806436,1,0
1542816065,0,1
1542819887,0,1
1542823886,2,0
1542825861,0,1
1542827780,0,2
1542831903,0,1
1542833784,1,0
1542845571,0,1
1542847478,0,1
1542849411,1,0
1542851300,1,0
1542853241,1,1
1542870775,0,1
1542880366,1,0
1542886365,4,0
1542888283,1,0
1542892109,0,1
1542894024,1,0
1542897885,1,0
1542901962,0,1
1542905800,1,0
1542907694,0,1
1542909693,0,4
1542911817,1,0
1542915645,1,0
1542921400,2,1
1542923321,1,0
1542927172,3,0
1542933152,1,0
1542935081,0,1
1542938924,0,1
1542950671,1,0
1542956684,1,0
1542966274,0,1
1542970106,1,1
1542972031,0,4
1542973943,2,0
1542975890,0,1
1542979706,0,1
1542992511,1,0
1542994370,1,0
1542998187,0,1
1543002027,0,1
1543003958,1,0
1543007800,1,1
1543009708,0,1
1543011636,2,0
1543013874,1,4
1543015976,0,1
1543017867,1,1
1543019811,1,0
1543025577,1,0
1543031321,1,0
1543033251,0,1
1543037081,0,1
1543042898,0,1
1543048599,1,0
1543060917,0,1
1543062768,1,0
1543066831,0,1
1543072588,0,1
1543078346,0,1
1543082181,1,1
1543088182,1,0
1543092047,0,1
1543095888,0,1
1543097785,0,1
1543101630,0,1
1543105464,2,0
1543107378,1,0
1543111320,0,1
1543113396,1,0
1543117225,0,1
1543132584,0,1
1543134749,0,1
1543150110,1,2
1543153946,0,1
1543155900,0,2
1543159705,1,0
1543161685,2,0
1543165469,1,0
1543167401,2,1
1543169321,1,0
1543171235,2,0
1543173158,1,0
1543177238,0,1
1543188767,1,0
1543190932,3,1
1543192847,0,1
1543196662,1,0
1543198584,0,1
1543206281,1,0
1543216125,1,0
1543223785,1,0
1543227642,1,0
1543235546,1,0
1543239379,1,1
1543245162,0,1
1543249241,0,1
1543253082,0,2
1543257160,0,1
1543259062,0,1
1543260930,1,0
1543262923,2,0
1543268686,1,0
1543270598,1,0
1543274430,0,1
1543276363,0,1
1543278308,1,1
1543286108,1,0
1543288127,1,0
1543291955,1,0
1543293870,0,1
1543299682,0,1
1543301563,0,1
1543303482,0,1
1543305401,1,0
1543307305,1,0
1543313089,1,0
1543316936,0,1
1543320771,2,0
1543322681,1,1
1543326534,1,0
1543330364,0,1
1543332521,2,0
1543338541,1,0
1543346470,0,1
1543348525,0,2
1543350494,2,1
1543352699,1,0
1543354846,1,2
1543356748,0,1
1543362532,0,1
1543364426,0,1
1543374350,1,0
1543378121,1,1
1543380028,1,0
1543381977,1,0
1543383870,1,0
1543391784,1,0
1543393969,0,1
1543399735,0,1
1543401637,0,1
1543413169,0,1
1543419405,0,2
1543423227,1,0
1543436925,0,2
1543450833,0,1
1543452773,0,1
1543454682,0,1
1543456607,1,0
1543458522,1,0
1543461409,1,0
1543463302,0,1
1543465225,0,2
1543467154,0,1
1543469321,0,1
1543471297,0,1
1543486817,0,1
1543494495,1,0
1543496492,0,1
1543500266,0,1
1543502190,0,1
1543506257,0,1
1543510117,1,0
1543515856,0,1
1543517773,2,0
1543521708,1,0
1543527894,2,0
1543531708,0,1
1543533890,0,1
1543537689,2,0
1543539731,1,0
1543541576,1,0
1543547319,0,1
1543549233,1,0
1543558822,1,0
1543572301,1,0
1543578268,1,0
1543582099,0,1
1543584053,0,1
1543587878,0,1
1543597501,1,0
1543603221,0,1
1543608872,1,0
1543612816,0,1
1543622673,0,1
1543626510,0,1
1543635150,0,1
1543637096,0,1
1543638985,1,0
1543642841,1,2
1543644762,0,1
1543650509,0,1
1543652431,0,1
1543658199,0,1
1543665925,0,2
1543669706,1,1
1543671621,0,1
1543675704,1,0
1543677627,3,0
1543685456,1,0
1543691612,0,1
1543695416,0,1
1543708951,0,1
1543722276,3,0
1543724202,1,1
1543728032,0,1
1543729943,1,0
1543733801,1,0
1543764981,0,1
1543768845,1,0
1543770796,1,0
1543772688,1,1
1543780898,1,0
1543808179,0,1
1543810373,0,2
1543816105,0,1
1543820192,0,1
1543825952,1,0
1543835801,2,0
1543839893,1,0
1543849974,0,1
1543851880,1,0
1543857633,1,0
1543859553,0,3
1543861487,1,1
1543868239,0,1
1543870365,1,0
1543874501,1,0
1543876366,1,0
1543898695,1,0
1543902540,1,2
1543912115,0,1
1543917932,1,0
1543920046,2,0
1543921974,0,2
1543923881,0,1
1543926288,0,1
1543934198,1,0
1543938264,0,1
1543940432,1,0
1543944271,0,1
1543952231,2,0
1543960362,0,1
1543962268,2,1
1543966380,1,0
1543968315,2,0
1543976215,2,0
1543988448,0,1
1543992741,1,0
1543994704,2,0
1543996600,1,0
1544004765,1,1
1544006687,0,1
1544012683,2,0
1544020617,2,1
1544024444,1,0
1544026652,0,1
1544042173,0,1
1544052296,0,1
1544054171,0,2
1544060462,1,0
1544062350,0,1
1544080370,0,2
1544082266,1,0
1544084432,0,2
1544090179,0,1
1544095948,1,0
1544097886,0,2
1544099810,0,1
1544107463,0,2
1544109410,1,0
1544111300,2,0
1544117092,1,0
1544120902,5,0
1544122896,4,0
1544124763,2,1
1544128593,2,0
1544130543,1,0
1544132445,1,1
1544140938,1,0
1544144684,1,0
1544146613,0,1
1544148535,1,1
1544150456,3,0
1544154380,3,0
1544156220,1,0
1544158123,0,1
1544160292,0,1
1544162216,1,0
1544170347,1,0
1544172294,1,0
1544178052,1,0
1544181875,0,1
