DateTime,AddedIPs,RemovedIPs
1543200516,20,34
1543202438,20,28
1543204341,26,21
1543206282,21,25
1543208178,30,19
1543210099,17,25
1543212099,21,25
1543213963,21,25
1543216126,71,17
1543218041,39,16
1543219969,15,21
1543221876,30,22
1543223786,24,19
1543225700,34,21
1543227642,18,26
1543229544,17,68
1543231480,32,23
1543233397,33,27
1543235547,29,27
1543237466,17,19
1543239380,18,25
1543241314,33,25
1543243216,31,30
1543245162,30,26
1543247308,30,29
1543249242,27,31
1543251138,25,27
1543253082,24,24
1543255297,34,29
1543257161,26,17
1543259063,38,27
1543260931,19,23
1543262924,30,18
1543264830,19,27
1543266756,18,28
1543268686,18,33
1543270599,37,20
1543272506,20,24
1543274431,26,25
1543276363,21,29
1543278308,23,34
1543280181,16,13
1543282113,27,27
1543284133,23,31
1543286108,25,30
1543288128,26,23
1543290033,18,24
1543291956,31,18
1543293871,23,34
1543295794,30,21
1543297719,26,26
1543299683,22,14
1543301563,31,27
1543303483,19,71
1543305402,25,36
1543307305,25,14
1543309337,36,40
1543311159,19,30
1543313090,14,24
1543314987,13,19
1543316936,29,24
1543318854,26,43
1543320772,15,26
1543322682,23,21
1543324613,28,21
1543326535,26,31
1543328459,30,30
1543330364,19,32
1543332521,26,30
1543334512,27,32
1543336362,24,32
1543338543,39,22
1543340440,31,26
1543342368,39,25
1543344525,26,35
1543346470,22,31
1543348525,41,26
1543350494,28,20
1543352700,35,19
1543354847,28,20
1543356749,23,38
1543358688,24,21
1543360588,27,27
1543362532,36,18
1543364426,19,22
1543366352,40,18
1543368383,21,24
1543370517,21,29
1543372360,26,21
1543374351,23,28
1543376180,19,22
1543378122,27,24
1543380028,27,23
1543381978,21,29
1543383871,29,24
1543385813,18,19
1543387974,27,39
1543389882,27,22
1543391785,27,25
1543393969,27,27
1543395890,23,38
1543397818,36,16
1543399735,21,14
1543401638,24,13
1543403573,21,35
1543405478,23,25
1543407409,34,16
1543409306,33,27
1543411235,20,29
1543413170,29,25
1543415093,24,26
1543417322,41,21
1543419406,35,28
1543421393,24,25
1543423227,30,22
1543425176,18,30
1543427093,35,32
1543429000,31,30
1543431159,29,24
1543433069,36,26
1543435006,33,36
1543436926,29,27
1543438926,18,31
1543440771,34,22
1543442931,36,27
1543444843,36,21
1543446757,28,28
1543448668,34,39
1543450833,34,16
1543452773,29,41
1543454682,28,22
1543456608,31,19
1543458522,47,20
1543461411,40,32
1543463302,27,24
1543465226,32,31
1543467155,30,24
1543469321,33,27
1543471302,29,26
1543473141,36,22
1543475071,40,19
1543476989,34,35
1543478921,25,28
1543480813,37,27
1543482752,33,26
1543484674,31,31
1543486817,73,29
1543488769,35,21
1543490660,31,19
1543492574,49,32
1543494495,41,32
1543496497,24,24
1543498339,24,24
1543500267,19,27
1543502190,32,26
1543504121,29,40
1543506257,29,27
1543508199,34,32
1543510118,36,26
1543512022,35,23
1543513957,24,33
1543515856,28,30
1543517773,25,30
1543519711,32,33
1543521711,50,37
1543523699,33,30
1543525712,20,17
1543527895,25,44
1543529796,27,20
1543531709,41,39
1543533890,35,28
1543535796,18,35
1543537690,28,25
1543539732,32,36
1543541576,25,30
1543543498,36,31
1543545380,27,43
1543547319,27,31
1543549234,34,25
1543551176,16,27
1543553064,23,31
1543554990,32,29
1543556904,21,26
1543558823,17,27
1543560761,48,43
1543562703,23,31
1543564579,19,31
1543566502,46,35
1543568524,28,37
1543570354,34,23
1543572301,40,72
1543574169,17,31
1543576113,28,38
1543578269,28,35
1543580180,24,50
1543582099,97,31
1543584054,25,22
1543585956,21,23
1543587879,28,28
1543589791,33,34
1543591720,25,24
1543593694,34,36
1543595543,30,21
1543597502,40,41
1543599378,35,35
1543601328,20,27
1543603222,24,23
1543605160,17,20
1543607064,24,50
1543608873,18,27
1543610673,24,27
1543612816,20,27
1543614748,10,20
1543616685,20,28
1543618568,16,37
1543620744,17,35
1543622673,18,21
1543624581,24,27
1543626511,23,28
1543628914,26,36
1543631057,23,34
1543632980,16,27
1543635150,24,33
1543637096,20,18
1543638986,19,23
1543640921,16,29
1543642841,23,21
1543644762,15,15
1543646689,20,46
1543648612,22,24
1543650509,20,20
1543652432,20,41
1543654342,14,30
1543656263,26,26
1543658199,38,82
1543660097,22,27
1543662100,11,25
1543663947,25,26
1543665926,26,23
1543667778,25,95
1543669706,14,28
1543671621,36,24
1543673814,39,27
1543675705,15,34
1543677627,25,28
1543679562,20,31
1543681468,30,31
1543683395,23,38
1543685456,21,41
1543687738,35,26
1543689641,12,25
1543691613,24,14
1543693470,21,24
1543695417,14,21
1543697325,22,29
1543699242,25,15
1543701162,26,10
1543703063,21,20
1543705012,27,22
1543706921,25,15
1543708952,30,21
1543710879,26,23
1543712709,18,23
1543714606,10,21
1543716550,31,20
1543718436,28,19
1543720375,9,17
1543722277,35,23
1543724203,20,23
1543726137,20,14
1543728033,25,21
1543729944,21,15
1543731876,18,16
1543733802,22,21
1543735733,19,20
1543737720,16,19
1543739557,19,12
1543741509,12,19
1543743423,26,25
1543745332,18,29
1543747240,22,17
1543749165,10,13
1543751081,24,32
1543753488,20,31
1543755405,20,17
1543757308,26,22
1543759315,33,35
1543761153,28,30
1543763096,23,23
1543764981,22,20
1543766973,18,28
1543768845,23,26
1543770796,26,14
1543772688,19,24
1543774613,23,26
1543776746,22,15
1543778692,12,23
1543780898,31,23
1543782993,21,24
1543784931,16,16
