DateTime,Entries,UniqueIPs
1543200516,1196,1196
1543202438,1188,1188
1543204341,1193,1193
1543206282,1189,1189
1543208178,1200,1200
1543210099,1192,1192
1543212099,1188,1188
1543213963,1184,1184
1543216126,1238,1238
1543218041,1261,1261
1543219969,1255,1255
1543221876,1263,1263
1543223786,1268,1268
1543225700,1281,1281
1543227642,1273,1273
1543229544,1222,1222
1543231480,1231,1231
1543233397,1237,1237
1543235547,1239,1239
1543237466,1237,1237
1543239380,1230,1230
1543241314,1238,1238
1543243216,1239,1239
1543245162,1243,1243
1543247308,1244,1244
1543249242,1240,1240
1543251138,1238,1238
1543253082,1238,1238
1543255297,1243,1243
1543257161,1252,1252
1543259063,1263,1263
1543260931,1259,1259
1543262924,1271,1271
1543264830,1263,1263
1543266756,1253,1253
1543268686,1238,1238
1543270599,1255,1255
1543272506,1251,1251
1543274431,1252,1252
1543276363,1244,1244
1543278308,1233,1233
1543280181,1236,1236
1543282113,1236,1236
1543284133,1228,1228
1543286108,1223,1223
1543288128,1226,1226
1543290033,1220,1220
1543291956,1233,1233
1543293871,1222,1222
1543295794,1231,1231
1543297719,1231,1231
1543299683,1239,1239
1543301563,1243,1243
1543303483,1191,1191
1543305402,1180,1180
1543307305,1191,1191
1543309337,1187,1187
1543311159,1176,1176
1543313090,1166,1166
1543314987,1160,1160
1543316936,1165,1165
1543318854,1148,1148
1543320772,1137,1137
1543322682,1139,1139
1543324613,1146,1146
1543326535,1141,1141
1543328459,1141,1141
1543330364,1128,1128
1543332521,1124,1124
1543334512,1119,1119
1543336362,1111,1111
1543338543,1128,1128
1543340440,1133,1133
1543342368,1147,1147
1543344525,1138,1138
1543346470,1129,1129
1543348525,1144,1144
1543350494,1152,1152
1543352700,1168,1168
1543354847,1176,1176
1543356749,1161,1161
1543358688,1164,1164
1543360588,1164,1164
1543362532,1182,1182
1543364426,1179,1179
1543366352,1201,1201
1543368383,1198,1198
1543370517,1190,1190
1543372360,1195,1195
1543374351,1190,1190
1543376180,1187,1187
1543378122,1190,1190
1543380028,1194,1194
1543381978,1186,1186
1543383871,1191,1191
1543385813,1190,1190
1543387974,1178,1178
1543389882,1183,1183
1543391785,1185,1185
1543393969,1185,1185
1543395890,1170,1170
1543397818,1190,1190
1543399735,1197,1197
1543401638,1208,1208
1543403573,1194,1194
1543405478,1192,1192
1543407409,1210,1210
1543409306,1216,1216
1543411235,1207,1207
1543413170,1211,1211
1543415093,1209,1209
1543417322,1229,1229
1543419406,1236,1236
1543421393,1235,1235
1543423227,1243,1243
1543425176,1231,1231
1543427093,1234,1234
1543429000,1235,1235
1543431159,1240,1240
1543433069,1250,1250
1543435006,1247,1247
1543436926,1249,1249
1543438926,1236,1236
1543440771,1248,1248
1543442931,1257,1257
1543444843,1272,1272
1543446757,1272,1272
1543448668,1267,1267
1543450833,1285,1285
1543452773,1273,1273
1543454682,1279,1279
1543456608,1291,1291
1543458522,1318,1318
1543461411,1326,1326
1543463302,1329,1329
1543465226,1330,1330
1543467155,1336,1336
1543469321,1342,1342
1543471302,1345,1345
1543473141,1359,1359
1543475071,1380,1380
1543476989,1379,1379
1543478921,1376,1376
1543480813,1386,1386
1543482752,1393,1393
1543484674,1393,1393
1543486817,1437,1437
1543488769,1451,1451
1543490660,1463,1463
1543492574,1480,1480
1543494495,1489,1489
1543496497,1489,1489
1543498339,1489,1489
1543500267,1481,1481
1543502190,1487,1487
1543504121,1476,1476
1543506257,1478,1478
1543508199,1480,1480
1543510118,1490,1490
1543512022,1502,1502
1543513957,1493,1493
1543515856,1491,1491
1543517773,1486,1486
1543519711,1485,1485
1543521711,1498,1498
1543523699,1501,1501
1543525712,1504,1504
1543527895,1485,1485
1543529796,1492,1492
1543531709,1494,1494
1543533890,1501,1501
1543535796,1484,1484
1543537690,1487,1487
1543539732,1483,1483
1543541576,1478,1478
1543543498,1483,1483
1543545380,1467,1467
1543547319,1463,1463
1543549234,1472,1472
1543551176,1461,1461
1543553064,1453,1453
1543554990,1456,1456
1543556904,1451,1451
1543558823,1441,1441
1543560761,1446,1446
1543562703,1438,1438
1543564579,1426,1426
1543566502,1437,1437
1543568524,1428,1428
1543570354,1439,1439
1543572301,1407,1407
1543574169,1393,1393
1543576113,1383,1383
1543578269,1376,1376
1543580180,1350,1350
1543582099,1416,1416
1543584054,1419,1419
1543585956,1417,1417
1543587879,1417,1417
1543589791,1416,1416
1543591720,1417,1417
1543593694,1415,1415
1543595543,1424,1424
1543597502,1423,1423
1543599378,1423,1423
1543601328,1416,1416
1543603222,1417,1417
1543605160,1414,1414
1543607064,1388,1388
1543608873,1379,1379
1543610673,1376,1376
1543612816,1369,1369
1543614748,1359,1359
1543616685,1351,1351
1543618568,1330,1330
1543620744,1312,1312
1543622673,1309,1309
1543624581,1306,1306
1543626511,1301,1301
1543628914,1291,1291
1543631057,1280,1280
1543632980,1269,1269
1543635150,1260,1260
1543637096,1262,1262
1543638986,1258,1258
1543640921,1245,1245
1543642841,1247,1247
1543644762,1247,1247
1543646689,1221,1221
1543648612,1219,1219
1543650509,1219,1219
1543652432,1198,1198
1543654342,1182,1182
1543656263,1182,1182
1543658199,1138,1138
1543660097,1133,1133
1543662100,1119,1119
1543663947,1118,1118
1543665926,1121,1121
1543667778,1051,1051
1543669706,1037,1037
1543671621,1049,1049
1543673814,1061,1061
1543675705,1042,1042
1543677627,1039,1039
1543679562,1028,1028
1543681468,1027,1027
1543683395,1012,1012
1543685456,992,992
1543687738,1001,1001
1543689641,988,988
1543691613,998,998
1543693470,995,995
1543695417,988,988
1543697325,981,981
1543699242,991,991
1543701162,1007,1007
1543703063,1008,1008
1543705012,1013,1013
1543706921,1023,1023
1543708952,1032,1032
1543710879,1035,1035
1543712709,1030,1030
1543714606,1019,1019
1543716550,1030,1030
1543718436,1039,1039
1543720375,1031,1031
1543722277,1043,1043
1543724203,1040,1040
1543726137,1046,1046
1543728033,1050,1050
1543729944,1056,1056
1543731876,1058,1058
1543733802,1059,1059
1543735733,1058,1058
1543737720,1055,1055
1543739557,1062,1062
1543741509,1055,1055
1543743423,1056,1056
1543745332,1045,1045
1543747240,1050,1050
1543749165,1047,1047
1543751081,1039,1039
1543753488,1028,1028
1543755405,1031,1031
1543757308,1035,1035
1543759315,1033,1033
1543761153,1031,1031
1543763096,1031,1031
1543764981,1033,1033
1543766973,1023,1023
1543768845,1020,1020
1543770796,1032,1032
1543772688,1027,1027
1543774613,1024,1024
1543776746,1031,1031
1543778692,1020,1020
1543780898,1028,1028
1543782993,1025,1025
1543784931,1025,1025
1543786843,1019,1019
1543788748,1022,1022
1543790687,1012,1012
1543792629,1015,1015
1543794767,1020,1020
1543796692,1022,1022
1543798590,1028,1028
1543800536,1053,1053
1543802531,1048,1048
1543804380,1035,1035
1543806301,1054,1054
1543808179,1044,1044
1543810374,1048,1048
1543812275,1037,1037
1543814215,1039,1039
1543816106,1040,1040
1543818056,1040,1040
1543820192,1036,1036
1543822130,1031,1031
1543824101,1053,1053
1543825952,1059,1059
1543827882,1066,1066
1543829797,1085,1085
1543831977,1102,1102
1543833884,1126,1126
1543835802,1147,1147
1543837964,1152,1152
1543839894,1156,1156
1543841777,1152,1152
1543843959,1156,1156
1543845881,1160,1160
1543847808,1161,1161
1543849975,1178,1178
1543851880,1176,1176
1543853807,1185,1185
1543855715,1196,1196
1543857633,1208,1208
1543859553,1216,1216
1543861487,1212,1212
1543863382,1212,1212
1543865683,1216,1216
1543868240,1206,1206
1543870366,1208,1208
1543872275,1209,1209
1543874501,1205,1205
1543876366,1197,1197
1543878535,1195,1195
1543880926,1185,1185
1543882851,1171,1171
1543884769,1167,1167
1543886681,1167,1167
1543888611,1160,1160
1543890752,1165,1165
1543892942,1155,1155
1543894843,1159,1159
1543896769,1161,1161
1543898696,1155,1155
1543900606,1188,1188
1543902540,1184,1184
1543904452,1186,1186
1543906363,1199,1199
1543908278,1195,1195
1543910184,1179,1179
1543912116,1166,1166
1543914127,1171,1171
1543915945,1147,1147
1543917934,1128,1128
1543920046,1096,1096
1543921974,1089,1089
1543923881,1092,1092
1543926289,1094,1094
1543928213,1106,1106
1543930353,1107,1107
1543932281,1101,1101
1543934198,1093,1093
1543936375,1072,1072
1543938264,1067,1067
1543940432,1076,1076
1543942388,1075,1075
1543944271,1072,1072
1543946217,1095,1095
1543948117,1104,1104
1543950140,1103,1103
1543952231,1108,1108
1543954137,1116,1116
1543956160,1127,1127
1543958445,1131,1131
1543960362,1959,1959
1543962269,1967,1967
1543964233,1965,1965
1543966381,1966,1966
1543968316,1976,1976
1543970194,1968,1968
1543972354,1975,1975
1543974273,1979,1979
1543976216,1988,1988
1543978109,1992,1992
1543980029,1997,1997
1543982195,1983,1983
1543984127,1992,1992
1543986153,2010,2010
1543988448,1972,1972
1543990609,1979,1979
1543992742,1980,1980
1543994705,1995,1995
1543996600,2003,2003
1543998749,2010,2010
1544000933,2017,2017
1544002841,2023,2023
1544004765,2040,2040
1544006687,2063,2063
1544008594,2075,2075
1544010767,2072,2072
1544012684,2081,2081
1544014908,2084,2084
1544016776,2086,2086
1544018698,2089,2089
1544020625,2110,2110
1544022505,2110,2110
1544024445,2127,2127
1544026653,2132,2132
1544028536,2127,2127
1544030682,2120,2120
1544032597,2106,2106
1544034499,2117,2117
1544036493,2162,2162
1544038360,2173,2173
1544040298,2191,2191
1544042174,2202,2202
1544044377,2223,2223
1544046258,1475,1475
1544048323,1396,1396
1544050365,1410,1410
1544052296,1426,1426
1544054172,1436,1436
1544056098,1456,1456
1544058276,1478,1478
1544060462,1535,1535
1544062351,1542,1542
1544064270,1558,1558
1544066193,1563,1563
1544068347,1578,1578
1544070290,1593,1593
1544072209,1600,1600
1544074369,1622,1622
1544076299,1639,1639
1544078211,1664,1664
1544080370,1655,1655
1544082267,1667,1667
1544084432,1864,1864
1544086371,1916,1916
1544088284,1919,1919
1544090179,1930,1930
1544092123,1931,1931
1544094140,1911,1911
1544095949,1922,1922
1544097887,1929,1929
1544099811,1943,1943
1544101725,1951,1951
1544103619,1955,1955
1544105564,1961,1961
1544107463,1956,1956
1544109410,1941,1941
1544111300,1945,1945
1544113224,1932,1932
1544115148,1908,1908
1544117092,1910,1910
1544118987,1909,1909
1544120902,1895,1895
1544122896,1865,1865
1544124763,1856,1856
1544126691,1852,1852
1544128594,1836,1836
1544130544,1822,1822
1544132446,1804,1804
1544134374,1792,1792
1544136746,1787,1787
1544138931,1781,1781
1544140938,1760,1760
1544142764,1743,1743
1544144685,1727,1727
1544146613,1679,1679
1544148535,1664,1664
1544150457,1664,1664
1544152380,1652,1652
1544154395,1653,1653
1544156221,1658,1658
1544158123,1659,1659
1544160293,1642,1642
1544162216,1635,1635
1544164352,1623,1623
1544166303,1624,1624
1544168449,1628,1628
1544170347,1538,1538
1544172294,1386,1386
1544174214,1395,1395
1544176125,1389,1389
1544178052,1393,1393
1544179951,1395,1395
1544181875,1403,1403
