DateTime,AddedIPs,RemovedIPs
1543135714,5,3
1543137641,2,3
1543139540,2,6
1543141492,1,1
1543143378,3,2
1543145561,2,4
1543147462,1,0
1543149376,2,3
1543151315,1,3
1543153220,4,3
1543155392,4,0
1543157307,1,1
1543159226,1,0
1543161172,1,2
1543163063,4,2
1543164997,0,6
1543166901,3,1
1543168899,3,0
1543170746,1,1
1543172684,2,0
1543174574,5,0
1543176513,280,1
1543178665,258,0
1543180588,4,1
1543182503,2,2
1543184424,3,0
1543186365,3,0
1543188254,2,1
1543190191,1,3
1543192091,1,1
1543193901,1,1
1543195719,2,3
1543197706,2,1
1543199582,1,3
1543201478,1,2
1543203389,1,4
1543205329,3,2
1543207268,0,1
1543209164,2,2
1543211075,1,3
1543213008,0,4
1543214904,1,2
1543217095,2,1
1543218998,1,0
1543221149,5,2
1543223065,1,3
1543224975,2,0
1543226915,4,5
1543228822,3,1
1543230649,0,2
1543232652,2,1
1543234574,2,2
1543236513,1,2
1543238427,0,1
1543240333,3,3
1543242254,0,3
1543244210,0,1
1543246556,1,2
1543248541,1,4
1543250422,1,1
1543252592,0,3
1543254765,2,3
1543256681,1,2
1543258620,0,2
1543260931,1,7
1543262924,2,336
1543264831,0,302
1543266757,1,5
1543268687,4,1
1543270599,2,1
1543272506,4,3
1543274432,2,0
1543276364,1,1
1543278309,3,2
1543280182,3,2
1543282114,2,2
1543284134,4,3
1543286109,2,1
1543288128,2,1
1543290034,0,2
1543291956,2,3
1543293871,2,0
1543295802,2,2
1543297720,1,0
1543299683,3,0
1543301564,1,0
1543303483,2,2
1543305402,1,2
1543307306,6,4
1543309338,0,3
1543311159,1,2
1543313092,6,2
1543314987,3,4
1543316937,2,1
1543318855,1,1
1543320772,4,2
1543322682,3,1
1543324614,1,0
1543326535,0,4
1543328460,1,0
1543330365,1,0
1543332522,0,2
1543334513,1,0
1543336363,1,3
1543338544,2,0
1543340440,1,1
1543342369,2,0
1543344525,2,1
1543348526,5,0
1543350495,2,1
1543352701,0,1
1543354848,0,4
1543356749,1,1
1543358689,0,5
1543360588,0,3
1543362533,3,1
1543364427,4,3
1543366353,2,2
1543368384,2,1
1543370517,6,3
1543372361,1,1
1543374351,2,4
1543376180,1,0
1543378122,2,2
1543380029,2,2
1543381978,3,3
1543383871,3,2
1543385813,1,3
1543387974,2,2
1543389882,2,1
1543391785,1,1
1543393970,0,5
1543395908,2,0
1543397820,2,3
1543399736,2,4
1543401638,1,2
1543403574,2,2
1543405479,1,2
1543407410,2,1
1543409307,7,2
1543411236,3,1
1543413171,1,1
1543415094,1,3
1543417323,1,2
1543419407,1,1
1543421393,2,1
1543423228,1,1
1543425176,0,3
1543427105,1,2
1543429000,4,0
1543431159,3,1
1543435006,0,3
1543436926,0,1
1543438927,3,0
1543442932,0,1
1543444844,0,1
1543446758,2,3
1543448672,0,2
1543450834,1,4
1543452774,2,0
1543454683,5,2
1543456609,2,3
1543458523,2,2
1543461411,5,3
1543463303,3,1
1543465227,1,2
1543467157,1,2
1543469322,1,4
1543471311,2,1
1543473141,0,1
1543475079,2,2
1543476990,5,2
1543478922,2,0
1543480814,3,0
1543482753,3,1
1543484674,3,1
1543486818,5,1
1543488770,2,1
1543490660,1,4
1543492575,4,3
1543494496,1,4
1543496503,4,3
1543498339,3,3
1543500268,2,2
1543502191,3,2
1543504122,2,1
1543506258,1,1
1543508200,0,1
1543510118,0,1
1543512023,4,0
1543513959,0,3
1543515857,3,6
1543519712,3,0
1543521714,1,1
1543523700,2,2
1543527895,2,0
1543529797,1,0
1543533891,2,3
1543535797,2,0
1543537690,2,3
1543539732,0,1
1543541577,0,6
1543543501,2,2
1543545381,2,5
1543547320,1,2
1543549235,0,2
1543551177,3,2
1543553065,1,1
1543554991,2,2
1543556905,2,2
1543558823,1,0
1543560763,1,1
1543562704,4,4
1543564580,3,2
1543566502,2,3
1543568526,3,5
1543570355,2,2
1543572303,3,2
1543574170,2,4
1543576114,1,0
1543578269,3,2
1543580181,2,4
1543582100,1,2
1543584055,1,6
1543585956,2,0
1543587879,2,1
1543589792,0,3
1543591721,1,0
1543593696,1,1
1543595544,1,1
1543597503,1,1
1543599378,1,3
1543601328,3,3
1543603222,1,1
1543605161,0,2
1543607065,1,2
1543608874,1,0
1543611297,2,4
1543613550,1,1
1543615684,0,3
1543617873,2,0
1543619798,1,1
1543621971,0,2
1543623866,2,2
1543625806,6,0
1543627735,3,0
1543629743,2,3
1543631800,2,3
1543633726,1,1
1543635661,1,1
1543637545,1,2
1543639481,1,1
1543641387,0,2
1543643307,0,1
1543645238,0,1
1543647190,0,1
1543649073,0,3
1543651025,0,3
1543652895,2,3
1543654934,1,4
1543656772,0,1
1543658676,1,4
1543660602,2,3
1543662547,2,2
1543664440,4,0
1543666369,3,2
1543668283,2,1
1543670213,1,1
1543672343,2,2
1543674281,2,1
1543678098,2,0
1543680108,1,0
1543681959,1,1
1543683867,1,1
1543685804,0,1
1543687742,0,3
1543689642,0,1
1543691613,1,2
1543693471,0,2
1543695418,3,1
1543697325,3,0
1543699242,2,2
1543703063,1,1
1543705013,3,2
1543706922,0,2
1543708952,4,0
1543710880,2,1
1543712711,2,7
1543714607,0,2
1543716551,3,3
1543718437,3,1
1543720376,4,1
1543722278,3,1
1543724204,1,1
1543726137,1,0
1543728033,2,0
1543729944,1,0
1543731877,2,1
1543733802,1,0
1543735733,1,0
1543737721,0,1
1543739558,1,2
1543741512,2,3
1543743424,1,1
1543745333,4,1
1543747240,4,1
1543749166,1,2
1543751082,0,4
1543753489,376,4
1543755405,271,2
1543757309,2,1
1543759316,0,2
1543761154,1,2
1543764982,0,2
1543766974,0,1
1543768846,2,1
1543770797,0,1
1543772689,2,0
1543776747,1,1
1543778692,0,2
1543780900,1,1
1543782994,2,1
1543784932,0,4
1543786844,2,0
1543788748,3,0
1543790687,2,3
1543792630,2,0
1543794768,1,3
1543796693,1,3
1543798590,2,2
1543800537,3,0
1543802534,5,2
1543804381,2,3
1543806302,2,1
1543808180,3,5
1543810375,3,1
1543812276,7,1
1543814216,2,0
1543816107,3,2
1543818056,1,2
1543820193,2,0
1543822131,3,1
1543824102,4,0
1543825953,0,1
1543827883,1,1
1543831978,7,5
1543833886,0,4
1543835803,0,1
1543837965,1,2
1543839894,1,340
1543841778,1,304
1543843960,2,1
1543845882,1,1
1543847809,1,0
1543849975,0,1
1543851892,2,0
1543855716,2,1
1543859554,2,1
1543861488,0,3
1543863383,2,0
1543865684,2,1
1543868240,4,3
1543870367,2,1
1543872276,1,1
1543874502,3,2
1543876367,1,5
1543878536,1,1
1543880927,0,1
1543882852,1,1
1543884769,0,1
1543886681,2,3
1543888612,1,4
1543890752,2,2
1543892943,1,1
1543894844,0,3
1543896769,0,3
1543898696,0,7
1543900607,1,4
1543902541,3,2
1543904453,1,1
1543906364,1,1
1543908278,0,4
1543910185,1,2
1543912116,2,2
1543914128,1,1
1543915946,1,1
1543917936,2,5
1543920047,2,0
1543923885,2,3
1543926289,1,1
1543928213,2,1
1543930353,0,2
1543932282,1,1
1543934199,2,1
1543938265,2,2
1543942388,2,4
1543944272,4,0
1543946218,0,2
1543950140,1,2
1543952232,0,2
1543954137,2,2
1543956161,2,1
1543958446,2,2
1543960363,0,1
1543962269,0,2
1543964233,1,2
1543966381,1,1
1543968320,1,0
1543970195,2,0
1543972354,6,0
1543974274,1,2
1543976216,5,1
1543978110,2,3
1543980029,1,0
1543982195,0,1
1543986153,1,0
1543988449,2,2
1543990610,1,1
1543992743,3,3
1543994706,2,0
1543996601,2,1
1543998750,2,3
1544000933,3,2
1544002843,2,2
1544004766,2,0
1544006688,2,3
1544008594,1,1
1544014910,2,2
1544018700,0,1
1544020625,0,1
1544022506,4,0
1544024446,2,1
1544026653,1,1
1544028536,1,1
1544030683,1,3
1544034500,2,0
1544042175,1,3
1544044378,1,3
1544046259,1,0
1544048324,0,2
1544050366,2,2
1544052297,1,0
1544054172,1,2
1544056099,1,0
1544058278,1,7
1544060463,1,2
1544062352,0,5
1544064270,3,2
1544066193,0,1
1544068348,1,1
1544070291,3,0
1544072209,2,0
1544074369,5,4
1544076300,2,0
1544078212,1,2
1544080371,1,3
1544082268,5,2
1544084438,2,4
1544086372,0,2
1544088285,1,4
1544090180,1,3
1544094142,1,2
1544095949,0,1
1544099811,1,1
1544101726,1,0
1544105565,3,0
1544107464,1,1
1544109411,0,4
1544111301,2,1
1544113225,2,1
1544115149,3,1
1544117093,1,1
1544120903,1,2
1544124764,1,0
1544128594,0,1
1544130544,1,1
1544132447,1,0
1544136747,4,0
1544138932,0,2
1544140939,1,1
1544142764,1,0
1544144687,1,1
1544146615,2,0
1544148536,6,1
1544150458,6,2
1544152380,7,1
1544154397,6,1
1544156221,7,1
1544158124,10,1
1544160293,2,1
1544162217,0,2
1544164352,2,3
1544166304,1,0
1544168449,1,5
1544170347,2,2
1544172295,1,1
1544174215,2,1
1544176126,0,2
1544178063,1,1
1544179952,3,2
