DateTime,AddedIPs,RemovedIPs
1543199584,5,0
1543201481,8,2
1543203391,0,2
1543205330,7,6
1543207270,6,9
1543209167,5,5
1543211078,2,10
1543213010,2,7
1543214906,1,8
1543217096,2,1
1543218999,2,4
1543221150,2,6
1543223068,3,6
1543224977,36,7
1543226916,8,11
1543228824,1,9
1543230651,4,18
1543232658,8,9
1543234575,3,3
1543236515,2,5
1543238430,0,4
1543240336,4,3
1543242255,6,4
1543244211,5,4
1543246557,8,7
1543248542,3,11
1543250424,12,12
1543252594,12,13
1543254766,13,8
1543256683,2,8
1543258621,2,8
1543260933,9,1
1543262926,5,4
1543264832,11,2
1543266759,2,11
1543268688,8,14
1543270600,11,8
1543272507,14,7
1543274433,5,8
1543276365,3,3
1543278319,5,2
1543280183,2,3
1543282124,4,1
1543284136,11,6
1543286110,8,6
1543288130,5,8
1543290035,5,2
1543291957,2,9
1543293873,8,7
1543295803,11,5
1543297721,2,3
1543299684,1,5
1543301565,5,1
1543303484,1,0
1543305403,5,3
1543307307,1,0
1543309339,4,5
1543311160,4,35
1543313095,5,9
1543314988,1,2
1543316938,1,6
1543318856,2,7
1543320773,8,5
1543322683,7,3
1543324615,1,1
1543326537,1,6
1543328461,3,5
1543330366,1,4
1543332523,2,10
1543334514,12,4
1543336364,5,10
1543338546,6,17
1543340441,8,14
1543342370,6,6
1543344527,9,5
1543346472,17,4
1543348527,15,9
1543350496,7,12
1543352708,11,9
1543354849,11,14
1543356750,6,8
1543358690,6,14
1543360589,6,8
1543362534,5,1
1543364428,10,6
1543366354,2,2
1543368385,4,7
1543370518,3,11
1543372362,3,6
1543374354,4,10
1543376182,6,7
1543378123,10,2
1543380030,3,6
1543381979,8,11
1543383872,3,4
1543385814,6,2
1543387975,5,5
1543389883,5,2
1543391787,7,4
1543393971,5,2
1543395921,1,3
1543397822,2,5
1543399737,2,4
1543401640,4,1
1543403575,7,2
1543405480,6,2
1543407411,11,9
1543409308,2,7
1543411237,5,0
1543413172,6,2
1543415095,2,2
1543417324,10,1
1543419408,6,4
1543421395,6,10
1543423229,1,3
1543425177,3,9
1543427107,4,5
1543429001,3,6
1543431161,7,9
1543433071,4,13
1543435008,1,12
1543436950,5,4
1543438930,4,5
1543440773,11,4
1543442933,10,6
1543444845,3,4
1543446759,2,4
1543448673,6,2
1543450836,9,9
1543452775,0,1
1543454684,2,4
1543456611,4,5
1543458524,2,4
1543460492,1,3
1543462360,3,5
1543464298,2,9
1543466415,11,3
1543468393,0,7
1543470279,5,3
1543472213,16,4
1543474139,1,3
1543476042,19,3
1543477964,29,6
1543479888,24,3
1543481798,1,2
1543483974,3,3
1543485928,2,2
1543487801,0,2
1543489733,2,4
1543491651,2,3
1543493572,2,14
1543495468,3,2
1543497415,4,5
1543499322,7,6
1543501237,6,6
1543503179,2,6
1543505341,2,14
1543507319,4,5
1543509163,4,7
1543511112,5,3
1543512999,7,6
1543514933,4,1
1543516845,5,8
1543518753,3,3
1543520660,1,3
1543522610,2,4
1543524516,4,1
1543526445,7,8
1543528342,3,13
1543530296,3,6
1543532219,7,2
1543534126,1,4
1543536128,3,7
1543537949,2,2
1543539908,2,1
1543541777,3,4
1543543965,2,4
1543545858,2,2
1543547809,2,2
1543549727,4,5
1543551637,8,7
1543553565,2,8
1543555481,3,1
1543557402,3,9
1543559319,3,12
1543561313,3,2
1543563148,5,29
1543565069,1,32
1543567007,2,13
1543568933,2,3
1543570849,10,1
1543573015,10,2
1543574903,15,6
1543576846,1,2
1543578756,5,1
1543580682,6,2
1543582599,4,4
1543584521,7,5
1543586493,8,8
1543588349,11,8
1543590293,12,3
1543592191,9,0
1543594171,10,6
1543596025,7,3
1543597944,9,9
1543599888,4,6
1543601790,1,1
1543603719,6,5
1543605626,0,3
1543607562,13,0
1543609699,11,1
1543611911,7,3
1543614044,1,9
1543615980,3,6
1543617874,0,5
1543621972,1,5
1543623867,3,1
1543625807,1,4
1543627736,4,1
1543629744,1,2
1543631801,3,2
1543633728,2,2
1543635662,3,6
1543637547,1,5
1543639482,21,6
1543641389,15,2
1543643320,8,4
1543645240,6,3
1543647191,4,6
1543649074,5,4
1543651026,2,2
1543652896,4,2
1543654936,6,1
1543656773,4,5
1543658678,5,17
1543660603,3,14
1543662550,6,2
1543664441,3,3
1543666370,6,3
1543668284,8,6
1543670215,3,10
1543672344,5,10
1543674282,4,11
1543676197,4,14
1543678099,5,8
1543680110,4,9
1543681960,3,12
1543683870,3,7
1543685805,4,6
1543687743,6,2
1543689643,16,4
1543691615,16,3
1543693472,3,6
1543695419,3,14
1543697326,6,10
1543699243,6,3
1543701163,5,2
1543703064,5,5
1543705014,3,0
1543706929,4,1
1543708954,6,0
1543710881,1,4
1543712713,1,0
1543714608,2,5
1543716553,3,1
1543718438,3,2
1543720377,1,1
1543722279,0,2
