DateTime,AddedIPs,RemovedIPs
1540300828,0,1
1540329874,0,1
1540331793,1,0
1540339496,0,1
1540349313,1,0
1540357017,1,0
1540367100,1,0
1540377061,1,0
1540385085,2,0
1540391065,1,0
1540404525,1,0
1540412206,1,0
1540417969,0,1
1540426053,1,0
1540435971,0,1
1540443900,0,1
1540446057,1,0
1540451819,2,0
1540453725,1,2
1540463338,0,1
1540473163,0,1
1540478930,0,1
1540491181,0,2
1540499080,0,1
1540501004,1,0
1540512992,0,1
1540524506,1,0
1540549956,1,0
1540552145,1,0
1540564354,1,0
1540585958,0,1
1540591954,1,0
1540605960,1,0
1540631064,1,0
1540635163,1,0
1540637101,0,2
1540650763,0,2
1540674542,1,0
1540678609,0,1
1540684355,1,0
1540686305,1,0
1540692556,0,1
1540700197,1,0
1540702125,1,0
1540721796,0,1
1540737156,0,1
1540760507,1,0
1540762372,0,1
1540770535,0,1
1540772434,0,1
1540776305,2,0
1540778227,1,0
1540788057,0,1
1540789961,0,1
1540809404,1,0
1540821422,2,0
1540825324,1,0
1540847842,0,1
1540861544,0,2
1540863382,1,1
1540873255,0,1
1540875175,0,2
1540895116,0,1
1540907083,0,2
1540911155,0,1
1540917192,1,0
1540931087,1,0
1540938762,5,0
1540940715,2,0
1540942596,1,0
1540948353,1,0
1540965888,1,0
1540992996,1,1
1540994931,0,1
1541004763,0,1
1541016776,1,1
1541024672,0,4
1541026631,0,3
1541030485,0,1
1541036233,0,1
1541038160,1,0
1541051787,0,1
1541079638,0,1
1541091167,3,0
1541103161,0,1
1541127155,1,0
1541176853,0,1
1541180673,2,0
1541186688,2,0
1541211879,1,0
1541213805,0,1
1541231818,1,0
1541245232,1,0
1541247181,1,0
1541266614,0,1
1541272357,0,1
1541274315,0,1
1541281952,1,0
1541285939,1,0
1541299713,0,1
1541303564,1,0
1541317245,1,0
1541319176,0,1
1541332613,0,1
1541334513,0,1
1541342189,1,0
1541351804,0,1
1541355632,1,0
1541367418,0,1
1541369336,1,0
1541373165,0,1
1541375078,1,0
1541388997,0,1
1541402931,0,1
1541414693,1,0
1541422376,1,0
1541424289,0,1
1541428358,0,1
1541436271,1,0
1541438204,2,0
1541442040,0,1
1541453565,1,0
1541457422,0,1
1541461482,0,1
1541473021,1,0
1541488381,0,1
1541490262,0,1
1541502096,0,1
1541523698,0,3
1541538129,1,0
1541543796,1,0
1541555551,1,0
1541580749,1,1
1541592306,1,0
1541600114,0,1
1541615828,2,0
1541617718,1,0
1541623497,1,1
1541631400,0,1
1541664092,0,1
1541667971,0,1
1541676050,1,0
1541677972,1,0
1541679906,0,1
1541691631,2,0
1541693558,0,1
1541711119,0,1
1541717089,1,0
1541734372,1,0
1541753806,0,1
1541761951,1,0
1541763884,1,2
1541771798,2,0
1541777574,0,1
1541781654,0,1
1541790131,0,1
1541796033,1,0
1541797965,1,0
1541801808,1,0
1541803705,2,0
1541805624,1,0
1541843801,0,1
1541847886,0,2
1541849817,1,0
1541851753,0,1
1541853627,2,0
1541855552,1,0
1541859400,0,2
1541861347,1,0
1541876925,1,1
1541882673,0,2
1541888671,1,0
1541890590,0,1
1541892515,0,1
1541894523,1,0
1541915824,1,0
1541919867,2,0
1541925893,1,0
1541935502,0,1
1541937401,0,1
1541939205,1,1
1541941006,1,0
1541943161,0,1
1541944983,1,0
1541961170,0,1
1541963084,0,1
1541968836,2,0
1541970805,1,1
1541972927,1,0
1541976981,0,1
1541983275,0,1
1542002679,0,1
1542006515,0,2
1542021890,1,0
1542023791,1,0
1542025712,1,1
1542031501,0,1
1542035316,0,1
1542042993,0,1
1542055047,2,1
1542062690,1,1
1542064869,0,1
1542066764,1,0
1542107565,0,1
1542109468,0,1
1542111406,0,1
1542115489,1,1
1542123149,1,0
1542135139,1,0
1542137080,2,0
1542139009,0,1
1542142888,0,1
1542150547,0,1
1542152499,0,1
1542154372,1,0
1542160340,1,0
1542193707,1,0
1542201638,0,1
1542203556,1,0
1542205466,1,0
1542211291,0,1
1542221565,0,1
1542223475,0,2
1542241706,0,1
1542247491,0,1
1542273157,1,0
1542278917,0,1
1542286580,1,0
1542288522,0,1
1542292375,0,1
1542296464,1,0
1542323093,2,0
1542330778,2,0
1542357775,1,0
1542359807,0,1
1542375179,1,0
1542377070,2,0
1542380944,1,0
1542387403,1,0
1542389301,1,0
1542391305,1,0
1542395086,0,1
1542398935,2,0
1542404705,1,0
1542406672,1,0
1542408509,1,0
1542410442,3,1
1542412386,1,0
1542416195,1,0
1542418120,0,2
1542421960,1,0
1542431550,1,0
1542443081,0,1
1542462279,0,2
1542464200,0,1
1542468025,0,1
1542475954,1,0
1542477898,1,0
1542485548,1,2
1542491571,1,0
1542493496,1,1
1542495402,0,1
1542499478,0,1
1542501380,1,0
1542503322,1,1
1542507164,0,3
1542509081,1,2
1542512921,1,0
1542516766,0,1
1542520915,1,0
1542530674,0,1
1542544102,9,0
1542561558,1,1
1542563537,0,1
1542571464,1,1
1542577231,1,1
1542587120,2,1
1542588995,0,1
1542596668,0,1
1542619712,0,1
1542625475,0,1
1542629575,0,9
1542631470,0,1
1542635304,1,0
1542646917,1,0
1542655002,2,0
1542656907,2,1
1542660745,1,0
1542662676,0,1
1542670465,2,0
1542672312,0,1
1542674227,0,1
1542676141,1,0
1542678057,1,0
1542679947,1,0
1542708991,0,1
1542714756,1,0
1542720510,2,0
1542728184,0,1
1542730185,0,1
1542732027,0,2
1542733963,0,2
1542735870,2,0
1542745707,0,1
1542749556,1,0
1542751493,1,0
1542755361,1,0
1542757235,0,2
1542763019,0,1
1542764921,0,2
1542766827,1,1
1542793957,0,1
1542799721,2,0
1542801705,0,1
1542807386,0,2
1542824889,1,0
