DateTime,Entries,UniqueIPs
1542239803,12,12
1542243648,11,11
1542245559,12,12
1542247491,11,11
1542249628,10,10
1542251564,9,9
1542253497,8,8
1542261386,9,9
1542263330,10,10
1542265281,12,12
1542269105,11,11
1542271235,12,12
1542284682,13,13
1542286580,14,14
1542288523,14,14
1542292375,15,15
1542298663,14,14
1542305089,15,15
1542306990,17,17
1542308958,18,18
1542310852,19,19
1542314684,18,18
1542318771,20,20
1542326926,19,19
1542328851,20,20
1542332666,19,19
1542334596,20,20
1542336524,21,21
1542338446,22,22
1542346366,23,23
1542348295,22,22
1542350185,21,21
1542352226,19,19
1542354047,20,20
1542357776,19,19
1542367467,21,21
1542373292,20,20
1542375179,20,20
1542378994,20,20
1542387403,21,21
1542391305,20,20
1542393172,18,18
1542395086,17,17
1542396984,17,17
1542404706,17,17
1542412386,18,18
1542414266,17,17
1542416195,18,18
1542420116,17,17
1542425830,15,15
1542433486,14,14
1542435398,13,13
1542439232,12,12
1542441146,11,11
1542452684,10,10
1542458435,12,12
1542460358,13,13
1542462279,12,12
1542466108,11,11
1542469946,12,12
1542471883,15,15
1542473946,13,13
1542477898,14,14
1542479791,15,15
1542483629,14,14
1542487472,15,15
1542491572,16,16
1542493496,17,17
1542497578,16,16
1542501380,15,15
1542503322,14,14
1542505239,15,15
1542509081,17,17
1542526846,18,18
1542530675,23,23
1542536437,24,24
1542544102,22,22
1542546109,22,22
1542547970,23,23
1542553752,24,24
1542555641,25,25
1542557617,22,22
1542561558,23,23
1542563537,22,22
1542565476,23,23
1542567707,22,22
1542575329,23,23
1542577232,22,22
1542579397,20,20
1542588995,21,21
1542590902,21,21
1542594759,20,20
1542602437,21,21
1542612034,20,20
1542615860,19,19
1542617776,15,15
1542619712,16,16
1542621699,17,17
1542623545,16,16
1542629575,17,17
1542631470,17,17
1542635304,18,18
1542639158,17,17
1542642986,16,16
1542646917,15,15
1542648924,16,16
1542650924,15,15
1542660746,16,16
1542666589,15,15
1542672313,17,17
1542676146,16,16
1542678058,15,15
1542681878,14,14
1542685713,14,14
1542687638,13,13
1542705205,14,14
1542707064,12,12
1542708991,14,14
1542714757,13,13
1542716688,12,12
1542722486,11,11
1542733963,12,12
1542735870,11,11
1542738023,12,12
1542739969,13,13
1542743803,12,12
1542745707,11,11
1542747694,10,10
1542755361,11,11
1542757235,12,12
1542759173,13,13
1542772902,12,12
1542774770,13,13
1542776682,14,14
1542788243,13,13
1542790165,11,11
1542793958,10,10
1542795866,9,9
1542797802,10,10
1542809330,13,13
1542811239,14,14
1542819064,13,13
1542824889,11,11
1542838592,12,12
1542840516,11,11
1542842445,10,10
1542844402,8,8
1542846515,9,9
1542858036,10,10
1542859944,9,9
1542861875,8,8
1542873692,9,9
1542877470,10,10
1542879412,11,11
1542883223,12,12
1542885164,11,11
1542894990,10,10
1542896895,9,9
1542898890,8,8
1542916579,9,9
1542924264,8,8
1542926204,9,9
1542928111,10,10
1542932069,11,11
1542944196,10,10
1542955701,11,11
1542961474,11,11
1542963376,10,10
1542965299,9,9
1542969148,8,8
1542974903,9,9
1542980669,11,11
1542982608,10,10
1542984499,12,12
1542990516,13,13
1543000128,14,14
1543003959,15,15
1543009710,14,14
1543011638,13,13
1543015978,12,12
1543019813,14,14
1543027492,15,15
1543042900,14,14
1543046690,15,15
1543048601,15,15
1543052674,16,16
1543060919,15,15
1543066833,13,13
1543068752,16,16
1543070686,15,15
1543072589,14,14
1543076425,15,15
1543078348,14,14
1543086196,13,13
1543092048,15,15
1543107381,14,14
1543109322,13,13
1543113398,12,12
1543115332,13,13
1543117227,14,14
1543124922,15,15
1543132589,14,14
1543134750,13,13
1543136697,14,14
1543138613,13,13
1543142455,14,14
1543146286,15,15
1543153948,13,13
1543155902,13,13
1543157799,14,14
1543161717,14,14
1543163567,14,14
1543177240,15,15
1543179154,14,14
1543181086,13,13
1543183001,12,12
1543188769,14,14
