DateTime,AddedIPs,RemovedIPs
1543201482,8,7
1543203391,5,7
1543205331,9,11
1543207271,10,8
1543209168,3,10
1543211079,2,5
1543213011,12,5
1543214906,6,5
1543217108,8,9
1543219000,12,4
1543221151,9,9
1543223068,13,10
1543224978,7,10
1543226917,4,9
1543228825,9,7
1543230651,3,5
1543232659,11,5
1543234576,11,6
1543236515,10,12
1543238430,11,9
1543240336,12,5
1543242256,10,3
1543244212,17,9
1543246558,14,9
1543248543,7,5
1543250425,8,2
1543252594,15,7
1543254767,17,12
1543256684,13,8
1543258622,9,4
1543260934,11,6
1543262927,7,6
1543264833,6,8
1543266760,12,8
1543268689,14,12
1543270601,8,3
1543272508,8,7
1543274434,8,6
1543276366,6,8
1543278320,12,6
1543280193,12,12
1543282125,10,7
1543284137,11,12
1543286111,3,7
1543288130,11,8
1543290036,5,7
1543291958,7,8
1543293874,16,6
1543295804,10,5
1543297722,2,8
1543299685,7,10
1543301566,3,6
1543303486,12,9
1543305404,11,13
1543307308,6,9
1543309340,5,10
1543311162,6,8
1543313096,9,4
1543314990,9,8
1543316939,8,6
1543318857,12,6
1543320775,23,14
1543322684,10,9
1543324616,4,10
1543326538,6,14
1543328463,10,8
1543330367,6,10
1543332524,12,13
1543334515,12,11
1543336365,6,7
1543338547,8,17
1543340442,13,12
1543342371,10,19
1543344528,8,9
1543346473,21,10
1543348528,21,8
1543350497,11,8
1543352722,17,11
1543354850,10,16
1543356751,10,10
1543358691,9,7
1543360590,5,10
1543362535,10,6
1543364429,7,10
1543366355,7,14
1543368386,15,13
1543370519,11,10
1543372363,15,4
1543374355,11,9
1543376182,7,4
1543378125,2,7
1543380031,5,13
1543381980,7,11
1543383873,9,2
1543385815,8,7
1543387976,8,4
1543389884,5,13
1543391787,8,12
1543393972,9,7
1543395924,9,7
1543397823,8,11
1543399738,8,5
1543401640,9,8
1543403576,19,9
1543405481,6,18
1543407412,4,21
1543409309,10,7
1543411238,11,5
1543413173,8,7
1543415096,18,9
1543417326,14,9
1543419409,6,12
1543421396,17,8
1543423230,9,6
1543425178,6,6
1543427108,16,12
1543429002,6,9
1543431161,6,8
1543433072,12,23
1543435009,3,19
1543436951,5,12
1543438931,13,16
1543440774,8,8
1543442934,3,11
1543444846,10,10
1543446760,16,6
1543448674,9,8
1543450837,5,9
1543452776,3,7
1543454686,9,13
1543456612,5,11
1543458525,7,17
1543460509,8,10
1543462361,11,8
1543464300,11,3
1543466416,8,5
1543468394,10,7
1543470279,5,9
1543472215,14,8
1543474140,10,6
1543476044,9,6
1543477965,6,7
1543479889,38,5
1543481800,8,12
1543483975,67,7
1543485929,9,7
1543487803,10,9
1543489735,6,7
1543491652,10,5
1543493572,11,6
1543495469,12,9
1543497416,5,12
1543499323,5,9
1543501239,12,3
1543503180,12,12
1543505342,12,9
1543507320,15,11
1543509164,13,26
1543511112,13,8
1543513000,4,16
1543514934,6,6
1543516846,8,2
1543518755,10,16
1543520661,12,6
1543522611,9,4
1543524516,11,13
1543526446,9,8
1543528343,12,4
1543530298,7,8
1543532220,9,10
1543534127,10,12
1543536139,5,7
1543537950,10,4
1543539910,7,4
1543541778,5,10
1543543966,4,7
1543545859,8,6
1543547809,11,10
1543549728,13,8
1543551638,13,9
1543553566,5,6
1543555482,4,9
1543557403,12,11
1543559320,13,12
1543561315,4,9
