DateTime,AddedIPs,RemovedIPs
1543201488,14,12
1543203394,12,10
1543205333,24,14
1543207292,20,17
1543209180,1223,18
1543211082,2096,12
1543213014,1825,19
1543214909,1173,19
1543217111,16,19
1543219003,15,43
1543221153,16,815
1543223071,22,34
1543224981,16,11
1543226919,19,14
1543228827,10,31
1543230654,16,16
1543232662,14,17
1543234578,21,16
1543236518,17,18
1543238433,20,34
1543240339,14,19
1543242258,21,15
1543244219,7,21
1543246561,17,26
1543248555,11,22
1543250429,64,19
1543252597,66,20
1543254770,45,25
1543256694,29,24
1543258625,51,21
1543260947,39,36
1543262929,40,318
1543264836,78,1283
1543266762,113,26
1543268694,49,17
1543270604,30,7
1543272511,26,9
1543274437,29,13
1543276369,20,16
1543278323,40,34
1543280195,27,26
1543282127,21,9
1543284139,24,17
1543286125,25,17
1543288133,14,7
1543290038,18,19
1543291960,14,14
1543293876,21,20
1543295807,23,17
1543297724,11,23
1543299688,16,31
1543301568,41,28
1543303489,20,18
1543305407,29,13
1543307332,10,14
1543309342,39,25
1543311164,10,10
1543313099,20,14
1543314992,25,12
1543316941,39,9
1543318859,7,11
1543320777,1646,14
1543322698,10,8
1543324618,14,9
1543326540,13,9
1543328466,9,10
1543330369,3,8
1543332526,9,20
1543334519,11,11
1543336367,11,25
1543338550,23,20
1543340445,13,22
1543342373,34,11
1543344530,37,14
1543346482,19,15
1543348530,17,12
1543350499,25,19
1543352739,32,17
1543354852,17,11
1543356754,16,9
1543358693,12,10
1543360592,18,19
1543362537,19,7
1543364431,19,16
1543366357,13,10
1543368388,12,6
1543370522,15,9
1543372365,13,1288
1543374358,17,1938
1543376184,13,1612
1543378127,12,1327
1543380033,15,13
1543381982,5,14
1543383875,7,10
1543385817,1054,13
1543387978,2273,23
1543389886,1725,8
1543391790,1123,12
1543393974,26,12
1543395931,13,36
1543397828,16,7
1543399741,46,13
1543401643,11,16
1543403579,8,13
1543405483,48,44
1543407415,78,1601
1543409311,50,14
1543411240,60,17
1543413188,31,10
1543415099,51,11
1543417328,47,10
1543419411,33,14
1543421398,43,8
1543423232,22,11
1543425181,21,13
1543427110,28,11
1543429005,19,20
1543431164,21,7
1543433074,40,11
1543435011,23,8
1543436954,25,12
1543438933,20,18
1543440777,27,13
1543442937,51,15
1543444848,20,8
1543446762,11,15
1543448676,16,13
1543450839,18,14
1543452789,18,7
1543454688,11,9
1543456614,21,14
1543458527,5,13
1543460522,16,15
1543462363,10,14
1543464303,11,10
1543466419,11,23
1543468397,12,14
1543470283,13,7
1543472217,9,1115
1543474143,7,2120
1543476046,41,1869
1543477967,19,1409
1543479891,20,21
1543481803,15,17
1543483977,9,66
1543485931,7,51
1543487804,614,8
1543489737,350,9
1543491653,41,19
1543493574,34,28
1543495471,29,19
1543497419,27,27
1543499324,20,14
1543501242,15,24
1543503182,28,21
1543505344,23,15
1543507323,23,16
1543509166,18,14
1543511115,21,17
1543513002,10,16
1543514936,16,18
1543516848,11,13
1543518757,8,18
1543520663,6,9
1543522612,30,16
1543524518,38,9
1543526447,40,15
1543528356,27,45
1543530299,42,14
1543532222,39,9
1543534129,32,10
1543536147,13,9
1543537952,21,12
1543539936,17,9
1543541780,10,8
1543543967,14,17
1543545861,12,11
1543547811,15,13
1543549730,12,8
1543551639,9,20
1543553567,7,17
1543555484,28,15
1543557405,9,17
1543559321,31,23
1543561317,43,22
1543563151,50,19
1543565074,30,23
1543567009,54,19
1543568935,52,7
1543570851,27,12
1543573031,15,5
1543574914,19,967
1543576849,10,10
1543578759,24,14
1543580685,18,21
1543582602,20,19
1543584524,18,20
1543586507,53,16
1543588351,20,22
1543590307,9,19
1543592194,38,22
1543594174,43,24
1543596028,39,23
1543597947,18,29
1543599891,11,26
1543601793,21,44
1543603722,21,15
1543605628,16,13
1543607564,14,7
1543609702,21,27
1543611916,20,30
1543614047,11,26
1543615993,15,29
1543617877,14,17
1543619801,12,20
1543621975,11,25
1543623869,7,21
1543625810,12,18
1543627739,19,26
1543629748,10,22
1543631803,13,17
1543633732,8,14
1543635672,8,21
1543637550,9,16
1543639485,7,18
1543641391,8,17
1543643322,14,27
1543645243,11,19
1543647200,11,24
1543649077,5,29
1543651029,8,19
1543652899,6,26
1543654939,9,63
1543656778,9,30
1543658682,8,20
1543660606,17,19
1543662553,14,25
1543664444,7,18
1543666373,65,26
1543668287,72,20
1543670220,46,35
1543672347,37,42
1543674285,23,37
1543676201,25,18
1543678102,24,25
1543680113,54,31
1543681968,271,17
1543683887,39,20
1543685808,33,15
1543687746,38,9
1543689646,24,9
1543691617,26,15
1543693474,26,15
1543696366,31,22
1543698714,28,20
1543700666,13,13
1543702580,16,9
1543704506,11,13
1543706433,12,12
1543708361,7,12
1543710269,13,13
1543712192,9,13
1543714132,12,29
1543716094,9,18
1543717962,5,22
1543719875,8,11
1543721786,13,10
1543723719,10,10
1543725620,13,8
1543727561,8,10
1543729467,21,13
1543731398,7,8
1543733302,15,13
1543735251,15,10
1543737141,9,11
1543739083,12,10
1543740980,6,5
1543742901,11,14
1543744882,6,14
1543746774,29,16
1543748672,23,19
1543750602,44,13
1543752804,51,22
1543754671,1658,22
1543756573,32,16
1543758509,36,14
1543760680,29,31
1543762579,25,19
1543764499,26,16
1543766494,29,10
1543768350,22,376
1543770300,70,14
1543772193,31,14
1543774103,41,17
1543776020,34,19
1543777969,34,13
1543779854,47,13
1543782049,47,15
1543783949,31,15
1543786024,25,17
1543788108,23,13
1543789933,22,6
1543791862,19,16
1543793790,11,11
1543795730,14,11
1543797640,21,17
1543799544,13,16
1543801495,13,11
1543803387,26,13
1543805323,7,9
1543807468,14,15
1543809395,9,14
1543811309,7,12
1543813311,13,15
1543815392,15,25
1543817324,7,20
1543819226,9,21
1543821172,6,17
1543823070,7,15
1543824989,11,23
1543826903,19,23
1543828818,14,24
1543830985,14,11
1543832902,2,22
1543834901,9,13
