DateTime,Entries,UniqueIPs
1543125886,73,73
1543128054,72,72
1543129977,71,71
1543131856,70,70
1543133795,71,71
1543135720,69,69
1543137647,69,69
1543139546,69,69
1543141497,68,68
1543143383,69,69
1543145566,67,67
1543147482,64,64
1543149381,63,63
1543151327,63,63
1543155404,66,66
1543157312,68,68
1543159231,69,69
1543161177,69,69
1543163069,70,70
1543165006,68,68
1543166906,71,71
1543168905,73,73
1543170755,71,71
1543172696,72,72
1543174601,71,71
1543176526,69,69
1543178669,68,68
1543180593,67,67
1543182507,66,66
1543184429,67,67
1543186369,66,66
1543188258,66,66
1543190195,67,67
1543192095,68,68
1543193906,64,64
1543195723,65,65
1543197711,62,62
1543199588,62,62
1543201489,64,64
1543203394,62,62
1543205333,61,61
1543207293,59,59
1543209181,60,60
1543211085,60,60
1543213018,62,62
1543214909,63,63
1543217112,63,63
1543219003,66,66
1543221154,66,66
1543223072,65,65
1543224981,62,62
1543226920,64,64
1543228828,63,63
1543230654,63,63
1543232662,66,66
1543234579,67,67
1543236518,71,71
1543238433,71,71
1543240339,72,72
1543242259,69,69
1543244219,65,65
1543246561,67,67
1543248555,68,68
1543250443,67,67
1543252598,65,65
1543254770,65,65
1543256694,67,67
1543258625,65,65
1543260947,64,64
1543262929,64,64
1543264837,69,69
1543266763,71,71
1543268695,72,72
1543270604,71,71
1543272511,70,70
1543274437,71,71
1543276369,71,71
1543278323,71,71
1543280196,71,71
1543282127,69,69
1543284140,70,70
1543286126,69,69
1543288133,67,67
1543290039,68,68
1543293876,65,65
1543295807,63,63
1543297725,63,63
1543299688,63,63
1543301569,62,62
1543303490,63,63
1543305407,60,60
1543307343,59,59
1543309343,60,60
1543311164,61,61
1543313099,61,61
1543314992,59,59
1543316953,58,58
1543318860,55,55
1543320777,56,56
1543322698,51,51
1543324619,51,51
1543326540,52,52
1543328466,52,52
1543330370,54,54
1543332526,53,53
1543334521,54,54
1543336368,55,55
1543338550,55,55
1543340445,56,56
1543342373,54,54
1543344530,55,55
1543346483,54,54
1543348531,53,53
1543350500,51,51
1543352739,47,47
1543354853,45,45
1543356754,45,45
1543358693,46,46
1543360593,45,45
1543362537,44,44
1543364432,44,44
1543366358,45,45
1543370522,42,42
1543372366,43,43
1543376185,43,43
1543378128,43,43
1543381982,42,42
1543385818,39,39
1543387979,41,41
1543389887,42,42
1543391790,45,45
1543393974,45,45
1543395932,44,44
1543397829,42,42
1543399741,41,41
1543401643,42,42
1543403579,44,44
1543405484,44,44
1543407415,43,43
1543409312,46,46
1543411241,43,43
1543415099,41,41
1543417329,41,41
1543419411,41,41
1543421399,40,40
1543423233,40,40
1543425181,40,40
1543427111,40,40
1543429005,40,40
1543431164,39,39
1543433074,38,38
1543436954,39,39
1543438933,39,39
1543440777,42,42
1543442937,44,44
1543444849,44,44
1543446762,46,46
1543448677,46,46
1543450839,45,45
1543452790,45,45
1543454689,46,46
1543456614,48,48
1543458528,50,50
1543462364,51,51
1543464303,54,54
1543468397,55,55
1543470284,56,56
1543472219,57,57
1543474143,57,57
1543476046,56,56
1543477967,52,52
1543479891,52,52
1543481807,55,55
1543483977,56,56
1543485931,57,57
1543487805,58,58
1543489738,59,59
1543491654,58,58
1543493574,59,59
1543495471,56,56
1543497420,62,62
1543501242,64,64
1543503182,62,62
1543505344,64,64
1543507324,64,64
1543509166,62,62
1543511115,65,65
1543513002,64,64
1543514938,64,64
1543516848,63,63
1543518758,65,65
1543520663,67,67
1543522613,66,66
1543526448,67,67
1543528356,66,66
1543530300,65,65
1543532222,67,67
1543534129,67,67
1543536147,67,67
1543539941,70,70
1543541780,69,69
1543543968,70,70
1543545861,70,70
1543547811,71,71
1543549730,70,70
1543551640,69,69
1543553568,70,70
1543555484,71,71
1543557405,70,70
1543559322,67,67
1543561317,66,66
1543563151,65,65
1543567010,64,64
1543568936,62,62
1543570852,61,61
1543573031,61,61
1543574914,61,61
1543576849,60,60
1543578759,58,58
1543580685,59,59
1543582602,57,57
1543584524,55,55
1543586508,56,56
1543588352,57,57
1543590309,56,56
1543592194,54,54
1543594174,55,55
1543596029,55,55
1543597947,56,56
1543599892,57,57
1543601793,57,57
1543605629,55,55
1543607564,54,54
1543609702,57,57
1543611917,57,57
1543614047,56,56
1543615994,54,54
1543617877,53,53
1543619802,53,53
1543621975,53,53
1543623870,57,57
1543625812,57,57
1543627739,53,53
1543631804,50,50
1543633734,49,49
1543635672,50,50
1543637550,51,51
1543639485,50,50
1543641392,53,53
1543643323,54,54
1543645243,58,58
1543647210,59,59
1543649077,60,60
1543651029,61,61
1543652899,60,60
1543654940,63,63
1543656779,62,62
1543658682,63,63
1543660606,62,62
1543662554,61,61
1543666374,62,62
1543668287,61,61
1543670230,61,61
1543672348,61,61
1543674285,62,62
1543676201,62,62
