DateTime,AddedIPs,RemovedIPs
1543020780,3,0
1543022683,1,1
1543024599,1,2
1543026535,1,1
1543028546,4,0
1543034186,3,1
1543036124,2,1
1543038037,0,1
1543039947,2,0
1543041881,2,1
1543043807,2,0
1543045700,2,0
1543047631,3,0
1543049560,0,1
1543053398,2,0
1543055309,0,1
1543057510,2,4
1543059413,1,0
1543061327,2,0
1543063229,4,0
1543065185,1,2
1543067335,1,0
1543069249,1,2
1543071139,2,1
1543073126,0,1
1543075013,1,3
1543076896,1,4
1543078899,0,1
1543080767,0,1
1543082669,1,1
1543084605,1,0
1543086523,1,1
1543090590,2,3
1543092504,1,0
1543096348,0,2
1543098279,2,1
1543100200,3,1
1543102130,3,2
1543104178,3,1
1543106527,2,3
1543108620,1,0
1543110510,2,1
1543112448,1,1
1543114360,2,1
1543116285,0,2
1543118199,1,0
1543120130,3,1
1543122128,2,2
1543123955,1,0
1543125887,1,0
1543128055,0,4
1543129978,1,2
1543131857,1,1
1543133797,1,1
1543135721,1,1
1543137648,5,0
1543139548,0,1
1543141498,0,1
1543143385,1,0
1543145567,1,1
1543147484,2,3
1543149382,0,4
1543151329,0,1
1543155405,0,1
1543157313,3,1
1543159232,2,0
1543161178,1,1
1543163071,0,1
1543165007,13,1
1543166907,1,0
1543168918,2,3
1543172698,1,1
1543176528,0,1
1543178670,1,1
1543182508,1,0
1543184430,1,1
1543186370,0,4
1543188259,5,1
1543190196,0,2
1543192096,1,1
1543193907,2,2
1543195724,2,1
1543197712,1,2
1543199589,0,1
1543201490,1,1
1543203395,2,1
1543205335,4,1
1543207294,1,3
1543209182,0,2
1543211086,1,1
1543213019,1,0
1543214910,0,2
1543217113,0,1
1543219004,2,2
1543221155,1,0
1543223073,0,1
1543224982,0,2
1543226921,1,2
1543228829,1,0
1543230655,1,1
1543232663,0,1
1543234580,1,0
1543236519,1,2
1543240341,1,0
1543242260,1,1
1543244220,1,2
1543246562,3,3
1543248557,2,2
1543250444,2,0
1543252599,2,13
1543254771,0,4
1543256695,1,0
1543258626,1,1
1543260948,3,1
1543262931,1,0
1543264838,2,2
1543266764,0,1
1543268696,2,1
1543270605,2,1
1543272512,3,1
1543274438,3,3
1543276370,1,1
1543278324,1,0
1543280197,0,1
1543282128,1,1
1543284141,1,0
1543286127,1,0
1543288134,2,0
1543290040,0,1
1543291962,0,1
1543293877,3,3
1543295808,1,0
1543299689,2,1
1543301570,1,0
1543303492,1,0
1543305408,2,3
1543307344,0,1
1543309344,2,0
1543313100,1,0
1543314993,1,3
1543316955,0,3
1543320779,2,2
1543322699,0,1
1543324620,3,0
1543326542,1,0
1543328467,0,2
1543330371,1,2
1543332527,2,3
1543334522,1,2
1543336369,2,3
1543338551,3,1
1543340446,3,0
1543342374,5,1
1543344532,0,3
1543346484,3,2
1543348532,0,1
1543350501,3,1
1543352741,1,1
1543354854,1,1
1543356755,1,1
1543358694,2,2
1543360594,2,2
1543364433,2,0
1543366359,3,1
1543368389,2,2
1543374389,1,2
1543376418,1,1
1543380270,0,1
1543382171,1,2
1543384373,1,1
1543388452,0,1
1543390343,1,0
1543392294,0,3
1543396347,1,5
1543398282,1,3
1543400701,1,1
1543402598,2,0
1543404524,2,1
1543406544,1,1
1543408359,1,0
1543410272,2,0
1543412201,0,2
1543414124,0,2
1543416035,1,0
1543418460,1,2
1543420359,2,0
1543422258,1,2
1543424195,2,2
