DateTime,Entries,UniqueIPs
1543199590,378,378
1543201491,378,378
1543203396,381,381
1543205335,383,383
1543207294,377,377
1543209182,375,375
1543211087,372,372
1543213020,375,375
1543214911,376,376
1543217114,383,383
1543219008,383,383
1543221155,385,385
1543223074,377,377
1543224983,363,363
1543226921,354,354
1543228829,352,352
1543230656,350,350
1543232664,351,351
1543234581,350,350
1543236520,348,348
1543238435,345,345
1543240341,344,344
1543242261,344,344
1543244221,353,353
1543246563,349,349
1543248558,350,350
1543250445,343,343
1543252599,342,342
1543254775,339,339
1543256696,335,335
1543258627,329,329
1543260949,325,325
1543262932,331,331
1543264838,339,339
1543266765,337,337
1543268696,334,334
1543270606,324,324
1543272513,321,321
1543274439,335,335
1543276371,357,357
1543278325,379,379
1543280197,368,368
1543282129,352,352
1543284141,345,345
1543286127,346,346
1543288135,349,349
1543290040,349,349
1543291962,348,348
1543293878,351,351
1543295809,350,350
1543297726,349,349
1543299690,353,353
1543301570,365,365
1543303493,369,369
1543305408,379,379
1543307345,377,377
1543309344,375,375
1543311166,373,373
1543313101,371,371
1543314994,363,363
1543316955,378,378
1543318861,385,385
1543320779,393,393
1543322699,400,400
1543324620,411,411
1543326542,429,429
1543328468,440,440
1543330371,448,448
1543332528,454,454
1543334522,459,459
1543336369,472,472
1543338552,474,474
1543340447,473,473
1543342375,468,468
1543344533,466,466
1543346484,462,462
1543348532,460,460
1543350501,455,455
1543352742,450,450
1543354854,451,451
1543356755,451,451
1543358695,456,456
1543360594,445,445
1543362539,432,432
1543364433,416,416
1543366359,421,421
1543368390,424,424
1543370524,430,430
1543372367,441,441
1543374392,448,448
1543376418,454,454
1543378350,472,472
1543380271,486,486
1543382171,500,500
1543384373,511,511
1543386295,521,521
1543388469,522,522
1543390343,517,517
1543392294,524,524
1543394181,537,537
1543396359,544,544
1543398283,548,548
1543400702,552,552
1543402599,549,549
1543404525,542,542
1543406548,530,530
1543408360,519,519
1543410275,501,501
1543412202,490,490
1543414125,479,479
1543416035,472,472
1543418461,462,462
1543420360,451,451
1543422259,444,444
1543424195,433,433
1543426120,435,435
1543428061,435,435
1543429960,442,442
1543432103,446,446
1543434019,450,450
1543436123,452,452
