DateTime,AddedIPs,RemovedIPs
1533146182,2,51
1533168328,1,37
1533190351,2,39
1533212209,1,29
1533234299,7,23
1533256354,2,7
1533278426,1,13
1533300524,1,11
1533322382,2,80
1533344428,5,11
1533366277,1,24
1533388665,3,4
1533410662,2,25
1533432516,0,8
1533454979,3,23
1533476917,4,44
1533498984,1,30
1533521115,4,4
1533543146,4,66
1533565260,6,38
1533587334,7,53
1533609233,5,23
1533631473,3,51
1533653533,27,11
1533675381,188,2
1533697299,97,3
1533719329,228,5
1533741384,139,2
1533763468,76,1
1533785547,53,0
1533807642,34,3
1533829495,41,2
1533851533,25,7
1533873413,25,4
1533895460,32,4
1533917513,34,2
1533939381,62,2
1533961233,51,7
1533983083,6,3
1534005164,9,2
1534027229,20,1
1534049076,7,4
1534071167,15,3
1534093289,12,1
1534115546,24,2
1534137682,16,5
1534159724,16,4
1534181812,14,6
1534203806,8,9
1534225855,21,1
1534247793,37,5
1534269874,4,30
1534291969,5,6
1534314029,4,47
1534335873,3,54
1534357953,5,23
1534380778,0,52
1534403214,5,10
1534425168,2,17
1534447225,5,15
1534469255,2,21
1534491189,0,31
1534513216,5,20
1534535095,25,66
1534557159,23,108
1534579308,8,1
1534601325,21,4
1534623277,4,44
1534645229,32,16
1534667328,18,28
1534689383,9,23
1534711552,61,45
1534733562,26,26
1534755706,36,27
1534777602,12,26
1534799554,18,19
1534821638,6,33
1534843479,3,89
1534865558,3,53
1534887408,4,6
1534909464,1,6
1534931313,83,4
1534953406,64,5
1534975503,22,4
1534997545,44,2
1535019625,29,2
1535041513,13,2
1535063777,9,3
1535085630,32,2
1535107707,34,2
1535129779,25,5
1535151710,24,27
1535173710,7,17
1535195832,4,9
1535217872,2,12
1535239949,2,11
1535262019,6,22
1535283869,2,10
1535306812,10,18
1535328735,5,67
1535350620,1,33
1535372674,1,19
1535395004,0,16
1535417058,6,14
1535439041,1,11
1535461321,3,3
1535483573,3,4
1535505688,3,4
1535527949,5,34
1535549839,2,103
1535571874,0,19
1535594251,1,71
1535616536,0,51
1535638882,5,40
1535661176,3,34
1535683227,3,42
1535705101,1,46
1535727152,2,173
1535749494,0,94
1535771563,3,23
1535793638,4,5
1535815738,5,2
1535838046,1,1
1535860146,2,5
1535882206,2,0
1535904306,0,8
1535926339,2,5
1535948467,1,3
1535970531,5,1
1535992835,0,4
1536014695,13,11
1536037102,55,2
1536059093,79,6
1536081159,92,3
1536103482,169,4
1536125567,108,6
1536147414,61,10
1536169461,38,2
1536191318,48,2
1536213170,60,5
1536235307,62,5
1536257306,21,5
1536279422,18,3
1536301491,37,3
1536323589,22,1
1536345639,28,3
1536367698,13,1
1536389553,9,1
1536411413,2,5
1536433286,8,4
1536455310,35,3
1536477170,6,1
1536499250,18,0
1536521302,30,1
1536543412,50,2
1536565392,5,1
1536587397,4,6
1536609381,11,1
1536631301,4,6
1536653309,11,21
1536675399,12,6
1536697457,5,35
1536719341,7,44
1536741398,17,31
1536763504,4,24
1536785564,7,37
1536807705,4,30
1536829965,1,66
1536852057,19,38
1536874363,1,16
1536896435,46,20
1536918298,18,39
1536940384,28,6
1536962518,2,23
1536984759,18,22
1537006620,1,0
1537028773,5,7
1537050790,4,23
1537072864,1,17
1537095161,4,13
1537117279,8,20
1537139568,14,109
1537161653,14,52
1537183707,2,6
1537205813,48,26
1537228142,106,9
1537250205,65,19
1537272116,16,46
1537294371,35,11
1537316222,21,7
1537338289,24,10
1537360364,8,14
1537382419,3,7
1537404290,23,5
1537426479,26,4
1537448700,7,16
1537470768,8,6
1537492850,4,20
1537514923,21,31
1537536778,22,29
1537558832,4,14
1537580935,19,2
1537602983,4,13
1537625130,8,0
1537647143,3,10
1537669297,8,2
1537691307,2,2
1537713414,18,8
1537735455,16,6
1537757325,19,22
1537779375,12,5
1537801511,19,6
1537823571,15,102
1537845658,61,94
1537867727,53,31
1537890026,49,30
1537911872,56,22
1537933722,13,27
1537955785,11,12
1537977917,71,7
1537999962,26,16
1538022034,16,24
1538043899,5,15
1538065966,22,11
1538088036,7,6
1538109898,1,6
1538131948,9,26
1538153798,6,7
1538175881,27,20
1538197983,36,5
1538220270,14,9
1538242369,5,8
1538264453,7,2
1538286518,2,11
1538308371,2,10
1538341475,12,18
1538363565,6,19
1538385433,2,13
1538407481,3,25
1538429566,7,15
1538451658,2,68
1538473727,3,51
1538495570,0,65
1538517893,10,63
1538539969,119,18
1538562024,64,15
1538583888,12,31
1538605940,46,25
1538628042,17,19
1538650110,25,18
1538671973,43,19
1538694125,10,12
1538716355,17,3
1538738443,29,10
1538760301,34,13
1538782354,40,23
1538804594,18,38
1538826530,5,12
1538848890,17,4
1538870929,9,5
1538893023,8,5
1538915091,25,0
1538937137,10,7
1538959234,11,14
1538981562,10,2
1539003706,4,7
1539025727,16,3
1539047790,18,4
1539069643,25,1
1539091610,11,1
1539113548,10,49
1539135393,12,34
1539157270,13,57
1539179356,3,8
1539201392,16,26
1539223498,63,28
