DateTime,Entries,UniqueIPs
1541893692,24787,27227
1541894422,24783,27228
1541895382,24787,27232
1541896339,24785,27231
1541897795,24781,27226
1541898782,24829,27295
1541899466,24832,27309
1541900430,24829,27311
1541901389,24823,27305
1541902359,24797,27283
1541903310,24798,27284
1541904272,24799,27287
1541904982,24802,27290
1541905712,24812,27300
1541906691,24801,27288
1541907384,24796,27286
1541908109,24793,27283
1541909141,24798,27288
1541910031,24799,27290
1541910995,24800,27289
1541911704,24803,27292
1541912444,24798,27289
1541913144,24796,27288
1541913875,24799,27288
1541914845,24799,27288
1541915791,24802,27292
1541916755,24806,27296
1541917466,24807,27295
1541918182,24805,27294
1541918905,24809,27298
1541919636,24808,27297
1541920621,24812,27301
1541921553,24811,27303
1541922514,24817,27310
1541923478,24818,27311
1541924433,24820,27312
1541925152,24820,27311
1541925870,24818,27308
1541926582,24821,27311
1541927318,24820,27310
1541928290,24821,27311
1541929228,24821,27313
1541930189,24822,27315
1541931163,24830,27323
1541931866,24830,27323
1541932583,24829,27322
1541933305,24823,27318
1541934039,24821,27316
1541934982,24821,27316
1541936199,24825,27326
1541936907,24823,27324
1541938107,24834,27333
1541939566,24836,27332
1541940264,24839,27335
1541940991,24842,27338
1541941958,24842,27339
1541942676,24842,27339
1541943381,24840,27335
1541944093,24841,27336
1541944957,24842,27335
1541945798,24841,27334
1541946501,24843,27336
1541947230,24843,27335
1541947974,24843,27335
1541948916,24838,27327
1541950335,24834,27324
1541951055,24833,27323
1541952019,24832,27322
1541953001,24829,27322
1541953953,24821,27312
1541954665,24823,27314
1541955383,24822,27312
1541956107,24821,27311
1541956835,24826,27318
1541957798,24823,27313
1541958755,24822,27309
1541959717,24823,27312
1541960669,24820,27308
1541961633,24824,27312
1541962591,24825,27312
1541963562,24827,27314
1541964266,24830,27318
1541964988,24829,27311
1541965706,24832,27315
1541966437,24834,27316
1541967396,24827,27309
1541968352,24831,27313
1541969314,24837,27319
1541970047,24840,27322
1541971254,24842,27323
1541971953,24839,27318
1541972912,24847,27325
1541973628,24848,27326
1541974350,24847,27326
1541975074,24846,27328
1541975784,24849,27333
1541976527,24850,27332
1541977241,24851,27335
1541977956,24852,27340
1541978670,24850,27337
1541979387,24850,27337
1541980107,24851,27336
1541980838,24853,27337
1541981803,24851,27334
1541982820,24854,27337
1541983713,24857,27339
1541984433,24855,27333
1541985151,24854,27332
1541985896,24845,27323
1541986840,24840,27319
1541987794,24831,27310
1541988740,24824,27303
1541989452,24828,27307
1541990170,24826,27306
1541990895,24830,27311
1541991611,24834,27314
1541992583,24837,27316
1541993538,24831,27311
1541994501,24824,27304
1541995460,24825,27305
1541996415,24826,27307
1541997396,24825,27304
1541998339,24833,27312
1541999316,24830,27309
1542000268,24833,27312
1542001228,24838,27317
1542002193,24838,27315
1542003157,24840,27314
1542003866,24840,27316
1542004587,24847,27323
1542005307,24845,27321
1542006039,24849,27325
1542006998,24849,27324
1542007954,24852,27327
1542008925,24854,27329
1542009868,24852,27327
1542010814,24847,27322
1542011533,24850,27326
1542012255,24848,27323
1542012966,24851,27328
1542013725,24851,27325
1542014667,24857,27329
1542015630,24855,27325
1542016344,24859,27327
1542017075,24858,27326
1542017789,24860,27330
1542018516,24859,27329
1542019454,24832,27297
1542020437,24821,27284
1542021148,24826,27290
1542021868,24823,27285
1542022583,24824,27283
