DateTime,AddedIPs,RemovedIPs
1541896339,7,6
1541897795,12,13
1541898782,91,4
1541899466,15,6
1541900430,9,9
1541901389,6,5
1541902359,6,9
1541903310,7,12
1541904272,17,16
1541904982,4,0
1541905712,15,13
1541906691,3,13
1541907384,5,12
1541908109,4,11
1541909141,11,10
1541910031,7,14
1541910995,10,5
1541911704,5,5
1541912444,5,4
1541913144,4,6
1541913875,4,4
1541914845,2,5
1541915791,8,9
1541916755,8,6
1541917466,3,8
1541918182,3,0
1541918905,5,5
1541919636,6,1
1541920621,6,11
1541921553,7,0
1541922514,8,9
1541923478,6,2
1541924433,6,10
1541925152,5,8
1541925870,5,6
1541926582,7,0
1541927318,7,7
1541928290,5,7
1541929228,6,0
1541930189,5,10
1541931163,16,3
1541931866,4,9
1541932583,2,5
1541933305,3,4
1541934039,2,12
1541934982,7,0
1541936199,13,15
1541936907,5,11
1541938107,14,5
1541939566,6,17
1541940264,4,0
1541940991,4,6
1541941958,7,6
1541942676,5,0
1541943381,0,4
1541944093,4,4
1541944957,2,1
1541945798,6,11
1541946501,6,0
1541947230,5,10
1541947974,3,4
1541948916,4,8
1541949540,2,5
1541950335,3,0
1541951055,4,4
1541952019,4,6
1541953001,10,3
1541953953,6,8
1541954665,4,6
1541955383,11,6
1541956107,1,5
1541956835,11,9
1541957798,3,4
1541958755,6,7
1541959717,9,7
1541960669,2,6
1541961633,7,3
1541962591,5,5
1541963562,7,5
1541964266,6,8
1541964988,3,4
1541965706,5,2
1541966437,8,24
1541967396,7,21
1541968352,8,10
1541969314,12,3
1541970047,9,9
1541971254,8,12
1541971953,3,6
1541972912,15,8
1541973628,2,0
1541974350,5,7
1541975074,5,5
1541975784,8,7
1541976527,4,3
1541977241,7,7
1541977956,8,9
1541978670,5,0
1541979387,5,6
1541980107,2,8
1541980838,7,0
1541981803,8,13
1541982820,10,10
1541983713,9,11
1541984433,3,12
1541985151,1,0
1541985896,4,10
1541986840,10,13
1541987794,3,7
1541988740,6,10
1541989452,4,12
1541990170,10,9
1541990895,11,14
1541991611,9,15
1541992583,11,9
1541993538,9,7
1541994501,3,6
1541995460,10,10
1541996415,6,9
1541997396,2,9
1541998339,10,0
1541999316,2,6
1542000268,8,7
1542001228,6,4
1542002193,4,3
1542003157,2,34
1542003866,7,0
1542004587,8,4
1542005307,1,7
1542006039,5,6
1542006998,6,9
1542007954,4,13
1542008925,9,4
1542009868,4,6
1542010814,5,3
1542011533,6,0
1542012255,4,7
1542012966,7,4
1542013725,1,7
1542014667,11,19
1542015630,4,9
1542016344,6,0
1542017075,6,7
1542017789,6,5
1542018516,2,2
1542019454,3,0
1542020437,3,6
1542021148,9,8
1542021868,2,6
1542022583,4,10
1542023310,3,6
1542024297,1,0
1542025223,6,5
1542026196,8,3
1542027152,5,8
1542028117,10,0
1542029068,8,19
1542030030,4,0
1542030764,8,8
1542031479,1,2
1542032186,5,3
1542032905,4,3
1542033870,5,5
1542034834,6,5
1542035800,4,16
1542036906,4,4
1542037717,7,6
1542038675,4,0
1542039632,6,29
1542040346,8,13
1542041074,6,8
1542042035,8,5
1542042730,5,14
1542043473,8,9
1542044428,9,0
1542045389,11,9
1542046356,4,10
1542047311,8,15
1542048271,12,0
1542049239,2,8
1542050185,9,7
1542051138,8,6
1542051852,4,4
1542052575,10,10
1542053289,2,13
1542054034,8,8
1542055481,13,7
1542056181,8,14
1542056915,12,0
1542057867,6,14
1542058829,9,4
1542059788,7,11
1542060754,6,7
1542061451,4,7
1542062192,9,9
1542063137,7,13
1542063938,1,4
1542064852,4,13
1542065778,8,3
1542066735,13,3
1542067726,5,13
1542068669,12,0
1542069631,15,10
1542070587,6,7
1542071559,2,15
1542072532,8,9
1542073471,9,10
1542074427,7,11
1542075382,3,4
1542076355,8,14
1542077064,14,17
1542077788,18,0
1542078506,4,15
1542079232,8,7
1542080199,7,14
1542081148,11,7
1542082124,6,12
1542083077,7,16
1542084028,6,9
1542084987,7,7
1542085956,9,3
1542086913,2,4
1542087868,2,6
1542088835,6,5
1542089798,3,3
1542090758,5,4
1542091465,2,6
1542092182,6,0
1542092905,2,7
1542093631,6,12
1542094345,5,7
1542095070,6,4
1542096036,5,1
1542096987,10,11
1542097686,10,9
1542098433,4,8
1542099388,7,9
1542100353,4,0
1542101313,7,5
1542102275,6,8
1542103235,10,12
1542104179,8,10
1542105136,9,7
1542105848,3,0
1542106572,4,6
1542107538,5,4
1542108256,7,4
1542108995,1,3
1542109996,8,3
1542110920,3,7
1542111875,2,3
1542112813,3,7
1542113536,3,6
1542114255,2,6
1542114999,5,4
1542115952,9,11
1542116664,4,9
1542117382,4,0
1542118107,2,7
1542118831,2,6
1542119793,6,4
1542120750,11,3
1542121720,6,6
1542122672,9,10
1542123630,5,1
1542124247,5,4
1542125056,5,7
1542126017,3,3
1542126730,8,5
1542127449,9,8
1542128171,7,5
1542129141,5,8
1542130098,17,4
1542131058,5,4
1542132017,8,3
1542133000,14,8
1542133955,8,14
1542134666,6,0
1542135382,11,8
1542136106,4,3
1542136824,7,10
1542137546,9,11
1542138269,10,5
1542138994,7,0
1542139960,2,10
1542140911,14,10
1542141877,9,10
1542142835,12,6
1542143786,5,17
1542144754,7,5
1542145699,4,0
1542146662,8,4
1542147367,6,9
1542148098,7,7
1542148808,3,4
1542149566,1,1
1542150501,6,2
1542151458,7,4
1542152483,7,15
1542153451,6,9
1542154357,7,3
1542155067,4,6
1542155784,10,7
1542156758,7,8
1542157470,1,15
1542158191,9,10
1542159151,7,7
1542159867,11,0
1542160587,14,5
1542161308,10,7
1542162028,8,5
1542162992,13,18
1542163952,5,16
1542164918,16,21
1542165871,21,13
1542166839,9,10
1542167543,9,0
1542168276,9,9
1542168984,6,5
1542169700,4,6
1542170426,7,0
1542171163,8,10
1542171868,2,10
1542172595,10,0
1542173549,2,10
1542174514,4,11
1542175472,4,0
1542176430,7,13
1542177396,7,8
1542178347,3,2
1542179317,4,0
1542180268,11,8
1542181229,15,6
1542182189,9,10
1542182920,4,0
1542183875,10,12
1542184595,4,8
1542185546,6,1
1542186269,2,13
1542186988,7,0
1542187960,8,13
1542188666,9,9
1542189648,7,11
1542190588,11,4
1542191539,12,8
1542192252,7,10
1542192990,2,9
1542193692,3,0
1542194435,7,4
1542195396,6,7
1542196352,14,6
1542197317,5,3
1542198276,7,7
1542199212,5,2
1542199932,3,1
1542200657,1,4
1542201616,6,4
1542202332,3,0
1542203069,2,3
1542204034,6,2
1542204998,3,4
1542205956,3,3
1542206911,4,8
1542207878,1,3
1542208831,5,8
1542209793,3,8
1542210751,6,3
1542211915,7,4
1542212896,10,4
1542213856,9,12
1542214822,6,14
1542215814,10,10
1542216510,6,7
1542217472,18,8
1542218441,11,5
1542219382,7,11
1542220340,19,6
1542221051,8,4
1542221767,4,9
1542222489,13,11
1542223232,7,4
1542224196,5,10
1542225154,8,8
1542226121,8,8
1542227071,71,3
1542228032,20,3
1542228744,12,9
1542229472,6,4
1542230186,14,9
1542230912,14,11
1542231890,7,8
1542232841,10,3
1542233788,5,9
1542234997,12,10
1542235975,3,7
1542236916,7,7
1542237638,7,5
1542238360,4,3
1542239323,13,4
1542240264,7,5
1542241215,8,8
1542242201,8,9
1542243154,12,10
1542244121,8,7
1542245071,10,7
1542246031,7,6
1542246744,6,5
1542247469,8,5
1542248248,8,9
1542249196,19,7
1542250115,16,29
1542251079,9,8
1542252033,10,6
1542252749,4,8
1542253475,6,6
1542254195,4,0
1542255160,5,10
1542256108,11,7
1542257054,9,9
1542258041,6,9
1542258986,9,5
1542260061,3,4
1542260905,8,6
1542261886,3,4
1542262585,3,13
1542263307,11,0
1542264270,6,18
1542264983,3,5
1542265759,7,5
1542266673,15,7
1542267634,14,13
1542268342,6,0
1542269077,1,8
1542269785,7,87
1542270760,6,16
1542271715,10,16
1542272677,6,14
1542273637,7,6
1542274608,4,11
1542275549,16,9
1542276266,2,11
1542277028,6,7
1542277701,5,0
1542278435,9,14
1542279417,4,2
1542280355,8,4
1542281065,6,7
1542282072,12,7
1542282728,4,0
1542283706,6,1
1542284663,4,6
1542285628,10,5
1542286346,5,4
1542287076,2,10
1542287788,6,0
1542288507,4,4
1542289227,2,4
1542289945,4,3
1542290670,2,0
1542291630,7,8
1542292350,4,8
1542293073,6,9
1542293782,7,0
1542294522,6,6
1542295470,8,8
1542296923,13,10
1542297637,7,0
1542298647,16,9
1542299833,4,23
1542300776,9,7
1542301718,11,12
1542302673,11,0
1542303401,6,10
1542304114,11,5
1542305072,5,8
1542306033,16,9
1542306753,6,0
1542307494,10,10
1542308182,12,10
1542308916,4,9
1542309868,13,7
1542310835,9,16
1542311791,10,10
1542312753,11,19
1542313465,2,0
1542314188,4,10
1542315151,10,3
1542315895,5,9
1542316829,12,10
1542317797,8,9
1542318755,14,5
1542319467,3,7
1542320437,9,5
1542321394,2,6
1542322117,9,7
1542323077,8,10
1542323783,3,2
1542324535,3,0
1542325471,7,13
1542326182,5,0
