DateTime,Entries,UniqueIPs
1541896339,8182,8182
1541897795,8199,8199
1541898782,8277,8277
1541899466,8282,8282
1541900430,8272,8272
1541901389,8270,8270
1541902359,8264,8264
1541903310,8294,8294
1541904272,8262,8262
1541904982,8287,8287
1541905712,8289,8289
1541906691,8273,8273
1541907384,8231,8231
1541908109,8243,8243
1541909141,8266,8266
1541910031,8191,8191
1541910995,8264,8264
1541911704,8256,8256
1541912444,8268,8268
1541913144,8234,8234
1541913875,8244,8244
1541914845,8236,8236
1541915791,8253,8253
1541916755,8221,8221
1541917466,8233,8233
1541918182,8268,8268
1541918905,8229,8229
1541919636,8246,8246
1541920621,8242,8242
1541921553,8232,8232
1541922514,8186,8186
1541923478,8233,8233
1541924433,8248,8248
1541925152,8246,8246
1541925870,8244,8244
1541926582,8255,8255
1541927318,8265,8265
1541928290,8251,8251
1541929228,8230,8230
1541930189,8269,8269
1541931163,8269,8269
1541931866,8295,8295
1541932583,8261,8261
1541933305,8265,8265
1541934039,8266,8266
1541934982,8239,8239
1541936199,8270,8270
1541936907,8267,8267
1541938107,8286,8286
1541939566,8253,8253
1541940264,8266,8266
1541940991,8267,8267
1541941958,8290,8290
1541942676,8291,8291
1541943381,8277,8277
1541944093,8285,8285
1541944957,8259,8259
1541945798,8269,8269
1541946501,8297,8297
1541947230,8294,8294
1541947974,8303,8303
1541948916,8294,8294
1541949540,8290,8290
1541950335,8275,8275
1541951055,8257,8257
1541952019,8257,8257
1541953001,8300,8300
1541953953,8297,8297
1541954665,8289,8289
1541955383,8261,8261
1541956107,8295,8295
1541956835,8296,8296
1541957798,8315,8315
1541958755,8308,8308
1541959717,8314,8314
1541960669,8326,8326
1541961633,8318,8318
1541962591,8330,8330
1541963562,8297,8297
1541964266,8299,8299
1541964988,8327,8327
1541965706,8305,8305
1541966437,8328,8328
1541967396,8317,8317
1541968352,8346,8346
1541969314,8333,8333
1541970047,8333,8333
1541971254,8353,8353
1541971953,8309,8309
1541972912,8323,8323
1541973628,8313,8313
1541974350,8301,8301
1541975074,8305,8305
1541975784,8329,8329
1541976527,8330,8330
1541977241,8335,8335
1541977956,8317,8317
1541978670,8313,8313
1541979387,8313,8313
1541980107,8313,8313
1541980838,8318,8318
1541981803,8307,8307
1541982820,8279,8279
1541983713,8325,8325
1541984433,8266,8266
1541985151,8289,8289
1541985896,8284,8284
1541986840,8268,8268
1541987794,8289,8289
1541988740,8291,8291
1541989452,8207,8207
1541990170,8234,8234
1541990895,8258,8258
1541991611,8275,8275
1541992583,8247,8247
1541993538,8243,8243
1541994501,8256,8256
1541995460,8226,8226
1541996415,8241,8241
1541997396,8253,8253
1541998339,8271,8271
1541999316,8224,8224
1542000268,8252,8252
1542001228,8220,8220
1542002193,8238,8238
1542003157,8258,8258
1542003866,8227,8227
1542004587,8273,8273
1542005307,8237,8237
1542006039,8258,8258
1542006998,8232,8232
1542007954,8253,8253
1542008925,8247,8247
1542009868,8270,8270
1542010814,8230,8230
1542011533,8224,8224
1542012255,8271,8271
1542012966,8245,8245
1542013725,8283,8283
1542014667,8264,8264
1542015630,8284,8284
1542016344,8242,8242
1542017075,8290,8290
1542017789,8296,8296
1542018516,8270,8270
1542019454,8254,8254
1542020437,8272,8272
1542021148,8259,8259
1542021868,8288,8288
1542022583,8256,8256
1542023310,8284,8284
1542024297,8238,8238
1542025223,8240,8240
1542026196,8262,8262
1542027152,8276,8276
1542028117,8282,8282
1542029068,8299,8299
1542030030,8261,8261
1542030764,8277,8277
1542031479,8270,8270
1542032186,8284,8284
1542032905,8281,8281
1542033870,8263,8263
1542034834,8280,8280
1542035800,8303,8303
1542036906,8288,8288
1542037717,8281,8281
1542038675,8242,8242
1542039632,8286,8286
1542040346,8292,8292
1542041074,8287,8287
1542042035,8257,8257
1542042730,8277,8277
1542043473,8284,8284
1542044428,8272,8272
1542045389,8282,8282
1542046356,8291,8291
1542047311,8272,8272
1542048271,8267,8267
1542049239,8258,8258
1542050185,8266,8266
1542051138,8284,8284
1542051852,8270,8270
1542052575,8274,8274
1542053289,8269,8269
1542054034,8284,8284
1542055481,8293,8293
1542056181,8283,8283
1542056915,8294,8294
1542057867,8257,8257
1542058829,8295,8295
1542059788,8281,8281
1542060754,8252,8252
1542061451,8270,8270
1542062192,8248,8248
1542063137,8264,8264
1542063938,8250,8250
1542064852,8261,8261
1542065778,8188,8188
1542066735,8244,8244
1542067726,8144,8144
1542068669,8258,8258
1542069631,8198,8198
1542070587,8220,8220
1542071559,8228,8228
1542072532,8224,8224
1542073471,8233,8233
1542074427,8200,8200
1542075382,8217,8217
1542076355,8197,8197
1542077064,8210,8210
1542077788,8218,8218
1542078506,8225,8225
1542079232,8202,8202
1542080199,8223,8223
1542081148,8227,8227
1542082124,8217,8217
1542083077,8179,8179
1542084028,8190,8190
1542084987,8201,8201
1542085956,8176,8176
1542086913,8191,8191
1542087868,8168,8168
1542088835,8192,8192
