DateTime,AddedIPs,RemovedIPs
1543537507,56,0
1543538708,68,103
1543540208,58,119
1543541287,50,0
1543542128,40,163
1543542975,33,41
1543544107,78,103
1543545317,68,94
1543546567,48,0
1543547648,36,83
1543548909,43,91
1543550709,140,130
1543552517,96,112
1543554848,104,136
1543555722,50,0
1543556535,51,86
1543557915,59,154
1543559288,105,1
1543560766,140,110
1543562047,131,93
1543563728,95,129
1543564568,40,34
1543565709,111,78
1543566909,86,129
1543568040,96,0
1543569257,57,93
1543570087,49,1
1543571721,91,116
1543572908,76,134
1543573689,52,0
1543575376,77,116
1543576511,53,106
1543577288,32,0
1543578129,79,110
1543578968,56,0
1543580108,52,95
1543581618,77,102
1543583657,98,132
1543584910,85,109
1543586617,89,122
1543587247,40,0
1543588088,37,0
1543588929,36,93
1543589773,35,30
1543590908,62,98
1543591696,73,0
1543592824,103,156
1543593952,100,84
1543595420,107,127
1543597260,90,142
1543598407,72,1
1543599727,85,112
1543601106,79,130
1543602307,74,0
1543603508,58,115
1543605246,120,117
1543606928,97,154
1543607775,37,32
1543608853,47,59
1543610528,93,96
1543611367,70,40
1543613294,80,101
1543614906,59,153
1543616046,43,72
1543616887,45,0
1543619648,138,141
1543620814,49,121
1543622108,30,37
1543624087,137,69
1543625794,97,208
1543627688,77,122
1543629368,67,140
1543630447,24,75
1543631288,49,0
1543632127,47,74
1543634051,80,104
1543634888,42,0
1543635727,38,95
1543636952,44,118
1543638308,97,0
1543639813,86,177
1543641007,46,131
1543642088,44,0
1543643774,63,212
1543644848,48,82
1543645687,43,0
1543646567,50,100
1543647371,56,0
1543648447,48,145
1543650128,70,149
1543652047,75,120
1543652888,80,0
1543655408,153,221
1543656536,75,1
1543657952,109,85
1543659049,68,125
1543660928,118,72
1543662847,107,110
1543663686,51,0
1543664527,36,124
1543665367,94,46
1543666515,196,66
1543668014,135,103
1543668967,76,1
1543670046,74,85
1543671727,87,124
1543672567,50,46
1543673646,60,97
1543675328,101,112
1543676167,49,63
1543677250,49,102
1543680310,194,210
1543680847,30,1
1543682108,68,117
1543684446,163,296
1543685708,125,303
1543686967,96,33
1543688108,83,78
1543689907,88,139
1543691415,52,122
1543693207,113,94
1543694168,57,41
1543695247,71,69
1543696927,69,122
1543698117,65,137
1543699820,72,64
1543701907,142,141
1543702447,16,0
1543704127,104,83
1543704967,54,59
1543706108,119,78
1543707727,368,112
1543709116,53,101
1543710307,120,0
1543711327,49,78
1543712167,33,22
1543713292,30,74
1543714086,27,0
1543715407,67,152
1543716847,65,48
1543718408,117,61
1543720207,101,114
1543720447,13,0
1543722007,64,129
1543723172,71,95
1543724047,60,6
1543725728,93,106
1543726569,50,45
1543727652,59,58
1543729330,98,91
1543731255,122,127
1543732511,75,103
1543733708,71,43
1543734849,55,78
1543735688,50,0
1543737308,85,171
1543738447,51,121
1543739799,76,82
1543740942,71,42
1543742046,73,59
1543742888,48,0
1543744508,94,155
1543745648,110,66
1543746487,98,0
1543748167,143,122
1543749247,44,71
1543750507,119,98
1543752307,187,86
1543752850,71,0
1543754408,282,91
1543756207,305,89
1543758127,100,75
1543760046,127,70
1543760895,83,0
1543761728,54,96
1543763407,90,116
1543765211,137,123
1543767250,126,86
1543768088,49,0
1543769296,98,176
1543770458,179,76
1543772528,119,89
1543774447,172,90
1543775287,45,0
1543776866,87,99
1543778886,128,102
1543780600,94,91
1543781707,69,135
1543782487,49,0
1543784362,134,156
1543786087,123,3
1543788060,98,196
1543789687,63,0
1543790528,51,61
1543792448,94,60
1543794128,74,130
1543794967,29,0
1543796107,48,100
1543797728,63,63
1543798566,48,35
1543799722,70,49
1543800912,41,72
1543802179,52,36
1543803308,76,42
1543804507,88,83
1543805709,56,0
