DateTime,AddedIPs,RemovedIPs
1543511686,2,2
1543512952,2,0
1543514685,18,4
1543516952,0,1
1543518918,4,1
1543520553,6,0
1543522488,2,1
1543524190,1,17
1543526072,2,4
1543527765,10,5
1543528596,2,0
1543529699,1,1
1543531299,2,3
1543533302,6,2
1543534971,3,3
1543536349,3,6
1543537536,2,0
1543538787,2,10
1543540241,5,5
1543541332,6,0
1543542165,7,8
1543543017,2,4
1543544152,4,12
1543545349,5,10
1543546602,7,0
1543547698,10,7
1543548948,9,7
1543550748,20,10
1543552547,17,9
1543554889,18,6
1543555811,4,11
1543556569,2,0
1543557946,7,19
1543559328,6,0
1543560821,15,20
1543562084,5,6
1543563757,7,6
1543564598,5,4
1543565754,9,10
1543566956,10,17
1543568095,8,1
1543569311,6,6
1543570120,2,0
1543571784,2,36
1543573728,12,6
1543575404,8,7
1543576552,10,7
1543577324,3,0
1543578166,1,4
1543578996,2,0
1543580161,3,5
1543581662,7,2
1543583696,2,6
1543584955,3,3
1543587294,3,5
1543588118,1,0
1543588958,3,1
1543589816,2,1
1543590952,2,1
1543591732,1,0
1543592878,3,2
1543593991,1,3
1543595475,3,1
1543596947,3,0
1543598136,2,1
1543599765,1,4
1543601139,2,3
1543602333,4,0
1543603585,0,3
1543605287,2,2
1543606965,3,1
1543607808,1,1
1543608883,0,1
1543610554,5,2
1543611393,2,0
1543613330,1,2
1543614932,0,4
1543616075,2,2
1543616912,13,0
1543619675,5,6
1543620872,2,7
1543622161,3,2
1543624116,5,10
1543625821,10,12
1543627722,13,4
1543629395,6,14
1543630481,2,10
1543631315,1,0
1543632158,6,9
1543634092,13,22
1543634916,4,0
1543635755,4,11
1543637013,7,10
1543638338,9,0
1543639868,7,17
1543641052,7,15
1543642123,4,0
1543643823,9,24
1543644885,3,10
1543645722,2,0
1543646610,0,15
1543647401,8,0
1543648486,5,19
1543650157,7,9
1543652091,6,13
1543652918,4,0
1543655440,11,18
1543656646,1,4
1543657975,3,0
1543659341,2,8
1543660968,5,7
1543662876,11,6
1543663711,3,0
1543664551,3,7
1543665391,2,4
1543666548,2,3
1543668047,2,10
1543669000,1,0
1543670093,1,4
1543671752,3,8
1543672595,3,0
1543673674,1,2
1543675353,0,2
1543676200,0,4
1543677281,0,1
1543680351,4,6
1543680872,2,0
1543682135,1,5
1543684485,6,21
1543685754,2,1
1543687002,8,0
1543688144,1,1
1543689979,3,3
1543691450,1,13
1543693248,1,2
1543694195,1,1
1543695272,1,2
1543696965,3,2
1543698164,0,11
1543699876,1,3
1543701938,3,7
1543702473,1,0
1543704153,3,1
1543704993,2,3
1543706147,15,1
1543707753,2,5
1543709157,1,8
1543710336,3,0
1543711367,1,10
1543712194,3,3
1543713338,4,5
1543714120,2,0
1543715435,7,14
1543716874,5,5
1543718450,8,8
1543720253,3,27
1543722048,6,18
1543724097,9,19
1543725757,5,15
1543726597,4,3
1543727698,1,7
1543729360,3,11
1543731286,4,19
1543732545,6,8
1543733749,6,5
1543734877,6,6
1543735716,3,1
1543737342,5,20
1543738474,3,13
1543739826,3,7
1543740983,3,1
1543742084,14,4
1543742919,3,0
1543744552,1,19
1543745690,2,4
1543746530,2,0
1543748193,4,18
1543749276,2,2
1543750547,3,3
1543752335,0,6
1543752881,1,0
1543754437,1,7
1543756239,5,5
1543758161,1,1
1543760073,24,1
1543760930,18,0
1543761754,7,2
1543763436,4,2
1543765244,3,0
1543767295,2,1
1543768130,2,0
1543769328,2,3
1543770496,3,0
1543772553,1,3
1543774471,4,2
1543775318,7,0
1543776890,2,4
1543778928,3,5
1543780626,1,2
1543781741,1,5
1543782528,2,0
1543784389,1,4
1543785642,2,0
1543786117,1,0
1543788176,4,26
1543789722,2,1
1543790571,1,1
1543792484,2,4
1543794156,3,5
1543794994,0,1
1543796147,2,8
1543797756,7,12
1543798593,1,5
1543799772,11,5
1543800961,6,4
1543802207,5,3
1543803347,7,6
1543804564,6,10
1543806877,17,11
1543808735,9,11
1543809413,7,4
1543810551,7,7
1543812934,16,9
1543814076,5,11
1543815815,4,4
1543816599,6,0
1543817767,4,10
1543819389,4,6
1543821098,11,6
1543822984,26,11
1543823810,9,3
1543824961,8,8
1543826075,4,6
1543827373,5,0
1543828556,3,7
1543830148,3,6
1543831028,4,3
1543832158,1,7
1543833010,5,9
1543835253,10,8
1543836615,6,2
1543837356,5,0
1543838281,1,1
1543839479,3,3
1543840890,3,2
1543842657,5,3
1543844586,1,2
1543845944,3,1
1543847286,3,0
1543848997,3,3
1543850083,0,2
1543851775,1,6
1543853681,1,2
1543855239,3,4
1543857273,2,9
1543858535,0,1
1543860189,2,3
1543861533,5,0
1543862752,2,6
1543863401,4,0
1543864551,4,7
1543866153,4,4
1543868078,3,0
1543868919,1,0
1543869752,4,1
1543870590,1,1
1543871694,3,0
1543873362,6,3
1543875284,2,2
1543876124,3,0
1543877531,3,1
1543878651,0,1
1543879717,3,0
1543881338,2,3
1543882473,4,3
1543883318,4,0
1543885853,9,13
1543887756,10,13
1543888596,4,0
1543889751,5,2
1543890892,7,6
1543892089,10,0
1543892210,1,0
1543893348,6,6
1543894959,5,6
1543895799,4,2
1543896951,6,6
1543898147,15,4
1543899348,2,2
1543900512,4,3
1543902157,12,7
1543903563,6,10
1543905756,7,5
1543907450,6,6
1543909367,7,3
1543911288,11,6
1543912131,2,1
1543914501,31,11
1543915727,2,0
1543916561,5,5
1543917419,6,0
1543919315,9,6
1543920174,3,6
1543922084,8,5
1543923263,2,1
1543924497,3,0
1543925761,2,1
1543926526,6,0
1543927626,3,3
1543929049,2,2
1543929281,1,0
1543930650,3,46
1543931809,1,6
1543932892,1,2
1543934615,1,1
1543935421,1,2
1543936628,3,4
1543937745,1,1
1543938998,2,0
1543940148,2,4
1543941388,1,2
1543942551,2,0
1543943687,1,4
1543944939,4,10
1543946141,1,1
1543947351,10,1
1543948634,2,3
1543950883,7,2
1543952447,1,2
1543954486,2,2
1543955325,2,0
1543956940,0,4
1543958441,1,1
1543959647,1,2
1543961141,1,2
1543962518,2,0
1543965059,3,3
1543966128,2,0
1543967798,1,6
1543968894,1,7
1543969714,4,0
1543970567,4,28
1543972242,3,4
1543973497,5,10
1543975011,14,1
1543976093,4,4
1543977415,3,14
1543979457,7,11
1543979697,1,0
1543980526,2,0
1543982136,7,9
1543983278,8,10
1543984957,2,6
1543985798,8,1
1543986962,1,7
1543988453,5,10
1543990482,10,5
1543991737,0,26
1543992178,1,0
1543994080,10,11
1543995337,5,12
1543996536,3,2
1543997760,2,2
1543998538,2,0
1543999372,1,10
1544000975,5,5
1544002259,5,8
1544003825,11,4
1544004967,1,3
1544006575,6,6
1544007413,3,2
1544008482,2,5
1544010162,6,5
1544011546,5,4
1544012735,1,0
1544013994,1,8
1544015428,11,3
1544016523,3,0
1544017829,1,8
1544019285,4,3
1544020419,2,5
1544021797,6,1
1544022900,3,1
1544023730,2,0
1544024952,2,4
1544026243,0,4
1544027468,1,1
1544028154,1,0
1544029847,6,2
1544031756,2,1
1544032592,3,0
1544033671,1,0
1544034533,4,0
