DateTime,Entries,UniqueIPs
1543537507,32136,32136
1543538708,32101,32101
1543540208,32040,32040
1543541287,32090,32090
1543542128,31967,31967
1543542975,31959,31959
1543544107,31934,31934
1543545317,31908,31908
1543546567,31956,31956
1543547648,31909,31909
1543548909,31861,31861
1543550709,31871,31871
1543552517,31855,31855
1543554848,31823,31823
1543555722,31873,31873
1543556535,31838,31838
1543557915,31743,31743
1543559288,31847,31847
1543560766,31877,31877
1543562047,31915,31915
1543563728,31881,31881
1543564568,31887,31887
1543565709,31920,31920
1543566909,31877,31877
1543568040,31973,31973
1543569257,31937,31937
1543570087,31985,31985
1543571721,31960,31960
1543572908,31902,31902
1543573689,31954,31954
1543575376,31915,31915
1543576511,31862,31862
1543577288,31894,31894
1543578129,31863,31863
1543578968,31919,31919
1543580108,31876,31876
1543581618,31851,31851
1543583657,31817,31817
1543584910,31793,31793
1543586617,31760,31760
1543587247,31800,31800
1543588088,31837,31837
1543588929,31780,31780
1543589773,31785,31785
1543590908,31749,31749
1543591696,31822,31822
1543592824,31769,31769
1543593952,31785,31785
1543595420,31765,31765
1543597260,31713,31713
1543598407,31784,31784
1543599727,31757,31757
1543601106,31706,31706
1543602307,31780,31780
1543603508,31723,31723
1543605246,31726,31726
1543606928,31669,31669
1543607775,31674,31674
1543608853,31662,31662
1543610528,31659,31659
1543611367,31689,31689
1543613294,31668,31668
1543614906,31574,31574
1543616046,31545,31545
1543616887,31590,31590
1543619648,31587,31587
1543620814,31515,31515
1543622108,31508,31508
1543624087,31576,31576
1543625794,31465,31465
1543627688,31420,31420
1543629368,31347,31347
1543630447,31296,31296
1543631288,31345,31345
1543632127,31318,31318
1543634051,31294,31294
1543634888,31336,31336
1543635727,31279,31279
1543636952,31205,31205
1543638308,31302,31302
1543639813,31211,31211
1543641007,31126,31126
1543642088,31170,31170
1543643774,31021,31021
1543644848,30987,30987
1543645687,31030,31030
1543646567,30980,30980
1543647371,31036,31036
1543648447,30939,30939
1543650128,30860,30860
1543652047,30815,30815
1543652888,30895,30895
1543655408,30827,30827
1543656536,30901,30901
1543657952,30925,30925
1543659049,30868,30868
1543660928,30914,30914
1543662847,30911,30911
1543663686,30962,30962
1543664527,30874,30874
1543665367,30922,30922
1543666515,31052,31052
1543668014,31084,31084
1543668967,31159,31159
1543670046,31148,31148
1543671727,31111,31111
1543672567,31115,31115
1543673646,31078,31078
1543675328,31067,31067
1543676167,31053,31053
1543677250,31000,31000
1543680310,30984,30984
1543680847,31013,31013
1543682108,30964,30964
1543684446,30831,30831
1543685708,30653,30653
1543686967,30716,30716
1543688108,30721,30721
1543689907,30670,30670
1543691415,30600,30600
1543693207,30619,30619
1543694168,30635,30635
1543695247,30637,30637
1543696927,30584,30584
1543698117,30512,30512
1543699820,30520,30520
1543701907,30521,30521
1543702447,30537,30537
1543704127,30558,30558
1543704967,30553,30553
1543706108,30594,30594
1543707727,30850,30850
1543709116,30802,30802
1543710307,30922,30922
1543711327,30893,30893
1543712167,30904,30904
1543713292,30860,30860
1543714086,30887,30887
1543715407,30802,30802
1543716847,30819,30819
1543718408,30875,30875
1543720207,30862,30862
1543720447,30875,30875
1543722007,30810,30810
1543723172,30786,30786
1543724047,30840,30840
1543725728,30827,30827
1543726569,30832,30832
1543727652,30833,30833
1543729330,30840,30840
1543731255,30835,30835
1543732511,30807,30807
1543733708,30835,30835
1543734849,30812,30812
1543735688,30862,30862
1543737308,30776,30776
1543738447,30706,30706
1543739799,30700,30700
1543740942,30729,30729
1543742046,30743,30743
1543742888,30791,30791
1543744508,30730,30730
1543745648,30774,30774
1543746487,30872,30872
1543748167,30893,30893
1543749247,30866,30866
1543750507,30887,30887
1543752307,30988,30988
1543752850,31059,31059
1543754408,31250,31250
1543756207,31466,31466
1543758127,31491,31491
1543760046,31548,31548
1543760895,31631,31631
1543761728,31589,31589
1543763407,31563,31563
1543765211,31577,31577
1543767250,31617,31617
1543768088,31666,31666
1543769296,31588,31588
1543770458,31691,31691
1543772528,31721,31721
1543774447,31803,31803
1543775287,31848,31848
1543776866,31836,31836
1543778886,31862,31862
1543780600,31865,31865
1543781707,31799,31799
1543782487,31848,31848
1543784362,31826,31826
1543786087,31946,31946
1543788060,31848,31848
1543789687,31911,31911
1543790528,31901,31901
1543792448,31935,31935
1543794128,31879,31879
1543794967,31908,31908
1543796107,31856,31856
1543797728,31856,31856
1543798566,31869,31869
1543799722,31890,31890
1543800912,31859,31859
1543802179,31875,31875
1543803308,31909,31909
1543804507,31914,31914
1543805709,31970,31970
1543806847,31973,31973
1543808676,31949,31949
1543809378,31972,31972
1543810508,31989,31989
1543812907,32017,32017
1543814047,32020,32020
1543815295,32007,32007
1543815745,32049,32049
1543816567,32086,32086
1543817719,32021,32021
1543819332,32025,32025
1543821019,32084,32084
1543822929,32039,32039
1543823772,32083,32083
1543824908,32065,32065
1543826029,32020,32020
1543827309,32038,32038
1543828509,32021,32021
1543830066,31968,31968
1543830996,31985,31985
1543832114,31962,31962
1543832888,32012,32012
1543834770,31889,31889
1543836488,31973,31973
1543837329,31923,31923
1543838229,31935,31935
1543839416,31954,31954
1543840518,31921,31921
1543841717,32017,32017
1543842908,32004,32004
1543844558,32048,32048
1543845908,32046,32046
1543847257,32128,32128
1543848967,32135,32135
1543850047,32149,32149
1543851727,32175,32175
1543853647,32185,32185
1543855208,32162,32162
1543857246,32137,32137
1543858508,32129,32129
1543860139,32163,32163
1543861507,32292,32292
1543862708,32232,32232
1543863367,32277,32277
1543864516,32226,32226
1543865619,32188,32188
1543866128,32234,32234
1543868050,32251,32251
1543868888,32294,32294
1543869727,32255,32255
1543870566,32235,32235
1543871654,32232,32232
1543872898,32211,32211
1543873328,32226,32226
1543874167,32269,32269
1543875247,32217,32217
1543876087,32251,32251
1543879208,32209,32209
1543879687,32228,32228
1543881308,32149,32149
1543882447,32159,32159
1543883286,32207,32207
1543885808,32178,32178
1543887728,32155,32155
1543888567,32150,32150
1543889716,32126,32126
1543890858,32103,32103
1543892057,32167,32167
1543893308,32132,32132
1543894928,32128,32128
1543895767,32139,32139
1543896908,32135,32135
1543898110,32127,32127
1543899308,32165,32165
1543900458,32118,32118
1543902129,32085,32085
1543903508,32044,32044
1543905728,32084,32084
1543907407,32102,32102
1543909328,32137,32137
1543911248,32149,32149
