DateTime,AddedIPs,RemovedIPs
1543522485,89,91
1543524188,74,87
1543526071,91,74
1543527763,115,79
1543528594,54,45
1543529697,48,66
1543531298,111,70
1543533300,119,91
1543534970,83,99
1543536342,105,98
1543537535,53,55
1543538785,39,87
1543540239,71,81
1543541331,52,34
1543542163,45,106
1543543015,37,40
1543544150,75,97
1543545347,68,64
1543546601,54,24
1543547697,46,49
1543548946,47,62
1543550746,107,113
1543552545,78,103
1543554887,78,132
1543555807,41,38
1543556568,47,10
1543557944,67,64
1543559326,66,33
1543560817,59,83
1543562082,52,77
1543563755,68,109
1543564596,37,40
1543565752,60,62
1543566954,40,94
1543568075,80,40
1543569309,60,63
1543570119,43,28
1543571781,70,74
1543573727,82,123
1543575402,58,82
1543576551,43,76
1543577323,38,40
1543578164,49,55
1543578995,25,18
1543580159,38,56
1543581660,62,60
1543583694,77,86
1543584953,50,73
1543587293,84,108
1543588116,40,23
1543588956,27,48
1543589815,35,33
1543590951,53,82
1543591731,45,28
1543592876,56,80
1543593986,105,45
1543595473,97,81
1543596946,76,72
1543598132,48,71
1543599763,108,92
1543601138,87,104
1543602332,80,42
1543603583,60,92
1543605285,119,73
1543606963,93,126
1543607806,44,32
1543608882,55,38
1543610553,89,62
1543611392,79,22
1543613328,106,123
1543614930,79,101
1543616074,54,72
1543616911,33,40
1543619674,118,129
1543620870,24,90
1543622160,9,83
1543624115,72,104
1543625820,40,169
1543627721,18,160
1543629394,12,67
1543630480,8,43
1543631313,27,29
1543632156,19,34
1543634091,19,66
1543634915,12,26
1543635754,15,24
1543637006,10,53
1543638337,50,27
1543639865,28,86
1543641051,8,79
1543642122,6,14
1543643821,18,95
1543644883,26,28
1543645721,21,12
1543646604,33,36
1543647399,17,11
1543648484,19,57
1543650156,26,85
1543652090,31,54
1543652917,56,13
1543655439,76,92
1543656642,68,39
1543657974,140,24
1543659340,91,70
1543660966,144,47
1543662868,128,60
1543663710,62,13
1543664550,68,56
1543665390,102,26
1543666547,110,35
1543668046,109,73
