DateTime,Entries,UniqueIPs
1543522477,24419,24419
1543524181,24384,24384
1543526063,24391,24391
1543527755,24430,24430
1543528586,24451,24451
1543529691,24418,24418
1543531290,24449,24449
1543533291,24483,24483
1543534956,24489,24489
1543536334,24487,24487
1543537526,24530,24530
1543538733,24518,24518
1543540231,24476,24476
1543541321,24510,24510
1543542155,24418,24418
1543543007,24403,24403
1543544142,24386,24386
1543545339,24383,24383
1543546592,24417,24417
1543547686,24389,24389
1543548937,24357,24357
1543550736,24355,24355
1543552536,24337,24337
1543554868,24319,24319
1543555800,24299,24299
1543556560,24319,24319
1543557937,24268,24268
1543559320,24326,24326
1543560802,24301,24301
1543562074,24321,24321
1543563747,24275,24275
1543564588,24267,24267
1543565740,24279,24279
1543566938,24253,24253
1543568059,24323,24323
1543569294,24298,24298
1543570106,24329,24329
1543571762,24319,24319
1543573717,24308,24308
1543575395,24310,24310
1543576542,24273,24273
1543577315,24307,24307
1543578156,24262,24262
1543578987,24271,24271
1543580151,24252,24252
1543581650,24243,24243
1543583685,24225,24225
1543584945,24214,24214
1543587284,24218,24218
1543588107,24250,24250
1543588949,24229,24229
1543589806,24210,24210
1543590943,24199,24199
1543591722,24222,24222
1543592865,24143,24143
1543593971,24166,24166
1543595448,24150,24150
1543596938,24175,24175
1543598106,24116,24116
1543599755,24142,24142
1543601131,24119,24119
1543602324,24157,24157
1543603573,24053,24053
1543605272,24105,24105
1543606956,24045,24045
1543607799,24056,24056
1543608873,24061,24061
1543610546,24069,24069
1543611385,24092,24092
1543613320,24062,24062
1543614923,24017,24017
1543616066,24005,24005
1543616903,24033,24033
1543619666,24059,24059
1543620856,24047,24047
1543622147,24035,24035
1543624105,24102,24102
1543625812,24015,24015
1543627706,23971,23971
1543629386,23954,23954
1543630471,23925,23925
1543631305,23966,23966
1543632148,23945,23945
1543634078,23931,23931
1543634906,23961,23961
1543635746,23963,23963
1543636987,23940,23940
1543638327,23997,23997
1543639849,23976,23976
1543641042,23911,23911
1543642113,23924,23924
1543643807,23837,23837
1543644874,23839,23839
1543645707,23860,23860
1543646596,23859,23859
1543647390,23901,23901
1543648475,23846,23846
1543650147,23818,23818
1543652070,23787,23787
1543652908,23862,23862
1543655432,23835,23835
1543656617,23832,23832
1543657967,23907,23907
1543659327,23890,23890
1543660527,23897,23897
1543660956,23923,23923
1543662861,23925,23925
1543663702,23963,23963
1543664542,23888,23888
1543665382,23949,23949
1543666537,23947,23947
1543668039,23959,23959
1543668991,24005,24005
1543670083,24000,24000
1543671743,23971,23971
1543672585,23956,23956
1543673663,23918,23918
1543675344,23907,23907
1543676191,23899,23899
1543677267,23868,23868
1543680342,23840,23840
1543680863,23867,23867
1543682125,23835,23835
1543684472,23712,23712
1543685739,23553,23553
1543686991,23586,23586
1543688132,23604,23604
1543689967,23531,23531
1543691436,23510,23510
1543693238,23517,23517
1543694185,23527,23527
1543695263,23533,23533
1543696952,23510,23510
1543698137,23471,23471
1543699855,23498,23498
1543701930,23502,23502
1543702463,23509,23509
1543704144,23502,23502
1543704983,23505,23505
1543706131,23530,23530
1543707744,23805,23805
1543709143,23773,23773
1543710325,23843,23843
1543711359,23801,23801
1543712185,23810,23810
1543713318,23796,23796
1543714105,23802,23802
1543715425,23741,23741
1543716865,23745,23745
1543718441,23813,23813
1543720238,23812,23812
1543720483,23832,23832
1543722037,23792,23792
1543724086,23844,23844
1543725748,23841,23841
1543726587,23852,23852
1543727688,23861,23861
1543729350,23869,23869
1543731276,23904,23904
1543732534,23884,23884
1543733738,23903,23903
1543734867,23900,23900
1543735706,23934,23934
1543737333,23888,23888
1543738464,23841,23841
1543739817,23849,23849
