DateTime,AddedIPs,RemovedIPs
1543377962,0,1
1543383523,0,2
1543385145,1,0
1543386945,1,1
1543387382,0,1
1543389048,0,1
1543394680,1,1
1543396477,1,0
1543397328,1,0
1543399857,1,1
1543403750,1,1
1543405422,2,1
1543406220,0,2
1543407291,1,0
1543408117,1,1
1543408995,0,1
1543409854,0,1
1543410877,0,1
1543411738,1,0
1543413036,1,2
1543414255,1,0
1543415461,1,1
1543416172,2,0
1543417868,1,3
1543419084,1,1
1543420221,2,1
1543420604,0,1
1543424892,2,0
1543426970,1,0
1543428890,8,1
1543430083,1,1
1543431394,1,1
1543432551,1,0
1543436092,1,0
1543437353,1,1
1543439674,0,1
1543441245,1,2
1543443285,0,1
1543444714,1,0
1543446950,1,0
1543448582,1,2
1543449780,1,0
1543450906,1,0
1543452384,0,2
1543453675,1,0
1543457688,3,1
1543458520,3,1
1543459372,3,4
1543461059,1,3
1543462262,0,2
1543463440,1,1
1543464646,1,1
1543465724,0,1
1543468258,2,1
1543470155,0,1
1543472161,0,2
1543475677,0,1
1543477241,3,0
1543478212,1,2
1543479352,2,2
1543481000,0,1
1543481801,0,2
1543482957,1,5
1543484186,0,1
1543485409,1,0
1543487323,0,1
1543488159,1,0
1543489857,2,0
1543491775,0,2
1543493695,1,0
1543494528,1,0
1543495355,0,1
1543497374,2,1
1543498498,1,1
1543499803,0,2
1543504245,3,1
1543505471,1,1
1543506162,1,1
1543508081,1,2
1543509764,1,3
1543511687,4,0
1543512953,2,3
1543514690,1,1
1543516010,3,1
1543516952,0,2
1543518919,2,2
1543522488,1,4
1543524190,1,2
1543526072,1,2
1543527765,2,2
1543529699,0,1
1543531300,2,1
1543533302,2,3
1543534972,2,4
1543536355,2,1
1543537537,1,1
1543538788,2,1
1543540241,2,1
1543541332,3,2
1543542165,2,2
1543544152,1,3
1543545349,1,1
1543546603,2,1
1543547698,1,2
1543548948,7,1
1543550748,1,5
1543552547,2,1
1543554890,4,2
1543555813,2,1
1543556569,0,2
1543557946,1,0
1543559328,1,2
1543560821,4,2
1543562084,1,4
1543563757,4,3
1543564598,0,1
1543565754,1,2
1543566957,1,0
1543568095,3,0
1543569312,3,3
1543570120,2,0
1543571784,2,0
1543573729,4,3
1543575404,0,3
1543576553,2,0
1543577325,1,0
1543578166,1,1
1543578996,2,1
1543580161,2,1
1543581662,2,2
1543583696,0,6
1543584955,3,0
1543587295,4,2
1543588958,1,2
1543589817,1,1
1543590953,1,2
1543591733,2,2
1543592879,2,1
1543594002,0,2
1543595479,0,2
1543596947,1,5
1543598137,3,7
1543599765,0,8
1543601140,3,4
1543602334,4,1
1543603585,3,0
1543605288,4,1
1543606965,1,4
1543607808,1,0
1543608884,1,1
1543611394,0,1
1543613330,1,1
1543614932,2,1
1543616076,5,3
1543616913,2,4
1543619675,1,5
1543620876,3,0
1543622161,0,3
1543624117,2,1
1543625821,1,2
1543627722,0,4
1543629396,2,2
1543630481,0,1
1543631315,2,1
1543632158,1,1
1543634093,2,2
1543635755,4,1
1543637013,0,4
1543639869,1,1
1543641053,4,2
1543642124,1,1
1543643823,1,5
1543644885,2,2
1543645723,1,1
1543646611,1,1
1543647401,1,4
