DateTime,AddedIPs,RemovedIPs
1540711815,0,1
1540716648,0,2
1540721764,0,1
1540725348,0,1
1540746636,0,17
1540748138,0,9
1540757150,0,2
1540780893,0,1
1540803775,0,1
1540809110,0,2
1540810558,1,0
1540811750,2,0
1540815306,21,0
1540816687,4,0
1540821473,1,0
1540825850,0,1
1540841448,1,0
1540842965,1,0
1540846158,0,1
1540847455,0,5
1540858495,0,1
1540872897,0,1
1540874602,0,1
1540875424,1,0
1540883682,2,0
1540884979,1,0
1540893350,0,2
1540894497,0,2
1540898079,2,0
1540911433,1,0
1540912501,0,1
1540926659,1,0
1540943817,1,0
1540952087,1,0
1540980901,1,0
1540982140,0,1
1540985340,2,0
1540989521,1,0
1540991764,0,1
1540994750,2,0
1540996265,0,2
1541003399,1,0
1541004940,1,0
1541007783,2,0
1541020558,1,0
1541056237,0,1
1541071743,6,0
1541091345,2,0
1541092483,1,0
1541097956,0,1
1541105813,1,0
1541106885,1,0
1541114088,1,0
1541119856,0,1
1541159430,1,0
1541176857,1,1
1541182553,0,1
1541221858,1,0
1541243038,0,6
1541250945,0,30
1541256175,0,2
1541260614,1,0
1541262662,1,0
1541277652,1,1
1541279679,1,0
1541287857,0,1
1541290557,0,1
1541295342,0,1
1541302265,0,1
1541310055,0,1
1541322272,0,1
1541326295,1,0
1541327677,2,0
1541329851,27,0
1541337045,0,1
1541372196,0,1
1541379342,0,1
1541391295,0,2
1541393019,0,1
1541396598,0,1
1541403037,0,1
1541410736,0,3
1541412882,0,2
1541414158,8,0
1541415428,1,0
1541427357,1,0
1541432604,1,1
1541444091,1,0
1541445292,0,1
1541457339,2,0
1541461388,3,0
1541466888,1,0
1541471770,0,1
1541481285,2,0
1541482990,0,1
1541484356,1,0
1541487428,0,1
1541497386,0,4
1541499365,0,28
1541501331,1,0
1541502881,1,0
1541507641,0,1
1541509852,0,1
1541513687,1,0
1541520335,1,2
1541524254,2,0
1541531755,1,0
1541542548,1,0
1541554996,0,3
1541570213,1,0
1541571304,3,0
1541572202,1,0
1541577808,0,1
1541579762,1,0
1541584627,0,1
1541585757,0,1
1541587264,1,0
1541589059,0,1
1541607356,0,1
1541617855,0,1
1541619065,1,0
1541623840,0,1
1541632548,0,1
1541633757,1,0
1541640530,6,0
1541641795,24,0
1541644973,0,1
1541651342,0,3
1541657759,1,0
1541668498,0,1
1541672082,0,2
1541688171,0,1
1541690940,1,0
1541699802,0,1
1541702569,1,0
1541703959,0,1
1541740483,1,0
1541751293,0,1
1541752129,2,0
1541760642,1,0
1541768989,1,0
1541770976,0,1
1541775415,1,0
1541781230,1,0
1541790657,1,0
1541793953,1,0
1541810150,0,5
1541812253,0,25
1541814064,1,0
1541824978,1,0
1541826884,0,1
1541828575,0,1
1541832162,0,2
1541844879,0,1
1541846142,1,0
1541848478,2,1
1541876574,0,1
1541879806,0,1
1541884255,0,2
1541885751,0,1
1541899722,1,0
1541909462,0,1
1541913062,0,1
1541925771,0,1
1541929367,0,1
1541931281,0,2
1541933338,0,1
1541934877,1,0
1541936142,1,0
1541941444,1,0
1541949285,0,1
1541950863,0,1
1541961947,1,0
1541968856,0,1
1541985059,0,1
1541987275,0,1
1541992490,0,1
1541998549,0,1
1542007736,1,0
1542020215,1,0
1542027406,1,0
1542028556,1,0
1542050151,1,0
1542069003,1,0
1542071748,1,0
1542075297,1,0
1542076971,2,0
1542079003,1,0
1542079725,1,0
1542084945,0,1
1542102573,0,1
1542107763,1,0
1542132941,2,0
1542143690,1,1
1542145358,1,1
1542146196,1,0
1542152459,1,0
1542173695,1,0
1542179447,0,1
1542197682,1,0
1542203007,2,0
1542205721,0,2
1542219283,0,1
1542221981,1,0
1542248081,0,2
1542255285,0,1
1542258914,5,0
1542271545,0,1
1542272883,0,1
1542274557,0,1
1542275749,1,0
1542289675,0,2
1542294148,0,1
1542303767,0,1
1542317741,1,0
1542324531,1,0
1542333951,1,0
1542341766,1,0
1542347441,0,1
1542353503,0,1
1542357782,1,0
1542361377,0,1
1542362203,0,1
1542363359,0,2
1542364966,5,0
1542366962,1,0
1542372178,0,2
1542381278,1,0
1542384884,1,0
1542389747,0,1
1542395752,1,0
1542397358,2,0
1542399279,1,1
1542400483,1,0
1542410093,0,1
1542411363,1,0
1542417058,1,0
1542418863,0,1
1542426172,0,2
1542431741,1,0
1542434751,0,1
1542436544,1,0
1542440563,0,1
1542444180,0,1
1542446093,0,1
1542447464,0,1
1542449683,0,2
1542451360,1,1
1542467696,0,2
1542480053,2,0
1542481005,1,0
1542482156,3,0
1542483689,1,0
1542485678,0,1
1542502617,1,0
1542503756,1,0
1542505840,1,0
1542510988,0,1
1542518093,1,1
1542532486,0,1
1542539377,3,0
1542546608,0,1
1542550492,0,1
1542552159,0,2
1542562260,1,0
1542564952,1,0
1542568488,0,1
1542569679,1,0
1542577367,0,1
1542588174,0,1
1542591840,1,0
1542601743,0,3
1542603405,0,1
1542618660,0,1
1542621403,0,4
1542622562,0,2
1542626104,4,1
1542638463,1,1
1542642959,2,0
1542651291,0,3
1542653809,0,3
1542654880,0,1
1542656110,0,1
1542676482,0,1
1542686631,1,1
1542708656,0,4
1542712252,1,1
1542728568,11,0
1542734177,0,1
1542770164,1,0
1542770920,1,0
1542773695,0,1
1542787724,1,0
