DateTime,AddedIPs,RemovedIPs
1543680214,2,2
1543680934,3,5
1543681894,4,8
1543682613,3,4
1543683334,2,9
1543684293,3,10
1543685014,6,4
1543685734,5,4
1543686693,8,3
1543687653,8,4
1543688615,10,11
1543689574,10,6
1543690533,14,3
1543691493,8,2
1543692454,14,8
1543693174,7,3
1543693893,9,2
1543694613,11,0
1543695334,7,9
1543696295,6,9
1543697253,14,5
1543698453,19,3
1543699175,7,1
1543700137,17,10
1543701094,17,5
1543702054,7,6
1543702773,4,5
1543703493,7,4
1543704949,8,14
1543705893,12,3
1543706857,6,5
1543707815,4,6
1543709255,12,8
1543709974,11,4
1543710694,5,3
1543711695,7,2210
1543712628,2209,6
1543713576,7,5
1543714536,10,6
1543716397,13,19
1543717415,6,7
1543719338,6,11
1543720218,11,3
1543724632,0,23796
1543726097,23759,5
1543729355,12,14
1543730135,6,14
1543730854,6,2
1543731814,13,5
1543732774,4,4
1543733736,6,9
1543734697,10,5
1543735654,11,8
1543736614,7,4
1543737574,8,9
1543739014,10,3
1543739733,4,4
1543740454,8,6
1543741417,8,8
1543742373,10,4
1543743369,11,6
1543744294,10,6
1543745256,15,6
1543746216,9,9
1543747173,7,11
1543748135,6,9
1543749095,11,7
1543750054,33,3
1543751013,12,5
1543752754,18,11
1543753893,8,5
1543754614,6,7
1543755334,4,4
1543756293,6,4
1543757013,6,4
1543757736,4,6
1543758454,9,7
1543759653,10,8
1543760614,4,5
1543761574,7,9
1543762294,7,6
1543763013,4,4
1543763973,3,5
1543764693,7,5
1543765413,5,4
1543766135,4,8
1543766854,5,5
1543767813,7,4
1543768774,19,4
1543769733,14,4
1543770693,6,1
1543771654,6,6
1543773093,13,9
1543773813,1,6
1543774533,9,4
1543775493,7,13
1543776214,6,7
1543776933,5,8
1543777894,9,8
1543778615,8,12
1543780294,17,18
1543781254,9,14
1543782453,13,12
1543783413,7,5
1543784150,8,14
1543784853,11,10
1543785813,13,8
1543786780,12,24
1543787493,4,12
1543788250,1,17177
1543788938,17174,2
1543789653,2,7
1543790616,4,7
1543791636,6,3895
1543793016,3907,9
1543793750,5,4
1543794695,3,6
1543795655,11,7
1543796614,6,13
1543797573,10,8
1543798310,9,4
1543799014,6,0
1543799735,4,8
1543800454,6,6
1543801414,11,10
1543802854,16,15
1543803575,6,7
1543804294,2,3
1543805253,2,3
1543806215,5,8
1543806946,1,4
1543807893,8,2
1543808617,3,1
1543809336,9,3
1543810294,6,0
1543811013,6,1
1543811733,7,1
1543813654,13,19
1543814854,9,6
1543815813,15,0
1543817253,14,13
1543817974,4,11
1543818696,10,9
1543819653,6,6
1543821094,7,15
1543821814,3,10
1543822536,6,7
1543823496,14,4
1543824455,12,10
1543825414,13,4
1543826375,8,9
1543827334,10,14
1543828293,8,9
1543829254,9,19
1543830453,10,7
1543831894,7,26
1543832614,11,7
1543833333,2,5
1543834297,7,6
1543835253,6,9
1543836696,11,44
1543837414,3,9
1543838674,20,15
1543840536,14,24
1543841495,5,6
1543842453,6,9
1543843414,3,11
1543844375,11,12
1543845335,16,11
1543847014,28,9
1543847735,5,9
1543848453,5,5
1543849896,19,11
1543850613,12,2
1543851335,9,11
1543852295,10,7
1543853253,15,11
1543854215,13,6
1543855174,16,18
1543856135,12,14
1543857095,10,7
1543858053,10,2
1543859015,18,16
1543860453,11,11
1543861414,13,8
1543862134,7,9
1543863093,13,9
1543864534,15,12
1543865976,13,17
1543866695,9,11
1543867894,8,15
1543868614,6,5
1543869333,9,5
1543871493,168,23
1543872215,6,8
1543872936,7,11
1543873895,5,4
1543874613,6,3
1543875345,13,4
1543876294,6,2
1543877254,11,7
1543878453,7,9
1543879660,10,14
1543880853,9,7
1543881814,9,7
1543882775,7,8
1543883734,7,5
1543884694,6,16
1543885654,6,10
1543886614,9,10
1543888054,12,18
1543889495,14,17
1543890213,7,6
1543891653,9,5
1543892854,17,9
1543893813,11,3
1543894775,9,7
1543895737,9,11
1543896698,15,7
1543897654,2,8
1543898614,7,12
1543899636,6,3
1543900535,4,7
1543901493,6,5
1543902455,10,18
1543903413,7,7
1543904374,7,9
1543905334,5,10
1543906295,7,10
1543907733,11,7
1543908453,6,3
1543909659,11,12
1543910615,11,16
1543911333,9,8
1543912054,5,11
1543913014,7,11
1543914035,8,9
1543915414,13,13
1543916134,9,7
1543916855,7,6
1543918293,15,11
1543919013,40,10
1543919974,8,9
1543920950,4,4
1543921894,6,3
1543922615,6,5
1543923334,3,8
1543924055,5,5
1543924837,4,13
1543926694,934,20
1543927413,0,2
1543928135,6,5
1543929095,10,2
1543929814,7,2
1543930536,3,9
1543931256,6,9
1543933416,16,27
1543934133,4,5
1543934853,4,6
1543936295,13,17
1543937015,9,14
1543937975,13,12
1543938936,7,12
1543939909,11,14
1543940854,158,15
1543942337,172,7243
1543943014,7300,4
1543943735,13,5
1543944695,14,6
1543945415,3,20
1543946135,19,6
1543947093,17,12
1543947815,5,8
1543948536,5,8
1543949494,12,14
1543950453,12,14
1543951654,111,10
1543952854,10,17
1543954533,13,13
1543955975,12,32
1543956697,4,40
1543957415,6,58
1543958373,11,57
1543959334,7,10
1543960294,10,8
1543961737,7,20
1543962694,12,6
1543963413,11,7
1543964136,7,4
1543964821,3,6
1543965573,10,5
1543967638,14,20
1543968216,3,4
1543969418,6,7
1543970133,4,6
1543970855,4,5
1543971814,50,6
1543973255,17,10
1543973975,4,6
1543976136,12,24
1543977096,2,6
1543977814,6,5
1543978534,1,11
1543979495,5,7
1543980936,6,12
1543981654,3,4
1543982614,5,10
1543984053,8,12
1543985976,6,17
1543986934,7,5
1543987654,3,5
1543988854,16,11
1543989813,7,11
1543991014,7,9
1543992214,10,8
1543993653,10,10
1543995095,57,17
1543996541,8,13
1543997495,7,11
1543998215,2,7
1543999173,4,8
1544000854,6,19
1544001814,4,5
1544002775,6,14
1544003734,5,9
1544004697,7,11
1544005653,6,40
1544006614,8,7
1544008056,6,6
1544009014,6,8
1544009734,9,5
1544010695,7,6
1544011654,8,5
1544013093,13,11
1544013814,3,2
1544014834,24,10
1544015735,6,12
1544016693,4,7
1544017656,3,9
1544019093,10,10
1544019814,3,8
1544020535,3,3
1544021495,5,6
1544022214,3,7
1544022934,4,3
1544024375,10,21
1544025333,7,7
1544026533,6,16
1544027494,4,6
1544028937,14,16
1544029653,4,8
1544030614,10,18
1544031575,9,11
1544032543,7,16
1544033494,5,19
1544034215,4,6
1544034935,6,6
1544035895,6,11
1544036614,5,3
1544037815,5,115
1544038774,2,11
1544040935,13,17
1544041893,8,8
1544042613,2,7
1544043334,5,6
1544044295,4,10
1544045014,5,9
1544045976,6,7
1544046939,5,4
1544047893,3,7
1544048614,7,7
1544049334,5,10
1544051255,16,21
1544052937,13,15
1544053897,3,8
1544054855,6,9
1544055813,4,4
1544056774,2,6
1544057738,6,25
1544058696,25,34
1544060853,11,12
1544061814,9,4
1544062773,5,7
1544063754,8,5
1544064694,9,3
1544065654,5,5
1544066854,8,7
1544067814,5,2
1544069256,16,9
1544070214,6,7
1544071174,9,4
1544072138,11,6
1544073334,9,12
1544074258,5,3
1544075013,6,8
1544076213,16,12
1544077174,6,7
1544078136,5,6
1544078854,4,6
1544080294,16,6
1544081017,5,54
1544081975,12,9
1544082934,11,4
1544083894,7,8
1544084854,9,7
1544086264,14,6
1544087014,4,4
1544088213,14,6
1544089174,6,4
1544089894,8,3
1544090614,6,5
1544092053,16,11
1544093494,10,8
1544094454,9,3
1544095413,5,7
1544096374,7,12
1544097094,5,5
1544097815,3,6
1544098536,9,11
1544099735,8,11
1544100454,9,6
1544101655,11,26
1544102614,6,7
1544103333,4,6
1544104056,9,2
1544105013,7,8
1544105975,3,5
1544106934,7,3
1544107893,9,5
1544109335,20,10
1544110053,16,5
1544110775,19,6
1544111736,22,10
1544112696,37,7
1544113655,29,7
1544114615,29,6
1544116055,46,15
1544117014,17,10
1544117734,22,9
1544118453,10,5
1544119653,25,7
1544120374,13,6
1544121334,13,8
1544123255,27,14
1544124213,17,5
1544125894,18,12
1544126614,9,5
1544127573,14,4
1544128295,12,10
1544129014,11,2
1544129743,12,4
1544130933,31,5
1544131654,7,5
1544132376,7,6
1544133334,17,4
1544134294,11,5
1544135735,11,11
1544138148,27,25
1544139815,15,9
1544140853,17,5
1544142694,10,8
1544143414,7,3
1544144164,5,5
1544145573,13,29
1544146537,6,4
1544147493,8,8
1544148455,4,9
1544149413,3,3
1544150375,8,8
1544151334,6,8
1544152296,11,4
1544153157,6,7
1544153738,4,7
1544154697,11,6
1544155415,8,11
1544156135,1,7
1544157095,5,9
1544158054,10,8
1544159025,12,12
1544160214,14,15
1544161174,12,9
1544162135,13,7
1544163095,4,17
1544163814,8,4
1544164777,12,5
1544165734,17,11
1544166667,12,9
1544168856,172,27
1544170054,16,9
1544171253,11,11
1544172214,11,16
1544173654,15,9
1544175094,13,16
1544176053,15,11
1544177014,14,12
1544177974,13,13
1544178693,10,11
1544179414,12,5
1544180136,6,6
1544181334,10,8
