DateTime,Entries,UniqueIPs
1543680214,26772,26772
1543680934,26770,26770
1543681894,26766,26766
1543682613,26765,26765
1543683334,26758,26758
1543684293,26751,26751
1543685014,26753,26753
1543685734,26754,26754
1543686693,26759,26759
1543687653,26763,26763
1543688615,26762,26762
1543689574,26766,26766
1543690533,26777,26777
1543691493,26783,26783
1543692454,26789,26789
1543693174,26793,26793
1543693893,26800,26800
1543694613,26811,26811
1543695334,26809,26809
1543696295,26806,26806
1543697253,26815,26815
1543698453,26831,26831
1543699175,26837,26837
1543700137,26844,26844
1543701094,26856,26856
1543702054,26857,26857
1543702773,26856,26856
1543703493,26859,26859
1543704949,26853,26853
1543705893,26862,26862
1543706857,26863,26863
1543707815,26861,26861
1543709255,26865,26865
1543709974,26872,26872
1543710694,26874,26874
1543711695,24671,24671
1543712628,26874,26874
1543713576,26876,26876
1543714536,26880,26880
1543716397,26874,26874
1543717415,26873,26873
1543719338,26868,26868
1543720218,26876,26876
1543724632,3080,3080
1543726097,26834,26834
1543729355,26832,26832
1543730135,26824,26824
1543730854,26828,26828
1543731814,26836,26836
1543732774,26836,26836
1543733736,26833,26833
1543734697,26838,26838
1543735654,26841,26841
1543736614,26844,26844
1543737574,26843,26843
1543739014,26850,26850
1543739733,26850,26850
1543740454,26852,26852
1543741417,26852,26852
1543742373,26858,26858
1543743369,26863,26863
1543744294,26867,26867
1543745256,26876,26876
1543746216,26876,26876
1543747173,26872,26872
1543748135,26869,26869
1543749095,26873,26873
1543750054,26903,26903
1543751013,26910,26910
1543752754,26917,26917
1543753893,26920,26920
1543754614,26919,26919
1543755334,26919,26919
1543756293,26921,26921
1543757013,26923,26923
1543757736,26921,26921
1543758454,26923,26923
1543759653,26925,26925
1543760614,26924,26924
1543761574,26922,26922
1543762294,26923,26923
1543763013,26923,26923
1543763973,26921,26921
1543764693,26923,26923
1543765413,26924,26924
1543766135,26920,26920
1543766854,26920,26920
1543767813,26923,26923
1543768774,26938,26938
1543769733,26948,26948
1543770693,26953,26953
1543771654,26953,26953
1543773093,26957,26957
1543773813,26952,26952
1543774533,26957,26957
1543775493,26951,26951
1543776214,26950,26950
1543776933,26947,26947
1543777894,26948,26948
1543778615,26944,26944
1543780294,26943,26943
1543781254,26938,26938
1543782453,26939,26939
1543783413,26941,26941
1543784150,26935,26935
1543784853,26936,26936
1543785813,26941,26941
1543786780,26929,26929
1543787493,26921,26921
1543788250,9745,9745
1543788938,26917,26917
1543789653,26912,26912
1543790616,26909,26909
1543791636,23020,23020
1543793016,26918,26918
1543793750,26919,26919
1543794695,26916,26916
1543795655,26920,26920
1543796614,26913,26913
1543797573,26915,26915
1543798310,26920,26920
1543799014,26926,26926
1543799735,26922,26922
1543800454,26922,26922
1543801414,26923,26923
1543802854,26924,26924
1543803575,26923,26923
1543804294,26922,26922
1543805253,26921,26921
1543806215,26918,26918
1543806946,26915,26915
1543807893,26921,26921
1543808617,26923,26923
1543809336,26929,26929
1543810294,26935,26935
1543811013,26940,26940
1543811733,26946,26946
1543813654,26940,26940
1543814854,26943,26943
1543815813,26958,26958
1543817253,26959,26959
1543817974,26952,26952
1543818696,26953,26953
1543819653,26953,26953
1543821094,26945,26945
1543821814,26938,26938
1543822536,26937,26937
1543823496,26947,26947
1543824455,26949,26949
1543825414,26958,26958
1543826375,26957,26957
1543827334,26953,26953
1543828293,26952,26952
1543829254,26942,26942
1543830453,26945,26945
1543831894,26926,26926
1543832614,26930,26930
1543833333,26927,26927
1543834297,26928,26928
1543835253,26925,26925
1543836696,26892,26892
1543837414,26886,26886
1543838674,26891,26891
1543840536,26881,26881
1543841495,26880,26880
1543842453,26877,26877
1543843414,26869,26869
1543844375,26868,26868
1543845335,26873,26873
1543847014,26892,26892
1543847735,26888,26888
1543848453,26888,26888
1543849896,26896,26896
1543850613,26906,26906
1543851335,26904,26904
1543852295,26907,26907
1543853253,26911,26911
1543854215,26918,26918
1543855174,26916,26916
1543856135,26914,26914
1543857095,26917,26917
1543858053,26925,26925
1543859015,26927,26927
1543860453,26927,26927
1543861414,26932,26932
1543862134,26930,26930
1543863093,26934,26934
1543864534,26937,26937
1543865976,26933,26933
1543866695,26931,26931
1543867894,26924,26924
1543868614,26925,26925
1543869333,26929,26929
1543871493,27074,27074
1543872215,27072,27072
1543872936,27068,27068
1543873895,27069,27069
1543874613,27072,27072
1543875345,27081,27081
1543876294,27085,27085
1543877254,27089,27089
1543878453,27087,27087
1543879660,27083,27083
1543880853,27085,27085
1543881814,27087,27087
1543882775,27086,27086
1543883734,27088,27088
1543884694,27078,27078
1543885654,27074,27074
1543886614,27073,27073
1543888054,27067,27067
1543889495,27064,27064
1543890213,27065,27065
1543891653,27069,27069
1543892854,27077,27077
1543893813,27085,27085
1543894775,27087,27087
1543895737,27085,27085
1543896698,27093,27093
1543897654,27087,27087
1543898614,27082,27082
1543899636,27085,27085
1543900535,27082,27082
1543901493,27083,27083
1543902455,27075,27075
