DateTime,AddedIPs,RemovedIPs
1543045692,56,62
1543047622,41,57
1543049552,50,39
1543051473,42,52
1543053390,41,44
1543055293,13,42
1543057488,10,13
1543061318,57,10
1543063221,53,53
1543065164,57,53
1543067312,43,55
1543069233,59,45
1543073087,48,61
1543074992,57,48
1543078836,46,53
1543080759,46,47
1543082662,49,46
1543084597,50,46
1543088411,61,53
1543094456,46,60
1543096338,41,45
1543098270,58,46
1543100190,36,58
1543102108,54,36
1543104056,47,49
1543105953,48,46
1543108100,40,37
1543110027,47,48
1543111957,58,52
1543113872,49,62
1543115781,41,43
1543121530,45,44
1543123468,60,48
1543129476,52,60
1543131639,58,49
1543133783,51,55
1543135706,46,52
1543139529,60,49
1543141478,18,63
1543143372,20,20
1543145554,42,17
1543147453,55,38
1543149368,44,57
1543151307,62,43
1543153213,61,61
1543155378,44,61
1543157293,59,49
1543159213,48,55
1543163051,53,49
1543166889,43,55
1543168821,45,42
1543170734,56,43
1543172671,34,46
1543174567,54,41
1543176506,52,54
1543178651,51,55
1543180576,37,54
1543182490,43,36
1543184413,57,42
1543186354,41,52
1543188248,56,46
1543190185,48,53
1543192085,53,50
1543201933,41,56
1543205784,49,37
1543215619,54,49
1543217548,50,51
1543219457,41,52
1543221385,54,43
1543223311,46,55
1543225213,33,47
1543229069,15,36
1543234816,46,14
1543236751,46,43
1543238656,47,45
1543240592,42,50
1543242487,51,41
1543244656,52,52
1543246839,40,48
1543248733,52,42
1543250670,52,54
1543252576,48,48
1543256652,47,51
1543258586,54,45
1543260911,38,51
1543262899,48,39
1543266735,42,47
1543268669,54,42
1543270573,45,52
1543272488,49,51
1543274409,37,45
1543276330,39,42
1543280170,54,38
1543284074,49,55
1543285957,48,47
1543293858,52,47
1543295781,35,47
1543299659,48,40
1543301552,43,46
1543303468,51,46
1543305391,53,52
1543307287,50,51
1543309239,43,53
1543311135,40,42
1543313078,42,40
1543314975,13,45
1543316923,22,13
1543320761,35,23
1543322671,39,32
1543324602,36,36
1543326516,28,39
1543328437,40,27
1543330353,30,40
1543332511,29,29
1543336352,41,27
1543338522,30,43
1543340430,42,26
1543342357,33,43
1543344497,36,39
1543346459,46,36
