DateTime,AddedIPs,RemovedIPs
1543680541,52,61
1543681461,66,54
1543682418,63,55
1543683388,85,58
1543684361,61,81
1543685293,55,75
1543686257,73,71
1543687221,75,75
1543688179,64,59
1543689139,78,78
1543690098,74,74
1543691061,682,1315
1543692024,80,71
1543692974,84,69
1543693957,67,54
1543694894,67,4
1543695855,73,44
1543696815,56,56
1543697779,102,149
1543698701,59,5
1543699696,85,133
1543700659,72,4
1543701639,77,134
1543702573,64,6
1543703564,84,138
1543704500,62,6
1543705468,92,169
1543706423,73,85
1543707383,62,101
1543708354,74,94
1543709326,87,2
1543710255,91,157
1543711218,73,4
1543712185,86,84
1543713146,64,69
1543714111,99,67
1543715060,76,66
1543716040,62,74
1543716983,86,75
1543717940,65,63
1543718921,75,57
1543719869,86,68
1543720820,77,54
1543721779,80,50
1543722750,85,60
1543723712,71,79
1543724662,82,57
1543725613,80,62
1543726575,77,73
1543727554,73,78
1543728503,74,56
1543729461,78,71
1543730445,69,73
1543731390,72,93
1543732344,74,112
1543733296,90,89
1543734265,91,89
1543735224,93,98
1543736185,76,90
1543737133,101,86
1543738100,72,8
1543739077,90,176
1543740017,75,74
1543740972,83,82
1543741947,88,66
1543742894,81,99
1543743869,72,3
1543744820,87,75
1543745786,65,126
1543746746,73,88
1543747700,85,67
1543748665,73,5
1543749635,75,127
1543750588,72,63
1543751538,82,65
1543752795,82,79
1543753956,79,60
1543754895,67,75
1543755861,64,68
1543756810,76,72
1543757792,71,69
1543758731,79,77
1543759714,76,74
1543760673,74,66
1543761633,103,80
1543762571,76,50
1543763549,76,78
1543764492,77,84
1543765477,77,68
1543766418,72,75
1543767389,85,83
1543768341,72,80
1543769292,65,60
1543770264,79,59
1543771217,78,73
1543772182,80,63
1543773150,83,92
1543774097,88,56
1543775053,69,60
1543776013,71,59
1543776990,75,73
1543777959,78,708
1543779144,84,80
1543780352,78,75
1543781323,58,67
1543782510,104,137
1543783479,84,60
1543784425,67,73
1543785383,77,80
1543786338,64,5
1543787291,54,45
1543788268,67,62
1543789213,53,49
1543790175,76,119
1543791135,61,3
1543792096,65,52
1543793075,75,79
1543794011,64,65
1543795224,86,140
1543796181,68,60
1543797143,61,71
1543798094,42,6
1543799076,68,172
1543800009,60,12
1543800976,50,75
1543801933,72,124
1543802917,49,72
1543803853,52,3
1543804917,60,102
1543806284,63,64
1543807459,71,63
1543808412,71,62
1543809387,82,73
1543810361,79,77
1543811296,74,57
1543812262,81,68
1543813244,68,75
1543814195,75,72
1543815385,82,60
1543816336,65,66
1543817316,84,111
1543818254,57,6
1543819218,74,70
1543820180,68,80
1543821164,111,65
1543822096,73,58
1543823062,77,73
1543824029,69,65
1543824981,78,71
1543825941,74,54
1543826895,69,61
1543827863,79,72
1543828811,84,56
1543829785,144,63
1543830977,77,51
1543831961,146,102
1543832894,142,80
1543833864,120,7
1543834832,77,107
1543835789,62,3
1543836760,71,131
1543837941,71,78
1543839144,72,61
1543840090,125,60
1543841057,64,53
1543842022,80,91
1543842981,59,72
1543843948,75,65
1543844895,100,70
1543845868,90,56
1543847074,66,65
1543848011,63,66
1543848970,68,59
1543849962,143,74
1543850897,120,53
1543851867,59,57
1543852824,78,78
1543853786,62,67
1543854738,64,70
1543855704,49,57
1543856664,66,56
1543857621,61,64
1543858584,59,62
1543859542,50,3
1543860519,81,153
1543861476,42,71
1543862662,59,62
1543863625,1750,131
1543864599,80,50
1543866053,60,60
1543867228,62,63
1543868679,79,104
1543869876,64,59
1543871081,84,65
1543872009,61,56
1543872991,68,55
1543873956,50,61
1543874899,56,53
1543875863,62,74
1543876812,51,60
1543877795,66,47
1543878984,69,57
1543880183,65,58
1543881377,79,80
1543882342,57,83
1543883294,54,76
1543884258,55,76
1543885222,56,69
1543886184,54,75
1543887135,55,80
1543888118,89,67
1543889083,89,75
1543890011,86,69
1543891251,77,59
1543892277,64,69
1543893381,70,70
1543894348,75,113
1543895296,50,6
1543896267,64,81
1543897221,78,125
1543898182,61,51
1543899152,66,7
1543900106,67,68
1543901055,68,51
1543902018,71,115
1543902973,69,16
1543903939,54,68
1543904892,71,68
1543905860,59,76
1543906825,90,142
1543907801,74,83
1543908736,70,5
1543909719,67,150
1543910682,69,84
1543911614,71,84
1543912572,77,7
1543913531,78,70
1543914504,69,77
1543915471,73,63
1543916416,71,74
1543917370,93,63
1543918361,57,146
1543919544,76,81
1543920491,63,79
1543921467,78,80
1543922416,86,74
1543923387,76,79
1543924333,77,59
1543925568,115,72
1543926756,151,77
1543927694,109,83
1543928667,61,61
1543929610,77,71
1543930590,58,74
1543931536,81,66
1543932524,51,62
1543933473,181,87
1543934415,85,67
1543935372,57,70
1543936362,74,83
1543937542,77,91
1543938497,69,75
1543939466,66,66
1543940418,66,70
1543941372,64,70
1543942369,55,66
1543943297,62,69
1543944256,61,57
1543945212,70,68
1543946191,55,58
1543947160,65,74
1543948093,52,60
1543949056,60,70
1543950020,56,51
1543950986,58,59
1543952181,61,63
