DateTime,Entries,UniqueIPs
1543680541,95206,95206
1543681461,95218,95218
1543682418,95226,95226
1543683388,95253,95253
1543684361,95233,95233
1543685293,95213,95213
1543686257,95215,95215
1543687221,95215,95215
1543688179,95220,95220
1543689139,95220,95220
1543690098,95220,95220
1543691061,94587,94587
1543692024,94596,94596
1543692974,94611,94611
1543693957,94624,94624
1543694894,94687,94687
1543695855,94716,94716
1543696815,94716,94716
1543697779,94669,94669
1543698701,94723,94723
1543699696,94675,94675
1543700659,94743,94743
1543701639,94686,94686
1543702573,94744,94744
1543703564,94690,94690
1543704500,94746,94746
1543705468,94669,94669
1543706423,94657,94657
1543707383,94618,94618
1543708354,94598,94598
1543709326,94683,94683
1543710255,94617,94617
1543711218,94686,94686
1543712185,94688,94688
1543713146,94683,94683
1543714111,94715,94715
1543715060,94725,94725
1543716040,94713,94713
1543716983,94724,94724
1543717940,94726,94726
1543718921,94744,94744
1543719869,94762,94762
1543720820,94785,94785
1543721779,94815,94815
1543722750,94840,94840
1543723712,94832,94832
1543724662,94857,94857
1543725613,94875,94875
1543726575,94879,94879
1543727554,94874,94874
1543728503,94892,94892
1543729461,94899,94899
1543730445,94895,94895
1543731390,94874,94874
1543732344,94836,94836
1543733296,94837,94837
1543734265,94839,94839
1543735224,94834,94834
1543736185,94820,94820
1543737133,94835,94835
1543738100,94899,94899
1543739077,94813,94813
1543740017,94814,94814
1543740972,94815,94815
1543741947,94837,94837
1543742894,94819,94819
1543743869,94888,94888
1543744820,94900,94900
1543745786,94839,94839
1543746746,94824,94824
1543747700,94842,94842
1543748665,94910,94910
1543749635,94858,94858
1543750588,94867,94867
1543751538,94884,94884
1543752795,94887,94887
1543753956,94906,94906
1543754895,94898,94898
1543755861,94894,94894
1543756810,94898,94898
1543757792,94900,94900
1543758731,94902,94902
1543759714,94904,94904
1543760673,94912,94912
1543761633,94935,94935
1543762571,94961,94961
1543763549,94959,94959
1543764492,94952,94952
1543765477,94961,94961
1543766418,94958,94958
1543767389,94960,94960
1543768341,94952,94952
1543769292,94957,94957
1543770264,94977,94977
1543771217,94982,94982
1543772182,94999,94999
1543773150,94990,94990
1543774097,95022,95022
1543775053,95031,95031
1543776013,95043,95043
1543776990,95045,95045
1543777959,94415,94415
1543779144,94419,94419
1543780352,94422,94422
1543781323,94413,94413
1543782510,94380,94380
1543783479,94404,94404
1543784425,94398,94398
1543785383,94395,94395
1543786338,94454,94454
1543787291,94463,94463
1543788268,94468,94468
1543789213,94472,94472
1543790175,94429,94429
1543791135,94487,94487
1543792096,94500,94500
1543793075,94496,94496
1543794011,94495,94495
1543795224,94441,94441
1543796181,94449,94449
1543797143,94439,94439
1543798094,94475,94475
1543799076,94371,94371
1543800009,94419,94419
1543800976,94394,94394
1543801933,94342,94342
1543802917,94319,94319
1543803853,94368,94368
1543804917,94326,94326
1543806284,94325,94325
1543807459,94333,94333
1543808412,94342,94342
1543809387,94351,94351
1543810361,94353,94353
1543811296,94370,94370
1543812262,94383,94383
1543813244,94376,94376
1543814195,94379,94379
1543815385,94401,94401
1543816336,94400,94400
1543817316,94373,94373
1543818254,94424,94424
1543819218,94428,94428
1543820180,94416,94416
1543821164,94462,94462
1543822096,94477,94477
1543823062,94481,94481
1543824029,94485,94485
1543824981,94492,94492
1543825941,94512,94512
1543826895,94520,94520
1543827863,94527,94527
1543828811,94555,94555
1543829785,94636,94636
1543830977,94662,94662
1543831961,94706,94706
1543832894,94768,94768
1543833864,94881,94881
1543834832,94851,94851
1543835789,94910,94910
1543836760,94850,94850
1543837941,94843,94843
1543839144,94854,94854
1543840090,94919,94919
1543841057,94930,94930
1543842022,94919,94919
1543842981,94906,94906
1543843948,94916,94916
1543844895,94946,94946
1543845868,94980,94980
1543847074,94981,94981
1543848011,94978,94978
1543848970,94987,94987
1543849962,95056,95056
1543850897,95123,95123
1543851867,95125,95125
1543852824,95125,95125
1543853786,95120,95120
1543854738,95114,95114
1543855704,95106,95106
1543856664,95116,95116
1543857621,95113,95113
1543858584,95110,95110
1543859542,95157,95157
1543860519,95085,95085
1543861476,95056,95056
1543862662,95053,95053
1543863625,96672,96672
1543864599,96702,96702
1543866053,96702,96702
1543867228,96701,96701
1543868679,96676,96676
1543869876,96681,96681
1543871081,96700,96700
1543872009,96705,96705
1543872991,96718,96718
1543873956,96707,96707
1543874899,96710,96710
1543875863,96698,96698
1543876812,96689,96689
1543877795,96708,96708
1543878984,96720,96720
1543880183,96727,96727
1543881377,96726,96726
1543882342,96700,96700
1543883294,96678,96678
1543884258,96657,96657
1543885222,96644,96644
1543886184,96623,96623
1543887135,96598,96598
1543888118,96620,96620
1543889083,96634,96634
1543890011,96651,96651
1543891251,96669,96669
1543892277,96664,96664
1543893381,96664,96664
1543894348,96626,96626
1543895296,96670,96670
1543896267,96653,96653
1543897221,96606,96606
1543898182,96616,96616
1543899152,96675,96675
1543900106,96674,96674
1543901055,96691,96691
1543902018,96647,96647
1543902973,96700,96700
1543903939,96686,96686
1543904892,96689,96689
1543905860,96672,96672
1543906825,96620,96620
1543907801,96611,96611
1543908736,96676,96676
1543909719,96593,96593
1543910682,96578,96578
1543911614,96565,96565
1543912572,96635,96635
1543913531,96643,96643
1543914504,96635,96635
1543915471,96645,96645
1543916416,96642,96642
1543917370,96672,96672
1543918361,96583,96583
1543919544,96578,96578
1543920491,96562,96562
1543921467,96560,96560
1543922416,96572,96572
1543923387,96569,96569
1543924333,96587,96587
1543925568,96630,96630
1543926756,96704,96704
1543927694,96730,96730
1543928667,96730,96730
1543929610,96736,96736
1543930590,96720,96720
1543931536,96735,96735
1543932524,96724,96724
1543933473,96818,96818
1543934415,96836,96836
1543935372,96823,96823
1543936362,96814,96814
1543937542,96800,96800
1543938497,96794,96794
1543939466,96794,96794
1543940418,96790,96790
1543941372,96784,96784
1543942369,96773,96773
1543943297,96766,96766
1543944256,96770,96770
1543945212,96772,96772
1543946191,96769,96769
1543947160,96760,96760
1543948093,96752,96752
1543949056,96742,96742
1543950020,96747,96747
1543950986,96746,96746
1543952181,96744,96744
1543953136,96721,96721
1543954124,96706,96706
1543955061,96710,96710
1543956036,96730,96730
1543956974,96729,96729
1543957940,96727,96727
1543958897,96714,96714
1543959853,96714,96714
1543960986,96707,96707
1543962255,96730,96730
1543963217,96727,96727
1543964218,96735,96735
1543965138,96703,96703
1543966364,96641,96641
1543967321,96645,96645
1543968283,96628,96628
1543969471,96642,96642
1543970412,96629,96629
1543971370,96612,96612
1543972339,96582,96582
1543973310,96557,96557
1543974258,96611,96611
1543975251,96564,96564
1543976203,96541,96541
1543977166,96532,96532
1543978095,96575,96575
1543979057,96545,96545
1543980014,96526,96526
1543981002,96497,96497
1543982172,96508,96508
1543983145,96441,96441
1543984113,96493,96493
1543985054,96497,96497
1543986077,96476,96476
1543986998,96469,96469
1543987936,96369,96369
1543988910,96347,96347
1543989883,96361,96361
1543991075,96353,96353
1543992280,96298,96298
1543993240,96270,96270
1543994181,96322,96322
1543995158,96299,96299
1543996119,96299,96299
1543997060,96349,96349
1543998010,96347,96347
1543999237,96276,96276
1544000198,96299,96299
1544001376,96297,96297
1544002340,96272,96272
1544003292,96272,96272
1544004269,96258,96258
1544005214,96259,96259
1544006181,96239,96239
1544007138,96229,96229
1544008119,96231,96231
1544009072,96214,96214
1544010256,96214,96214
1544011267,96215,96215
1544012200,96185,96185
1544013154,96180,96180
1544014334,96173,96173
1544015294,96171,96171
1544016259,96158,96158
1544017215,96138,96138
1544018173,96125,96125
1544019161,96120,96120
1544020096,96110,96110
1544021055,96079,96079
1544022014,96072,96072
1544023001,96063,96063
1544023960,96054,96054
1544024892,96051,96051
1544025868,96051,96051
1544027078,96023,96023
1544028019,96017,96017
1544028999,95996,95996
1544030178,95975,95975
1544031139,95958,95958
1544032104,95949,95949
1544033063,95942,95942
1544034012,95936,95936
1544034990,95932,95932
1544035956,95917,95917
1544037141,95892,95892
1544038353,95872,95872
1544039291,95878,95878
1544040290,95805,95805
1544041453,95777,95777
1544042417,95774,95774
1544043386,95749,95749
1544044370,95738,95738
1544045541,95747,95747
1544046491,95727,95727
1544047463,95726,95726
1544048674,95714,95714
1544049858,95703,95703
1544050855,95693,95693
1544052286,95630,95630
1544053456,95641,95641
1544054420,95588,95588
1544055383,95570,95570
1544056334,95569,95569
1544057293,95588,95588
1544058263,95595,95595
1544059218,95598,95598
1544060444,95621,95621
1544061368,95628,95628
1544062343,95654,95654
1544063291,95651,95651
1544064261,95646,95646
1544065223,95651,95651
1544066186,95639,95639
1544067379,95652,95652
1544068340,95665,95665
1544069316,95691,95691
1544070278,95692,95692
1544071241,95694,95694
1544072202,95708,95708
1544073400,95713,95713
1544074362,95724,95724
1544075295,95729,95729
1544076290,95738,95738
1544077236,95745,95745
1544078205,95751,95751
1544079375,95746,95746
1544080364,95676,95676
1544081541,95724,95724
1544082493,95736,95736
1544083466,95730,95730
1544084425,95744,95744
1544085391,95753,95753
1544086364,95721,95721
1544087301,95660,95660
1544088277,95593,95593
1544089234,95584,95584
1544090172,95512,95512
1544091138,95565,95565
1544092115,95474,95474
1544093079,95423,95423
1544094049,95430,95430
1544095942,95305,95305
1544097879,95186,95186
1544098819,95128,95128
1544099803,95193,95193
1544101719,95143,95143
1544102672,95122,95122
1544103613,95087,95087
1544104572,95025,95025
1544105545,95077,95077
1544106492,94970,94970
1544107456,94960,94960
1544108429,94980,94980
1544109403,94913,94913
1544111293,94910,94910
1544112268,94847,94847
1544113217,94786,94786
1544114192,94780,94780
1544115138,94738,94738
1544116123,94692,94692
1544117075,94691,94691
1544118012,94646,94646
1544118974,94604,94604
1544119936,94594,94594
1544120895,94557,94557
1544121856,94493,94493
1544122840,94586,94586
1544123784,94005,94005
1544124740,93966,93966
1544125955,93935,93935
1544127138,93901,93901
1544128089,93902,93902
1544129071,93866,93866
1544130022,93812,93812
1544131002,93765,93765
1544131936,93721,93721
1544132893,93687,93687
1544133858,93650,93650
1544134819,93607,93607
1544135789,93567,93567
1544137248,93512,93512
1544138238,93456,93456
1544139404,93411,93411
1544140339,93367,93367
1544141333,93313,93313
1544142279,93264,93264
1544143213,93405,93405
1544144194,93342,93342
1544145167,93281,93281
1544146113,93229,93229
1544147057,93178,93178
1544148025,93132,93132
1544149964,93220,93220
1544150896,93163,93163
1544151859,93118,93118
1544152819,93062,93062
1544153805,92986,92986
1544154753,92934,92934
1544155698,92877,92877
1544156655,92957,92957
1544157622,92900,92900
1544158578,92835,92835
1544159550,92766,92766
1544160739,92725,92725
1544161694,92647,92647
1544162661,92619,92619
1544164838,92512,92512
1544165792,92461,92461
1544166760,92482,92482
1544167958,92422,92422
1544168910,92362,92362
1544169859,92320,92320
1544170838,92346,92346
1544171778,92275,92275
1544172738,92205,92205
1544173716,92152,92152
1544174676,92186,92186
1544175615,92112,92112
1544176574,92034,92034
1544177542,91959,91959
1544178490,91978,91978
1544179473,91920,91920
1544180433,91857,91857
1544181401,91860,91860
