DateTime,Entries,UniqueIPs
1543613539,3070,3070
1543614491,3074,3074
1543615969,3047,3047
1543616897,3040,3040
1543617862,3056,3056
1543618844,3032,3032
1543619785,3033,3033
1543620737,3012,3012
1543621960,3021,3021
1543622894,3003,3003
1543623855,2977,2977
1543624812,2962,2962
1543625796,2953,2953
1543626734,2944,2944
1543628208,2972,2972
1543629128,2966,2966
1543630203,3001,3001
1543631308,3069,3069
1543632257,3083,3083
1543633223,3123,3123
1543634187,3123,3123
1543635142,3175,3175
1543636114,3191,3191
1543637083,3193,3193
1543638021,3207,3207
1543638979,3197,3197
1543639943,3205,3205
1543640914,3226,3226
1543641877,3223,3223
1543642835,3226,3226
1543643775,3216,3216
1543644742,3221,3221
1543645697,3229,3229
1543646665,3253,3253
1543647642,3234,3234
1543648603,3210,3210
1543649557,3238,3238
1543650501,3240,3240
1543651461,3246,3246
1543652419,3244,3244
1543653393,3243,3243
1543654336,3237,3237
1543655298,3250,3250
1543656256,3244,3244
1543657215,3249,3249
1543658191,3224,3224
1543659139,3244,3244
1543660090,3225,3225
1543661062,3239,3239
1543662036,3254,3254
1543662985,3248,3248
1543663939,3253,3253
1543664894,3256,3256
1543665861,3250,3250
1543666827,3274,3274
1543667770,3269,3269
1543668755,3272,3272
1543669699,3278,3278
1543670657,3291,3291
1543671614,3284,3284
1543672838,3306,3306
1543673796,3311,3311
1543674742,3308,3308
1543675697,3310,3310
1543676662,3316,3316
1543677619,3317,3317
1543678591,3325,3325
1543679554,3334,3334
1543680541,3323,3323
1543681461,3336,3336
1543682418,3351,3351
1543683388,3343,3343
1543684361,3345,3345
1543685293,3336,3336
1543686257,3339,3339
1543687221,3355,3355
1543688179,3343,3343
1543689139,3345,3345
1543690098,3345,3345
1543691061,3385,3385
1543692024,3360,3360
1543692974,3353,3353
1543693957,3356,3356
1543694894,3365,3365
1543695855,3373,3373
1543696815,3378,3378
1543697779,3399,3399
1543698701,3398,3398
1543699696,3402,3402
1543700659,3428,3428
1543701639,3433,3433
1543702573,3429,3429
1543703564,3429,3429
1543704500,3451,3451
1543705468,3449,3449
1543706423,3447,3447
1543707383,3453,3453
1543708354,3453,3453
1543709326,3450,3450
1543710255,3462,3462
1543711218,3467,3467
1543712185,3460,3460
1543713146,3451,3451
1543714111,3416,3416
1543715060,3355,3355
1543716040,3321,3321
1543716983,3286,3286
1543717940,3311,3311
1543718921,3313,3313
1543719869,3300,3300
1543720820,3308,3308
1543721779,3318,3318
1543722750,3341,3341
1543723712,3355,3355
1543724662,3376,3376
1543725613,3391,3391
1543726575,3387,3387
1543727554,3381,3381
1543728503,3406,3406
1543729461,3412,3412
1543730445,3438,3438
1543731390,3438,3438
1543732344,3435,3435
1543733296,3451,3451
1543734265,3455,3455
1543735224,3462,3462
1543736185,3492,3492
1543737133,3510,3510
1543738100,3506,3506
1543739077,3523,3523
1543740017,3541,3541
1543740972,3547,3547
1543741947,3567,3567
1543742894,3572,3572
1543743869,3574,3574
1543744820,3561,3561
1543745786,3568,3568
1543746746,3565,3565
1543747700,3596,3596
1543748665,3617,3617
1543749635,3641,3641
