DateTime,Entries,UniqueIPs
1543674740,2685,2695
1543675694,2675,2685
1543676660,2682,2692
1543677617,2682,2692
1543678590,2684,2694
1543679553,2689,2699
1543680539,2689,2699
1543681459,2697,2707
1543682415,2700,2710
1543683386,2704,2714
1543684359,2706,2716
1543685291,2705,2715
1543686255,2709,2719
1543687220,2708,2718
1543688178,2720,2730
1543689138,2721,2731
1543690096,2727,2737
1543691059,2730,2740
1543692022,2735,2745
1543692972,2747,2758
1543693956,2760,2771
1543694893,2769,2778
1543695853,2768,2777
1543696813,2775,2784
1543697777,2785,2795
1543698699,2798,2808
1543699694,2794,2803
1543700657,2802,2813
1543701637,2792,2803
1543702572,2806,2817
1543703562,2806,2817
1543704498,2810,2821
1543705466,2815,2826
1543706420,2823,2834
1543707381,2820,2831
1543708353,2840,2854
1543709324,2808,2821
1543710253,2860,2874
1543711217,2820,2833
1543712183,2854,2868
1543713144,2820,2835
1543714110,2861,2879
1543715058,2868,2887
1543716039,2856,2876
1543716981,2885,2906
1543717938,2893,2915
1543718919,2903,2925
1543719868,2919,2941
1543720818,2946,2969
1543721777,2960,2985
1543722747,2979,3006
1543723711,2985,3012
1543724659,2999,3026
1543725610,3017,3046
1543726574,3037,3072
1543727553,3056,3091
1543728501,3067,3102
1543729458,3078,3114
1543730443,3081,3118
1543731389,3100,3139
1543732341,3108,3150
1543733294,3115,3159
1543734263,3122,3167
1543735223,3136,3181
1543736183,3149,3198
1543737131,3163,3213
1543738099,3175,3226
1543739075,3192,3244
1543740014,3189,3244
1543740970,3205,3262
1543741945,3210,3269
1543742892,3206,3265
1543743867,3201,3263
1543744818,3216,3278
1543745784,3227,3291
1543746744,3235,3301
1543747698,3250,3319
1543748663,3267,3338
1543749633,3277,3352
1543750586,3283,3365
1543751536,3282,3364
1543752793,3305,3392
1543753954,3321,3411
1543754893,3328,3419
1543755859,3327,3417
1543756808,3334,3423
1543757790,3348,3445
1543758729,3352,3450
1543759712,3358,3456
1543760671,3375,3474
1543761632,3389,3488
1543762570,3398,3497
1543763547,3419,3520
1543764490,3433,3540
1543765475,3447,3556
1543766416,3459,3571
1543767387,3465,3578
1543768339,3468,3582
1543769290,3463,3578
1543770263,3461,3577
1543771215,3468,3584
1543772180,3478,3596
1543773148,3482,3600
1543774094,3473,3593
1543775051,3479,3599
1543776011,3492,3613
1543776988,3493,3620
1543777957,3499,3626
1543779142,3502,3634
1543780350,3505,3637
1543781321,3506,3638
1543782509,3520,3653
1543783476,3530,3668
1543784423,3535,3674
1543785382,3543,3682
1543786336,3553,3692
1543787289,3555,3694
1543788266,3548,3687
1543789212,3555,3694
1543790174,3559,3698
1543791132,3564,3703
1543792094,3578,3717
1543793074,3575,3714
1543794009,3574,3713
1543795221,3561,3700
1543796179,3552,3691
1543797141,3524,3663
1543798092,3499,3638
1543799074,3472,3613
1543800007,3412,3553
1543800975,3318,3459
1543801931,3273,3417
1543802915,3235,3379
1543803850,3217,3361
1543804915,3207,3351
1543806283,3173,3317
1543807456,3170,3314
1543808409,3168,3313
1543809385,3164,3309
1543810359,3168,3314
1543811294,3148,3294
1543812259,3152,3298
1543813243,3152,3298
1543814193,3157,3304
1543815383,3167,3314
1543816334,3165,3312
1543817314,3160,3307
1543818251,3164,3312
1543819216,3155,3303
1543820178,3157,3305
1543821162,3170,3318
1543822094,3174,3322
1543823059,3181,3329
1543824027,3180,3328
1543824980,3196,3344
1543825939,3206,3354
1543826894,3209,3357
1543827862,3216,3364
1543828809,3226,3374
1543829783,3222,3370
1543830975,3211,3359
1543831960,3223,3371
1543832892,3215,3363
1543833861,3231,3379
1543834829,3241,3389
1543835787,3244,3392
1543836758,3250,3399
1543837939,3252,3401
1543839142,3277,3426
1543840088,3273,3422
1543841054,3278,3427
1543842020,3288,3437
1543842980,3294,3443
1543843946,3292,3441
1543844893,3295,3444
1543845866,3307,3456
1543847073,3292,3441
1543848009,3310,3459
1543848968,3306,3455
1543849961,3304,3453
1543850894,3299,3448
1543851865,3309,3458
1543852822,3293,3442
1543853784,3306,3455
1543854735,3288,3434
1543855701,3219,3339
1543856662,3224,3344
1543857618,3179,3275
1543858582,3165,3257
1543859540,3176,3268
1543860517,3139,3226
1543861474,3123,3197
1543862660,3105,3170
1543863622,3089,3152
1543864597,3077,3134
1543866051,3044,3095
1543867225,3033,3080
1543868677,3017,3058
1543869873,3001,3039
1543871079,2952,2982
1543872007,2946,2968
1543872989,2928,2949
1543873955,2908,2929
1543874897,2895,2914
1543875860,2881,2900
1543876810,2883,2901
1543877793,2864,2881
1543878982,2838,2855
1543880181,2817,2833
1543881375,2792,2807
1543882340,2741,2756
1543883292,2721,2735
1543884255,2692,2706
1543885221,2684,2696
1543886182,2657,2669
1543887134,2631,2642
1543888116,2648,2659
1543889081,2636,2647
1543890008,2646,2657
1543891249,2647,2657
1543892276,2629,2639
1543893379,2608,2618
1543894347,2598,2607
1543895295,2598,2608
1543896264,2587,2596
1543897219,2596,2605
1543898180,2589,2598
1543899149,2573,2582
1543900105,2572,2580
1543901052,2553,2560
1543902016,2545,2552
1543902971,2543,2550
1543903937,2525,2532
1543904890,2507,2514
1543905857,2489,2496
1543906822,2487,2494
1543907799,2495,2502
1543908734,2504,2511
1543909716,2503,2510
1543910679,2497,2504
1543911612,2495,2501
1543912570,2505,2511
1543913529,2503,2509
1543914502,2500,2505
1543915469,2498,2503
1543916413,2494,2499
1543917368,2512,2517
1543918360,2494,2499
1543919542,2486,2491
1543920490,2480,2485
1543921465,2483,2488
1543922414,2474,2479
1543923386,2469,2474
1543924331,2485,2490
1543925567,2469,2474
1543926754,2466,2471
1543927692,2456,2461
1543928665,2455,2460
1543929608,2455,2461
1543930588,2451,2457
1543931535,2446,2452
1543932523,2437,2443
1543933470,2452,2458
1543934413,2423,2429
1543935370,2422,2427
1543936361,2432,2437
1543937540,2413,2418
1543938495,2421,2426
1543939464,2421,2426
1543940417,2422,2427
1543941370,2427,2433
1543942367,2430,2436
1543943295,2430,2436
1543944253,2426,2432
1543945210,2426,2432
1543946189,2424,2430
1543947158,2428,2434
1543948091,2421,2427
1543949053,2438,2444
1543950017,2435,2443
1543950984,2427,2434
1543952178,2425,2432
1543953134,2418,2427
