DateTime,AddedIPs,RemovedIPs
1543676660,18,9
1543677617,10,13
1543678590,15,20
1543679553,11,9
1543680539,14,15
1543681459,19,4
1543682415,14,16
1543683386,18,12
1543684359,15,16
1543685291,8,16
1543686255,12,22
1543687220,10,0
1543688178,18,16
1543689138,11,9
1543690096,10,16
1543691059,19,14
1543692022,14,3
1543692972,20,10
1543693956,19,17
1543694893,24,12
1543695853,12,6
1543696813,14,17
1543697777,19,10
1543698699,13,21
1543699694,16,0
1543700657,20,15
1543701637,19,15
1543702572,23,7
1543703562,11,17
1543704498,18,23
1543705466,17,14
1543706420,23,4
1543707381,22,14
1543708353,23,25
1543709324,41,25
1543710253,53,23
1543711217,37,32
1543712183,35,42
1543713144,29,14
1543714110,44,10
1543715058,31,36
1543716039,20,51
1543716981,42,0
1543717938,35,25
1543718919,29,24
1543719868,31,17
1543720818,36,10
1543721777,32,20
1543722747,34,25
1543723711,24,12
1543724659,28,9
1543725610,31,27
1543726574,38,31
1543727553,28,18
1543728501,22,12
1543729458,29,23
1543730443,21,19
1543731389,30,11
1543732341,23,30
1543733294,26,27
1543734263,26,15
1543735223,27,10
1543736183,32,17
1543737131,26,26
1543738099,23,27
1543739075,32,17
1543740014,13,21
1543740970,36,17
1543741945,25,11
1543742892,15,23
1543743867,20,12
1543744818,24,21
1543745784,28,0
1543746744,24,1
1543747698,37,0
1543748663,28,0
1543749633,24,0
1543750586,31,1
1543751536,15,0
1543752793,35,1
1543753954,32,11
1543754893,18,38
1543755859,15,16
1543756808,23,1
1543757790,30,36
1543758729,18,36
1543759712,19,23
1543760671,25,19
1543761632,26,19
1543762570,20,15
1543763547,31,16
1543764490,26,26
1543765475,23,30
1543766416,27,16
1543767387,16,0
1543768339,14,14
1543769290,13,18
1543770263,15,12
1543771215,14,12
1543772180,26,10
1543773148,12,29
1543774094,13,0
1543775051,18,7
1543776011,24,14
1543776988,19,18
1543777957,18,0
1543779142,23,8
1543780350,20,19
1543781321,21,4
1543782509,26,3
1543783476,20,19
1543784423,15,20
1543785382,17,11
1543786336,20,18
1543787289,10,17
1543788266,14,12
1543789212,13,6
1543790174,18,14
1543791132,16,23
1543792094,25,7
1543793074,12,18
1543794009,19,19
1543795221,18,18
1543796179,22,16
1543797141,7,30
1543798092,10,50
1543799074,13,23
1543800007,15,16
1543800975,13,27
1543801931,16,24
1543802915,13,22
1543803850,12,13
1543804915,16,32
1543806283,16,36
1543807456,19,22
1543808409,15,16
1543809385,19,22
1543810359,18,1
1543811294,5,9
1543812259,32,0
1543813243,20,49
1543814193,18,11
1543815383,23,12
1543816334,17,28
1543817314,15,16
1543818251,16,17
1543819216,15,20
1543820178,16,18
1543821162,32,9
1543822094,15,6
1543823059,21,16
1543824027,17,19
1543824980,28,9
1543825939,24,26
1543826894,17,26
1543827862,18,9
1543828809,22,8
1543829783,14,18
1543830975,16,27
1543831960,31,5
1543832892,11,10
1543833861,27,11
1543834829,20,12
1543835787,17,7
1543836758,23,12
1543837939,22,11
1543839142,25,14
1543840088,15,7
1543841054,18,33
1543842020,19,2
1543842980,19,0
1543843946,16,17
1543844893,9,0
1543845866,25,10
1543847073,11,25
1543848009,18,11
1543848968,13,16
1543849961,17,8
1543850894,10,13
1543851865,10,19
1543852822,16,14
1543853784,13,19
1543854735,9,0
1543855701,10,10
1543856662,5,12
1543857618,19,6
1543858582,18,0
1543859540,11,17
1543860517,15,0
1543861474,5,18
1543862660,16,13
1543863622,18,8
1543864597,21,5
1543866051,13,5
1543867225,14,15
1543868677,21,3
1543869873,11,6
1543871079,19,15
1543872007,15,0
1543872989,18,10
1543873955,7,22
1543874897,12,5
1543875860,13,0
1543876810,17,23
1543877793,15,0
1543878982,15,24
1543880181,25,38
1543881375,19,30
1543882340,8,1
1543883292,5,41
1543884255,12,37
1543885221,19,12
1543886182,13,9
1543887134,20,34
1543888116,33,56
1543889081,35,12
1543890008,28,10
1543891249,38,27
1543892276,23,31
1543893379,19,4
1543894347,19,18
1543895295,22,22
1543896264,12,24
1543897219,20,4
1543898180,11,1
1543899149,15,17
1543900105,17,29
1543901052,14,7
1543902016,7,17
1543902971,13,25
1543903937,16,22
1543904890,7,9
1543905857,14,30
1543906822,23,29
1543907799,21,23
1543908734,27,22
1543909716,16,19
1543910679,7,24
1543911612,18,9
1543912570,25,23
1543913529,22,17
1543914502,17,15
1543915469,16,4
1543916413,24,10
1543917368,18,12
1543918360,7,17
1543919542,19,14
1543920490,10,20
1543921465,16,17
1543922414,13,6
1543923386,16,4
1543924331,16,15
1543925567,13,23
1543926754,14,12
1543927692,10,14
1543928665,10,13
1543929608,12,9
1543930588,15,13
1543931535,8,13
1543932523,9,13
1543933470,15,7
1543934413,8,13
1543935370,6,10
1543936361,10,10
1543937540,17,10
1543938495,15,9
1543939464,10,9
1543940417,9,4
1543941370,19,11
1543942367,11,10
1543943295,15,14
1543944253,10,9
1543945210,13,10
1543946189,10,11
1543947158,16,9
1543948091,6,9
1543949053,17,11
1543950017,10,9
1543950984,11,1
1543952178,25,4
1543953134,14,20
1543954123,16,3
1543955059,16,11
1543956033,12,0
1543956972,16,9
1543957938,19,11
1543958895,8,10
1543959851,13,10
1543960984,17,23
1543962252,30,2
1543963214,17,23
1543964216,11,17
1543965136,10,4
1543966362,24,11
1543967319,15,30
1543968281,22,22
1543969469,35,19
1543970409,23,41
1543971368,30,27
1543972337,22,23
1543973308,18,34
1543974255,17,0
1543975249,14,35
1543976201,31,10
1543977164,15,17
1543978093,13,16
1543979055,12,0
1543980012,21,14
1543981000,21,36
1543982170,26,18
1543983144,19,9
1543984110,18,10
1543985051,14,19
1543986075,19,22
1543986997,8,16
1543987934,23,10
1543988909,11,18
1543989881,14,12
1543991072,18,9
1543992276,35,17
1543993238,16,21
1543994179,21,10
1543995156,22,19
1543996117,16,19
1543997058,18,21
1543998008,19,17
1543999235,33,25
1544000195,15,16
1544001374,14,9
1544002339,10,0
1544003290,11,26
1544004267,15,19
1544005211,11,19
1544006179,13,21
1544007136,10,0
1544008117,11,25
1544009071,6,14
1544010253,18,17
1544011265,14,18
1544012199,10,7
