DateTime,AddedIPs,RemovedIPs
1543679554,50,56
1543680541,58,64
1543681461,60,52
1543682418,60,47
1543683388,77,64
1543684361,49,84
1543685293,49,79
1543686257,70,72
1543687221,74,67
1543688179,56,57
1543689139,70,76
1543690098,63,77
1543691061,656,1333
1543692024,84,63
1543692974,76,65
1543693957,61,51
1543694894,63,0
1543695855,58,54
1543696815,60,54
1543697779,66,164
1543698701,63,0
1543699696,80,136
1543700659,68,0
1543701639,66,127
1543702573,64,0
1543703564,61,151
1543704500,58,0
1543705468,70,164
1543706423,65,80
1543707383,56,96
1543708354,64,84
1543709326,72,0
1543710255,68,140
1543711218,57,0
1543712185,75,66
1543713146,57,70
1543714111,89,56
1543715060,66,60
1543716040,51,69
1543716983,74,59
1543717940,64,49
1543718921,67,64
1543719869,84,64
1543720820,59,59
1543721779,82,45
1543722750,68,65
1543723712,71,69
1543724662,60,59
1543725613,64,61
1543726575,63,65
1543727554,73,66
1543728503,61,66
1543729461,73,68
1543730445,60,74
1543731390,60,101
1543732344,67,102
1543733296,70,105
1543734265,84,96
1543735224,72,103
1543736185,65,93
1543737133,77,95
1543738100,76,0
1543739077,77,170
1543740017,67,71
1543740972,77,76
1543741947,67,77
1543742894,68,102
1543743869,72,0
1543744820,68,89
1543745786,50,144
1543746746,69,78
1543747700,74,59
1543748665,67,0
1543749635,78,113
1543750588,61,61
1543751538,76,78
1543752795,68,66
1543753956,62,57
1543754895,67,73
1543755861,50,78
1543756810,75,64
1543757792,66,60
1543758731,71,77
1543759714,65,80
1543760673,65,58
1543761633,85,92
1543762571,67,42
1543763549,58,77
1543764492,62,98
1543765477,66,85
1543766418,62,82
1543767389,68,96
1543768341,54,88
1543769292,65,58
1543770264,65,60
1543771217,79,67
1543772182,72,64
1543773150,84,92
1543774097,88,48
1543775053,68,53
1543776013,73,49
1543776990,75,72
1543777959,77,705
1543779144,69,73
1543780352,76,71
1543781323,59,65
1543782510,88,151
1543783479,74,62
1543784425,67,62
1543785383,70,81
1543786338,65,0
1543787291,53,41
1543788268,55,66
1543789213,59,48
1543790175,69,119
1543791135,62,0
1543792096,61,44
1543793075,70,74
1543794011,66,56
1543795224,68,120
1543796181,58,63
1543797143,61,60
1543798094,50,0
1543799076,59,158
1543800009,74,0
1543800976,52,72
1543801933,62,126
1543802917,49,66
1543803853,50,0
1543804917,61,102
1543806284,63,58
1543807459,68,69
