DateTime,AddedIPs,RemovedIPs
1543637083,1295,1295
1543638021,1277,1277
1543638979,1279,1279
1543639943,1343,1343
1543640914,1355,1355
1543641877,1340,1340
1543642835,1311,1311
1543643775,1287,1287
1543644742,1321,1321
1543645697,1351,1351
1543646665,1352,1352
1543647642,1336,1336
1543648603,1284,1284
1543649557,1317,1317
1543650501,1377,1377
1543651461,1338,1338
1543652419,1316,1316
1543653393,1318,1318
1543654336,1353,1353
1543655298,1390,1390
1543656256,1387,1387
1543657215,1361,1361
1543658191,1377,1377
1543659139,1380,1380
1543660090,1349,1349
1543661062,1301,1301
1543662036,1266,1266
1543662985,1299,1299
1543663939,1282,1282
1543664894,1315,1315
1543665861,1279,1279
1543666827,1296,1296
1543667770,1303,1303
1543668755,1306,1306
1543669699,1320,1320
1543670657,1338,1338
1543671614,1287,1287
1543672838,1288,1288
1543673796,1346,1346
1543674742,1325,1325
1543675697,1311,1311
1543676662,1305,1305
1543677619,1322,1322
1543678591,1293,1293
1543679554,1267,1267
1543680541,1283,1283
1543681461,1313,1313
1543682418,1408,1408
1543683388,1349,1349
1543684361,1320,1320
1543685293,1353,1353
1543686257,1367,1367
1543687221,1401,1401
1543688179,1362,1362
1543689139,1387,1387
1543690098,1329,1329
1543691061,1506,1506
1543692024,1526,1526
1543692974,1410,1410
1543693957,1389,1389
1543694894,1398,1398
1543695855,1376,1376
1543696815,1373,1373
1543697779,1398,1398
1543698701,1392,1392
1543699696,1423,1423
1543700659,1427,1427
1543701639,1408,1408
1543702573,1382,1382
1543703564,1351,1351
1543704500,1358,1358
1543705468,1414,1414
1543706423,1412,1412
1543707383,1392,1392
1543708354,1414,1414
1543709326,1389,1389
1543710255,1389,1389
1543711218,1408,1408
1543712185,1409,1409
1543713146,1397,1397
1543714111,1409,1409
1543715060,1432,1432
1543716040,1444,1444
1543716983,1418,1418
1543717940,1432,1432
1543718921,1464,1464
1543719869,1445,1445
1543720820,1447,1447
1543721779,1428,1428
1543722750,1426,1426
1543723712,1455,1455
1543724662,1432,1432
1543725613,1446,1446
1543726575,1457,1457
1543727554,1474,1474
1543728503,1498,1498
1543729461,1463,1463
1543730445,1458,1458
1543731390,1446,1446
1543732344,1460,1460
1543733296,1462,1462
1543734265,1439,1439
1543735224,1446,1446
1543736185,1472,1472
1543737133,1483,1483
1543738100,1462,1462
1543739077,1485,1485
1543740017,1423,1423
1543740972,1431,1431
1543741947,1448,1448
1543742894,1446,1446
1543743869,1428,1428
1543744820,1434,1434
1543745786,1434,1434
1543746746,1431,1431
1543747700,1438,1438
1543748665,1428,1428
1543749635,1452,1452
1543750588,1458,1458
1543751538,1446,1446
1543752795,1438,1438
1543753956,1418,1418
1543754895,1408,1408
1543755861,1411,1411
1543756810,1429,1429
1543757792,1428,1428
1543758731,1447,1447
1543759714,1391,1391
1543760673,1405,1405
1543761633,1425,1425
1543762571,1404,1404
1543763549,1381,1381
1543764492,1374,1374
1543765477,1389,1389
1543766418,1424,1424
1543767389,1452,1452
1543768341,1456,1456
1543769292,1451,1451
1543770264,1423,1423
1543771217,1410,1410
1543772182,1432,1432
1543773150,1455,1455
1543774097,1426,1426
1543775053,1444,1444
1543776013,1399,1399
1543776990,1407,1407
1543777959,1434,1434
1543779144,1454,1454
1543780352,1414,1414
1543781323,1418,1418
1543782510,1431,1431
1543783479,1450,1450
1543784425,1475,1475
1543785383,1425,1425
1543786338,1457,1457
1543787291,1478,1478
1543788268,1472,1472
1543789213,1485,1485
1543790175,1473,1473
1543791135,1487,1487
1543792096,1465,1465
1543793075,1478,1478
1543794011,1492,1492
1543795224,1496,1496
1543796181,1489,1489
1543797143,1465,1465
1543798094,1497,1497
1543799076,1509,1509
1543800009,1496,1496
1543800976,1516,1516
1543801933,1487,1487
1543802917,1466,1466
1543803853,1506,1506
1543804917,1484,1484
1543806284,1464,1464
1543807459,1486,1486
1543808412,1456,1456
1543809387,1482,1482
1543810361,1496,1496
1543811296,1525,1525
1543812262,1496,1496
1543813244,1510,1510
1543814195,1468,1468
1543815385,1487,1487
1543816336,1507,1507
1543817316,1531,1531
1543818254,1500,1500
1543819218,1511,1511
1543820180,1506,1506
1543821164,1512,1512
1543822096,1509,1509
1543823062,1535,1535
1543824029,1493,1493
1543824981,1542,1542
1543825941,1507,1507
1543826895,1528,1528
1543827863,1501,1501
1543828811,1480,1480
1543829785,1525,1525
1543830977,1495,1495
1543831961,1489,1489
1543832894,1521,1521
1543833864,1519,1519
1543834832,1471,1471
1543835789,1455,1455
1543836760,1455,1455
