DateTime,AddedIPs,RemovedIPs
1542045632,3,2
1542049235,1,5
1542052835,0,2
1542056433,0,1
1542060031,0,5
1542063638,2,10
1542067235,2,7
1542078035,0,1
1542081631,0,4
1542085236,1,1
1542092435,0,3
1542096033,5,2
1542099631,0,2
1542106833,0,1
1542110437,0,1
1542117631,0,3
1542124829,1,5
1542132027,0,3
1542135634,1,2
1542139230,1,0
1542142834,2,1
1542146424,1,1
1542150035,1,4
1542153627,2,6
1542160827,1,1
1542164436,32,1
1542168027,4,0
1542175229,1,2
1542178826,0,1
1542182430,2,2
1542193228,1,5
1542196824,0,1
1542214827,2,10
1542218423,0,1
1542222024,1,1
1542225637,3,1
1542229224,0,1
1542232824,2,3
1542236429,2,1
1542243624,1,0
1542247223,1,0
1542250824,2,0
1542254428,3,0
1542258025,6,0
1542261630,4,0
1542265240,2,24
1542268823,4,9
1542272425,1,2
1542276026,0,1
1542279633,3,0
1542283230,1,0
1542286825,0,1
1542290433,4,2
1542294026,1,0
1542297636,1,1
1542304831,4,0
1542308433,2,3
1542312030,3,2
1542315628,3,1
1542319223,1,0
1542322830,1,1
1542326426,4,3
1542330030,0,4
1542333633,3,1
1542337225,1,0
1542340833,1,2
1542344430,4,2
1542351629,1,1
1542355226,5,3
1542358835,1,1
1542362438,0,8
1542366036,1,1
1542369633,2,4
1542373225,0,1
1542376824,2,0
1542380424,1,2
1542384022,1,2
1542387624,0,1
1542391235,0,3
1542394823,1,4
1542398423,1,2
1542402033,1,2
1542405625,1,0
1542409229,0,2
1542412827,1,2
1542416441,0,1
1542420026,1,0
1542423634,10,0
1542427237,13,0
1542430837,0,3
1542434427,2,1
1542438040,3,7
1542441636,0,1
1542445225,1,5
1542452436,1,0
1542463228,2,1
1542470429,1,3
1542474032,1,0
1542477635,1,0
1542484835,1,0
1542488426,8,1
1542492028,4,0
1542495626,1,1
1542499229,1,0
1542502835,0,1
1542506427,1,0
1542510023,1,1
1542513625,7,0
1542517229,3,2
1542520831,2,0
1542524426,1,1
1542528036,1,0
1542531648,0,1
1542535230,0,1
1542538835,4,2
1542546037,0,1
1542556839,1,0
1542560425,6,0
1542564025,0,2
1542567624,3,4
1542571230,0,4
1542574825,4,1
1542578435,0,3
1542582029,5,3
1542585633,3,0
1542589230,0,2
1542592841,1,0
1542596425,7,1
1542603631,1,0
1542607229,2,0
1542614427,2,0
1542618026,0,3
1542625233,2,0
1542628831,0,1
1542636028,0,1
1542639634,4,0
1542646836,1,1
1542650433,0,2
1542654028,3,1
1542661238,2,0
1542664834,1,0
1542668432,1,2
1542672038,2,1
1542675644,2,1
1542679239,1,0
1542682837,2,0
1542686429,25,0
1542690027,1,2
1542693630,2,0
1542697226,0,2
1542700829,0,4
1542704429,1,0
1542708028,1,0
1542711629,1,2
1542715234,2,0
1542718828,1,0
1542722427,1,0
1542726027,2,0
1542729627,2,0
1542733232,0,2
1542736835,0,1
1542740437,1,1
1542747636,1,0
1542751235,2,1
1542754838,2,1
1542758441,5,0
1542762035,12,3
1542765636,6,3
1542769234,5,21
1542772841,6,7
1542776445,3,2
1542780039,5,1
1542783636,2,0
1542787243,1,0
1542790831,1,0
1542798034,1,1
1542801634,1,0
1542805228,4,0
1542808836,1,0
1542816036,1,0
1542819637,0,3
1542826834,3,2
1542830427,1,3
