DateTime,AddedIPs,RemovedIPs
1541538032,0,1
1541541637,2,0
1541545240,5,0
1541548835,7,1
1541552431,0,1
1541556035,2,1
1541559636,2,0
1541563237,0,1
1541566836,0,2
1541570437,3,0
1541574031,1,0
1541577638,2,2
1541581233,1,0
1541584835,0,2
1541588435,3,1
1541592038,1,0
1541610035,10,1
1541613635,0,1
1541617234,1,0
1541620831,1,2
1541624435,1,2
1541631637,0,1
1541635233,0,1
1541649631,0,2
1541660438,16,0
1541664030,3,0
1541671230,0,1
1541678432,0,1
1541682038,1,0
1541692837,2,0
1541696439,2,2
1541703635,3,2
1541710835,1,1
1541714438,1,1
1541718032,2,0
1541721640,5,1
1541725233,2,0
1541728841,2,0
1541732437,1,0
1541736036,2,0
1541750438,0,1
1541754043,1,2
1541757636,0,1
1541761240,0,20
1541775637,1,1
1541779227,2,1
1541782839,1,0
1541790035,0,1
1541793628,1,0
1541797239,0,1
1541800832,0,4
1541804435,1,0
1541808030,2,0
1541811639,1,0
1541818830,0,1
1541826044,4,0
1541829633,1,0
1541833241,5,0
1541836837,0,1
1541844037,0,2
1541847636,0,1
1541851238,0,1
1541854831,0,1
1541869243,0,1
1541880035,1,1
1541887238,0,2
1541890833,0,1
1541898036,0,15
1541901640,0,8
1541905227,0,2
1541926829,1,1
1541930423,0,2
1541934034,2,3
1541937625,0,1
1541952030,0,1
1541955637,2,0
1541959230,0,2
1541962829,1,0
1541966431,0,2
1541977232,1,2
1541980826,0,2
1541988025,0,1
1541998833,1,1
1542002441,0,1
1542006033,0,1
1542013235,2,2
1542016835,0,1
1542031232,1,2
1542038430,0,41
1542042029,0,1
1542045626,1,2
1542049234,1,5
1542052831,0,2
1542056428,0,1
1542060026,0,5
1542063635,2,10
1542067230,2,7
1542081627,0,4
1542085237,1,1
1542092436,0,3
1542096028,5,1
1542099626,0,2
1542106829,0,1
1542110432,0,1
1542117631,0,3
1542124825,1,3
1542132023,0,3
1542135629,1,2
1542142829,2,1
1542146420,1,1
1542150030,0,4
1542153622,0,6
1542160822,1,1
1542164432,30,1
1542168023,4,0
1542175224,0,2
1542178821,0,1
1542182426,2,2
1542193223,1,5
1542196820,0,1
1542214822,2,10
1542218418,0,1
1542222028,0,1
1542225619,1,1
1542229219,0,1
1542232819,1,2
1542236424,2,1
1542258019,3,0
1542261628,2,0
1542265226,0,24
1542268823,4,10
1542272422,0,1
1542279626,2,0
1542283225,1,0
1542286821,0,1
1542290427,2,0
1542294020,1,0
1542304825,4,0
1542308434,1,3
1542312024,2,2
1542315622,2,1
1542319223,1,0
1542322825,0,1
1542326421,3,1
1542330022,0,3
1542333627,2,1
1542337224,1,0
1542340827,1,1
1542344424,4,2
1542351628,0,1
1542355221,5,2
1542358831,1,1
1542362433,0,7
1542366030,1,0
1542369620,2,2
1542376822,1,0
1542380418,1,1
1542384018,1,0
1542391230,0,2
1542394818,1,0
1542398418,1,1
1542402028,1,0
1542405621,1,0
1542409226,0,2
1542412822,1,2
1542416441,0,1
1542420021,1,0
1542423629,10,0
1542427231,13,0
1542430833,0,3
1542434423,2,1
1542438037,2,7
1542441629,0,1
1542445223,1,3
1542452425,1,0
1542463228,1,0
1542470420,0,2
1542474027,1,0
1542488421,4,1
1542495619,0,1
1542499223,1,0
1542517219,0,1
1542528030,1,0
1542560419,6,0
1542567618,1,1
1542574822,3,0
1542582023,3,1
1542585627,3,0
1542589225,0,2
1542592828,1,0
1542596420,4,0
1542603625,1,0
1542607223,1,0
1542614421,2,0
1542618020,0,3
1542625225,1,0
1542636023,0,1
1542639628,4,0
1542654023,3,1
1542661238,2,0
1542664834,1,0
1542668427,1,2
1542672038,1,1
1542675644,2,1
1542679233,1,0
1542682831,2,0
1542686424,25,0
1542690021,1,2
1542693623,2,0
1542697221,0,2
1542700824,0,4
1542704423,1,0
1542711623,1,2
1542715228,1,0
1542718823,1,0
1542726024,2,0
1542729621,2,0
1542733226,0,2
1542736830,0,1
1542740431,0,1
1542747632,1,0
1542751237,2,1
1542754833,1,0
1542758436,5,0
1542762030,12,2
1542765630,6,2
1542769229,5,19
1542772835,6,7
1542776446,3,2
1542780034,5,0
1542783630,2,0
1542787238,1,0
1542790829,1,0
1542798029,0,1
1542805222,4,0
1542808831,1,0
1542816031,1,0
1542819631,0,3
1542826829,2,0
1542830422,0,1
1542834030,1,0
1542837625,1,1
1542841238,0,2
1542855627,1,0
1542862838,0,1
1542866430,1,0
1542895226,0,1
1542898828,1,0
1542909632,3,2
1542913222,0,1
1542920422,5,0
1542924033,3,0
1542931241,4,2
1542934829,2,0
1542938431,1,0
1542942030,0,1
1542945641,24,0
1542949232,0,1
1542956430,1,0
1542960030,0,4
1542963629,0,1
1542967236,2,2
1542970837,0,2
1542974438,0,1
1542978038,7,0
1542981641,0,1
1542985227,1,1
1542992434,0,1
1542996029,1,2
1542999626,0,1
1543003241,0,1
1543010436,1,0
1543014037,1,5
1543017631,0,2
1543024833,0,2
1543028434,3,6
1543032032,4,16
1543035641,1,0
1543039232,0,3
1543042833,1,2
1543046429,0,1
1543050030,0,3
1543053630,1,0
1543060831,1,0
1543064433,2,0
1543068041,0,1
1543075238,1,0
1543078822,0,1
1543082432,0,1
1543086027,1,0
1543093235,0,8
1543096833,0,1
1543100430,1,0
1543104036,1,1
1543107628,1,0
1543114832,2,0
1543118438,1,0
1543154423,0,2
1543165231,0,3
1543179627,0,1
1543183237,0,1
1543190434,4,1
1543197629,0,1
1543201233,1,3
1543204833,9,0
1543208439,13,0
1543212031,1,1
1543215633,2,0
1543219238,1,1
1543237238,1,0
1543244430,0,3
1543255231,1,1
1543258832,0,2
1543269630,0,1
1543273234,0,1
1543276844,1,4
1543280431,0,2
1543284031,0,2
1543287630,2,3
1543291232,0,19
1543294828,1,0
1543298436,0,2
1543302030,1,3
1543305636,2,0
1543309227,1,1
1543312831,2,3
1543316426,0,1
1543320029,0,1
1543327231,1,1
1543330831,4,2
1543334426,2,6
1543341633,3,0
1543345235,0,1
1543352437,1,0
