DateTime,AddedIPs,RemovedIPs
1537153411,0,1
1537175034,1,0
1537196614,0,1
1537200234,1,0
1537207414,0,1
1537218237,1,4
1537225410,0,3
1537229025,0,1
1537232623,0,1
1537243426,0,1
1537250619,0,1
1537264994,0,1
1537272231,0,1
1537279457,0,1
1537286608,0,1
1537351377,0,2
1537369418,0,1
1537376603,0,1
1537383813,1,0
1537387433,1,0
1537437844,0,1
1537452235,1,0
1537481050,1,1
1537491861,0,1
1537499048,1,0
1537520614,1,0
1537542216,1,0
1537549428,1,0
1537553018,0,1
1537556574,0,1
1537563825,0,1
1537578247,0,1
1537589017,1,0
1537632253,1,1
1537635835,0,1
1537650259,1,0
1537653843,0,1
1537671827,1,0
1537707830,0,1
1537725819,1,0
1537743777,0,1
1537805056,0,1
1537815835,0,1
1537823042,0,1
1537826641,0,1
1537851835,0,1
1537862595,0,1
1537909443,0,1
1537916637,1,0
1537923821,1,0
1537931024,2,0
1537956211,1,0
1537959820,1,0
1538010247,0,1
1538071412,1,0
1538082186,1,0
1538089420,1,0
1538121830,0,1
1538139832,0,1
1538143432,0,1
1538164974,1,0
1538211845,1,0
1538240647,3,0
1538244261,0,1
1538247833,1,0
1538255045,0,1
1538298240,0,1
1538305424,1,0
1538309029,1,0
1538330641,1,1
1538348649,1,0
1538352232,1,0
1538359392,0,1
1538384627,1,0
1538413436,1,0
1538445830,0,1
1538474623,1,0
1538503437,1,0
1538517831,1,0
1538525030,1,0
1538528642,0,1
1538561032,0,1
1538579033,0,1
1538611437,1,0
1538661841,1,0
1538676233,0,1
1538679832,2,0
1538683421,1,0
1538701418,1,0
1538705038,0,1
1538719426,1,0
1538733831,0,1
1538766232,0,1
1538769843,1,0
1538802244,0,1
1538834630,0,2
1538849029,1,0
1538852621,0,1
1538885034,1,0
1538921037,0,1
1538935449,0,1
1538989433,0,1
1539018208,1,0
1539036213,0,2
1539057837,0,1
1539061440,0,1
1539079410,0,1
1539083033,0,1
1539111846,0,1
1539119030,0,1
1539129840,1,1
1539133439,0,1
1539137024,1,0
1539140627,1,1
1539147811,0,1
1539169429,0,1
1539187412,1,0
1539212658,1,0
1539216232,1,0
1539223419,2,0
