DateTime,AddedIPs,RemovedIPs
1542074646,2,1
1542078250,2,1
1542081860,1,0
1542085462,1,0
1542089046,0,2
1542092654,1,0
1542096243,0,1
1542099858,1,0
1542103445,2,0
1542107038,1,2
1542114238,2,1
1542121461,1,1
1542125056,1,0
1542128637,1,0
1542132242,1,0
1542135848,1,1
1542139448,2,1
1542143033,2,2
1542146635,2,2
1542150256,1,4
1542153859,0,1
1542157462,2,1
1542161034,1,1
1542164658,0,1
1542168251,1,3
1542171853,1,2
1542175448,2,1
1542179044,1,0
1542182661,0,3
1542186253,0,1
1542193436,1,1
1542197011,3,1
1542204220,0,2
1542207821,1,1
1542211433,2,2
1542215049,6,1
1542218615,0,3
1542222230,0,1
1542225813,0,5
1542229448,3,2
1542236668,2,2
1542240251,0,4
1542243824,2,1
1542247436,1,1
1542251019,0,2
1542254613,2,0
1542258227,2,1
1542261868,0,2
1542265455,1,2
1542283458,3,3
1542287021,0,1
1542294235,1,0
1542297839,1,1
1542301437,3,2
1542305053,4,2
1542308665,3,0
1542312274,3,3
1542315841,2,1
1542319452,3,0
1542326624,1,1
1542330259,0,4
1542333862,0,3
1542337423,1,0
1542341048,1,2
1542344645,0,2
1542348254,1,0
1542351846,1,0
1542355420,1,1
1542359051,0,1
1542366202,3,0
1542369806,1,1
1542373420,0,1
1542377015,0,1
1542380617,1,1
1542384210,1,4
1542387825,1,2
1542391447,2,1
1542395004,2,0
1542398651,2,2
1542402261,2,1
1542405850,1,0
1542409468,2,1
1542413032,2,0
1542416630,1,1
1542420258,1,1
1542423855,1,0
1542427481,0,1
1542431063,1,1
1542434671,0,3
1542438251,0,2
1542441853,1,0
1542445452,0,1
1542449057,0,3
1542452658,2,6
1542456265,0,2
1542459832,0,7
1542463417,0,5
1542467035,1,8
1542470638,1,9
1542474285,0,10
1542477850,1,18
1542481458,2,11
1542485025,0,2
1542488619,3,2
1542492250,4,1
1542499452,1,4
1542503015,0,2
1542506640,1,2
1542510213,0,1
1542517446,1,3
1542521066,0,1
1542524642,0,3
1542528251,0,1
1542531848,0,1
1542535471,0,1
1542539060,2,0
1542542657,2,1
1542546233,0,1
1542553442,1,1
1542560620,0,3
1542564215,0,4
1542567831,0,2
1542571453,1,0
1542575069,4,1
1542578643,0,2
1542582259,2,2
1542585842,1,0
1542589451,1,3
