DateTime,AddedIPs,RemovedIPs
1537653843,1,0
1537675459,1,0
1537679014,1,0
1537693416,0,1
1537711431,1,0
1537725819,1,0
1537743777,0,1
1537754645,1,0
1537761828,1,0
1537787050,1,0
1537790644,0,1
1537794260,0,1
1537797829,1,0
1537801437,1,0
1537805057,0,2
1537812231,0,1
1537833838,0,1
1537841021,1,0
1537851835,0,1
1537862595,1,0
1537873406,1,0
1537880635,1,0
1537895032,0,1
1537905834,1,0
1537974251,1,0
1538003010,1,1
1538035427,1,0
1538042627,1,0
1538049813,0,1
1538064224,1,0
1538075027,1,0
1538129046,1,0
1538154236,1,0
1538157861,1,0
1538161417,1,0
1538164974,0,1
1538175817,1,0
1538222631,1,0
1538240647,0,1
1538280246,1,0
1538287439,0,1
1538305424,1,0
1538312637,0,1
1538316210,0,1
1538337826,0,1
1538352232,0,1
1538355838,1,0
1538359392,1,0
1538381049,0,1
1538388261,0,1
1538391826,0,1
1538395419,1,0
1538399049,0,1
1538413436,0,1
1538424205,0,1
1538445830,0,1
1538481826,1,1
1538485408,0,1
1538489041,1,0
1538507047,1,0
1538510658,1,0
1538514225,1,0
1538517831,0,1
1538528642,0,1
1538543040,0,1
1538557439,0,1
1538561032,0,1
1538579032,0,1
1538607846,0,1
1538647454,1,0
1538658245,0,1
1538665445,0,1
1538669052,0,1
1538676233,2,0
1538683421,0,1
1538726624,1,0
1538730211,0,1
1538740980,1,0
1538744586,1,0
1538762627,1,0
1538766232,0,1
1538809424,1,0
1538838190,0,1
1538863420,1,0
1538910237,1,1
1538960619,0,1
1538967822,0,1
1539032618,1,0
1539075848,0,1
1539090231,0,1
1539093830,1,0
1539115432,0,1
1539122611,1,0
1539144239,1,0
1539187412,1,0
1539212658,1,0
1539216232,0,1
1539223419,0,1
1539227024,1,0
1539237847,0,1
1539245053,1,0
1539270230,0,1
1539281041,0,2
1539295446,1,0
1539331434,0,1
1539338630,1,1
1539349446,0,1
1539353034,1,0
1539367421,0,1
1539399834,1,0
1539414231,0,1
1539450234,0,1
1539468224,0,1
1539522178,0,1
1539533042,1,0
1539561842,1,0
1539576238,1,0
1539579838,0,1
1539601434,1,0
1539608659,3,0
1539630255,1,0
1539633846,0,1
1539651853,0,1
1539709435,1,0
1539716638,1,0
1539756221,1,0
1539770651,0,1
1539795826,1,0
1539806638,1,0
1539821066,0,1
1539831803,0,1
1539857034,1,0
1539885845,0,1
1539903824,1,0
1539911043,0,1
1539939836,0,1
1539965037,0,1
1539972250,1,0
1540004654,0,2
1540019045,1,0
1540033454,1,0
1540058637,3,0
1540062249,0,1
1540065843,1,0
1540083848,1,0
1540108990,1,0
1540145055,0,1
1540155847,1,0
1540163024,2,0
1540166641,1,1
1540170246,1,0
1540191853,1,0
1540227835,0,1
1540235034,0,2
1540238644,2,0
1540249454,1,0
1540292620,0,1
1540299840,1,0
1540303442,1,0
1540307014,0,1
1540321430,0,1
1540343031,1,0
1540346648,0,1
1540353809,0,1
1540357441,0,1
1540361017,1,1
1540368241,0,1
1540379009,0,1
1540382622,1,0
1540418636,1,0
1540451028,0,1
1540465415,1,0
1540469047,1,0
1540476265,1,0
1540512234,1,0
1540526605,0,1
1540577034,0,1
1540591385,1,0
1540616637,1,0
1540638243,1,1
1540663372,1,1
1540692181,1,0
1540713832,0,1
1540731827,1,0
1540760635,1,1
1540796619,1,0
1540821814,0,1
1540829046,1,0
1540832650,0,1
1540843444,0,1
1540864996,0,1
1540868635,1,0
1540904642,2,1
1540908239,0,2
1540929865,1,0
1540969434,1,0
1540976607,0,1
1540980216,1,0
1540983809,1,0
1540987394,0,1
1541005421,1,0
1541012628,1,0
1541016205,1,0
1541019794,1,1
1541023402,0,1
1541030636,1,0
1541063011,0,1
1541070242,1,1
1541073848,2,1
1541084628,1,0
1541099030,0,1
1541102637,0,1
1541113445,1,0
1541124242,1,0
1541160233,1,1
1541174639,0,1
1541181826,0,1
1541189047,0,2
1541192619,0,1
1541196231,0,1
1541221422,0,1
1541235797,1,0
1541246658,2,1
1541250186,1,0
1541257386,1,0
1541264628,0,1
1541293430,1,1
1541311441,0,1
1541318627,0,1
1541336627,0,1
1541343820,1,0
1541376258,1,0
1541383424,1,0
1541401413,0,1
1541415828,0,1
1541426653,1,0
1541430221,1,0
1541462663,1,0
1541466241,0,1
1541469827,1,0
1541473429,1,1
1541484194,1,0
1541509432,0,2
1541527442,1,1
1541541859,1,0
1541545446,1,0
1541549047,1,0
1541574227,0,1
1541585032,0,1
1541588622,1,1
1541592218,1,0
1541595830,2,0
1541599429,1,0
1541610235,2,1
1541617426,0,1
1541621044,0,1
1541624633,1,1
1541635451,0,1
1541646242,1,0
1541657028,1,0
1541660630,1,0
1541678629,0,2
1541689461,0,1
1541693079,1,0
1541707452,1,0
1541725446,0,1
1541747056,0,1
1541754264,1,0
1541757881,1,0
1541765035,1,1
1541768585,0,1
1541797435,1,0
1541847844,0,1
1541851457,0,2
1541855023,0,2
1541858637,1,0
1541887443,1,0
1541891011,1,0
1541898228,2,1
1541901840,1,0
1541909016,1,0
1541916232,1,0
1541952241,0,1
1541973844,2,0
1541980997,1,1
1541991841,0,1
1541995428,1,0
1541999054,1,0
1542006246,2,0
1542009835,1,0
1542031412,0,1
1542035050,0,1
1542042260,1,0
1542056637,1,0
1542063840,1,0
1542067441,1,1
1542078225,0,1
1542089022,1,0
1542110637,1,0
1542132218,0,1
1542135823,1,0
1542146609,2,1
1542150231,1,1
1542157438,1,0
1542182636,1,0
1542193411,0,2
1542196987,0,2
1542204196,1,1
1542207797,0,1
1542215024,0,1
1542218591,0,1
1542229424,0,1
1542236643,1,0
1542250995,0,1
1542258202,1,0
1542294210,1,1
1542297815,0,1
1542315815,0,1
1542319426,1,0
1542323019,1,0
1542341023,0,1
1542359026,0,1
1542362620,0,1
1542369781,0,1
1542391423,2,0
1542413008,0,1
1542416605,1,0
1542420234,2,1
1542463394,1,1
1542467012,1,0
1542470617,1,0
1542481437,1,0
1542499431,1,0
1542502994,1,1
1542513793,0,1
1542531827,1,0
1542557032,1,0
1542564195,1,0
1542589431,2,0
1542593013,0,1
1542596611,1,0
1542600203,0,1
1542603818,1,0
1542607435,0,1
1542611017,0,2
1542618242,1,0
1542621839,0,1
1542643426,1,0
1542647026,1,0
1542654223,2,0
1542661443,0,1
1542675836,0,1
1542682990,1,0
1542686599,0,2
1542690190,0,1
1542693794,0,1
1542715428,0,1
1542737028,1,0
1542740638,0,1
1542751446,0,2
1542755019,0,1
1542762248,0,2
1542773026,3,0
1542780227,1,1
1542798236,1,0
1542801790,1,0
1542809040,1,1
1542816203,1,0
1542841470,0,1
1542852225,1,0
1542863076,1,0
1542895408,1,0
1542902620,1,0
1542927852,1,0
1542931427,0,1
1542956644,1,0
1542960258,1,0
1542963845,0,1
1542996231,1,1
1543007025,0,1
1543025023,0,2
1543032212,0,1
1543046630,0,1
1543057427,1,0
1543071834,1,1
1543075423,0,2
1543082640,0,1
1543086228,1,0
1543100635,0,1
1543104231,0,1
1543107829,1,1
1543133049,1,0
1543136617,0,1
1543140238,1,0
1543147439,3,0
1543158218,1,0
1543161827,0,1
1543165432,1,0
1543169049,1,1
1543194232,0,2
1543201453,0,1
1543205026,1,0
1543208639,1,0
1543223037,0,1
1543241073,0,1
1543244644,1,0
1543251833,0,1
1543259037,0,1
1543262664,1,1
1543266249,1,0
1543273440,1,1
1543277022,1,0
1543287843,1,1
1543302227,1,0
1543320218,1,1
1543323816,1,1
1543327436,1,0
1543331038,1,0
1543334629,1,0
1543341840,0,1
1543349029,1,0
1543356244,0,1
1543367029,1,0
1543377827,0,4
1543399439,2,0
1543403048,0,1
1543406648,0,1
1543413842,0,1
1543417434,1,0
1543421029,0,1
1543424619,1,0
1543464222,0,1
1543467825,0,1
1543478626,1,0
1543489452,2,0
1543503851,1,1
1543507443,0,1
1543518246,1,0
1543532625,0,1
1543565044,1,1
1543572197,1,0
1543615450,3,0
1543629816,2,1
1543633417,1,0
1543640629,1,0
1543644221,1,0
1543647817,1,0
1543651459,1,0
1543655061,0,1
1543662226,1,0
1543665856,1,0
1543676618,2,1
1543680230,2,0
1543691070,0,1
1543694651,2,0
1543709045,0,1
1543712643,1,1
1543723440,1,1
1543727054,1,0
1543745049,0,1
1543752245,0,1
1543763029,0,1
1543766632,2,0
1543770264,0,1
1543777399,1,0
1543781062,0,1
1543784634,1,0
1543788259,0,1
1543795436,0,1
1543806246,1,0
1543809829,0,1
1543849442,0,1
1543853030,0,1
1543856624,1,0
1543860226,0,1
1543871043,0,1
1543878198,1,0
1543881833,0,1
1543892622,1,1
1543925005,0,1
1543932231,1,2
1543935839,1,0
1543939462,0,1
1543953829,0,2
1543961035,1,0
1544004250,0,1
1544011434,0,1
1544022229,0,1
1544025796,0,1
1544029410,0,1
1544054633,2,0
1544094184,1,1
1544097804,1,0
1544105009,0,1
1544115786,0,1
1544133799,1,0
1544141005,1,1
1544158997,2,0
1544169788,0,1
1544176986,0,2
