DateTime,AddedIPs,RemovedIPs
1542384448,57,29
1542388053,22,20
1542391646,23,23
1542395246,25,14
1542398857,25,77
1542402443,12,27
1542406038,16,29
1542409641,20,21
1542413249,28,20
1542416849,37,19
1542420443,24,23
1542424039,22,19
1542427651,15,25
1542431246,15,26
1542434848,17,25
1542438454,14,18
1542442053,18,17
1542445652,23,12
1542449243,19,31
1542452849,14,23
1542456443,20,25
1542460042,23,13
1542463640,38,25
1542467246,52,16
1542470853,28,23
1542474449,18,28
1542478048,9,22
1542481650,25,26
1542485238,22,20
1542488850,20,23
1542492447,17,22
1542496050,31,21
1542499652,17,30
1542503251,21,26
1542506853,14,22
1542510440,25,14
1542514045,30,34
1542517649,23,26
1542521253,17,16
1542524855,16,25
1542528445,23,27
1542532046,21,28
1542535648,23,14
1542539247,22,23
1542542849,21,29
1542546447,24,39
1542550053,16,53
1542553647,21,46
1542557247,22,34
1542560847,29,35
1542564450,32,27
1542568054,24,32
1542571683,488,20
1542575279,25,31
1542578876,25,36
1542582475,22,42
1542586072,25,27
1542589680,29,36
1542593261,16,46
1542596857,21,47
1542600464,13,43
1542604063,18,19
1542607665,17,34
1542611261,30,35
1542614877,26,38
1542618462,28,30
1542622064,57,41
1542625655,19,39
1542629263,32,30
1542632851,22,64
1542636466,18,30
1542640053,22,31
1542643661,21,32
1542647248,31,37
1542650867,24,38
1542654456,22,36
1542658054,22,34
1542661656,29,26
1542665261,40,32
1542668855,24,34
1542672454,27,30
1542676061,48,40
1542679654,22,40
1542683242,24,39
1542686849,21,38
1542690448,27,25
1542694053,31,28
1542697649,29,38
1542701248,16,48
1542704846,16,40
1542708443,15,62
1542712041,25,62
1542715643,29,67
1542719238,20,80
1542722827,28,103
1542726438,18,66
1542730035,16,35
1542733644,31,30
1542737225,44,34
1542740831,37,28
1542744436,31,28
1542748036,25,20
1542751642,20,46
1542755236,18,17
1542758835,26,40
1542762433,24,35
1542766036,30,22
1542769642,15,27
1542773230,25,24
1542776828,15,23
1542780428,22,19
1542784026,21,24
1542787624,19,20
1542791226,26,23
1542794827,24,19
1542798424,23,20
1542802032,23,18
1542805630,17,22
1542809231,16,27
1542812834,31,25
1542816434,28,29
1542820032,16,17
1542823627,25,22
1542827227,26,19
1542830832,26,29
1542834434,29,23
1542838035,23,15
1542841629,25,27
1542845239,25,19
1542848841,25,30
1542852439,17,29
1542856036,15,24
1542859628,18,26
1542863234,33,27
1542866836,22,31
1542870433,18,56
