DateTime,Entries,UniqueIPs
1542384448,6185,6185
1542388053,6187,6187
1542391646,6187,6187
1542395246,6198,6198
1542398857,6146,6146
1542402443,6131,6131
1542406038,6118,6118
1542409641,6117,6117
1542413249,6125,6125
1542416849,6143,6143
1542420443,6144,6144
1542424039,6147,6147
1542427651,6137,6137
1542431246,6126,6126
1542434848,6118,6118
1542438454,6114,6114
1542442053,6115,6115
1542445652,6126,6126
1542449243,6114,6114
1542452849,6105,6105
1542456443,6100,6100
1542460042,6110,6110
1542463640,6123,6123
1542467246,6159,6159
1542470853,6164,6164
1542474449,6154,6154
1542478048,6141,6141
1542481650,6140,6140
1542485238,6142,6142
1542488850,6139,6139
1542492447,6134,6134
1542496050,6144,6144
1542499652,6131,6131
1542503251,6126,6126
1542506853,6118,6118
1542510440,6129,6129
1542514045,6125,6125
1542517649,6122,6122
1542521253,6123,6123
1542524855,6114,6114
1542528445,6110,6110
1542532046,6103,6103
1542535648,6112,6112
1542539247,6111,6111
1542542849,6103,6103
1542546447,6088,6088
1542550053,6051,6051
1542553647,6026,6026
1542557247,6014,6014
1542560847,6008,6008
1542564450,6013,6013
1542568054,6005,6005
1542571683,6473,6473
1542575279,6467,6467
1542578876,6456,6456
1542582475,6436,6436
1542586072,6434,6434
1542589680,6427,6427
1542593261,6397,6397
1542596857,6371,6371
1542600464,6341,6341
1542604063,6340,6340
1542607665,6323,6323
1542611261,6318,6318
1542614877,6306,6306
1542618462,6304,6304
1542622064,6320,6320
1542625655,6300,6300
1542629263,6302,6302
1542632851,6260,6260
1542636466,6248,6248
1542640053,6239,6239
1542643661,6228,6228
1542647248,6222,6222
1542650867,6208,6208
1542654456,6194,6194
1542658054,6182,6182
1542661656,6185,6185
1542665261,6193,6193
1542668855,6183,6183
1542672454,6180,6180
1542676061,6188,6188
1542679654,6170,6170
1542683242,6155,6155
1542686849,6138,6138
1542690448,6140,6140
1542694053,6143,6143
1542697649,6134,6134
1542701248,6102,6102
1542704846,6078,6078
1542708443,6031,6031
1542712041,5994,5994
1542715643,5956,5956
1542719238,5896,5896
1542722827,5821,5821
1542726438,5773,5773
1542730035,5754,5754
1542733644,5755,5755
1542737225,5765,5765
1542740831,5774,5774
1542744436,5777,5777
1542748036,5782,5782
1542751642,5756,5756
1542755236,5757,5757
1542758835,5743,5743
1542762433,5732,5732
1542766036,5740,5740
1542769642,5728,5728
1542773230,5729,5729
1542776828,5721,5721
1542780428,5724,5724
1542784026,5721,5721
1542787624,5720,5720
1542791226,5723,5723
1542794827,5728,5728
1542798424,5731,5731
1542802032,5736,5736
1542805630,5731,5731
1542809231,5720,5720
1542812834,5726,5726
1542816434,5725,5725
1542820032,5724,5724
1542823627,5727,5727
1542827227,5734,5734
1542830832,5731,5731
1542834434,5737,5737
1542838035,5745,5745
1542841629,5743,5743
1542845239,5749,5749
1542848841,5744,5744
1542852439,5732,5732
1542856036,5723,5723
1542859628,5715,5715
1542863234,5721,5721
1542866836,5712,5712
1542870433,5674,5674
1542874095,5671,5671
1542877635,5667,5667
1542881230,5659,5659
1542884823,5670,5670
1542888429,5676,5676
1542892029,5683,5683
1542895628,5677,5677
1542899227,5677,5677
1542902818,5671,5671
1542906436,5670,5670
1542910023,5666,5666
1542913631,5673,5673
1542917225,5682,5682
1542920835,5662,5662
1542924421,5664,5664
1542928032,5670,5670
1542931631,5674,5674
1542935233,5675,5675
1542938830,5679,5679
1542942429,5684,5684
1542946025,5671,5671
1542949626,5664,5664
1542953220,5659,5659
1542956818,5670,5670
1542960437,5730,5730
1542964031,5802,5802
1542967638,5792,5792
1542971235,5783,5783
1542974828,5789,5789
1542978438,5782,5782
1542982037,5786,5786
1542985638,5795,5795
1542989225,5760,5760
1542992837,5764,5764
1542996435,5765,5765
1543000039,5762,5762
1543003647,5758,5758
1543007239,5775,5775
1543010846,5780,5780
1543014443,5784,5784
1543018039,5775,5775
1543021640,5773,5773
1543025239,5808,5808
1543028838,5834,5834
1543032437,5840,5840
1543036036,5848,5848
1543039632,5848,5848
1543043240,5859,5859
1543046840,5859,5859
1543050445,5855,5855
1543054042,5930,5930
1543057662,5969,5969
1543061257,5977,5977
1543064846,5968,5968
1543068516,5965,5965
1543072060,5965,5965
1543075651,5968,5968
1543079259,5974,5974
1543082848,5982,5982
1543086448,5992,5992
1543090060,6078,6078
1543093662,6121,6121
1543097271,6124,6124
1543100866,6116,6116
1543104454,6123,6123
1543108067,6138,6138
1543111667,6152,6152
1543115252,6151,6151
1543118856,6139,6139
1543122455,6140,6140
1543126050,6143,6143
1543129649,6142,6142
1543133252,6138,6138
1543136855,6136,6136
1543140454,6146,6146
1543144060,6139,6139
1543147659,6146,6146
1543151254,6149,6149
1543154860,6167,6167
1543158451,6182,6182
1543162061,6179,6179
1543165655,6185,6185
1543169257,6178,6178
1543172862,6174,6174
1543176444,5728,5728
1543180038,5726,5726
1543183644,5710,5710
1543187231,5717,5717
1543190839,5714,5714
1543194432,5709,5709
1543198033,5714,5714
1543201641,5705,5705
1543205236,5725,5725
1543208840,5732,5732
1543212427,5737,5737
1543216033,5736,5736
1543219635,5729,5729
1543223237,5725,5725
1543226828,5698,5698
1543230414,5710,5710
1543234028,5691,5691
1543237637,5701,5701
1543241229,5703,5703
1543244823,5715,5715
1543248442,5716,5716
1543252033,5724,5724
1543255639,5731,5731
1543259239,5733,5733
1543262833,5727,5727
1543266447,5779,5779
1543270047,5779,5779
1543273641,5784,5784
1543277250,5778,5778
1543280838,5777,5777
1543284444,5799,5799
1543288046,5816,5816
1543291640,5824,5824
1543295248,5823,5823
1543298847,5811,5811
1543302443,5820,5820
1543306038,5823,5823
1543309644,5814,5814
1543313238,5829,5829
1543316850,5822,5822
1543320432,5814,5814
1543324044,5816,5816
1543327648,5829,5829
1543331243,5832,5832
1543334848,5844,5844
1543338440,5847,5847
1543342043,5832,5832
1543345637,5810,5810
1543349243,5816,5816
1543352845,5826,5826
1543356443,5838,5838
1543360045,5840,5840
1543363641,5840,5840
1543367243,5846,5846
1543370834,5844,5844
1543374434,5853,5853
1543378033,5850,5850
1543381643,5854,5854
1543385240,5866,5866
1543388837,5860,5860
1543392443,5861,5861
1543396040,5857,5857
1543399635,5859,5859
1543403244,5866,5866
1543406850,5871,5871
1543410438,5871,5871
1543414044,5875,5875
1543417643,5868,5868
1543421240,5852,5852
1543424847,5872,5872
1543428452,5869,5869
1543432053,5869,5869
1543435651,5859,5859
1543439236,5861,5861
1543442837,5894,5894
1543446446,5921,5921
1543450049,5920,5920
1543453649,5919,5919
1543457253,5966,5966
1543460854,5974,5974
1543464451,5976,5976
1543468053,5960,5960
1543471642,5954,5954
1543475252,5950,5950
1543478848,5949,5949
1543482447,5949,5949
1543486040,5957,5957
1543489642,5959,5959
1543493249,5976,5976
1543496845,5972,5972
1543500441,5966,5966
1543504043,5957,5957
1543507645,5969,5969
1543511246,5998,5998
1543514853,6006,6006
1543518449,5990,5990
1543522046,5987,5987
1543525656,5986,5986
1543529246,5990,5990
1543532855,5986,5986
1543536449,5980,5980
1543540052,5977,5977
1543543649,5971,5971
1543547252,5973,5973
1543550851,5965,5965
1543554450,5967,5967
1543558040,5961,5961
1543561637,5956,5956
1543565240,5926,5926
1543568840,5870,5870
1543572434,5859,5859
1543576042,5850,5850
1543579639,5932,5932
1543583243,5948,5948
1543586843,5954,5954
1543590435,5950,5950
1543594041,5953,5953
1543597654,5948,5948
1543601246,5963,5963
1543604849,5972,5972
1543608449,5972,5972
1543612052,5959,5959
1543615640,5953,5953
1543619253,5962,5962
1543622849,5966,5966
1543626448,5944,5944
1543630047,5942,5942
1543633645,5937,5937
1543637245,5936,5936
1543640845,5942,5942
1543644446,5938,5938
1543648042,5937,5937
1543651638,5948,5948
1543655239,5969,5969
1543658835,5933,5933
1543662441,5901,5901
1543666029,5883,5883
1543669636,5879,5879
1543673231,5878,5878
1543676840,5892,5892
1543680437,5897,5897
1543684037,5898,5898
1543687638,5902,5902
1543691234,5888,5888
1543694837,5882,5882
1543698440,5905,5905
1543702043,5947,5947
1543705644,5949,5949
1543709241,5953,5953
1543712832,5950,5950
1543716441,5946,5946
1543720034,5935,5935
1543723634,5931,5931
1543727237,5930,5930
1543730843,5933,5933
1543734438,5939,5939
1543738041,5946,5946
1543741641,5949,5949
1543745244,5950,5950
1543748843,5955,5955
1543752449,5956,5956
1543756044,5949,5949
1543759652,5936,5936
1543763240,5938,5938
1543766842,5953,5953
1543770442,5939,5939
1543774040,5949,5949
1543777647,5959,5959
1543781240,5957,5957
1543784844,5971,5971
1543788446,5952,5952
1543792042,5952,5952
1543795661,5953,5953
1543799243,5949,5949
1543802834,5949,5949
1543806443,5947,5947
1543810041,5935,5935
1543813643,5925,5925
1543817239,5912,5912
1543820840,5906,5906
1543824435,5898,5898
1543828032,5897,5897
1543831635,5891,5891
1543835243,5876,5876
1543838839,5872,5872
1543842425,5864,5864
1543846035,5869,5869
1543849622,5842,5842
1543853238,5855,5855
1543856831,5859,5859
1543860433,5849,5849
1543864037,5845,5845
1543867637,5841,5841
1543871238,5825,5825
1543874837,5839,5839
1543878434,5845,5845
1543882038,5859,5859
1543885638,5859,5859
1543889239,5847,5847
1543892846,5830,5830
1543896435,5824,5824
1543900029,5865,5865
1543903634,5867,5867
1543907236,5852,5852
1543910849,5842,5842
1543914435,5851,5851
1543918032,5837,5837
1543921618,5835,5835
1543925238,5835,5835
1543928830,5842,5842
1543932435,5845,5845
1543936027,5836,5836
1543939629,5838,5838
1543943237,5847,5847
1543946842,5850,5850
1543950433,5861,5861
1543954042,5859,5859
1543957635,5863,5863
1543961235,5854,5854
1543964833,5848,5848
1543968438,5848,5848
1543972033,5848,5848
1543975634,5858,5858
1543979233,5854,5854
1543982839,5853,5853
1543986438,5849,5849
1543990033,5845,5845
1543993635,5844,5844
1543997231,5837,5837
1544000829,5846,5846
1544004439,5851,5851
1544008031,5846,5846
1544011634,5849,5849
1544015238,5858,5858
1544018839,5857,5857
1544022449,6006,6006
1544026059,6320,6320
1544029674,6514,6514
1544033284,6637,6637
1544036897,6710,6710
1544040501,6837,6837
1544044115,6913,6913
1544047694,6949,6949
1544051319,6965,6965
1544054907,6983,6983
1544058513,6985,6985
1544062094,6936,6936
1544065701,6924,6924
1544069304,6939,6939
1544072902,6951,6951
1544076507,6957,6957
1544080100,6959,6959
1544083689,6962,6962
1544087287,6961,6961
1544090888,6963,6963
1544094482,6973,6973
1544098082,6971,6971
1544101681,6974,6974
1544105284,6988,6988
1544108883,6991,6991
1544112487,6990,6990
1544116087,6976,6976
1544119684,6975,6975
1544123289,6986,6986
1544126885,6985,6985
1544130488,6992,6992
1544134083,6998,6998
1544137686,7003,7003
1544141285,6998,6998
1544144885,6997,6997
1544148481,6998,6998
1544152090,6999,6999
1544155688,7009,7009
1544159283,7021,7021
1544162890,7026,7026
1544166492,7027,7027
1544170087,7024,7024
1544173682,7023,7023
1544177289,7034,7034
1544180884,7014,7014
