DateTime,AddedIPs,RemovedIPs
1542384515,48,18
1542388120,14,10
1542391712,15,13
1542395318,13,2
1542398937,16,58
1542402520,8,18
1542406114,10,18
1542409712,9,18
1542413313,18,12
1542416918,26,6
1542420518,15,14
1542424110,15,13
1542427715,12,15
1542431324,8,20
1542434925,16,16
1542438539,10,11
1542442128,14,11
1542445725,15,13
1542449324,14,24
1542452920,8,17
1542456519,14,17
1542460113,17,8
1542463709,25,13
1542467309,42,11
1542470917,21,15
1542474519,9,19
1542478120,4,15
1542481726,16,20
1542485321,15,9
1542488925,15,16
1542492532,14,11
1542496128,23,17
1542499722,8,25
1542503325,11,14
1542506922,6,14
1542510518,16,6
1542514120,18,25
1542517728,14,17
1542521337,12,8
1542524925,8,23
1542528524,15,15
1542532121,12,21
1542535730,12,7
1542539326,12,14
1542542926,14,15
1542546524,16,23
1542550133,8,45
1542553721,10,33
1542557318,9,25
1542560922,17,15
1542564531,24,17
1542568129,15,25
1542571752,306,14
1542575356,16,16
1542578955,15,17
1542582551,17,18
1542586143,13,17
1542589745,17,12
1542593336,10,21
1542596945,17,26
1542600543,7,24
1542604139,11,14
1542607741,9,21
1542611338,21,22
1542614950,20,19
1542618542,19,23
1542622142,51,22
1542625736,10,24
1542629340,16,24
1542632930,14,53
1542636551,15,15
1542640133,14,15
1542643749,17,25
1542647325,18,21
1542650946,13,24
1542654533,9,20
1542658134,6,16
1542661738,20,16
1542665326,24,13
1542668930,13,22
1542672523,17,13
1542676126,29,30
1542679725,8,25
1542683312,16,26
1542686918,9,21
1542690520,17,15
1542694124,21,14
1542697720,18,24
1542701320,6,34
1542704918,10,33
1542708519,13,36
1542712112,16,38
1542715715,19,41
1542719305,11,49
1542722908,15,56
1542726508,10,44
1542730111,6,23
1542733706,20,20
1542737309,30,21
1542740910,27,22
1542744524,16,21
1542748129,16,10
1542751726,11,38
1542755327,10,13
1542758924,17,30
1542762523,14,20
1542766123,25,14
1542769724,12,13
1542773320,16,15
1542776909,11,14
1542780509,12,15
1542784102,12,16
1542787696,11,16
1542791303,15,18
1542794901,11,15
1542798504,19,9
1542802116,11,11
1542805712,7,15
1542809310,11,17
1542812910,16,17
1542816509,20,18
1542820108,7,13
1542823709,16,16
1542827306,13,7
1542830911,13,20
1542834515,14,13
1542838118,14,13
1542841720,18,22
1542845323,16,12
1542848926,12,23
1542852518,8,18
1542856123,10,20
1542859717,12,21
1542863318,24,20
1542866929,15,28
1542870516,10,46
1542874114,13,26
1542877710,11,15
1542881314,10,19
1542884895,16,11
1542888505,17,16
1542892103,13,13
1542895706,14,18
1542899303,14,17
1542902899,13,17
1542906508,9,15
1542910108,13,16
1542913708,22,17
1542917313,20,12
1542920911,10,27
1542924505,10,14
1542928107,15,16
1542931707,17,13
1542935306,10,16
1542938908,17,16
1542942509,19,14
1542946112,13,30
1542949705,11,19
1542953299,12,19
1542956884,14,7
1542960516,66,10
1542964113,77,11
1542967721,14,18
1542971314,17,25
1542974907,18,14
1542978516,9,21
1542982112,14,10
1542985720,16,7
1542989317,15,49
1542992923,18,18
1542996531,10,14
1543000128,11,20
1543003729,7,20
1543007323,15,9
1543010928,18,16
1543014532,17,13
1543018128,17,24
1543021725,32,27
1543025322,47,13
1543028924,34,15
1543032520,16,10
1543036111,19,9
1543039714,14,19
1543043323,20,8
1543046924,9,16
1543050515,11,18
1543054121,86,15
1543057744,42,9
1543061342,20,14
1543064928,9,18
1543068542,17,19
1543072138,17,22
1543075735,16,18
1543079336,12,12
1543082929,14,10
1543086534,14,15
1543090141,99,20
1543093752,58,17
1543097359,22,14
1543100957,17,22
1543104546,18,9
1543108140,28,9
1543111737,19,10
1543115337,17,18
1543118934,7,20
1543122539,18,13
1543126130,16,13
1543129727,9,7
1543133331,21,17
1543136936,15,11
1543140529,15,12
1543144138,9,14
1543147733,12,15
1543151330,12,15
1543154934,19,13
1543158506,23,10
1543162133,13,9
1543165731,23,17
1543169332,18,23
1543172940,11,17
1543176518,16,288
1543180127,10,15
1543183725,20,27
1543187323,22,15
1543190928,15,15
1543194524,11,21
1543198120,9,11
1543201725,11,21
1543205324,22,8
1543208931,15,11
1543212507,19,8
1543216110,15,17
1543219722,17,21
1543223322,15,19
1543226926,19,48
1543230507,15,13
1543234113,13,19
1543237715,22,15
1543241312,11,11
1543244907,16,19
1543248526,9,18
1543252119,21,19
1543255723,21,9
1543259321,20,15
1543262929,16,12
1543266529,70,23
1543270134,25,23
1543273731,19,16
1543277329,11,17
1543280906,16,29
1543284531,33,14
1543288128,24,17
1543291729,12,9
1543295310,10,15
1543298926,13,16
1543302521,23,18
1543306125,16,9
1543309727,8,12
1543313330,17,7
1543316944,18,18
1543320529,10,24
1543324127,15,11
1543327725,19,14
1543331330,19,11
1543334932,14,6
1543338521,19,15
1543342122,11,23
1543345723,7,28
1543349322,19,14
1543352924,26,15
1543356519,14,12
1543360135,18,16
1543363720,9,14
1543367323,21,16
1543370915,11,20
1543374515,16,14
1543378113,16,17
1543381721,16,12
1543385322,19,8
1543388920,8,13
1543392515,10,8
1543396122,5,13
1543399705,13,14
1543403327,22,21
1543406929,15,10
1543410524,10,13
1543414124,14,12
1543417714,15,17
1543421322,5,18
1543424922,22,8
1543428532,12,18
1543432152,14,13
1543435732,11,12
1543439326,16,14
1543442937,44,13
1543446533,42,19
1543450132,9,16
1543453731,14,13
1543457328,48,7
1543460936,18,13
1543464534,17,11
1543468131,13,25
1543471723,10,15
1543475324,8,12
1543478927,18,12
1543482531,11,11
1543486151,13,7
1543489717,15,13
1543493324,24,14
1543496919,10,17
1543500523,7,18
1543504116,7,16
1543507723,20,13
1543511314,25,8
1543514949,21,16
