DateTime,AddedIPs,RemovedIPs
1542337567,0,3
1542341173,0,2
1542344777,1,2
1542348367,2,4
1542351949,0,3
1542355549,0,3
1542359130,1,4
1542362731,1,6
1542366335,1,3
1542369958,1,1
1542373524,5,1
1542377118,3,0
1542380712,1,1
1542384327,4,1
1542387929,4,5
1542391510,2,1
1542395122,4,2
1542398725,0,1
1542402318,5,1
1542405920,4,1
1542409506,1,2
1542413113,4,0
1542416735,2,3
1542420317,1,1
1542423911,2,3
1542427522,2,0
1542431123,1,3
1542434727,0,6
1542438340,1,4
1542441934,5,4
1542445522,3,6
1542449128,1,4
1542452733,3,3
1542456320,5,5
1542459914,5,1
1542463530,9,5
1542467117,4,5
1542470709,1,12
1542474319,6,2
1542477927,2,2
1542481517,2,3
1542485117,3,2
1542488730,3,2
1542492320,1,1
1542495924,0,1
1542499529,2,0
1542503120,2,3
1542506722,2,1
1542510324,2,0
1542513926,2,2
1542517522,1,1
1542521123,0,2
1542524725,1,4
1542528314,3,5
1542531927,1,4
1542535521,0,1
1542539127,1,2
1542542722,3,1
1542546326,0,4
1542549940,2,5
1542553522,3,5
1542557118,1,4
1542560721,3,0
1542564333,3,3
1542567931,1,2
1542571529,4,4
1542575135,2,8
1542578729,3,3
1542582337,3,0
1542585940,1,2
1542589525,0,3
1542593121,0,2
1542596718,2,2
1542600325,12,1
1542603926,2,7
1542607523,2,4
1542611134,1,4
1542614730,4,8
1542618324,6,5
1542621932,1,7
1542625519,3,1
1542629122,3,1
1542632793,2,4
1542636330,2,2
1542639922,1,7
1542643524,4,4
1542647114,3,3
1542650725,2,0
1542654313,2,5
1542657918,5,2
1542661520,2,8
1542665125,2,12
1542668731,1,12
1542675920,2,26
1542679507,3,12
1542683112,2,13
1542686706,1,11
1542690315,0,15
1542693929,6,23
1542697510,3,23
1542701110,5,33
1542704709,2,20
1542708308,6,26
1542711907,1,28
1542715506,1,20
1542719095,3,22
1542722708,0,24
1542726302,0,24
1542729906,2,24
1542733498,4,12
1542737095,0,14
1542740694,2,7
1542744308,2,5
1542747904,2,5
1542751507,5,6
1542755103,9,3
1542758712,1,3
1542762305,0,9
1542765902,1,4
1542769509,1,5
1542773103,1,5
1542776700,1,6
1542780298,1,3
1542783893,2,5
1542787494,4,6
1542791098,0,5
1542794690,3,0
1542798295,3,7
1542801902,2,5
1542805507,3,5
1542809099,2,4
1542812690,2,6
1542816287,3,10
1542819894,3,4
1542823504,2,3
1542827098,1,3
1542830696,6,7
1542834293,1,5
1542837897,1,3
1542841520,3,2
1542845112,1,3
1542848707,10,12
1542852305,4,3
1542855906,0,2
1542859504,2,1
1542863113,1,1
1542866717,4,1
1542870315,2,1
1542877497,8,7
1542881104,4,3
1542884710,2,1
1542888298,3,4
1542891903,0,2
1542895504,3,3
1542899090,2,2
1542902693,2,3
1542906298,4,0
1542909898,1,3
1542913505,7,5
1542917111,2,2
1542920700,5,4
1542924297,3,1
1542927901,1,1
1542931513,1,0
1542935101,1,7
1542938700,1,3
1542942292,0,2
1542945907,1,0
1542949495,3,1
1542953106,2,2
1542956678,3,1
1542960312,1,1
1542963898,0,3
1542967501,1,1
1542971102,1,2
1542974691,3,2
1542978302,3,6
1542981904,5,3
1542985497,5,2
1542989160,1,4
1542992710,0,3
1542996312,3,5
1542999914,3,2
1543003511,2,4
1543007107,0,1
1543010718,1,2
1543014318,1,1
1543017911,0,5
1543021511,1,2
1543025101,0,3
1543028702,2,3
1543032295,1,2
1543035904,2,3
1543039503,2,3
1543043106,1,3
1543046702,2,3
1543050301,4,1
1543053901,2,1
1543057520,2,0
1543061108,1,5
1543064698,2,4
1543068309,2,1
1543071906,1,3
1543075515,6,3
1543079110,2,4
1543082699,3,0
1543086305,1,2
1543093522,1,2
1543097114,3,10
1543100717,0,5
1543104306,1,1
1543107914,1,2
1543111501,3,2
1543115112,0,2
1543118702,2,0
1543122312,30,0
1543125903,23,1
1543129499,15,3
1543133105,5,3
1543136726,2,1
1543140303,1,0
1543143906,3,0
1543147504,2,2
1543151117,0,3
1543154714,1,2
1543158282,1,1
1543161909,2,2
1543165509,0,3
1543169106,3,3
1543172718,1,0
1543176307,0,5
1543179913,4,1
1543183514,3,4
1543187105,2,2
1543190716,2,0
1543194318,3,0
1543197899,2,1
1543201514,1,2
1543205109,1,5
1543208713,2,4
1543212296,1,3
1543215896,5,1
1543219502,4,2
1543223109,1,7
1543226721,1,2
1543230292,4,9
1543233901,1,3
1543237502,4,1
1543241100,2,1
1543244705,3,1
1543248312,1,2
1543251903,3,2
1543255509,1,5
1543259113,2,1
1543262710,2,4
1543266307,4,3
1543269915,0,3
1543273504,3,1
1543277101,3,1
1543280697,0,1
1543284311,1,2
1543287908,4,1
1543291504,2,3
1543295109,1,0
1543298712,1,1
1543302311,67,5
1543305915,117,7
1543309511,5,2
1543313119,4,3
1543316724,2,2
1543320311,3,0
1543323921,2,2
1543327510,5,2
1543331120,16,3
1543334722,5,3
1543338315,2,3
1543345513,2,2
1543349113,0,2
1543352716,1,2
1543356306,1,2
1543359920,2,10
1543363510,2,1
1543367113,1,0
1543370702,3,2
1543374309,1,2
1543377903,3,2
1543381517,4,1
1543385114,1,1
1543388712,2,1
1543392307,1,2
1543395910,2,2
1543399501,1,4
1543403116,2,2
1543406717,3,2
1543410318,5,4
1543413912,3,2
1543417516,1,2
1543421123,6,3
1543424714,2,2
1543428323,0,3
1543431932,3,0
1543435524,1,1
1543439121,0,4
1543442719,1,3
1543446315,0,1
1543449919,0,1
1543453513,12,10
1543457117,0,3
1543460722,2,0
1543464316,3,0
1543467913,1,1
1543471515,2,3
1543475114,2,4
1543478715,2,2
1543482314,0,2
1543485922,3,7
1543489549,5,3
1543493116,3,2
1543496712,2,1
1543503908,2,4
1543507513,1,2
1543511103,3,4
1543514733,2,2
1543518313,2,2
1543521907,1,1
1543525513,1,6
1543529116,0,5
1543532706,1,2
1543536310,4,0
1543539912,1,1
1543543510,0,2
1543547112,1,4
1543550714,1,5
1543554305,3,4
1543557899,3,3
1543561510,0,2
1543565099,1,0
1543568703,1,0
1543572305,3,2
1543575904,1,3
1543579504,1,0
1543583107,2,4
1543586700,16,3
1543590296,5,6
1543593902,2,0
1543597519,1,1
1543601113,2,1
1543604713,5,1
1543608316,0,3
1543611919,1,1
1543615513,0,2
1543619116,4,1
1543622723,1,0
1543633510,1,2
1543637118,0,1
1543640712,1,3
1543644306,6,3
1543647911,2,1
1543651491,4,2
1543655102,1,7
1543658695,2,1
1543662295,2,2
1543665891,4,1
1543669495,2,4
1543673096,2,3
1543676699,1,1
1543680301,3,4
1543683898,2,3
1543687498,2,2
1543691105,3,2
1543694701,1,0
1543701900,0,2
1543709096,0,2
1543712706,2,0
1543716298,2,1
1543723496,0,2
1543727107,0,7
1543730707,0,17
1543734298,1,25
1543737892,2,22
1543741499,3,1
1543745102,2,0
1543748697,0,3
1543752312,4,3
1543755903,5,0
1543759498,2,1
1543763097,3,3
1543766700,2,1
1543770297,1,0
1543773896,2,2
1543777503,2,1
1543781096,1,1
1543784694,2,0
1543788301,0,4
1543791895,0,1
1543795501,0,2
1543799100,4,5
1543802703,3,3
1543806296,1,1
1543813494,1,3
1543817092,1,1
1543820699,4,6
1543824295,1,4
1543827892,5,2
1543831504,4,1
1543835101,6,3
1543838705,7,1
1543842293,2,5
1543845891,3,1
1543849505,1,2
1543853101,6,3
1543856717,2,5
1543860302,2,0
1543863900,3,1
1543867502,4,3
1543871092,2,3
1543874704,1,1
1543878302,0,8
1543881902,1,4
1543885498,0,1
1543889105,1,0
1543892697,1,3
1543896297,3,2
1543899901,1,3
1543903506,1,1
1543907094,0,33
1543910693,4,151
1543914293,2,3
1543917893,3,4
1543921477,3,2
1543925096,5,5
1543928685,6,3
1543932293,1,4
1543935889,0,15
1543939482,5,3
1543943107,1,1
1543946697,2,1
1543950292,1,3
1543953886,2,0
1543957496,2,1
1543961087,1,1
1543964686,1,2
1543968287,3,2
1543975502,0,4
1543979100,0,1
1543982687,0,2
1543986285,2,2
1543989884,1,3
1543993486,1,1
1543997091,1,2
1544000700,1,0
1544004281,2,0
1544007895,4,3
1544011493,2,0
1544015089,3,6
1544018690,3,2
1544022297,5,1
1544025889,2,2
1544029497,3,2
1544033102,3,1
1544036702,0,3
1544040314,2,2
1544043913,2,2
1544047510,2,1
1544054717,2,0
1544058315,1,11
1544061906,1,1
1544065508,2,1
1544069114,1,2
1544072707,2,4
1544076309,4,3
1544079910,1,2
1544083496,1,1
1544087082,11,3
1544090684,3,1
1544094276,5,2
1544097884,3,5
1544101476,1,1
1544105080,3,2
1544108686,1,2
1544112286,4,2
1544115886,2,4
1544119482,2,2
1544123101,2,1
1544126681,2,2
1544130278,3,1
1544133879,1,0
1544137481,1,0
1544141095,2,3
1544144684,4,1
1544148279,1,0
1544151882,0,1
1544155479,0,2
1544159078,2,2
1544162686,4,1
1544166291,3,1
1544169887,2,1
1544173479,1,1
1544177083,2,4
1544180678,0,2
