DateTime,Entries,UniqueIPs
1542337567,1057,1057
1542341173,1055,1055
1542344777,1054,1054
1542348367,1052,1052
1542351949,1049,1049
1542355549,1046,1046
1542359130,1043,1043
1542362731,1038,1038
1542366335,1036,1036
1542369958,1036,1036
1542373524,1040,1040
1542377118,1043,1043
1542380712,1043,1043
1542384327,1046,1046
1542387929,1045,1045
1542391510,1046,1046
1542395122,1048,1048
1542398725,1047,1047
1542402318,1051,1051
1542405920,1054,1054
1542409506,1053,1053
1542413113,1057,1057
1542416735,1056,1056
1542420317,1056,1056
1542423911,1055,1055
1542427522,1057,1057
1542431123,1055,1055
1542434727,1049,1049
1542438340,1046,1046
1542441934,1047,1047
1542445522,1044,1044
1542449128,1041,1041
1542452733,1041,1041
1542456320,1041,1041
1542459914,1045,1045
1542463530,1049,1049
1542467117,1048,1048
1542470709,1037,1037
1542474319,1041,1041
1542477927,1041,1041
1542481517,1040,1040
1542485117,1041,1041
1542488730,1042,1042
1542492320,1042,1042
1542495924,1041,1041
1542499529,1043,1043
1542503120,1042,1042
1542506722,1043,1043
1542510324,1045,1045
1542513926,1045,1045
1542517522,1045,1045
1542521123,1043,1043
1542524725,1040,1040
1542528314,1038,1038
1542531927,1035,1035
1542535521,1034,1034
1542539127,1033,1033
1542542722,1035,1035
1542546326,1031,1031
1542549940,1028,1028
1542553522,1026,1026
1542557118,1023,1023
1542560721,1026,1026
1542564333,1026,1026
1542567931,1025,1025
1542571529,1025,1025
1542575135,1019,1019
1542578729,1019,1019
1542582337,1022,1022
1542585940,1021,1021
1542589525,1018,1018
1542593121,1016,1016
1542596718,1016,1016
1542600325,1027,1027
1542603926,1022,1022
1542607523,1020,1020
1542611134,1017,1017
1542614730,1013,1013
1542618324,1014,1014
1542621932,1008,1008
1542625519,1010,1010
1542629122,1012,1012
1542632793,1010,1010
1542636330,1010,1010
1542639922,1004,1004
1542643524,1004,1004
1542647114,1004,1004
1542650725,1006,1006
1542654313,1003,1003
1542657918,1006,1006
1542661520,1000,1000
1542665125,990,990
1542668731,979,979
1542675920,955,955
1542679507,946,946
1542683112,935,935
1542686706,925,925
1542690315,910,910
1542693929,893,893
1542697510,873,873
1542701110,845,845
1542704709,827,827
1542708308,807,807
1542711907,780,780
1542715506,761,761
1542719095,742,742
1542722708,718,718
1542726302,694,694
1542729906,672,672
1542733498,664,664
1542737095,650,650
1542740694,645,645
1542744308,642,642
1542747904,639,639
1542751507,638,638
1542755103,644,644
1542758712,642,642
1542762305,633,633
1542765902,630,630
1542769509,626,626
1542773103,622,622
1542776700,617,617
1542780298,615,615
1542783893,612,612
1542787494,610,610
1542791098,605,605
1542794690,608,608
1542798295,604,604
1542801902,601,601
1542805507,599,599
1542809099,597,597
1542812690,593,593
1542816287,586,586
1542819894,585,585
1542823504,584,584
1542827098,582,582
1542830696,581,581
1542834293,577,577
1542837897,575,575
1542841520,576,576
1542845112,574,574
1542848707,572,572
1542852305,573,573
1542855906,571,571
1542859504,572,572
1542863113,572,572
1542866717,575,575
1542870315,576,576
1542877497,577,577
1542881104,578,578
1542884710,579,579
1542888298,578,578
1542891903,576,576
1542895504,576,576
1542899090,576,576
1542902693,575,575
1542906298,579,579
1542909898,577,577
1542913505,579,579
1542917111,579,579
1542920700,580,580
1542924297,582,582
1542927901,582,582
1542931513,583,583
1542935101,577,577
1542938700,575,575
1542942292,573,573
1542945907,574,574
1542949495,576,576
1542953106,576,576
1542956678,578,578
1542960312,578,578
1542963898,575,575
1542967501,575,575
1542971102,574,574
1542974691,575,575
1542978302,572,572
1542981904,574,574
1542985497,577,577
1542989160,574,574
1542992710,571,571
1542996312,569,569
1542999914,570,570
1543003511,568,568
1543007107,567,567
1543010718,566,566
1543014318,566,566
1543017911,561,561
1543021511,560,560
1543025101,557,557
1543028702,556,556
1543032295,555,555
1543035904,554,554
1543039503,553,553
1543043106,551,551
1543046702,550,550
1543050301,553,553
1543053901,554,554
1543057520,556,556
1543061108,552,552
1543064698,550,550
1543068309,551,551
1543071906,549,549
1543075515,552,552
1543079110,550,550
1543082699,553,553
1543086305,552,552
1543093522,551,551
1543097114,544,544
1543100717,539,539
1543104306,539,539
1543107914,538,538
1543111501,539,539
1543115112,537,537
1543118702,539,539
1543122312,569,569
1543125903,591,591
1543129499,603,603
1543133105,605,605
1543136726,606,606
1543140303,607,607
1543143906,610,610
1543147504,610,610
1543151117,607,607
1543154714,606,606
1543158282,606,606
1543161909,606,606
1543165509,603,603
1543169106,603,603
1543172718,604,604
1543176307,599,599
1543179913,602,602
1543183514,601,601
1543187105,601,601
1543190716,603,603
1543194318,606,606
1543197899,607,607
1543201514,606,606
1543205109,602,602
1543208713,600,600
1543212296,598,598
1543215896,602,602
1543219502,604,604
1543223109,598,598
1543226721,597,597
1543230292,592,592
1543233901,590,590
1543237502,593,593
1543241100,594,594
1543244705,596,596
1543248312,595,595
1543251903,596,596
1543255509,592,592
1543259113,593,593
1543262710,591,591
1543266307,592,592
1543269915,589,589
1543273504,591,591
1543277101,593,593
1543280697,592,592
1543284311,591,591
1543287908,594,594
1543291504,593,593
1543295109,594,594
1543298712,594,594
1543302311,656,656
1543305915,766,766
1543309511,769,769
1543313119,770,770
1543316724,770,770
1543320311,773,773
1543323921,773,773
1543327510,776,776
1543331120,789,789
1543334722,791,791
1543338315,790,790
1543345513,790,790
1543349113,788,788
1543352716,787,787
1543356306,786,786
1543359920,778,778
1543363510,779,779
1543367113,780,780
1543370702,781,781
1543374309,780,780
1543377903,781,781
1543381517,784,784
1543385114,784,784
1543388712,785,785
1543392307,784,784
1543395910,784,784
1543399501,781,781
1543403116,781,781
1543406717,782,782
1543410318,783,783
1543413912,784,784
1543417516,783,783
1543421123,786,786
1543424714,786,786
1543428323,783,783
1543431932,786,786
1543435524,786,786
1543439121,782,782
1543442719,780,780
1543446315,779,779
1543449919,778,778
1543453513,780,780
1543457117,777,777
1543460722,779,779
1543464316,782,782
1543467913,782,782
1543471515,781,781
1543475114,779,779
1543478715,779,779
1543482314,777,777
1543485922,773,773
1543489549,775,775
1543493116,776,776
1543496712,777,777
1543503908,775,775
1543507513,774,774
1543511103,773,773
1543514733,773,773
1543518313,773,773
1543521907,773,773
1543525513,768,768
1543529116,763,763
1543532706,762,762
1543536310,766,766
1543539912,766,766
1543543510,764,764
1543547112,761,761
1543550714,757,757
1543554305,756,756
1543557899,756,756
1543561510,754,754
1543565099,755,755
1543568703,756,756
1543572305,757,757
1543575904,755,755
1543579504,756,756
1543583107,754,754
1543586700,767,767
1543590296,766,766
1543593902,768,768
1543597519,768,768
1543601113,769,769
1543604713,773,773
1543608316,770,770
1543611919,770,770
1543615513,768,768
1543619116,771,771
1543622723,772,772
1543633510,771,771
1543637118,770,770
1543640712,768,768
1543644306,771,771
1543647911,772,772
1543651491,774,774
1543655102,768,768
1543658695,769,769
1543662295,769,769
1543665891,772,772
1543669495,770,770
1543673096,769,769
1543676699,769,769
1543680301,768,768
1543683898,767,767
1543687498,767,767
1543691105,768,768
1543694701,769,769
1543701900,767,767
1543709096,765,765
1543712706,767,767
1543716298,768,768
1543723496,766,766
1543727107,759,759
1543730707,742,742
1543734298,718,718
1543737892,698,698
1543741499,700,700
1543745102,702,702
1543748697,699,699
1543752312,700,700
1543755903,705,705
1543759498,706,706
1543763097,706,706
1543766700,707,707
1543770297,708,708
1543773896,708,708
1543777503,709,709
1543781096,709,709
1543784694,711,711
1543788301,707,707
1543791895,706,706
1543795501,704,704
1543799100,703,703
1543802703,703,703
1543806296,703,703
1543813494,701,701
1543817092,701,701
1543820699,699,699
1543824295,696,696
1543827892,699,699
1543831504,702,702
1543835101,705,705
1543838705,711,711
1543842293,708,708
1543845891,710,710
1543849505,709,709
1543853101,712,712
1543856717,709,709
1543860302,711,711
1543863900,713,713
1543867502,714,714
1543871092,713,713
1543874704,713,713
1543878302,705,705
1543881902,702,702
1543885498,701,701
1543889105,702,702
1543892697,700,700
1543896297,701,701
1543899901,699,699
1543903506,699,699
1543907094,666,666
1543910693,519,519
1543914293,518,518
1543917893,517,517
1543921477,518,518
1543925096,518,518
1543928685,521,521
1543932293,518,518
1543935889,503,503
1543939482,505,505
1543943107,505,505
1543946697,506,506
1543950292,504,504
1543953886,506,506
1543957496,507,507
1543961087,507,507
1543964686,506,506
1543968287,507,507
1543975502,503,503
1543979100,502,502
1543982687,500,500
1543986285,500,500
1543989884,498,498
1543993486,498,498
1543997091,497,497
1544000700,498,498
1544004281,500,500
1544007895,501,501
1544011493,503,503
1544015089,500,500
1544018690,501,501
1544022297,505,505
1544025889,505,505
1544029497,506,506
1544033102,508,508
1544036702,505,505
1544040314,505,505
1544043913,505,505
1544047510,506,506
1544054717,508,508
1544058315,498,498
1544061906,498,498
1544065508,499,499
1544069114,498,498
1544072707,496,496
1544076309,497,497
1544079910,496,496
1544083496,496,496
1544087082,504,504
1544090684,506,506
1544094276,509,509
1544097884,507,507
1544101476,507,507
1544105080,508,508
1544108686,507,507
1544112286,509,509
1544115886,507,507
1544119482,507,507
1544123101,508,508
1544126681,508,508
1544130278,510,510
1544133879,511,511
1544137481,512,512
1544141095,511,511
1544144684,514,514
1544148279,515,515
1544151882,514,514
1544155479,512,512
1544159078,512,512
1544162686,515,515
1544166291,517,517
1544169887,518,518
1544173479,518,518
1544177083,516,516
1544180678,514,514
