DateTime,AddedIPs,RemovedIPs
1542434473,92,66
1542438075,65,44
1542441730,44,65
1542443479,122,87
1542447068,96,59
1542450693,84,70
1542454270,99,70
1542457867,86,81
1542459669,103,91
1542465091,81,95
1542468685,82,76
1542472276,80,89
1542475871,96,89
1542481309,100,76
1542483065,90,98
1542486669,88,97
1542490276,78,89
1542493888,64,98
1542497483,55,124
1542501067,97,78
1542502875,78,97
1542504669,157,153
1542508355,45,91
1542513700,76,94
1542517295,74,96
1542519081,73,77
1542522674,89,56
1542526266,71,45
1542529879,70,50
1542533481,82,50
1542537073,105,84
1542540671,91,85
1542544279,92,81
1542547971,79,64
1542551466,79,68
1542555076,86,77
1542560468,89,75
1542562290,121,84
1542565893,98,89
1542569473,104,92
1542573084,73,100
1542576677,78,117
1542580286,81,116
1542583885,70,126
1542587486,91,112
1542591077,82,85
1542594681,50,72
1542598264,75,109
1542600079,100,120
1542605469,66,81
1542609088,91,68
1542612845,78,61
1542616266,83,63
1542619871,82,64
1542625270,73,69
1542627065,78,60
1542630704,84,68
1542634281,73,67
1542637870,76,81
1542643283,81,70
1542645080,77,77
1542646880,77,77
1542650472,197,158
1542655936,99,90
1542659475,106,97
1542661319,97,99
1542664874,72,113
1542672096,64,128
1542673900,93,126
1542677469,98,92
1542681082,63,77
1542684667,77,108
1542690196,89,119
1542691876,80,80
1542695493,102,61
1542697291,79,55
1542702673,81,67
1542708067,80,72
1542711667,68,72
1542713478,77,49
1542718885,78,68
1542722554,87,79
1542724273,74,83
1542727878,84,86
1542729725,97,73
1542733296,73,97
1542736934,164,124
1542738674,95,89
1542742274,115,89
1542744089,89,115
1542745886,177,140
1542749471,97,91
1542751279,60,114
1542754871,0,6
1542756676,81,129
1542760285,82,110
1542765667,72,111
1542767465,63,55
1542771082,76,98
1542776505,87,119
1542778286,77,63
1542781864,87,60
1542787298,90,69
1542790936,77,74
1542794476,79,64
1542796268,78,70
1542799895,76,69
1542803480,69,61
1542807080,80,69
1542810712,72,81
1542816064,72,64
1542817904,92,94
1542821470,88,79
1542825087,104,92
1542828700,111,100
1542832276,110,91
1542835971,97,86
1542839484,66,116
1542843143,73,119
1542844889,119,73
1542846671,133,198
1542850268,72,82
1542852194,82,72
1542853900,107,153
1542857480,79,105
1542861087,94,115
1542866486,78,71
1542868283,85,63
1542871875,83,55
1542875464,84,68
1542879114,75,100
1542882708,99,74
1542886290,77,73
1542889879,81,61
1542895278,84,61
1542897085,75,79
1542898982,65,58
1542904275,79,79
1542907884,96,74
1542911463,97,92
1542916870,100,76
1542918674,117,92
1542920510,82,102
1542922290,180,209
1542924071,209,180
1542925865,89,121
1542929469,68,130
1542931265,106,107
1542938472,74,94
1542940279,57,92
1542943877,64,98
1542947501,99,101
1542951095,92,78
1542954663,92,67
1542958279,85,56
1542961907,80,63
1542965477,84,65
1542969107,77,65
1542972677,74,57
1542976270,65,65
1542979866,75,72
1542983476,74,60
1542987075,89,86
1542988872,97,79
1542996178,89,76
1542997901,85,95
1543001471,91,78
1543005103,92,92
1543010553,83,88
1543012294,93,103
1543015885,157,142
1543017681,152,231
1543019478,94,112
1543023083,89,91
1543026664,53,73
1543030267,90,99
1543033884,89,121
1543037470,82,88
1543041080,74,60
1543044667,71,54
1543048272,84,55
1543051874,89,49
1543057290,83,72
1543059070,100,86
1543064471,81,58
1543066271,94,82
1543069905,82,76
1543073478,82,90
1543077100,109,77
1543082466,127,127
1543087911,85,87
1543091486,78,73
1543095073,80,80
1543098671,67,107
1543102271,55,101
1543105873,90,90
1543107736,78,77
1543113086,46,84
1543116668,71,97
1543120280,87,115
1543125687,76,77
1543127501,86,63
1543131067,68,52
1543136498,86,52
1543140108,82,56
1543141868,77,63
1543145469,90,62
1543149095,88,77
1543154472,93,78
1543158074,83,60
1543159873,83,71
1543161729,81,84
1543167085,98,73
1543172525,86,82
1543174282,108,93
1543179681,137,166
1543185075,72,116
1543188681,53,112
1543192277,86,91
1543197669,78,95
1543201361,95,78
1543203091,160,232
1543206686,88,113
1543210277,82,77
1543213886,85,63
1543217465,73,59
1543219283,73,64
1543224681,62,60
1543228266,85,49
1543231902,79,67
1543237270,89,67
1543239087,81,78
1543242672,87,85
1543244544,66,73
1543251680,159,124
1543257072,133,86
