DateTime,Entries,UniqueIPs
1542434473,6183,6183
1542438075,6204,6204
1542441730,6183,6183
1542443479,6218,6218
1542447068,6255,6255
1542450693,6269,6269
1542454270,6298,6298
1542457867,6303,6303
1542459669,6315,6315
1542465091,6301,6301
1542468685,6307,6307
1542472276,6298,6298
1542475871,6305,6305
1542481309,6329,6329
1542483065,6321,6321
1542486669,6312,6312
1542490276,6301,6301
1542493888,6267,6267
1542497483,6198,6198
1542501067,6217,6217
1542502875,6198,6198
1542504669,6202,6202
1542508355,6156,6156
1542513700,6138,6138
1542517295,6116,6116
1542519081,6112,6112
1542522674,6145,6145
1542526266,6171,6171
1542529879,6191,6191
1542533481,6223,6223
1542537073,6244,6244
1542540671,6250,6250
1542544279,6261,6261
1542547971,6276,6276
1542551466,6287,6287
1542555076,6296,6296
1542560468,6310,6310
1542562290,6347,6347
1542565893,6356,6356
1542569473,6368,6368
1542573084,6341,6341
1542576677,6302,6302
1542580286,6267,6267
1542583885,6211,6211
1542587486,6190,6190
1542591077,6187,6187
1542594681,6165,6165
1542598264,6131,6131
1542600079,6111,6111
1542605469,6096,6096
1542609088,6119,6119
1542612845,6136,6136
1542616266,6156,6156
1542619871,6174,6174
1542625270,6178,6178
1542627065,6196,6196
1542630704,6212,6212
1542634281,6218,6218
1542637870,6213,6213
1542643283,6224,6224
1542645080,6224,6224
1542646880,6224,6224
1542650472,6263,6263
1542655936,6272,6272
1542659475,6281,6281
1542661319,6279,6279
1542664874,6238,6238
1542672096,6174,6174
1542673900,6141,6141
1542677469,6147,6147
1542681082,6133,6133
1542684667,6102,6102
1542690196,6072,6072
1542691876,6072,6072
1542695493,6113,6113
1542697291,6137,6137
1542702673,6151,6151
1542708067,6159,6159
1542711667,6155,6155
1542713478,6183,6183
1542718885,6193,6193
1542722554,6201,6201
1542724273,6192,6192
1542727878,6190,6190
1542729725,6214,6214
1542733296,6190,6190
1542736934,6230,6230
1542738674,6236,6236
1542742274,6262,6262
1542744089,6236,6236
1542745886,6273,6273
1542749471,6279,6279
1542751279,6225,6225
1542754871,6219,6219
1542756676,6171,6171
1542760285,6143,6143
1542765667,6104,6104
1542767465,6112,6112
1542771082,6090,6090
1542776505,6058,6058
1542778286,6072,6072
1542781864,6099,6099
1542787298,6120,6120
1542790936,6123,6123
1542794476,6138,6138
1542796268,6146,6146
1542799895,6153,6153
1542803480,6161,6161
1542807080,6172,6172
1542810712,6163,6163
1542816064,6171,6171
1542817904,6169,6169
1542821470,6178,6178
1542825087,6190,6190
1542828700,6201,6201
1542832276,6220,6220
1542835971,6231,6231
1542839484,6181,6181
1542843143,6135,6135
1542844889,6181,6181
1542846671,6116,6116
1542850268,6106,6106
1542852194,6116,6116
1542853900,6070,6070
1542857480,6044,6044
1542861087,6023,6023
1542866486,6030,6030
1542868283,6052,6052
1542871875,6080,6080
1542875464,6096,6096
1542879114,6071,6071
1542882708,6096,6096
1542886290,6100,6100
1542889879,6120,6120
1542895278,6143,6143
1542897085,6139,6139
1542898982,6146,6146
1542904275,6146,6146
1542907884,6168,6168
1542911463,6173,6173
1542916870,6197,6197
1542918674,6222,6222
1542920510,6202,6202
1542922290,6173,6173
1542924071,6202,6202
1542925865,6170,6170
1542929469,6108,6108
1542931265,6107,6107
1542938472,6087,6087
1542940279,6052,6052
1542943877,6018,6018
1542947501,6016,6016
1542951095,6030,6030
1542954663,6055,6055
1542958279,6084,6084
1542961907,6101,6101
1542965477,6120,6120
1542969107,6132,6132
1542972677,6149,6149
1542976270,6149,6149
1542979866,6152,6152
1542983476,6166,6166
1542987075,6169,6169
1542988872,6187,6187
1542996178,6200,6200
1542997901,6190,6190
1543001471,6203,6203
1543005103,6203,6203
1543010553,6198,6198
1543012294,6188,6188
1543015885,6203,6203
1543017681,6124,6124
