DateTime,AddedIPs,RemovedIPs
1543509937,1,0
1543513232,3,0
1543514138,1,0
1543515337,7,0
1543515932,3,0
1543516836,6,0
1543517735,2,0
1543520436,15,0
1543522534,6,0
1543523438,2,0
1543524033,17,0
1543524934,3,0
1543525536,11,0
1543527337,5,0
1543528536,4,0
1543529132,1,0
1543530031,2,0
1543531232,7,0
1543533630,7,0
1543534530,2,0
1543535431,1,0
1543538434,12,0
1543539034,2,0
1543539933,2,0
1543540831,1,0
1543542030,7,0
1543542927,1,0
1543543238,1,0
1543543830,1,0
1543545637,6,0
1543546237,13,0
1543547133,2,0
1543548038,10,0
1543549237,8,0
1543549834,3,0
1543550734,2,0
1543551631,3,0
1543552532,8,0
1543553732,6,0
1543554332,21,0
1543555228,8,0
1543556428,27,0
1543560034,4,0
1543560636,1,0
1543562128,6,0
1543563337,3,0
1543564234,7,0
1543565434,14,0
1543567234,12,0
1543569333,2,0
1543569936,1,0
1543570831,6,0
1543571731,3,0
1543574134,8,0
1543577734,1,0
1543578638,1,0
1543581339,6,0
1543581937,0,13
1543583437,3,0
1543584032,1,0
1543584937,6,0
1543586729,1,0
1543588531,12,0
1543589438,2,0
1543590637,12,3
1543591538,1,0
1543592137,5,0
1543594838,1,0
1543595736,3,0
1543596937,2,0
1543599337,10,0
1543600238,1,0
1543602936,2,0
1543605036,2,0
1543606536,8,0
1543607438,16,0
1543609235,12,0
1543610437,11,0
1543611035,4,0
1543612237,1,0
1543612835,3,0
1543614034,12,0
1543614938,28,0
1543616435,2,0
1543617329,3,0
1543618236,1,0
1543619736,1,0
1543621237,3,0
1543622439,1,0
1543623633,2,0
1543624530,4,0
1543625729,24,0
1543626335,1,0
1543628134,9,0
1543629038,2,0
1543629935,2,0
1543632035,18,0
1543632636,8,0
1543633537,1,0
1543635037,2,0
1543635637,25,0
1543636535,12,0
1543639234,4,0
1543642237,5,0
1543642832,11,0
1543643434,1,0
1543646134,5,0
1543647336,1,0
1543648838,2,0
1543649733,99,0
1543650929,2,0
1543653337,5,0
1543654234,17,0
1543655730,63,0
1543656033,4,0
1543657230,2,0
1543657832,10,0
1543658733,1,0
1543660528,1,0
1543661434,5,0
1543662932,4,0
1543663236,2,0
1543664435,25,0
1543666234,3,0
1543667737,2,0
1543669239,1,0
1543669538,2,0
1543671038,1,0
1543671639,20,0
1543672235,5,0
1543675534,1,0
1543678535,6,0
1543681235,1,0
1543685737,12,0
1543687238,0,10
1543690537,2,0
1543693236,4,0
1543696231,2,0
1543696835,16,0
1543697732,1,0
1543700135,11,0
1543702837,3,0
1543704035,1,0
1543706734,3,0
1543708836,9,0
1543710631,4,0
1543710932,24,0
1543712135,12,0
1543714535,7,0
1543717537,7,0
1543718439,8,0
1543719335,14,0
1543720235,3,0
1543721136,2,0
1543721737,9,0
1543722635,1,0
1543724438,14,0
1543725332,6,0
1543726230,2,0
1543727429,5,0
1543729228,4,0
1543729836,8,0
1543730737,2,0
1543732538,6,0
1543733737,9,0
1543736433,12,0
1543737037,9,0
1543740636,1,0
1543741831,16,0
1543743632,4,0
1543744238,4,0
1543745130,1,0
1543747230,5,0
1543748132,7,0
1543752033,1,0
1543753237,1,0
1543754437,11,0
1543756237,1,0
1543758636,1,0
1543762534,15,0
1543767630,30,0
1543768838,19,0
1543769734,8,0
1543770634,1,0
1543772136,53,0
1543773939,2,0
1543774839,17,0
1543776037,1,0
1543779637,1,0
1543780834,11,0
1543781130,2,0
1543782032,2,0
1543783234,2,0
1543783836,1,0
1543786831,4,0
1543789533,1,0
1543790134,36,0
1543791035,6,0
1543792529,2,0
1543794029,3,0
1543795230,2,0
1543797629,9,0
1543799429,1,0
1543801828,1,0
1543805730,12,0
1543807230,1,0
1543808433,9,0
1543809034,1,0
1543810231,3,0
1543810828,1,0
1543811730,2,0
1543813536,10,0
1543814737,12,0
1543815337,9,0
1543817134,2,0
1543818930,3,0
1543822533,21,0
1543825240,1,0
1543826436,8,0
1543827335,2,0
1543828237,5,0
1543829132,1,0
1543829737,5,0
1543830935,2,0
1543833337,0,1
1543833637,3,0
1543834537,4,0
1543836931,16,0
1543837839,6,0
1543839030,12,0
1543840534,4,0
1543842938,0,7
1543844439,15,0
1543845334,0,1
1543845635,0,2
1543848331,0,3
1543848634,2,0
1543851336,17,0
1543852236,2,0
1543855239,6,0
1543858536,1,0
1543859439,6,0
1543860937,1,0
1543861239,1,0
1543863040,11,0
1543866040,34,0
1543866637,3,0
1543867234,0,6
1543868137,0,14
1543868439,3,4
1543869330,0,11
1543870238,2,9
1543871440,1270,10
1543871738,58,0
1543872038,1,0
1543877137,40,0
1543877737,1,0
1543878336,0,6
1543878933,1,0
1543880138,3,0
1543882233,1,0
1543883732,12,0
1543884636,1,0
1543885537,1,0
1543886738,2,0
1543887634,8,0
1543891230,23,0
1543893630,4,0
1543894832,3,0
1543895737,13,0
1543896631,1,0
1543897530,1,0
1543898136,1,0
1543899032,7,0
1543899931,6,0
1543901430,3,1
1543901734,6,0
1543902933,1,0
1543905338,2,0
1543907131,14,0
1543909235,2,0
1543912538,3,0
1543914036,2,0
1543916136,2,0
1543917040,8,0
1543920039,2,0
1543922436,4,0
1543923333,12,0
1543926037,1,0
1543926940,4,0
1543930536,4,0
1543938042,42,0
1543940439,3,0
1543944038,0,7
1543944937,20,0
1543947938,5,0
1543948838,4,0
1543949439,402,0
1543950340,0,8
1543950936,0,14
1543951535,0,17
1543952136,0,20
1543952734,11,5
1543953038,0,1
1543953636,0,14
1543953940,3,2
1543954533,0,3
1543954841,1,0
1543957834,3,0
1543960235,20,0
1543963836,3,0
1543965328,2,0
1543965640,3,0
1543967729,2,0
1543968934,1,1
1543969235,1,0
1543970132,1,0
1543971332,18,0
1543971636,1,0
1543972237,2,0
1543977034,1,0
1543977337,38,0
1543979430,14,0
1543980934,10,0
1543983033,4,0
1543983930,3,0
1543984829,18,0
1543985431,4,0
1543986932,1,0
1543987530,4,0
1543988430,4,0
1543989333,13,0
1543989931,2,0
1543991736,12,0
1543995630,3,0
1543996529,6,0
1543999237,26,0
1544000136,2,0
1544000730,2,0
1544002838,12,2
1544003136,0,1
1544007038,3,1
1544007937,7,0
1544009438,2,0
1544010036,18,0
1544013339,7,0
1544014240,34,0
1544016038,3,0
1544016931,18,0
1544019028,1,0
1544019937,7,0
1544021438,84,0
1544021733,0,10
1544022337,47,0
1544024440,19,1
1544025636,1,0
1544026533,52,1
