DateTime,AddedIPs,RemovedIPs
1543930241,6,0
1543930537,2,0
1543930836,3,0
1543931136,2,0
1543931431,1,0
1543932040,5,0
1543932338,3,0
1543932939,4,0
1543933240,1,0
1543933841,5,0
1543934136,1,0
1543934441,1,0
1543935338,2,0
1543935639,1,0
1543936240,4,0
1543937440,3,0
1543938043,3,0
1543938340,2,0
1543938939,4,1
1543939240,2,0
1543939842,6,0
1543940440,1,0
1543940741,1,0
1543941041,5,0
1543941339,1,0
1543941639,2,0
1543942240,1,0
1543942840,2,0
1543943140,2,0
1543943738,2,0
1543944039,2,0
1543944641,8,0
1543944938,3,0
1543945238,1,0
1543945837,3,0
1543946134,1,0
1543946442,1,0
1543947036,6,0
1543947639,3,0
1543947940,2,0
1543948539,2,0
1543949440,4,0
1543949739,1,0
1543950040,1,0
1543950342,2,0
1543950937,5,0
1543951536,4,1
1543952137,4,0
1543952735,2,0
1543953638,3,0
1543953941,2,0
1543954534,2,0
1543954842,1,0
1543955439,2,0
1543956039,3,0
1543956337,1,0
1543956636,1,0
1543956937,1,0
1543957237,1,0
1543957835,5,0
1543958436,4,0
1543959335,4,0
1543959635,1,0
1543960236,4,0
1543960540,1,0
1543960841,1,0
1543961732,5,0
1543962041,2,0
1543962640,3,0
1543962938,2,0
1543963240,2,0
1543963837,1,0
1543964444,1,0
1543965329,1,0
1543965642,1,0
1543966239,4,0
1543966835,5,0
1543967139,1,0
1543967730,3,0
1543968331,3,0
1543968935,1,0
1543969830,8,0
1543970133,4,0
1543970438,3,0
1543971041,1,0
1543971333,2,0
1543972238,3,0
1543972834,3,0
1543973733,4,0
1543974035,2,0
1543974634,5,0
1543974933,3,0
1543975235,1,0
1543975533,1,0
1543976130,5,0
1543976434,6,0
1543977035,1,0
1543977938,3,0
1543978533,2,0
1543978833,1,0
1543979431,5,0
1543980035,4,0
1543980333,1,0
1543980935,1,0
1543981537,9,0
1543982134,6,0
1543982440,2,0
1543983034,1,0
1543983633,4,0
1543983931,1,0
1543984530,3,0
1543984830,1,0
1543985432,4,0
1543986032,5,0
1543986330,1,0
1543986933,5,0
1543987532,4,0
1543987838,2,0
1543988431,4,0
1543988732,1,0
1543989335,3,0
1543989932,1,0
1543990537,6,0
1543990832,1,0
1543991737,6,0
1543992043,3,0
1543992637,2,0
1543993238,4,0
1543993534,2,0
1543994133,6,0
1543994437,1,0
1543994744,2,0
1543995033,2,0
1543995631,2,0
1543995930,1,0
1543996530,6,0
1543996834,1,0
1543997433,5,0
1543997733,1,0
1543998031,1,0
1543998637,3,0
1543999239,4,0
1543999533,1,0
1544000137,2,0
1544000731,2,0
1544001330,1,0
1544001636,2,0
1544002234,4,0
1544002839,1,0
1544003138,2,0
1544003738,5,0
1544004043,2,0
1544004639,6,0
1544004941,2,0
1544005533,5,0
1544006442,2,0
1544007039,7,0
1544007642,2,0
1544008537,3,0
1544008838,1,0
1544009440,4,0
1544010037,2,0
1544010640,1,0
1544011241,5,0
1544011540,1,0
1544012139,3,0
1544012446,3,0
1544013039,5,0
1544013340,4,0
1544013640,2,0
1544014241,9,0
1544014844,4,0
1544015137,0,1
1544015732,5,0
1544016640,1,0
1544016933,3,0
1544017537,5,0
1544018135,3,0
1544018442,2,0
1544019029,2,0
1544019640,6,0
1544019938,2,0
1544020537,3,0
1544021439,3,0
1544021734,1,0
1544022042,2,0
1544022940,1,0
1544023541,5,0
1544023839,7,0
1544024441,2,0
1544024736,2,0
1544025333,6,0
1544025637,4,0
1544026534,4,0
1544026832,4,0
1544027441,4,0
1544027735,1,0
1544028340,2,0
1544028939,4,0
1544029535,3,0
1544030131,3,0
1544030438,1,0
1544031034,3,0
1544031631,3,0
1544031930,1,0
1544032539,3,0
1544032840,2,0
1544033437,1,0
1544034039,5,0
1544034335,4,0
1544034633,3,0
1544034929,1,0
1544035831,3,0
1544036437,2,0
1544037036,1,0
1544037637,3,0
1544038835,4,0
1544039735,5,0
1544040036,1,0
1544040930,9,0
1544041237,3,0
1544041835,3,0
1544042132,1,0
1544042438,2,0
1544043036,1,0
1544043336,1,0
1544043637,2,0
1544044235,2,0
1544044537,1,0
1544044838,2,0
1544045429,3,0
1544046038,4,0
1544046932,6,0
1544047232,4,0
1544047836,5,0
1544048131,1,0
1544048438,1,0
1544049333,4,0
1544049637,3,0
1544050238,8,0
1544050533,1,0
1544050835,2,0
1544051732,5,0
1544052037,4,0
1544052933,6,0
1544053237,1,0
1544053834,1,0
1544054133,2,0
1544054731,1,0
1544055331,2,0
1544055635,1,0
1544055933,1,0
1544056236,2,0
1544056830,5,0
1544057129,1,0
1544057729,2,0
1544058635,3,0
1544059233,1,0
1544059836,3,0
1544060433,1,0
1544060732,3,0
1544061030,2,0
1544061334,4,0
1544061632,1,0
1544062232,2,0
1544062833,1,0
1544063732,2,0
1544064039,1,0
1544064636,3,0
1544065236,4,0
1544065533,2,0
1544066133,2,0
1544067335,2,0
1544067636,1,0
1544068235,4,0
1544068832,6,0
1544069133,2,0
1544069735,5,0
1544070035,1,0
1544070634,2,0
1544071230,3,0
1544071531,2,0
1544072130,1,0
1544072734,7,0
1544073334,5,0
1544073638,3,0
1544074232,6,0
1544074540,1,0
1544075736,7,0
1544076040,2,0
1544076639,3,0
1544077240,2,0
1544077538,3,0
1544078135,7,0
1544078734,3,0
1544079338,6,0
1544079640,2,0
1544080238,3,0
1544080540,1,0
1544080836,1,0
1544081436,1,0
1544082039,4,0
1544082334,2,0
1544082940,5,0
1544083238,1,0
1544083837,4,0
1544084437,4,0
1544084740,6,0
1544085337,3,0
1544085640,1,0
1544086234,5,0
1544086836,1,0
1544087140,1,0
1544087731,5,0
1544088035,1,0
1544088637,1,0
1544089231,6,0
1544089530,1,0
1544089833,1,0
1544090138,1,1
1544090441,4,0
1544091033,2,0
1544091633,2,0
1544091939,4,0
1544092536,8,0
1544093438,6,0
1544094039,1,0
1544094338,4,0
1544094938,4,0
1544095232,7,0
1544095840,3,0
1544096441,3,0
1544096735,5,0
1544097038,2,0
1544097330,2,0
1544097638,3,0
1544098234,4,0
1544098529,3,0
1544099131,4,0
1544099735,6,0
1544100039,1,0
1544100340,2,0
1544100637,2,0
1544101541,1,0
1544102139,4,0
1544102438,6,0
1544103038,2,0
1544103330,1,0
1544103634,4,0
1544104230,1,0
