DateTime,AddedIPs,RemovedIPs
1543943139,6,0
1543943738,3,0
1543944640,7,0
1543944938,5,0
1543945237,2,0
1543945836,5,0
1543946133,2,0
1543946441,6,0
1543947035,10,0
1543947638,10,0
1543947939,4,0
1543948538,6,0
1543948838,2,0
1543949440,9,0
1543949738,2,0
1543950039,1,0
1543950341,5,0
1543950937,9,0
1543951535,3,0
1543952136,3,0
1543952734,7,0
1543953038,2,0
1543953636,3,1
1543953940,3,0
1543954533,7,0
1543954841,3,0
1543955438,5,0
1543956038,5,0
1543956336,6,0
1543956636,4,0
1543956936,4,0
1543957237,4,0
1543957834,10,0
1543958435,7,0
1543958735,3,0
1543959334,5,0
1543959634,3,0
1543960235,4,0
1543961140,4,0
1543961732,2,0
1543962040,2,0
1543962639,7,0
1543962938,5,0
1543963239,4,0
1543963536,1,0
1543963836,3,0
1543964137,2,0
1543964733,3,0
1543965328,3,0
1543965641,1,0
1543966238,6,0
1543966834,7,0
1543967138,3,0
1543967729,6,0
1543968331,4,0
1543968934,5,0
1543969235,2,0
1543969829,7,0
1543970132,1,0
1543970437,1,0
1543970731,5,0
1543971332,2,0
1543971636,0,1
1543972237,6,0
1543972833,4,0
1543973135,6,0
1543973732,9,0
1543974034,3,0
1543974633,8,0
1543974932,4,0
1543975234,2,0
1543975532,1,0
1543976129,5,0
1543976433,2,0
1543977034,7,0
1543977338,3,0
1543977937,2,0
1543978533,517,0
1543978832,1,0
1543979430,5,0
1543980034,5,0
1543980332,2,0
1543980934,6,0
1543981536,4,0
1543982133,4,0
1543982439,1,0
1543983033,3,0
1543983632,7,0
1543983930,4,0
1543984530,8,0
1543984829,1,0
1543985431,7,0
1543986032,4,0
1543986329,5,0
1543986932,5,0
1543987531,5,0
1543987837,3,0
1543988430,6,0
1543988731,2,0
1543989334,10,0
1543989931,6,0
1543990536,6,0
1543990831,3,0
1543991736,3,0
1543992042,3,0
1543992636,5,0
1543993238,3,0
1543993533,2,0
1543994132,5,0
1543994436,4,0
1543994743,2,0
1543995631,2,0
1543995929,4,0
1543996529,8,0
1543996833,1,0
1543997432,6,0
1543997732,4,0
1543998030,3,0
1543998636,41,0
1543999238,10,0
1543999532,3,0
1544000136,7,0
1544000730,6,0
1544001329,7,0
1544001635,4,0
1544002233,4,0
1544002838,6,1
1544003137,4,0
1544003737,5,0
1544004042,5,0
1544004638,8,0
1544004940,1,0
1544005532,5,0
1544006136,6,0
1544006441,4,0
1544007038,7,0
1544007641,4,0
1544007937,2,0
1544008536,5,0
1544008837,2,0
1544009439,6,0
1544010036,3,0
1544010639,7,0
1544011240,6,0
1544011539,1,0
1544012138,7,0
1544012446,5,0
1544013039,3,0
1544013339,4,0
1544013639,5,0
1544014240,4,0
1544014843,7,0
1544015136,7,0
1544015731,7,0
1544016038,2,0
1544016639,8,0
1544016932,7,0
1544017536,6,0
1544018135,7,0
1544018441,2,0
1544019028,4,0
1544019639,6,0
1544019937,3,0
1544020536,4,1
1544020837,5,0
1544021439,7,0
1544021733,6,0
1544022041,5,0
1544022337,2,0
1544022939,7,0
1544023540,6,0
1544023838,3,0
1544024440,4,0
1544024735,2,1
1544025332,9,5
1544025636,3,0
1544026533,11,0
1544026831,2,0
1544027440,6,0
1544027734,5,0
1544028339,6,0
1544028938,7,0
1544029534,5,0
1544030130,6,0
1544030437,5,0
1544031034,9,0
1544031630,3,0
1544031929,5,0
1544032538,4,0
1544032839,3,0
1544033437,8,0
1544033730,5,0
1544034039,2,0
1544034335,4,0
1544034632,3,0
1544034928,5,0
1544035234,4,0
1544035830,6,0
1544036436,2,0
1544037035,5,0
1544037636,7,0
1544038233,17,0
1544038834,2,0
1544039734,10,0
1544040035,3,0
1544040929,4,0
1544041237,2,0
1544041835,6,0
1544042131,4,0
1544042437,3,0
1544043035,3,0
1544043335,3,0
1544043636,3,0
1544044234,6,0
1544044536,5,0
1544044836,2,0
1544045428,8,0
1544046037,5,0
1544046335,2,0
1544046931,7,1
1544047231,4,0
1544047835,3,0
1544048130,3,0
1544048437,2,0
1544049333,17,0
1544049637,1,0
1544050237,3,0
1544050532,2,0
1544050834,3,0
1544051731,5,0
1544052036,5,0
1544052932,8,0
1544053236,2,0
1544053834,2,0
1544054132,2,0
1544054433,4,0
1544054730,8,0
1544055330,3,0
1544055634,1,0
1544055932,2,0
1544056235,1,0
1544056829,6,0
1544057128,1,0
1544057728,3,0
1544058032,2,0
1544058634,6,0
1544059232,2,0
1544059836,6,0
1544060432,2,0
1544060731,2,0
1544061030,1,0
1544061333,171,0
1544061631,2,0
1544062231,3,0
1544062832,3,0
1544063130,5,0
1544063731,6,0
1544064038,2,0
1544064636,3,0
1544065235,5,0
1544065532,3,0
1544066133,7,0
1544066728,5,0
1544067334,4,0
1544067635,2,0
1544068234,5,0
1544068832,1,0
1544069133,4,0
1544069734,6,0
1544070034,4,0
1544070633,6,0
1544071230,6,0
1544071530,3,0
1544072129,8,0
1544072733,6,0
1544073333,7,0
1544073636,1,0
1544074231,9,0
1544074539,1,0
1544075135,1,0
1544075735,7,0
1544076039,1,0
1544076638,5,0
1544077239,3,0
1544077538,1,0
1544078134,5,0
1544078733,14,0
1544079337,3,0
1544079639,2,0
1544080238,8,0
1544080539,7,0
1544080835,4,0
1544081435,2,0
1544082039,5,0
1544082334,1,0
1544082939,5,0
1544083237,3,0
1544083836,9,0
1544084436,5,0
1544084739,3,0
1544085336,3,0
1544085639,4,0
1544086233,5,0
1544086835,8,0
1544087139,5,0
1544087730,3,0
1544088034,3,0
1544088636,6,0
1544089230,4,0
1544089832,3,0
1544090137,1,0
1544090440,1,0
1544091032,7,0
1544091633,4,0
1544091938,4,0
1544092535,3,0
1544092840,4,0
1544093437,4,0
1544094038,7,0
1544094337,7,0
1544094937,9,0
1544095839,6,0
1544096440,4,0
1544096734,1,0
1544097037,2,0
1544097329,5,0
1544097637,2,0
1544098233,8,0
1544098528,4,0
1544099131,7,0
1544099734,5,0
1544100038,1,0
1544100340,2,0
1544101239,6,0
1544101540,3,0
1544102138,4,0
1544102438,6,0
1544103037,2,0
1544103329,2,0
1544103633,7,0
1544103933,4,0
1544104229,3,0
1544104529,5,0
1544104833,3,0
1544105433,10,0
1544106039,6,0
1544106334,3,0
1544106937,5,0
1544107236,2,0
1544107834,8,0
1544108437,3,0
1544108735,2,0
1544109336,1,0
1544109938,5,0
1544110536,4,0
1544110841,1,0
1544111132,5,0
1544111733,6,2
1544112039,3,0
1544112633,5,0
1544113537,4,0
1544114138,4,0
1544114438,2,0
1544115039,6,1
1544115638,10,0
1544115938,5,0
1544116539,11,0
1544116838,1,0
1544117440,1,0
1544117738,5,0
1544118038,2,0
1544118338,7,0
1544118640,2,0
1544118938,1,0
1544119239,3,0
1544119539,4,0
1544119839,7,0
1544120439,5,0
1544120738,3,0
1544121333,5,0
1544121633,4,0
1544122233,5,0
1544122835,5,0
1544123136,5,0
1544123735,4,0
1544124036,7,0
1544124638,8,0
1544125236,22,0
1544125838,2,0
1544126433,6,0
1544127035,6,0
1544127638,6,0
1544127937,4,0
1544128533,1,0
1544128834,6,0
1544129437,7,0
1544129733,5,0
1544130040,2,0
1544130337,5,0
1544130939,8,0
1544131235,4,0
1544131536,3,0
1544131840,3,0
1544132439,3,0
1544132739,6,0
1544133337,6,0
1544133639,1,0
1544134233,6,0
1544134543,2,0
1544135138,4,0
1544135441,3,0
1544135742,2,0
1544136632,12,0
1544137530,6,0
1544138133,2,0
1544138730,8,0
1544139328,4,0
1544139629,4,0
1544140231,173,0
1544140833,8,0
1544141133,2,0
1544141734,4,0
1544142031,1,0
1544142636,6,0
1544142934,2,0
1544143235,1,0
1544143536,3,0
1544143835,2,0
1544144138,4,0
1544144443,4,0
1544145038,6,0
1544145639,8,0
1544145938,2,0
1544146539,3,0
1544146836,2,0
1544147438,5,0
1544147734,4,0
1544148039,3,0
1544148338,3,0
1544148936,5,0
1544149539,2,0
1544149830,2,0
1544150430,3,0
1544150731,1,0
1544151330,7,0
1544151635,1,0
1544152233,7,0
1544152535,2,0
1544153134,6,0
1544153735,5,0
1544154338,7,0
1544154633,2,0
1544155232,4,0
1544155533,7,0
1544156138,6,0
1544156434,3,0
1544157040,6,0
1544157337,5,0
1544157936,34,0
1544158533,4,0
1544158834,3,0
1544159429,4,0
1544160030,6,0
1544160635,9,0
1544161238,9,0
1544162128,4,0
1544162434,2,0
1544163034,11,0
1544163330,4,0
1544163629,5,0
1544164230,4,0
1544164829,1,0
1544165131,3,0
1544165729,3,0
1544166031,1,0
1544166630,3,0
1544167230,2,0
1544167832,8,0
1544168430,4,0
1544168737,6,0
1544169334,5,0
1544169637,2,0
1544169938,5,0
1544170235,3,0
1544170833,6,0
1544171141,5,0
1544171735,6,0
1544172038,2,0
1544172638,3,0
1544173234,8,0
1544173536,2,0
1544174134,2,0
1544174434,1,0
1544175040,11,0
1544175339,1,0
1544175933,7,0
1544176536,1,0
1544177437,4,0
1544178033,7,0
1544178335,2,0
